Mark Haddon, The Curious Incident of the Dog in the Night-Time|... why I like timetables, because they make sure I don't get lost in time.
Munia Khan|Souls of love breathlessly sailTowards our time when hours failTo cope with longing here we areChasing the speed of a falling starMiles and miles fleetly we goDown to the ocean, deeper the flowWaves now know their crushing tide Splashing between joy and pride
Albert Einstein|A human being is a part of the whole, called by us "Universe", a part limited in time and space.
William J. Reilly, Ph.D.|Without Time nothing is possible. Everything requires time. Time is the only permanent and absolute ruler in the universe. But she is scrupulously fair ruler. She treats every living person exactly alike every day. No matter how much of the world's goods you have managed to accumulate, you cannot successfully plead for a single moment more than the pauper receives without every asking for it. Time is the one great leveler. Everyone has the same amount to spend every day.
William J. Reilly, Ph.D.|The future when it comes, is just like the present. The present is all you have and the opportunity of the present is worth more than the success of the past or the promise of the future.
R.A.Delmonico|Even if a particle could travel backward in time, information could not. Retrocausality will be replaced by something more sophisticated. There are no perfect symmetries, there is no pure randomness everything is an approximation of something else. Information may appear in a digital form but meaning never does. Spacetime is built up from approximations, not discrete ones and zeros, and the only constant may be ratios. Quantum entanglement and geometry; if we think of a particle as being at one pole of an expanding sphere that is not perfectly symmetrical, this surface would be "rippling" like the surface of the ocean (in the audio world this is called dithering), at the other pole is the entangled particle's pair and it is a property of the sphere that gives the illusion of connectivity. This is not a physical geometry, it is a computational geometry. Is spacetime a product of entanglement? Renate Loll believes that time is not perfectly symmetrical. Her computer models require causality. Possibly some form of quantum random walk in state space. If a photon is emitted by an electron inside of a clock on Earth and it travels to a clock four light years away, time stops for the clock on Earth and time jumps forward eight years for the distant clock also, the electron that will capture the photon becomes infinitely large relative to the photon but the electron that emitted it does not become infinitely small therefore, time is not perfectly symmetrical.
Harlan Coben, Don't Let Go|There are various theories about why the years seem to pass faster as you get older. The most popular is also the most obvious. As you get older, each year is a smaller percentage of your life. If you are ten years old, a year is ten percent. If you are fifty years old, a year is two percent. But she read a theory that spurned that explanation. The theory states that time passes faster when we are in a set routine, when we aren't learning anything new, when we stay stuck in a life pattern. They key to making time slow down is to have new experiences. You may joke that the week you went on vacation flew by far too quickly, but if you stop and think about it, that week actually seemed to last much longer than one involving the drudgery of your day job. You are complaining about it going away so fast because you loved it, not because it felt as though time was passing faster. If you want to slow down time, this theory holds: If you want to make the days last, do something different. Travel to exotic locales. Take a class.
Tony Evens|Your life is like a coin. You can spend it anyway you want, but only once. Make sure you invest it and don't waste it. Invest it in something that matters to you and matters for eternity.
Deepak Rawat, The Mind Spaghetti|Everything we hold will soon elapse,as we’ll sleep through one dreamless night;but rising again to this dream, whether we’ll behiding behind our darkness or this borrowed light?"- Thou little fool
Félix J. Palma, The Map of Time|Yes, he would look for her, whether to delight in the joys of spring together or to plunge into the abyss. He would look for her because he loved her. And somehow this would lessen the lie Claire was living. For, in the end, the girl's love was reciprocated, and Tom's love, like Shackleton's, was also unattainable, lost in the ether, unable to its way to her.
Sanjo Jendayi|Loving self and others is an every second of every day of every week, of every month, of every year gift that should not be taken for granted or withdrawn for petty arguments and misunderstandings. No one knows the day nor the hour that we or a loved one will meet our expiration here on this earth. Time to make time to heal, amend and/or forgive broken relationships, to live your dreams without regret and love like there is no tomorrow for when tomorrow is no longer there...memories will be great and consciences will be clear.
Tulku Urgyen, As It Is, Volume II|You do not need to fabricate at all. Once you utterly let be, involvement in thoughts of past, present and future subside. By letting be, you are no longer involved in the thoughts of the three times. When utterly letting be, wakefulness is vividly present.
Hanya Yanagihara, The People in the Trees|But time, I have come to realize, is not for us to fill in such great, blank slabs. We speak of managing time, but it is the opposite. Our lives are filled with businesses because those thin chinks of time are all we can truly master.
Deepak Rawat|Everything we hold will soon elapse,as we’ll sleep through one dreamless night;but rising again to this dream, whether we’ll behiding behind our darkness or this borrowed light?- Thou little fool
Richard Smyth, Wild Ink|There are too many years around this table, too much time confined in one place.
Jami Attenberg, Saint Mazie|But I get it; it's a way to mark time. When your life's too busy, it forces you to check in with yourself. Or when it feels all the same all the time, maybe it can make you feel special.
Tracey Bond|Everyone cannot elevate or even revelate at the same time and/or season; an appointment to elevation can result from being specially chosen...like fruit that is ready, ripe and refined for its pleasurable taste.Even scriptural wisdom documents that "Many are called, few are chosen."Those chosen 'few' may deeply sense that at the core function of elevation is an acension both to and from a higher positioned calling for it...a destiny appointment that will be met without haste...separation has the ability to confirm that elevation has its own appointment...prompted by the foreknowledge of a most SUPER natural selection.
Kevin Smokler, Brat Pack America: Visiting Cult Movies of the '80s|When we return to our elementary school playground or the site of our first kiss, we're dropping in on our own history years later. Visiting those same places in the present not only collapses time, but also memory.
Anna Kavan, Asylum Piece|The years passed like the steps of a staircase leading lower and lower. I did not walk any more in the sun or hear the songs of larks like crystal fountains playing against the sky. No hand enfolded mine in the warm clasp of love. My thoughts were again solitary, disintegrate, disharmonious – the music gone. I lived alone in a few pleasant rooms, feeling my life run out aimlessly with the tedious hours: the life of an old maid ran out of my fingertips.
Jane McGonigal, SuperBetter: A Revolutionary Approach to Getting Stronger, Happier, Braver and More Resilient - Powered by the Science of Games|Over time, even the tiniest meaningful actions add up, each one bringing you closer to a life that is truer to your dreams and free of regret.
R.A.Delmonico|If time were perfectly symmetric, gravity wouldn't exist.
R.A.Delmonico|If a photon is emitted by an electron inside of a clock on Earth and it travels to a clock four light years away, time stops for the clock on Earth and time jumps forward eight years for the distant clock, also the electron that will capture the photon becomes infinitely large, relative to the photon but the electron that emitted it does not become infinitely small therefore, time is not perfectly symmetrical.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Instead of you pouring out your life and giving out your life and exchanging it for a porridge called salary, instead of selling out your life bit by bit until you are old and empty and until you become so old that they send you off to die in retirement, you should come to the realization that you could actually multiply and reproduce your life through the power of time conversion.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you understand the value of time, the resource and the wealth of time, you will be running away from the crowd.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Instead of exchanging your life for some coins and some pennies, you could actually take charge of your life right now. You can run away to take control of your time right now.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you understand that through the power of conversion in solitude you can become great, so many things you’ve been wasting your time on will no longer interest you. You will even run away from some friends.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|It is real hard work that will release your potential,
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you run for your life, you will become the one deciding how you use your time. You will be the one deciding that you are not going to pour out your life anymore. You will no longer allow the school system or the work system to decide what you do with your time.
R.J.  Lawrence, The Xactilias Project|At last, the clock settled in the right place.
R.J.  Lawrence, The Xactilias Project|They waited and watched, while the clocks seemed to resist time.
R.J.  Lawrence, The Xactilias Project|Within her simple, terrified mind, swift calculations of distance and speed were at work, and her face advertised the disappointing results.
Joyce Rachelle|Sometimes exhaustion is not a result of too much time spent on something, but of knowing that in its place, no time is spent on something else.
Mary Oliver, A Thousand Mornings|How perfect to be aboard a ship withmaybe a hundred years still in my pocket.But it's late, for all of us,and in truth the only ship there isis the ship we are all onburning the world as we go.
R. W. Patterson, Dark Night of the Soul: In the darkest of moments...a sacrifice to end a life...a rescue to save a soul.|Somehow everything always came down to time, she realized with perfect lucidity. There was either too much or too little. It either passed too quickly or too slowly. It didn’t belong to anyone—it was simply a gift, bestowed by God, and yet eternally taken for granted. She closed her eyes for a moment, wishing Time could be tamed—reigned in—and tethered, synchronized with human needs and wants. But that wasn’t the case, was it?
Rachel Autumn Deering, Husk|The house gulped in a big breath of fresh air, like some frantic drowning thing breaking the water's surface and gasping for life. It had sat unopened for so long, suffocating in the silence, it's memories blanketed by a thick layer of dust.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you understand that a wasted time is a wasted life, you will start running away from television, you will begin to run away from movies, you will run away from games like criminal case and candy crush.
Cecilia Vinesse, Seven Days of You|And the only thing I knew how to do was to hold on as tightly as possible and count every single second until I reached the last one. The one I dreaded most.Sudden, violent, final.The end.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Our offices are filled with people working their lives out to enrich their boss, government or company.
Andrei Tarkovsky, Sculpting in Time|No other art can compare with cinema in the force, precision, and starkness with which it conveys awareness of facts and aesthetic structures existing and changing within time.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you understand the value of time, the resource and the wealth of time, you will be running away from the crowd, you will be running away from distractions.
Akiroq Brost|You are ruled by whatever you invest your time, energy and emotions into. Check in with yourself. What is taking up your time and energy? Where is the focus of your emotions? If there are not where you want them to be, course correct. Remember, whatever you give energy to grows. So grow everything good and beneficial that will also help bring you to a better space and frame of mind. Make the best of each day, of each moment. Give time, love and attention to those and that which you love.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To truly be satisfied in life, you must invest your time into doing what you were born to do instead of wasting your time trying to impress a boss or a company doing a job that you were not born for.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To truly invest your time into doing what you were born to do, you should be running away from jobs not running to jobs.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you, therefore, must be numbered among the great, you too must run for your life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|In life, everyone must decide in what area of life he or she wants to be great. You must choose what territory you want to conquer.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|We are all endowed with the wealth of time equally. Everybody that is born on the surface of this earth, has this wealth.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you must record some greatness in your account before you leave this earth, you must value time and understand the importance of time conversion.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Your territory of choice is irrelevant, time conversion is what matters.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Whatever your territory is does not matter, what matters is the amount of time you are ready to invest into it to become the king of that territory.
Sunday Adelaja, The Veritable Source of Energy|It doesn’t matter your area of calling, you can invest quality time into it, you will definitely become the best and that will buy you greatness.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|You can be great in any area of life, just learn to convert time into added value and tangible products.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Stop wasting time, start investing time for that is the only way to greatness.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you are financially poor, it is because you have not converted your time into any product.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Money is a by-product of time. Money is the time that is well converted. Therefore, time is the raw material from which money is made.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you can invest all your time into giving birth to a quality product, the whole world will celebrate you and everyone will be in need of your product.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|You must, first of all, evolve the consciousness of being the best in whatever territory you choose to explore and then invest all your time into it and you will be amazed how easy it is to become great.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you can decide to invest all your time into giving birth to a quality product, the whole world will celebrate you and everyone will be in need of your product.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you don’t want to just live an ordinary life, then you will have to be intentional about converting all your time into that which you have been called to do.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you allow someone else to convert more time than you in your chosen territory, you automatically become a servant or a second class citizen in that territory and whoever it is who converted more time than you in that territory becomes your king and will lord it over you in that territory.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To prevent your time from just melting into vanity, you must race against time and stand in the way of time so you could convert it to tangible products.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Solitude is the greatest treasure and through it, you can rebuild your life, reorder your life and solve life’s problems.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you invest more time into something than others, you become the best among equals.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Time is the raw material from which products are made, when products are sold, money is made.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you desire to be financially wealthy but don’t know how to invest time, then you are just dreaming.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you really want to be financially wealthy, you must begin to convert your time into producing something for the world.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|In life, everyone must decide in what area of life he or she wants to be great.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|After deciding the territory you want to rule over, the next thing you must do is to invest your time into developing yourself and becoming the best in that territory.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To become a king of that territory, you must not allow any of your time pass without converting it into building your skills in that area of life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you don’t just want to live an ordinary life, then you will have to be intentional about converting all your time into that which you have been called to do.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Whatever territory you choose to explore and then invest all your time into it, you will be amazed how easy it is to become great.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|It does not matter what your calling is, if you can invest all your time into it, then, greatness will become your reward.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To truly be better than your past self, you must practice the rule of ten thousand hours and you must invest so much time building yourself up.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|It is from your time that wealth is produced, it is time that produces results and product.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Most of the people in the world are just distracted and work only on the surface but if you will be deep enough to concentrate and study or rehearse anything, the world will bow in honor of you.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|In the place of solitude, you are able to take advantage of time and bring forth children in the form of products.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|You should actually be fighting to have a time of solitude because through it, you can make yourself great.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you can take ten thousand hours and divide it by the number of hours, you can concentrate and devote to repeatedly doing one single thing in a day, you will be amazed how best you will become in that thing after a given number of years.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Everybody that is born on the surface of this earth, has this wealth called time.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Everyone thinks money is the capital needed to start up a business or any project of choice. I, however, disagree with that ideology. Money is not the capital that you need. Time is the real capital that anyone needs to start up any project.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Dependency on stuff, on people and on things is one of the greatest things that could kill.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|You can’t do everything, so pick what is important and focus on that relentlessly.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|With the power of solitude, you can actually take up a decision to invent anything.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you devote three to six hours of your time every day to practicing anything repeatedly, in the next five years, you will become one of the best in the world.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you will be deep enough to concentrate and study or rehearse anything, the world will bow in honor to you.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you really one to become great, you must practice the rule of ten thousand hours.
Sunday Adelaja, How To Overcome The Fear Of Death|If you can practice the rule of ten thousand hours, you will be amazed to find out how easy it is to become the best in that your area of calling.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Whenever you make up your mind to go into solitude, you must decide first of all what you want to go and do there.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To be productive, you must convert every minute of your time.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you ever desire to gain the mastery over any skill and talent, then, you must convert as much time as Sebastian Bach converted.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Without solitude, we cannot fix the scattered pieces of our plans, hopes, wishes together.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Without order in your life, you will realize that you will only be busy but without commensurate results.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you have the power of time, you can take possession of your time, there is nothing you cannot become.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|One of the most important things you could actually do in life is to create the best of yourself, to create your ideal self.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Instead of you to be at the mercy of whatever they have made you into, rebuild your life into what it should be.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Create the best of yourself, become your best self.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Once you have produced your best self, then you will be able to produce new seeds and fruits after your kind.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|You were created to invest your life into your promise land, your area of calling.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|The difference between working for a salary and working for your promise land is that when you work for a salary, you are exchanging your life just for some porridge, some little compensation in the form of salary.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|The best way to convert time is to find out your calling, find out your divine gifting and convert your time into developing your gift and your calling.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you really want to buy greatness with time, you must invest the quality amount of time into your purpose and land of calling.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|The more time you invest into your land of promise, the more productive the land becomes for you.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you will invest the maximum amount of time in hard work, polishing and building your own land of promise, you will become great in life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|The greatest wealth in the world is the wealth of time. There is nothing more precious than the wealth of time. If you could realize that everything is made out of time, then you can convert your free time into anything you want.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|You must remember that whether you like it or not, every day your life is diminishing, your life is reducing and your life is pouring out. Whether you convert that diminishing life into something or you don’t convert it to anything, it’s your problem. The life will keep on reducing and diminishing.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you want to be among the few who rule the world, you, therefore, must learn to convert every time of your life, every second and minute that passes by. The target of life and the idea of life is that every time must be converted into something.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you invest your life into yourself, you are not pouring your life out somewhere, to some job or for some salary, you are re-investing it into yourself. You are multiplying the quality of your life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you choose your own area of calling and purpose, and you are working and converting your life into that your area of calling, you are not being compensated with salary. You become the boss over your own life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you really want to buy greatness with time, you must invest the quality amount of time into your purpose and land of calling. The more time you invest into your land of promise, the more productive the land becomes for you.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you will invest the maximum amount of time in hard work, polishing and building your own land of promise, you will become great in life. You will become exceptional. You will become a specialist and the world would want to reckon with you.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Our lives are a picture of what we ought to do, what we need to do, what we are planning to do and what we want to do.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you want to give birth to any discoveries or inventions, you must start practicing solitude.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you ever desire to give birth to anything at all, then you cannot do without solitude.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|It is either you are converting time into a product or into a value chain or you are killing, wasting and throwing away your life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|So because you are converting it, you are actually conserving it.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|So because you are converting it, you are reproducing your life that way.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|So because you are converting it, you are winning back your time.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|So because you are converting it, you are grabbing back your life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To be able to convert time, you must be conscious of time.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you want to be among the few who rule the world you therefore must learn to convert every time of your life, every second and minute that passes by.
Ratish Edwards|Sometimes I think if I could do all the things that I stopped doing, meet all the friends that I left due to time, money and other unavoidable circumstances. Continue all my passions at least once. Then my life would be more justified than today. Then I could be finally at peace at the time I finally leave this world
Ratish Edwards|As time passed away, life moved on,As life moved away I moved on, As I moved away, tenses changed My present became past, Future stood at large. And my present became big empty void.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Working for your boss doesn’t make you rich, it only makes your boss richer from your sweat.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you don’t monitor your life, you will regret it. If you don’t measure your life you will regret it. If you don’t convert your time into products you will regret it. If you don’t multiply your life you will soon find out that your life is almost finished with nothing to show for it.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you don’t want to regret your life later, then begin to invest your time, begin to measure your life. Measure your life by the products and by the results you produce!
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you could realize that everything is made out of time, then you can convert your free time into anything you want.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you are able to overcome distractions, then you will be able to do something more specific, something more precise and definite with the time that you have.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|No solitude, no birth.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|In a world as noisy as ours, only those who can isolate themselves will be able to think better and meditate better and hence have a higher chance of receiving innovative ideas and concepts.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Whether you like it or not, your life is passing away.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|You must fight to make sure that your life does not just disappear into thin air. It is a battle of not allowing those your seconds, those your minutes to just disappear into thin air.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you don’t monitor your life, you will regret it. If you don’t measure your life, you will regret it.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you don’t convert your time into products, you will regret it. If you don’t multiply your life, you will soon find out that your life is almost finished with nothing to show for it.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you don’t want to regret your life late, then begin to invest your time, begin to measure your life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you can actually monitor your passing life and be in control and be in charge of your time and making sure that you are actually converting every passing day into something, then you will never regret it.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|It doesn’t matter what your area of calling is, if you could invest quality time in it, then, you will be sure to produce the quality amount of products.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you can actually measure your day by how much time is converted into products, then you are a great force on the earth.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To own something and not be aware of it could not only be annoying, but fatal too. That is why most people had all the time but did nothing with it. They died leaving behind no invention or product that they could be remembered for.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|The greatest treasure in life is the possession of time. Tragically, though, it is that same time that is often least treasured or valued by men who still possess it.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Whether you are aware of it or not, your life is still disappearing. It’s pouring out, it keeps diminishing.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Instead of your life just disappearing or being wasted or spent, you are racing to make sure that it is being converted, making sure that it is being actually invested.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|You win when you are able to convert that time into an investment, into seeds or fruits or products of cultivating your own land or products in other people’s lives.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When your race on earth is finally over and your time has completely disappeared, what will continue to live on in the lives of others are the products you were able to produce from your invested time.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When great men die in the race of life, they continue to live because the world can still benefit from their products.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When you waste one hour of your time, you have wasted your life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To possess time is to possess life, don’t trivialize time.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Everyone on earth is afraid of losing his/her life, and only a few are afraid of losing their time.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you knew that your time is your life, you would protect it as much as you protect your life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|All men have been given time, but only a few men know its value.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Most people who possess life, in reality, do not quite understand that they possess life only because they possess time.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you understand the value of time, you will convert it into products.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|It is true that you may have lost some time in the past. You may have allowed your life melt away with your time, but the good news is that you still have the future.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you leave this world without solving the problems for which you were born, then you are a failure.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|It doesn’t matter how long you live on planet earth, if by the time your whole life has evaporated, you have not solved the problems you were created to solve, then you wasted your life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Do not live for emptiness, do not waste your evaporating life pursuing the vanities of life.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|The tragedy of life is that it comes just once and before you know it, it is gone. Since life comes just once, I encourage you to give it your best shot.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|The problem with dreams is that they are always futuristic and gives a deceptive impression that there is still enough time to actualize them. The tragedy, however, is that you soon realize that the time you thought you had to fulfill the dreams had melted away before your very eyes.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Actualize the dreams now and don’t procrastinate them for the future. Use every second, minute and hour that you have to fulfill life’s calling, your purpose, and your dreams.
