Catherine Deneuve|People who know me know I'm strong, but I'm vulnerable.
J.C. Cooper|Next to the dragon, and connected with it, water is the most frequently used symbol in Taosim. It is the strength in apparent weakness, the fluidity of life, an also symbolic of the state of coolness of judgment, acceptance and passionlessness, as opposed to the heat of argument, the friction of opposition, and the emotion of desire. Water fertilizes, refreshes and purifies and it is symbolic of gentle persuasion in government of the state and the individual. It occupies the lowest position, yet is the most powerful of forces. The highest goodness in like water.
Mark Twain|You may say what you want to, but in my opinion she had more sand in her than any girl I ever see; in my opinion she was just full of sand.
Lailah Gifty Akita, Think Great: Be Great!|We ought to encourage, build and strengthen one another.
Lailah Gifty Akita, Think Great: Be Great!|If you read great literature every day, you will uplift your spirit, soul and self.
Gabriela M. Sanchez|No matter what happens, I will always love myself.
Lailah Gifty Akita, Think Great: Be Great!|O Lord, Thy Word, heals my wounds.O Lord, Thy Word, gives me hope. O Lord, Thy Word, strengthens my spirit.O Lord, Thy Word, revive my soul.
Lailah Gifty Akita, Think Great: Be Great!|With diligent practice, you will be an expert.
Lailah Gifty Akita, Think Great: Be Great!|O Lord, Thy Word, strengthens my spirit.
Clementine von Radics|You are on the floor crying,and you have been on the floor crying for days.And that is you being brave.That is you getting through itas best you know how. No one else can decideWhat your tough looks like.
Daisaku Ikeda|Become like the sun. If you do so, all darkness will be dispelled. No matter what happens, live confidently with the conviction that you, yourself are the “sun.” Of course, in life there are sunny days and cloudy days. But even on cloudy days, the sun is still there. Even when you are suffering, it is vital that you strive to keep the sun shining brightly in your heart.
Michelle Madow, Diamonds are Forever|Sometimes it felt like no one was ever there for her. Everyone thought she was so strong. And she was, for the most part. But that didn’t mean she never needed anyone to lean on.
Jacqueline Carey, Banewreaker|A small kindness, a confluence of compassion, had saved his life. Was that strength, or a weakness?
Lailah Gifty Akita, Think Great: Be Great!|Tell me, who have never be knocked down by life’s circumstances?
Haruki Murakami|The strength I'm looking for isn't the type where you win or lose. I'm not after a wall that'll repel power coming from outside. What I want us the kind of strength to be able to absorb that kind of power, to stand up to it. The strength to quietly endure things - unfairness, misfortunes, sadness, mistakes, misunderstandings.
Judy Croome, Dancing in the Shadows of Love|No, Zahra, dear, no! Gentleness isn’t weakness.’ Her hand, suspended in midair, trembled with emptiness and fell to her side. ‘How easy it is to be bitter or angry; that’s when you’re at your weakest! But when you choose to be kind, to forget your hurt, that’s when you find within the greatest strength of all.’ She smiled, oh, a smile of such ancient wisdom, her face shone with love. She waited, but when I wouldn’t smile back, she walked past me.
Sanjo Jendayi|Some are drawn to the light of your strength but can't handle the darkness of your weaknesses. If they run when the light gets dim, don't chase them. They have no understanding of how dark is necessary for light to shine its brightest.
Lauren Gallagher, The Virgin Cowboy Billionaire's Secret Baby|I'm not a size zero, I'll never be a size zero, and the number of fucks I give about that is zero.
Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus|I pray that I am sufficiently stirred by the rumor of great things to seek the God who created this single thread that I am, and to marvel at a vision magnificent enough to cause this God to weave from this single thread a tapestry most resplendent.
Lailah Gifty Akita, Think Great: Be Great!|Courage to dare,Strength to act.
Jonathan Haidt, The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom|The strong version of the adversity hypothesis might be true, but only if we add caveats: For adversity to be maximally beneficial, it should happen at the right time (young adulthood), to the right people (those with the social and psychological resources to rise to challenges and find benefits), and to the right degree (not so severe as to cause PTSD).
Lailah Gifty Akita, Think Great: Be Great!|The more you give of yourself, the more you find yourself.
Darmie O-Lujon|When flash of hope scans through your dreams. When news of goodness skims the surface of your expectations and bravery abates, break not, keep pressing less the dreams of your fingers suffer extinction.
Lailah Gifty Akita, Think Great: Be Great!|As long as grace abounds, I will work with all my strength.
Steven Chopade|He can transform the incapability in you to do what the capables, even together, cannot do.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Every new day brings new strength, new dreams and new opportunities.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|If you have strength, why won’t you work?
Tony Curl|I'm grateful for today. I'm stronger, braver, wiser.
Tony Curl|We need to simplify life. Do you think grass thinks about who trod on it yesterday? No... It just continues to grow. And so should you. You cannot control who treads on you, but you do control your own growth. Don't ever let others inhibit you!
Tony Curl|At some time you start to think your dreams are beyond you. The universe is sending you messages to quit... contrary. The universe is simply making sure that it really is something you want. Anything great is worth fighting for. Keep fighting, keep persisting. It is only through persistence that we ultimately succeed.
Tony Curl|Where you are and what you have been through has you perfectly placed to move forward. Stronger, braver, wiser.
Tony Curl|Your self-imposed prison. That think called your COMFORT ZONE. Challenge it, stretch it. You will thank yourself.
Claire Douglas, The Sisters|He's the anchor to my boat and I worry that I will float out to sea, directionless, without him.
Darrell Calkins|…one lives and analyses data within a frame, unaware that the solution is most often just outside of that frame. Never underestimate the depth of your subjectivity.
Kenn Bivins, the Wedding & Disaster of Felona Mabel|Neither super strength, nor telepathy, nor flight, nor telekinesis, nor any aberrant ability will ever be as great as the innate ability that a woman has when she is able to control her own mind.
Innocent Mwatsikesimbe, The Reason|It is us who change. We grow stronger, and the problems appear less imposing.
Steve Maraboli|Failure is a mindset, not a circumstance. I let my experiences strengthen me. You think I fell on my face, but I’m down here doing pushups.
Donna Lynn Hope|For those who have learned what suffering is early on, you have prepared ahead of the pack so that you can take care of the pack.
Ann Brashares|She was worried these thoughts would crush her if she let them come, but they didn't. You didn't know how heavy they were until you tried to lift them. You didn't know how strong you were.
Pazaria Smith|If you find a FEAR predator on your tail, STOP running, turn and face it, with BOLDNESS and declare,"God has not given me the spirit of FEAR! but of power, and of love and of a sound mind. [2 Timothy 1:7]Take your best shot Devil! then, march on with boldness, confidence, power and strength, as a soldier in the King's army!
Stephanie Powell Watts, We Are Taking Only What We Need|These dogs didn't bother to bond with us, but stuck out their paws, not to shake hands but so we could slit their wrists and get it the hell over with. (p.51)
Gwen Mitchell, Rain of Ash|She’d lost so much in the process of becoming Zyne, but somewhere in the middle of it all, she’d found herself. Her heritage had shattered her illusions of a tranquil life. Destiny swept behind in a blaze, decimating everything she tried to hold on to. She was left alone, like the solitary tree standing after a forest fire. She’d thought she would crumble to ash, just another memory on the wind. But as blackened pieces of her cracked and fell away, she saw the truth. Under all that charred wreckage was the heartwood. Bruised. Scarred. But still good. Still capable of growth. When she looked in the mirror, she no longer saw a victim, but a survivor.
Gordon B. Hinckley|As you walk your various paths, walk with faith. Speak affirmatively and cultivate an attitude of confidence. You have the capacity to do so. Your strength will give strength to others. Do not partake of the spirit so rife in our times. Rather look for good and build upon it. There is so much of the strong and the decent and the beautiful to build upon. You are partakers of the gospel of Jesus Christ. The gospel means "good news." The message of the Lord is one of hope and salvation. The voice of the Lord is a voice of glad tidings. The work of the Lord is a work of glorious accomplishment.
Donna Lynn Hope|Her scar tissue, which she seems to amass both physically and mentally, may not be pretty, but they have become tougher than if she had never been wounded at all.
Innocent Mwatsikesimbe, The Reason|Running away, avoiding life's battles or giving up robs you of the opportunity to grow and be stronger.
Shannon L. Alder|The Warrior Woman Code:A confident woman doesn't beg a man to stay, cry if they don't or need to tear down other women to be loved. She knows her value. When the person she is meant to be with finds her, that person will know it also. He won't be confused by it. He will fight for her because without her he feels incomplete. She will always be foremost in his mind above anyone else. She doesn't have to scheme to keep or entice him. She is okay walking away from him because she doesn't want to be seen as a choice or a woman that has some potential. She demands to be seen as "the one." To settle for anything less than that is an admission of insecurity and lack of self love.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Whenever you should question your self-worth, always remember the lotus flower. Even though it plunges to life from beneath the mud, it does not allow the dirt that surrounds it to affect its growth or beauty.
Amit Kalantri|Politics doesn't corrupt people, people corrupt politics.
Naoyuki Ochiai, Syndrome 1866 9|When desire meets desire, the stronger one survives. Fulfill your desires! The predator will eat the prey. Our world is a cruel and dirty place...but that's what makes it so beautiful! Hell is the true paradise!
Lorraine Heath, Lord of Wicked Intentions|In all likelihood he would eventually destroy her, unless he found the strength to let her go.
Kaylea Cross, Avenged|Releasing a slow breath, she raised her chin and finally turned her gaze on Qureshi. The moment their gazes connected she felt a surge of power go through her. Throughout her nine hellish months of captivity, she’d been forbidden to look him in the eye. She’d known better than to even try, because she’d known what would happen to her if she did. But they weren’t in Afghanistan anymore and he was no longer the one calling the shots. She held the authority now. Her life, her opinions, had value here. And her voice, silenced for so long, would now speak for all the victims unable to. Her voice would not only be heard here in this courtroom—it would be his undoing.Qureshi stared back at her with an insolent, almost bored disdain on his scratched face, making it clear what he thought of her. To him she was nothing but an infidel whore, a commodity less valuable than a goat or mule, to be bought and sold whenever it suited him, handed out to one of his soldiers as a prize of war. Well this infidel whore is about to bury you, you son of a bitch. Holding that cold, hateful gaze in the taut, hushed silence that filled the courtroom, she sent him another silent message. Let him see it in her eyes. You didn’t break me. I’m no longer afraid of you. You no longer have the power to hurt me or anyone I care about. And by God, I’ll make sure you never have the chance to hurt anyone else again.
Kaylea Cross, Avenged|A quiet peacefulness stole through him, dimming the sharp sense of loss. His arms contracted around her, the pressure fierce. “I’m coming to find you once the trial’s over,” he murmured against the top of her head. She kissed his chest. “You’d better.” “We’re not done,” he told her. “Not by a long shot.” She hummed in agreement and caressed his chest with her fingertips. Nate stroked the length of her spine, savoring the silky texture of her skin. He missed her already and she was still lying naked in his arms. “Just a few more days and this’ll all be over.” “Don’t make me wait too long, okay?” “I won’t.” He leaned his head back, tipped her chin up with one hand until she met his eyes. If there was even a tiny part of her that doubted his intentions, he wanted that cleared up now. “I’ve never felt like this about anyone before.” Her eyes softened and she smiled that serene smile that soothed him deep inside. “Me neither.” He could drown in this woman and die a happy man. He admired her so damn much. “You’re strong, baby. So much stronger than you even realize. You’ve got this.” “Have I got you, though?” Normally the question would have freaked him out. Hearing it from her made him feel insanely possessive. “Yeah, you’ve got me, baby.” He was falling so hard and so fast, and it didn’t even faze him. “Then I can handle everything else on my own,” she whispered, and pulled his mouth down to hers.
Katy Evans, Manwhore +1|Weak men don't like string men, they remind them of what they failed to be.
Michael Bassey Johnson|If you can endure anything, you can become anything.
Holy Bible - 2 Timothy 1:7|For God has not given us a spirit of fear, but of power and of love and of a sound mind.
Beth Revis, Across the Universe|Don’t you understand? You are Elder. When you take my role as Eldest, you must dedicate your whole life to this one idea: you are the caretaker of every single person on the ship. They are your responsibility. You can never show weakness in front of them: you are their strength. You can never let them see you in despair: you are their hope. You must always be everything to everyone on board.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|I do not subscribe to the abuse "victim" or "survivor" mentality. I have experienced every kind of abuse imaginable and I am and always have been the most happy go-lucky, positive and life affirming person around. Your labels do not serve you, so don't use them as an excuse to be miserable. You have a beautiful life to live, so accept the beauty and start living.
Sunday Adelaja|If you live by the grace of God and you constantly recognise His grace in your life, then your weakness turns into strength
Jenna Alatari|There's no such thing as a mistake. There are only experiences. Some are good, and some are bad. Either way, it is an experience we learn from.
Moxie Will, Something That Will Change Your Life|Collectives can’t make money from virtues they make money from weakness. Where there are no weak, they create weak. Cowards hate strong people.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|When you overcome the difficulties of life, you develop an inner strength
Mark Haddon, The Curious Incident of the Dog in the Night-Time|I always thought it was disgusting and ugly, how the weak live their lives depending on each other shamefully licking each other's wounds. A way of life that no one could truly want. I was certain that no greatness could ever come from that. That's what I thought until I met you.
Aleksandra Ninkovic, Better to be able to love than to be loveable|Those who intend to destroy me, underestimate my ability to regenerate.
Amy A. Bartol, Under Different Stars|I'm stone, nothing touches me-nothing.
John Stuart Mill, On Liberty|It is not because men’s desires are strong that they act ill; it is because their consciences are weak. There is no natural connection between strong impulses and a weak conscience. The natural connection is the other way. To say that one person’s desires and feelings are stronger and more various than those of another, is merely to say that he has more of the raw material of human nature, and is therefore capable, perhaps of more evil, but certainly of more good. Strong impulses are but another name for energy.
Cass van Krah|And then eventually you wake up, fully rested, ready to fly again :)
Jessica Edouard|We have one world. We have one chance; to be a united force of positive strength, to feed humanity the light of being humane.
Claire Messud, The Woman Upstairs|It was supposed to say "Great Artist" on my tombstone, but if I died right now it would say "such a good teacher/daughter/friend" instead; and what I really want to shout, and want in big letters on that grave, too, is FUCK YOU ALL.
Linda Lael Miller, Springwater|Her fatigue was gone; she felt vital and strong, like a tree coming back to life in the springtime, vibrant with sap, ready to put out buds and then blossoms.
Jessica Edouard|We have one world. We have one chance; to be a united force of positive strength, to feed humanity the light of being humane." Jessica Edouard
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|May we continue to encourage one another, so that we will increase in strength and in wisdom.
V.R. Barkowski, My Bloody Valentine|It’s not the good we see in the people we love, but what we refuse to see that gives us strength.” “What the hell is that supposed to mean?” “Sometimes when we care about someone, we deny what’s right in front of us so we can move forward, so we have a reason to continue to love.
Jean Nicolas Grou|Your external circumstances may change, toil may take the place of rest, sickness of health, trials may thicken within and without. Externally, you are the prey of such circumstances; but if your heart is stayed on God, no changes or chances can touch it, and all that may befall you will but draw you closer to Him. Whatever the present moment may bring, your knowledge that it is His will, and that your future heavenly life will be influenced by it, will make all not only tolerable, but welcome to you, while no vicissitudes can affect you greatly, knowing that He who holds you in His powerful hand cannot change, but abideth forever.
Robert Tew|Sometimes walking away has nothing do with weakness, and everything to do with strength. We walk away not because we want others to realize our worth and value, but because we finally realize our own.
Hasil Paudyal, Blended Words|Give me another Chance Then, You will Get Less than I Gain...
Nikki Rowe|Don't let your tragedies fool you, they were never meant to alter your path; just re-pave your direction. Spend time nurturing the things that once tore you apart and you will find within you, your most empowering strength.
Debasish Mridha|My faith is stong enough to endure, kind enough to feel, big enough to accommodate.
Veronica Roth, Allegiant|Some days are harder than others, but I am ready to live each one of them. I can't sacrifice myself, this time.
Kate Meader, Playing with Fire|Knowing what she did to him made her feel powerful, just as knowing what he did to her made her feel weak.
Jasleen Kaur Gumber|…I wanted to remove,my diamond earrings,for I felt they were,weighing a little heavy.I wanted to remove my heels,for I felt they were,taking me a little,above the ground,than I needed to be.I wanted to,throw away my blazer,for it was too much,of a thick layer,to what I am deep inside.” (Poem- Unambitious, Book- Ginger and Honey)
Robert Tew|Strength of character isn't always about how much you can handle before you break, it's also about how much you can handle after you've broken.
Veronica Roth|There was only one option left, and it was letting go.
Stacey T. Hunt, Game of Nightmares|She was too quiet, or she was too loud. She took things too seriously, or not seriously at all. She was too sensitive, or too cold-hearted. She hated with every fiber of her being, or loved with all her heart. There was no in-between for her. It was either all or nothing. She wanted everything, but in the end, she settled for nothing.
Criss Jami, Healology|Look for the person everyone hates, and love them.
Gail Carson Levine, Ella Enchanted|I had been able to break the curse myself. I'd had to have reason enough, love enough to do it, to find the will and the strength.
Kelli Russell Agodon, Hourglass Museum|Yes, it hurts to fall— ache, tenderness—but each scar is a sign your system is working.
Bharath Mamidoju|My strength: My enemies, they keep me strong enough to face the worst - MB
Lori Lansens, The Mountain Story|The most successful people in the most impossible situations are the ones that are sure they're gonna get out of it, and they go on thinking that, even if they die trying.
Shelley Noble, Beach Colors|Strength ebbed and flowed, but brittle would break.
Friedrich Nietzsche, The Gay Science|Gratitude pours forth continually, as if the unexpected had just happened—the gratitude of a convalescent—for convalescence was unexpected…. The rejoicing of strength that is returning, of a reawakened faith in a tomorrow and the day after tomorrow, of a sudden sense and anticipation of a future, of impending adventures, of seas that are open again.
Carry A. Nation|You have put me in here a cub, but I will come out roaring like a lion, and I will make all hell howl!
Elizabeth Gilbert, Eat, Pray, Love|... you should never give yourself a chance to fall apart because, when you do, it becomes a tendency and it happens over and over again. You must practice staying strong, instead.
Nobuyuki Fukumoto|To be thankful for just being alive...To survive means to win... That only applies to animals, but I'm a human being!
jagan kumar|Humanism is my Religion, Good is my adoption , Bad is my Elimination, Acceptance is my Decision, Love is My Gift , Relation is my Affection ,Truth is My Strength, Help Is My Credit , Knowledge is My Treasure
Dan Simmons|Who are you, Hockenberry, to thwart Fate and defy the Will of the Gods?I am me, Thomas Hockenberry. I am fed up with these power-addled thugs who call themselves gods.
William Valentiner|That Detroit ultimately concentrated on automobiles could be traced to one genius, Henry Ford.... But that the necessary human energy for this development existed in Detroit could be proven through its early history.... I told him what I knew of the settlement in Detroit and of the climate, certainly almost the worst in the United States. Only the very strong could survive.... To defeat the conditions imposed by earth and sky at Detroit required intensive labor by energetic men who were not tempted by pleasure and play.
Kemi Sogunle|Plants die off when their roots have no water to sustain them. May your tears feed the roots of love in your heart and bring healing to your soul. May God grant you the strength to move on, knowing there's so much ahead of you.
Lydhia Marie, Remember|Weak or strong, everyone falls at least a thousand times throughout their life. It is in what they learn from their fall and how steady they become that you recognize the strongest of all." -Grandma (Magdalen)
Nikki Rowe|one day you will wake up, you will see with clear sight all that has held you back; you will feel lighter because you finally accept who you are. You will shine with flawless beauty because your happiness comes from the purity of your heart and one day I hope you realise all of this, before it's too late; because darling, if we spent our years nurturing the best of ourselves, heaven would be felt on earth.
Rick Riordan, The Blood of Olympus|Out of every tragedy, " he said, "comes new strength.
Rick Riordan, The Blood of Olympus|She let the fear burn inside her like fuel, making her voice even stronger.
pleasefindthis, I Wrote This For You: Just the Words|Because I found the strength to do the things I believe in, and the will to stop doing the things I don't believe in.So I have discovered what it means, to be at peace.
Nikki Rowe|Trust what your instincts are telling you, it's your souls voice pointing you in the right direction.
Rosa Parks|I learned to put my trust in God and to see Him as my strength. Long ago I set my mind to be a free person and not to give in to fear. I always felt that it was my right to defend myself if I could. I have learned over the years that when one’s mind is made up, this diminishes fear; knowing what must be done does away with fear." - Rosa Parks
Dean Koontz, Odd Thomas|Her eyes were clear; she hadn't been crying. She was a cop's wife first, a woman second; she wouldn't give in to tears as long as Wyatt was fighting for his life because she was fighting with him in spirit.
J.D. Stroube, Caged in Spirit|A victim has the potential to transform into a survivor, but if that is forgotten, a true victim is what they become. A survivor must endure strife and persevere against those thoughts that would convince them otherwise. Holding fast to ones will will allow them to know their strength has not evaporated; They will never be without hope.
Liezi, Lieh-tzu: A Taoist Guide to Practical Living|Strength should always be complimented by softness. If you resist too much, you will break. Thus, the strong person knows when to use strength and when to yield, and good fortune and disaster depend on whether you know how and when to yield.
Blake Mays|Strength is not defined by the load you bear, it’s defined by the amount you can bend before breaking.
L V HALL|& may you shine on in the sky with diamonds & dreams...do it for the suit behind the platform, who only wished he were free.have strength in freedom.
Genereux Philip|I never believed I will be the Breadwinner in my family, But I give Lord God Almighty Thanks!
Melody Carstairs|If it's not on the table, don't eat it off the floor.
David Anthony Durham, Acacia: The War with the Mein|She would never be caught unprepared again, she swore to herself. She would never trust. Never love. Never put faith in other human beings again. She would learn all she could of the shape and substance of the world, and she would find a way to survive in it.
Rick Yancey, The 5th Wave|If you don't kill all of us all at once, those who remain will not be the weak.It's the strong who remain, the bent but unbroken, like the iron rods that used to give this concrete its strength.
Colleen Hoover, Hopeless|The things that knock you down in life are tests, forcing you to make a choice between giving in and remaining on the ground or wiping the dirt off and standing up even taller than you did before you were knocked down. I’m choosing to stand up taller. I’ll probably get knocked down a few more times before this life is through with me, but I can guarantee you I’ll never stay on the ground.
Charles M. Blow, Fire Shut Up in My Bones|I had been fortified by trauma, the way a bone, once broken, grows back stronger than it had been.
Dana Arcuri, Harvest of Hope: Living Victoriously Through Adversity, A 50-Day Devotional|The truth is that each of us fall short of loving unconditionally. We don't love others the way God loves us. Yet Jesus extended perfect love by living and dying for all of our sins. In spite of our failures, weaknesses, and selfishness, He sacrificed His own life so we could have eternal life.
David Anthony Durham, Acacia: The War with the Mein|She was a nightmare of beauty and menace living right there above them, a being part raptor, part human, part divine. She knew without question that she could sweep down on them and inflict upon all of them a terrible vengeance if she wished. She had the capacity for violence within her, residing beside her heart.
Peprah Boasiako|Without struggles, success would be meaningless.
Glad Munaiseche|People usualy use "move on" when their heart broke because of love. Most don't understand when father, mother, sister or brother has died, you might have needed more strength to move on. It was like living with no air.
T.A. Uner, Stone Ram|Look Fabian, the world is full of sheep, don’t settle for being a sheep, even if you do reside over those creatures, act more like a Ram.
Lailah Gifty Akita, Think Great: Be Great!|Strength for today, overflowing grace.
Willa Cather|As he stood there lost in reflection, Auclair thought he seemed more like a man revolving plans for a new struggle with fortune than one looking back upon a life of brilliant features. The Count had the bearing of a fencer when he takes up the foil; from his shoulders to his heels there was intention and direction. His carriage was his unconscious idea of himself, -- it was an armour he put on when he took off his night-cap in the morning, and he wore it all day, at early mass, at his desk, on the march, at the Council, at his dinner-table. Even his enemies relied upon his strength.
Chris Matakas, #Human: Learning To Live In Modern Times|When you give your weakness permission to be because you understand that it is simply an expression of your strength, it tends to no longer be a weakness.
Dana Arcuri, Harvest of Hope: Living Victoriously Through Adversity: A 50-Day Devotional|When we no longer have the strength to keep on walking, God will carry us. His strength is enough for you and I.
Dana Arcuri, Harvest of Hope: Living Victoriously Through Adversity: A 50-Day Devotional|If you're facing a season of trials, don't allow the enemy to have a field day by putting negative thoughts in your mind. Let go of stinking thinking. Instead of turning away from God in anger or confusion, run into His loving arms where He will comfort you.
Stormie Omartian, Choose Love: The Three Simple Choices That Will Alter the Course of Your Life|All the weapons of hate and cruelty cannot stand against God’s love. The spiritually blind and intentionally evil try to oppose it, but they cannot ultimately win. That’s because all creation was formed and is sustained by God
Thomm Quackenbush, Pagan Standard Times: Essays on the Craft|Magick need not be a crutch, but it is hard to argue that anything you lean on in lieu of building your own strength weakens resolve.
Crystal Woods, Write like no one is reading|No one can make you 'better' emotionally, mentally, spiritually or physically. You have to find this for yourself. You have to taste that brutal moment when you're crying in a corner of the room, curled up on the floor and you think this is your end. You have to fight to stand up, literally. And you have to walk over to your reflection and scream, scream it all out. Then you have pick up your sword and fight and never quit. This is your life. Don't let those bastards win.
Aleksandra Ninkovic, Write like no one is reading|The less you feed the ego, the stronger you will be.
Israelmore Ayivor, Daily Drive 365|Don’t deceive yourself; laughing at someone’s weakness is not the way to reveal your strength. Your strength is in the help you offer, not the mockeries you deliver!
Lawrence Hill|Mama is beautiful,” I said.“Mama is strong,” he said. “Beauty comes and goes. Strength, you keep forever.
Shannon L. Alder|Sometimes losses in life are not losses at all. They are simply the evidence God provides, in order to build a story so profound, that it will cause social change.
Shunryu Suzuki|In your very imperfections you will find the basis for your firm, way-seeking mind.
Stormy Smith, Bound by Duty|Your heart is yours to give, it is no ones to take. Not a queen. Not a prince. No one.
Human Angels, 365 Wisdom Pills|Being able to ask for helpis not a sign of weakness,it is a sign of strength.
Ahdaf Soueif, The Map of Love|There's a strength in that look, a wilfulness; one would almost call it defiance except that it is so good-humoured. It is the look a woman would wear - would have worn - if she asked a man, a stranger, say, to dance.
Ashutosh Naliapara|I don't need you, I don't need your shitty false love, I got someone more beautiful, someone more trustworthy, someone who encourages me at every damn point in my life, someone who builds me hell strong, you know who that is, that's pain, and pain loves to be loved, and it loves me back a million times greater. It don't do shit lke you, It don't break my heart, It don't give a goddamn fuck for anyone but just cares hell for me, and I love it because it'll never leave me.
Eckhart Tolle, A New Earth: Awakening to Your Life's Purpose|Somebody becomes an enemy if you personalize the unconsciousness that is the ego. Non-reaction is not weakness but strength. Another word for non-reaction is forgiveness. To forgive is to overlook, or rather to look through. You look through the ego to the sanity that is in every human being as his or her essence.
Elizabeth George, Finding God's Path Through Your Trials: His Help for Every Difficulty You Face|Faith is not a hothouse plant that must be shielded from wind and rain, so delicate that it has to be protected, but it’s like the sturdy oak which becomes stronger with every wind that blows upon it. An easy time weakens faith, while strong trials strengthen it.
Mary Doria Russell, The Sparrow|She was alone and destitute in a world of pointless carnage. By an eight-hundred-year-old Sepahrdic tradition she ad been since the age of twelve and a half "bogeret l'reshut nafsha"--an adult wit authority over her own soul. The Torah taught, Choose life. And so, rather than die of pride, Sofia Mendes sold what she had to sell, and she survived.
Cecilia Ekbäck, Wolf Winter|It was like Nils had said, about the little lake on the mountain that had been turned into marsh and the large one that had remained a lake. A being was either strong enough to hold their ground or they became small and bottomless and started feeding on themselves. They turned into something they never saw coming. Something they never intended.
Aaron Lee Yeager, Kharmic Rebound|Most people who idealize strength are ignorant of how it is acquired. Someone who is in constant agony does not notice a prick of the finger. Profound suffering sets a higher threshold, allowing one to bear with ease that which would have been burdensome before. If you wish to be strong, know first that this is the path of it. -The Holy Scrolls of Soeck, Seventh Binding, Thirteenth Stanza
Jared Brock, A Year of Living Prayerfully: How a Curious Traveler Met the Pope, Walked on Coals, Danced with Rabbis, and Revived His Prayer Life|Strength is gathered on the journey, not granted at the outset.
Isobelle Carmody, The Gathering|Strength without compassion is soulless and cruel. Weakness, too, has its place, for it brings understanding.
D.S. Wrights, The Beast In Me|Focus.Such a little word for such a hard thing and yet it can make things so simple, unless you break it. Like glass.Fragile on certain points with enough pressure ore carelessness, but if handled correctly, it’s useful, clear, sharp, and perfect.That’s what I will try to think about, whenever the Beast in me is not in agreement with what I am doing, or how I am behaving, when it threatens to break free, through that very same glass that separates us.I need to be exactly like this window: smooth, cool, strong, and impenetrable.Focus.
Matthew Quick, Boy21|you don’t put demands on people and you never say anything negative--ever. So many people suck the life out of everyone they’re around, but you don’t do that. You give people strength just by being you.
Jane Casey|Because of course, for every revelation of weakness, there had to be an equal and opposite show of strength.
Leigh Bardugo, Ruin and Rising|I was just a girl again, but this girl didn’t owe her strength to fate or chance or a grand destiny. I’d been born with my power; the rest I’d earned.
Rainer Maria Rilke, Duino Elegies|Isn’t it time that, loving, we freed ourselves from the beloved, and, trembling, endured:as the arrow endures the bow, so as to be, in its flight, something more than itself?
Nikki Rowe, Once a Girl, Now a Woman|someday we will forget the hardship, and the pain its cause us; we will realise, hurt is not the end. lessons appear to teach us strength, we learn happiness is an inside job and to cure our insanity we must not fear what is to come, but believe in what we've been taught.
Benazir Bhutto|Clearly it's not easy for women in modern society, no matter where they live. We still have to go the extra mile to prove that we are equal to men. we have to work longer hours and make more sacrifices. And we must emotionally protect ourselves from unfair, often vicious attacks made on us via the male members of our family.
Amit Kalantri|Politics doesn’t mean playing deceitful and trickery games against the people, it means playing resourceful and organized games for the people.
Isabel Quintero, Gabi, a Girl in Pieces|The way my tia looks at Raul is the way I look at Martin. He makes her happy and helps her see that she is stronger than she thought she was. It's not that he makes her stronger, but he definitely helps her see that she has been strong all along.
Seja Majeed|I fell in love with you like the stars fell in love with the sky, without you I am empty and bare.
Rainer Maria Rilke, Duino Elegies|Isn't it time that, in love, we freed ourselves from the loved one and, trembling, endured:as the arrow endures the string, collecting itselfto be more than itself as it shoots?
Stormie Omartian, The Prayer That Changes Everything: The Hidden Power of Praising God|When you live by God’s Word, your life works. When you live without God’s Word, life doesn’t work. God’s Word builds you up, feeds your soul, and gives you strength, direction, guidance, hope, encouragement, and faith. Remember that He gave you His Word so that you would know Him and the way He wants You to live.
Jim George, The Remarkable Prayers of the Bible|You must nurture a close walk with God through prayer, because humility’s strength is grounded in God.
Katherine McIntyre, Poisoned Apple|Shards flew everywhere, slicing her hands, her forearm, and cascading to the floor like snow glistening on a winter morning.
