ETC Wanyanwu|I walk, talk and act like a king even though I know there's no royalty in my bloodline
Carl Sagan, The Demon-Haunted World: Science as a Candle in the Dark|All over the world there are enormous numbers of smart, even gifted, people who harbor a passion for science. But that passion is unrequited. Surveys suggest that some 95 percent of Americans are “scientifically illiterate.” That’s just the same fraction as those African Americans, almost all of them slaves, who were illiterate just before the Civil War—when severe penalties were in force for anyone who taught a slave to read. Of course there’s a degree of arbitrariness about any determination of illiteracy, whether it applies to language or to science. But anything like 95 percent illiteracy is extremely serious.
George Bernard Shaw, Misalliance|What is the matter with universities is that the students are school children, whereas it is of the very essence of university education that they should be adults.
Walter Scott|We shall never learn to feel and respect our real calling and destiny, unless we have taught ourselves to consider every thing as moonshine, compared with the education of the heart.
George Washington, George Washington's Farewell Address|Promote, then, as an object of primary importance, institutions for the general diffusion of knowledge. In proportion as the structure of a government gives force to public opinion, it is essential that public opinion should be enlightened.
Malcolm X|An English writer telephoned me from London, asking questions. One was, ‘What’s your alma mater?’ I told him, ‘Books.
Plato|The soul of him who has education is whole and perfect and escapes the worst disease, but, if a man's education be neglected, he walks lamely through life and returns good for nothing to the world below.
David A. Bednar|We are in the school [or mortality] and keep learning and we do not expect to cease learning while we live on earth; and when we pass through the veil, we expect still to continue to learn and increase our fund of information.
Marc Parent, Believing It All: Lessons I Learned from My Children|In the end, it's not what we keep our children from that will save them. It's what we put into them in the first place.
Greg Mortenson, Stones Into Schools: Promoting Peace With Books, Not Bombs, in Afghanistan and Pakistan|Because most of the girls were still in mourning and all of them had lost their textbooks, even pencils and pens, Shaukat Ali began the first classes by reading to them from poetry and religious texts. "Reading, literature, and spirituality are good for the soul," he told them. "So we will start with these studies.
Louise Boyd Cadwell, Bringing Reggio Emilia Home: Innovative Approach to Early Childhood Education|In the Reggio Emilia preschools, however, each child is viewed as infinitely capable, creative, and intelligent. The job of the teacher is to support these qualities and to challenge children in appropriate ways so that they develop fully.
Leah Hager Cohen, Heart, You Bully, You Punk|Increasing pressure on students to subject themselves to ever more tests, whittling themselves down to rows and rows of tight black integers upon a transcript, all ready to goose-step straight into a computer.
Greg Mortenson, Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time|I don't do what I'm doing to fight terror. ... I do it because I care about kids. Fighting terror is maybe seventh or eighth on my list of priorities. But working over there, I've learned a few things. I've learned that terror doesn't happen because some group of people somewhere like Pakistan or Afghanistan simply decide to hate us. It happens because children aren't being offered a bright enough future that they have a reason to choose life over death.
Carl Sagan, The Demon-Haunted World: Science as a Candle in the Dark|If we can't think for ourselves, if we're unwilling to question authority, then we're just putty in the hands of those in power. But if the citizens are educated and form their own opinions, then those in power work for us. In every country, we should be teaching our children the scientific method and the reasons for a Bill of Rights. With it comes a certain decency, humility and community spirit. In the demon-haunted world that we inhabit by virtue of being human, this may be all that stands between us and the enveloping darkness.
John Stuart Mill, On Liberty|It still remains unrecognised, that to bring a child into existence without a fair prospect of being able, not only to provide food for its body, but instruction and training for its mind, is a moral crime, both against the unfortunate offspring and against society; and that if the parent does not fulfil this obligation, the State ought to see it fulfilled, at the charge, as far as possible, of the parent.
Howard Gardner|I want my children to understand the world, but not just because the world is fascinating and the human mind is curious. I want them to understand it so that they will be positioned to make it a better place
John Holt|We can best help children learn, not by deciding what we think they should learn and thinking of ingenious ways to teach it to them, but by making the world, as far as we can, accessible to them, paying serious attention to what they do, answering their questions -- if they have any -- and helping them explore the things they are most interested in.
Hồ Chí Minh|To reap a return in ten years, plant trees. To reap a return in 100, cultivate the people.
Helen Keller, The Story of My Life: With Her Letters (1887 1901) and a Supplementary Account of Her Education Including Passages from the Reports and Letters of Her Teacher Anne Mansfield Sullivan by John Albert Macy|There are times when I long to sweep away half the things I am expected to learn; for the overtaxed mind cannot enjoy the treasure it has secured at the greatest cost. ... When one reads hurriedly and nervously, having in mind written tests and examinations, one's brain becomes encumbered with a lot of bric-a-brac for which there seems to be little use. At the present time my mind is so full of heterogeneous matter that I almost despair of ever being able to put it in order. Whenever I enter the region of my mind I feel like the proverbial bull in the china shop. A thousand odds and ends of knowledge come crashing about my head like hailstones, and when I try to escape them, theme goblins and college nixies of all sorts pursue me, until I wish – oh, may I be forgiven the wicked wish! – that I might smash the idols I came to worship.
John Holt|What is most important and valuable about the home as a base for children's growth into the world is not that it is a better school than the schools, but that it isn't a school at all.
John Taylor Gatto|Genius is an exceedingly common human quality, probably natural to most of us.
Lester Grinspoon, Marihuana Reconsidered|I am convinced that there are genuine and valid levels of perception available with cannabis (and probably with other drugs) which are, through the defects of our society and our educational system, un-available to us without such drugs.
Helen Keller, The Story of My Life: With Her Letters (1887 1901) and a Supplementary Account of Her Education Including Passages from the Reports and Letters of Her Teacher Anne Mansfield Sullivan by John Albert Macy|It was my teacher's genius, her quick sympathy, her loving tact which made the first years of my education so beautiful. It was because she seized the right moment to impart knowledge that made it so pleasant and acceptable to me. She realized that a child's mind is like a shallow brook which ripples and dances merrily over the stony course of its education and reflects here a flower, there a bush, yonder a fleecy cloud; and she attempted to guide my mind on its way, knowing that like a brook it should be fed by mountain streams and hidden springs, until it broadened out into a deep river, capable of reflecting in its placid surface, billowy hills, the luminous shadows of trees and the blue heavens, as well as the sweet face of a little flower. Any teacher can take a child to the classroom, but not every teacher can make him learn. He will not work joyously unless he feels that liberty is his, whether he is busy or at rest; he must feel the flush of victory and the heart-sinking of disappointment before he takes with a will the tasks distasteful to him and resolves to dance his way bravely through a dull routine of textbooks. My teacher is so near to me that I scarcely think of myself apart from her. How much of my delight in all beautiful things is innate, and how much is due to her influence, I can never tell. I feel that her being is inseparable from my own, and that the footsteps of my life are in hers. All the best of me belongs to her--there is not a talent, or an aspiration or a joy in me that has not been awakened by her loving touch.
John Taylor Gatto|Shouldn't we also ask ourselves what the consequences are of scrambling to provide the "most" of everything to our children in a world of fast dwindling resources? 
Charlotte M. Mason|...my object is to show that the chief function of the child--his business in the world during the first six or seven years of his life--is to find out all he can, about whatever comes under his notice, by means of his five senses...
G.K. Chesterton|As regards moral courage, then, it is not so much that the public schools support it feebly, as that they suppress it firmly.
Keith Richards|When you are growing up there are two institutional places that affect you most powerfully: the church, which belongs to God, and the public library, which belongs to you. The public library is a great equaliser.
George Eliot, Middlemarch|It is very difficult to be learned; it seems as if people were worn out on the way to great thoughts, and can never enjoy them because they are too tired.
Rafe Esquith, Lighting Their Fires: Raising Extraordinary Children in a Mixed-up, Muddled-up, Shook-up World|Most children, even very bright ones, need constant review and practice to truly own a concept in grammar, math or science. In schools today, on paper it may appear that kids are learning skills, but in reality they are only renting them, soon to forget what they've learned over the weekend or summer vacation.
E.M. Forster, Aspects of the Novel|Books have to be read (worse luck, for it takes a long time); it is the only way of discovering what they contain.
William James|So you see that the process of education, taken in a large way, may be described as nothing but the process of acquiring ideas or conceptions, the best educated mind being the mind which has the largest stock of them, ready to meet the largest possible variety of the emergencies of life. The lack of education means only the failure to have acquired them, and the consequent liability to be 'floored' and 'rattled' in the vicissitudes of experience.
Tanya R. Liverman, Memoirs of an Educarer: An Inspiration for Education|Respect is not the equivalent to 'liking' a student or teacher; it is the ability to have a high regard for the role of another. In order to receive respect, we should demonstrate it first...
Plato|Knowledge which is acquired under compulsion has no hold on the mind. Therefore do not use compulsion, but let early education be a sort of amusement; you will then be better able to discover the child's natural bent.
Ken Robinson|We have to go from what is essentially an industrial model of education, a manufacturing model, which is based on linearity and conformity and batching people. We have to move to a model that is based more on principles of agriculture. We have to recognize that human flourishing is not a mechanical process; it's an organic process. And you cannot predict the outcome of human development. All you can do, like a farmer, is create the conditions under which they will begin to flourish.
Jiddu Krishnamurti, Education and the Significance of Life|To understand a child we have to watch him at play, study him in his different moods; we cannot project upon him our own prejudices, hopes and fears, or mould him to fit the pattern of our desires. If we are constantly judging the child according to our personal likes and dislikes, we are bound to create barriers and hindrances in our relationship with him and in his relationships with the world. Unfortunately, most of us desire to shape the child in a way that is gratifying to our own vanities and idiosyncrasies; we find varying degrees of comfort and satisfaction in exclusive ownership and domination.
John Holt|Over the years, I have noticed that the child who learns quickly is adventurous. She's ready to run risks. She approaches life with arms outspread. She wants to take it all in. She still has the desire of the very young child to make sense out of things. She's not concerned with concealing her ignorance or protecting herself. She's ready to expose herself to disappointment and defeat. She has a certain confidence. She expects to make sense out of things sooner or later. She has a kind of trust.
Albert Einstein|It is a very grave mistake to think that the enjoyment of seeing and searching can be promoted by means of coercion and a sense of duty. To the contrary, I believe it would be possible to rob even a healthy beast of prey of its voraciousness, if it were possible, with the aid of a whip, to force the beast to devour continuously, even when not hungry.
Aaron Swartz|I think deeply about things and want others to do likewise. I work for ideas and learn from people. I don’t like excluding people. I’m a perfectionist, but I won’t let that get in the way of publication. Except for education and entertainment, I’m not going to waste my time on things that won’t have an impact. I try to be friends with everyone, but I hate it when you don’t take me seriously. I don’t hold grudges, it’s not productive, but I learn from my experience. I want to make the world a better place.
Sidney Poitier, The Measure of a Man: A Spiritual Autobiography|Child psychologists have demonstrated that our minds are actually constructed by these thousands of tiny interactions during the first few years of life. We aren't just what we're taught. It's what we experience during those early years - a smile here, a jarring sound there - that creates the pathways and connections of the brain. We put our kids to fifteen years of quick-cut advertising, passive television watching, and sadistic video games, and we expect to see emerge a new generation of calm, compassionate, and engaged human beings?
Helen Keller|Many scholars forget, it seems to me, that our enjoyment of the great works of literature depends more upon the depth of our sympathy than upon our understanding. The trouble is that very few of their laborious explanations stick in the memory. The mind drops them as a branch drops its overripe fruit. ... Again and again I ask impatiently, "Why concern myself with these explanations and hypotheses?" They fly hither and thither in my thought like blind birds beating the air with ineffectual wings. I do not mean to object to a thorough knowledge of the famous works we read. I object only to the interminable comments and bewildering criticisms that teach but one thing: there are as many opinions as there are men.
Barbara Kingsolver, The Poisonwood Bible|He warned Mother not to flout God's Will by expecting too much of us. "Sending a girl to college is like pouring water in your shoes,' he still loves to say, as often as possible. 'It's hard to say which is worse, seeing it run out and waste the water, or seeing it hold in and wreck the shoes.
Oscar Wilde, The Picture of Dorian Gray|We all take such pains to over-educate ourselves. In the wild struggle for existence, we want to have something that endures, and so we fill our minds with rubbish and facts, in the silly hope of keeping our place. The thoroughly well-informed man - that is the modern ideal. And the mind of the thoroughly well-informed man is a dreadful thing. It is like a bric-a-brac shop, all monsters and dust, with everything priced above its proper value.
Leigh A. Bortins, The Core: Teaching Your Child the Foundations of Classical Education|Families are designed to nurture the minds, wills, and emotions of its members so that the barriers created by fear of the unknown can be replaced by the confidence that comes from knowing you are loved whether you succeed or fail.
Jeannette Walls, Half Broke Horses|...even though I was getting better education at home than any of the kids in Toyah, I'd need to go to finishing school when I was thirteen, both to acquire social graces and to earn a diploma. Because in this world, Dad said, it's not enough to have a fine education. You need a piece of paper to prove you go it.
Louis L'Amour, Education of a Wandering Man|Education is everywhere, prompting one to think, to consider, to remember.
Paul W. Silver, The Dangerous Dream|Instead of making prisoners out of our students, we ought to make students out of our prisoners.
Benjamin Franklin, Remarks Concerning the Savages|A Swedish minister having assembled the chiefs of the Susquehanna Indians, made a sermon to them, acquainting them with the principal historical facts on which our religion is founded — such as the fall of our first parents by eating an apple, the coming of Christ to repair the mischief, his miracles and suffering, etc. When he had finished an Indian orator stood up to thank him.‘What you have told us,’ says he, ‘is all very good. It is indeed bad to eat apples. It is better to make them all into cider. We are much obliged by your kindness in coming so far to tell us those things which you have heard from your mothers. In return, I will tell you some of those we have heard from ours.‘In the beginning, our fathers had only the flesh of animals to subsist on, and if their hunting was unsuccessful they were starving. Two of our young hunters, having killed a deer, made a fire in the woods to boil some parts of it. When they were about to satisfy their hunger, they beheld a beautiful young woman descend from the clouds and seat herself on that hill which you see yonder among the Blue Mountains.‘They said to each other, “It is a spirit that perhaps has smelt our broiling venison and wishes to eat of it; let us offer some to her.” They presented her with the tongue; she was pleased with the taste of it and said: “Your kindness shall be rewarded; come to this place after thirteen moons, and you will find something that will be of great benefit in nourishing you and your children to the latest generations.” They did so, and to their surprise found plants they had never seen before, but which from that ancient time have been constantly cultivated among us to our great advantage. Where her right hand had touched the ground they found maize; where her left had touched it they found kidney-beans; and where her backside had sat on it they found tobacco.’The good missionary, disgusted with this idle tale, said: ‘What I delivered to you were sacred truths; but what you tell me is mere fable, fiction, and falsehood.’The Indian, offended, replied: ‘My brother, it seems your friends have not done you justice in your education; they have not well instructed you in the rules of common civility. You saw that we, who understand and practise those rules, believed all your stories; why do you refuse to believe ours?
W.E.B. Du Bois|The function of the university is not simply to teach breadwinning, or to furnish teachers for the public schools, or to be a centre of polite society; it is, above all, to be the organ of that fine adjustment between real life and the growing knowledge of life, an adjustment which forms the secret of civilization.
Gene Royer|Homeschooling and public schooling are as opposite as two sides of a coin. In a homeschooling environment, the teacher need not be certified, but the child MUST learn. In a public school environment, the teacher MUST be certified, but the child need NOT learn.
John Taylor Gatto, Dumbing Us Down: The Hidden Curriculum of Compulsory Education|Although teachers do care and do work very, very hard, the institution is psychopathic-it has no conscience. It rings a bell and the young man in the middle of writing a poem must close his notebook and move to a different cell where he must memorize that humans and monkeys derive from a common ancestor.
C.S. Lewis, The Abolition of Man|The very power of [textbook writers] depends on the fact that they are dealing with a boy: a boy who thinks he is ‘doing’ his ‘English prep’ and has no notion that ethics, theology, and politics are all at stake. It is not a theory they put into his mind, but an assumption, which ten years hence, its origin forgotten and its presence unconscious, will condition him to take one side in a controversy which he has never recognized as a controversy at all.
Henry Adams, The Education of Henry Adams|The chief wonder of education is that it does not ruin everybody concerned in it, teachers and taught.
Richard Mitchell|Far from failing in its intended task, our educational system is in fact succeeding magnificently because its aim is to keep the American people thoughtless enough to go on supporting the system.
J. Maarten Troost, The Sex Lives of Cannibals: Adrift in the Equatorial Pacific|Like many highly educated people, I didn't have much in the way of actual skills.
Kathleen Norris, The Psalms with Commentary|I was taught that I had to 'master' subjects. But who can 'master' beauty, or peace, or joy?
Arthur Conan Doyle, The Adventures of Sherlock Holmes|Problems may be solved in the study which have baffled all those who have sought a solution by the aid of their senses. To carry the art, however, to its highest pitch, it is necessary that the reasoner should be able to use all the facts which have come to his knowledge; and this in itself implies, as you will readily see, a possession of all knowledge, which, even in these days of free education and encyclopaedias, is a somewhat rare accomplishment.
Ian McEwan, Atonement|She had lolled about for three years at Girton with the kind of books she could equally have read at home--Jane Austen, Dickens, Conrad, all in the library downstairs, in complete sets. How had that pursuit, reading the novels that others took as their leisure, let her think she was superior to anyone else?
Richard Baxter, The Reformed Pastor|Nothing can be rightly known, if God be not known; nor is any study well managed, nor to any great purpose, if God is not studied. We know little of the creature, till we know it as it stands related to the Creator: single letters, and syllables uncomposed, are no better than nonsense. He who overlooketh him who is the 'Alpha and Omega, the beginning and the ending,' and seeth not him in all who is the All of all, doth see nothing at all. All creatures, as such, are broken syllables; they signify nothing as separated from God. Were they separated actually, they would cease to be, and the separation would be annhiliation; and when we separate them in our fancies, we make nothing of them to ourselves. It is one thing to know the creatures as Aristotle, and another thing to know them as a Christian. None but a Christian can read one line of his Physics so as to understand it rightly. It is a high and excellent study, and of greater use than many apprehend; but it is the smallest part of it that Aristotle can teach us.
Sylvia Plath, The Unabridged Journals of Sylvia Plath|All, all, becomes profitable. Education is of the most satisfying and available nature. I am at Smith! Which two years ago was a doubtful dream - and that fortuitous change of dream to reality has led me to desire more, and to lash myself onward - onward.
Melanie Wells, When the Day of Evil Comes|…I’d let those entering (grad) students in on my secret—higher education is all about perseverance. It has nothing to do with smarts or creativity or anything else.	It’s about cultivating the willingness and stamina for hoop jumping.	Jump through the hoops, I’d say. Do it well. Do it relentlessly. And in a few years you can join the elite of the American education system secure in the knowledge that you too can endure with the best of them.
Raymond S. Moore, School Can Wait|Homeschool history tells of more than two centuries of home-teaching influence on American education, although it has been largely obscured by the drawn curtains of conventional bias.
H. Beam Piper, Little Fuzzy|It was a bland, tranquilized, life-adjusted, group-integrated sort of face -- the face turned out in thousands of copies every year by the educational production lines on Terra.
Mokokoma Mokhonoana|Assuming that all ‘unschooled’ people to lack education is akin to assuming that a salary is the only means to make money, or, that a vagina or a penis is the only source of an orgasm.
John Holt|Any child who can spend an hour or two a day, or more if he wants, with adults that he likes, who are interested in the world and like to talk about it, will on most days learn far more from their talk than he would learn in a week of school.
Ken Robinson|We have sold ourselves into a fast food model of education, and it's impoverishing our spirit and our energies as much as fast food is depleting our physical bodies.
Frederick Douglass, Narrative of the Life of Frederick Douglass|The more I read, the more I was led to abhor and detest my enslavers. I could regard them in no other light than a band of successful robbers, who had left their homes, and gone to Africa, and stolen us from our homes, and in a strange land reduced us to slavery. I loathed them as being the meanest as well as the most wicked of men. As I read and contemplated the subject, behold! that very discontentment which Master Hugh had predicted would follow my learning to read had already come, to torment and sting my soul to unutterable anguish. As I writhed under it, I would at times feel that learning to read had been a curse rather than a blessing. It had given me a view of my wretched condition, without the remedy. it opened my eyes to the horrible pit, but to no ladder upon which to get out. in moments of agony, I envied my fellow-slaves for their stupidity. I have often wished myself a beast. I preferred the condition of the meanest reptile to my own. Any thing, no matter what, to get rid of thinking! It was this everlasting thinking of my condition that tormented me. There was no getting rid of it. It was pressed upon me by every object within sight or hearing, animate or inanimate. The silver trump of freedom had roused my soul to eternal wakefulness. Freedom now appeared, to disappear no more forever. It was heard in every sound and seen in every thing. It was ever present to torment me with a sense of my wretched condition. I saw nothing without seeing it, I heard nothing without hearing it, and felt nothing without feeling it. It looked from every star, it smiled in every calm, breathed in every wind, and moved in every storm.
Darren Shan, Vampire Mountain|Students never appreciate their teachers while they are learning. It is only later, when they know more of the world, that they understand how indebted they are to those who instructed them. Good teachers expect no praise or love from the young. They wait for it, and in time, it comes.
A.W. Tozer, Man   The Dwelling Place Of God|The best book is not one that informs merely, but one that stirs the reader up to inform himself.
Paul  Lockhart, A Mathematician's Lament: How School Cheats Us Out of Our Most Fascinating and Imaginative Art Form|Mental acuity of any kind comes from solving problems yourself, not from being told how to solve them.
Giacomo Casanova, Geschichte Meines Lebens|As for myself, I always willingly acknowledge my own self as the principal cause of every good and of every evil which may befall me; therefore, I have always found myself capable of being my own pupil, and ready to love my teacher.
Helen Keller, The Story of My Life: With Her Letters (1887 1901) and a Supplementary Account of Her Education Including Passages from the Reports and Letters of Her Teacher Anne Mansfield Sullivan by John Albert Macy|I am conscious of a soul-sense that lifts me above the narrow, cramping circumstances of my life. My physical limitations are forgotten- my world lies upward, the length and the breadth and the sweep of the heavens are mine!
John Holt|schools assume that children are not interested in learning and are not much good at it, that they will not learn unless made to, that they cannot learn unless shown how, and that the way to make them learn is to divide up the prescribed material into a sequence of tiny tasks to be mastered one at a time, each with it's approrpriate 'morsel' and 'shock.' And when this method doesn't work, the schools assume there is something wrong with the children -- something they must try to diagnose and treat.
Carl Sagan, The Demon-Haunted World: Science as a Candle in the Dark|But, Jefferson worried that the people - and the argument goes back to Thucydides and Aristotle - are easily misled. He also stressed, passionately and repeatedly, that it was essential for the people to understand the risks and benefits of government, to educate themselves, and to involve themselves in the political process. Without that, he said, the wolves will take over.
C. JoyBell C.|Life is still better than University. In school, your teacher is the fruit picker and you are the open fruit basket. Then you take those fruits and make cakes and pies. But life is going to give you the chance to go out there and pick those fruits yourself. Then you can eat them, or make them into something else; any which way, your own hands picked them!
Bruce Coville, My Teacher is an Alien|Hey, Geekoid!" yelled Duncan Dougal, "Why do you read so much? Don't you know how to watch TV?
Jerome Bruner, The Culture of Education|In sum, then, "thinking about thinking" has to be a principal ingredient of any empowering practice of education.
Polly Shulman, Enthusiasm|Mr. Klamp laid down the law. No tardiness, no talking above 40 decibels, no untied shoelaces, no visible undergarments, no eating, no chewing gum, no chewing tobacco, no chewing betel nuts, no chewing coca leaves, no chewing out students (unless Mr. Klamp was doing the chewing out), no chewing out teachers (unless ditto), no unnecessary displays of temper (unless ditto), no unnecessary displays of affection (no exceptions), no pets over one ounce or under one ton, and no singing, except in Bulgarian. I began to think Mr Klamp wouldn't be so bad...
Spider Robinson, The Callahan Chronicals|In 1971, after seven years in college, with that magic piece of paper clutched triumphantly in my fist, the best job I was able to get was night watchman on a sewer project in Babylon, N.Y. guarding a hole in the ground to prevent anyone from stealing it. God bless the American educational system!
Sydney Harris|Most people are mirrors, reflecting the moods and emotions of the times; few are windows, bringing light to bear on the dark corners where troubles fester. The whole purpose of education is to turn mirrors into windows.
Richard Russo|I don't tell you this story today in order to encourage all of you in the class of '04 to find careers in the music business, but rather to suggest what the next decade of your lives is likely to be about, and that is, trying to ensure that you don't wake up at 32 or 35 or 40 tenured to a life that happened to you when you weren't paying strict attention, either because the money was good, or it made your parents proud, or because you were unlucky enough to discover an aptitude for the very thing that bores you to tears, or for any of the other semi-valid reasons people marshal to justify allowing the true passion of their lives to leak away. If you're lucky, you may have more than one chance to get things right, but second and third chances, like second and third marriages, can be dicey propositions, and they don't come with guarantees.... The question then is this: How does a person keep from living the wrong life?
John Dewey|As we have seen there is some kind of continuity in any case since every experience affects for better or worse the attitudes which help decide the quality of further experiences, by setting up certain preference and aversion, and making it easier or harder to act for this or that end.
Annie Dillard, The Maytrees|Under her high brows, she eyed him straight on and straight across. She had gone to girls' schools, he recalled later. Those girls looked straight at you.
Philo of Alexandria|Learning is by nature curiosity... prying into everything, reluctant to leave anything, material or immaterial, unexplained.
Charlotte M. Mason|Let children alone... the education of habit is successful in so far as it enables the mother to let her children alone, not teasing them with perpetual commands and directions - a running fire of Do and Don’t ; but letting them go their own way and grow, having first secured that they will go the right way and grow to fruitful purpose.
George Bernard Shaw, Misalliance|There is, on the whole, nothing on earth intended for innocent people so horrible as a school. To begin with, it is a prison. But in some respects more cruel than a prison. In a prison, for instance, you are not forced to read books written by the warders and the governor. . . .In the prison you are not forced to sit listening to turnkeys discoursing without charm or interest on subjects that they don't understand and don't care about, and therefore incapable of making you understand or care about. In a prison they may torture your body; but they do not torture your brains.
Virginia Woolf, Three Guineas|No guinea of earned money should go to rebuilding the college on the old plan just as certainly none could be spent upon building a college upon a new plan: therefore the guinea should be earmarked "Rags. Petrol. Matches." And this note should be attached to it. "Take this guinea and with it burn the college to the ground. Set fire to the old hypocrisies. Let the light of the burning building scare the nightingales and incarnadine the willows. And let the daughters of educated men dance round the fire and heap armful upon armful of dead leaves upon the flames. And let their mothers lean from the upper windows and cry, "Let it blaze! Let it blaze! For we have done with this 'education!
Trenton Lee Stewart, The Extraordinary Education of Nicholas Benedict|Nicholas Benedict did have an exceptional gift for knowing things (more exceptional, in fact, than most adults would have thought possible), and yet not even he could know that this next chapter was to be the most unusual-and most important-of his entire childhood. Indeed, the strange days that lay ahead would change him forever, though for now they had less substance than the mist through which he ran.
Rafe Esquith, Lighting Their Fires: Raising Extraordinary Children in a Mixed-up, Muddled-up, Shook-up World|These days, many well-meaning school districts bring together teachers, coaches, curriculum supervisors, and a cast of thousands to determine what skills your child needs to be successful. Once these "standards" have been established, pacing plans are then drawn up to make sure that each particular skill is taught at the same rate and in the same way to all children. This is, of course, absurd. It gets even worse when one considers the very real fact that nothing of value is learned permanently by a child in a day or two.
Leah Hager Cohen, Glass, Paper, Beans: Revolutions on the Nature and Value of Ordinary Things|In England, coffeehouses were dubbed penny-universities, because for the admission price of one cent, a person could sit and be edified all day long by scholars, merchants, travelers, community leaders, gossips, and poets.
Robert Graves, Goodbye to All That|About this business of being a gentleman: I paid so heavily for the fourteen years of my gentleman’s education that I feel entitled, now and then, to get some sort of return.
Rosemarie Garland-Thomson|Now, Woolf calls her fictional bastion of male privilege Oxbridge, so I'll call mine Yarvard. Even though she cannot attend Yarvard because she is a woman, Judith cheerfully applies for admission at, let's call it, Smithcliff, a prestigious women's college. She is denied admission on the grounds thatthe dorms and classrooms can'taccommodate wheelchairs, that her speech pattern would interfere with her elocution lessons, and that her presence would upset the other students. There is also the suggestion that she is not good marriage material for the men at the elite college to which Smithcliff is a bride-supplying "sister school." The letter inquires as to why she hasn't been institutionalized.When she goes to the administration building to protest the decision, she can't get up the flight of marble steps on the Greek Revival building. This edifice was designed to evoke a connection to the Classical world, which practiced infanticide of disabled newborns.
Confucius, The Analects|In worthy teaching, all things are related.
Henry A. Giroux, Teachers as Intellectuals: Toward a Critical Pedagogy of Learning|For the ancient Greeks, the ultimate test of the educational system was the moral and political quality of the students that it produced
Stringfellow Barr|Thousands of persons, many of whom never darkened the door of a college, have learned to read books that most of our college graduates fear to tackle. teachers who understand this fact can help a student read the books that educated the Founding Fathers but not by explaining in lectures what the author would have said if he had been as bright as the lecturer.
Yehudi Menuhin|Why is compassion not part of our established curriculum, an inherent part of our education? Compassion, awe, wonder, curiosity, exaltation, humility - these are the very foundation of any real civilization.
Richard Rhodes, Visions of Technology: A Century of Vital Debate About Machines Systems and the Human World|The landed classes neglected technical education, taking refuge in classical studies; as late as 1930, for example, long after Ernest Rutherford at Cambridge had discovered the atomic nucleus and begun transmuting elements, the physics laboratory at Oxford had not been wired for electricity. Intellectual neglect technical education to this day.[Describing C.P. Snow's observations on the neglect of technical education.]
Confucius, The Analects|To one who is not eager I do not reveal anything, nor do I explain anything to one who is not communicative. If I raise one corner for someone and he cannot come back with the other three, I do not go on.
Hans Jürgen Eysenck, The Inequality Of Man|Nothing succeeds like success; children who opt out of school have had a continued record of failure, and it would be difficult to blame the children themselves for voting with their feet and playing truant as much as possible. This failure is not necessary; it is imposed on the children by inappropriate methods of teaching which do not take into account the innate patterns of abilities of these children. A return to sanity is long overdue; we must pay close attention to the genetic basis of our children`s abilities.
Hermann Hesse, Beneath the Wheel|Teachers dread nothing so much as unusual characteristics in precocious boys during the initial stages of their adolescence. A certain streak of genius makes an ominous impression on them, for there exists a deep gulf between genius and the teaching profession. Anyone with a touch of genius seems to his teachers a freak from the very first. As far as teachers are concerned, they define young geniuses as those who are bad, disrespectful, smoke at fourteen, fall in love at fifteen, can be found at sixteen hanging out in bars, read forbidden books, write scandalous essays, occasionally stare down a teacher in class, are marked in the attendance book as rebels, and are budding candidates for room-arrest. A schoolmaster will prefer to have a couple of dumbheads in his class than a single genius, and if you regard it objectively, he is of course right. His task is not to produce extravagant intellects but good Latinists, arithmeticians and sober decent folk. The question of who suffers more acutely at the other's hands - the teacher at the boy's, or vice versa - who is more of a tyrant, more of a tormentor, and who profanes parts of the other's soul, student or teacher, is something you cannot examine without remembering your own youth in anger and shame. yet that s not what concerns us here. We have the consolation that among true geniuses the wounds almost always heal. As their personalities develop, they create their art in spite of school. Once dead, and enveloped by the comfortable nimbus of remoteness, they are paraded by the schoolmasters before other generations of students as showpieces and noble examples. Thus teh struggle between rule and spirit repeats itself year after year from school to school. The authorities go to infinite pains to nip the few profound or more valuable intellects in the bud. And time and again the ones who are detested by their teachers are frequently punished, the runaways and those expelled, are the ones who afterwards add to society's treasure. But some - and who knows how many? - waste away quiet obstinacy and finally go under.
Louis L'Amour|Actually, all education is self-education. A teacher is only a guide, to point out the way, and no school, no matter how excellent, can give you education. What you receive is like the outlines in a child’s coloring book. You must fill in the colors yourself.
Carl Sagan, The Demon-Haunted World: Science as a Candle in the Dark|Science is an attempt, largely successful, to understand the world, to get a grip on things, to get hold of ourselves, to steer a safe course. Microbiology and meteorology now explain what only a few centuries ago was considered sufficient cause to burn women to death.
Laura Bush|Libraries allow children to ask questions about the world and find the answers. And the wonderful thing is that once a child learns to use a library, the doors to learning are always open.
Carl Sagan, The Demon-Haunted World: Science as a Candle in the Dark|Nevertheless, (Jefferson) believed that the habit of skepticism is an essential prerequisite for responsible citizenship. He argued that the cost of education is trivial compared to the cost of ignorance, of leaving government to the wolves. He taught that the country is safe only when the people rule.
