Genereux Philip|GOD IS MY PROVIDER I BRAG DIFFERENT, THROUGH HIM ALL THINGS ARE POSSIBLE.
James Hauenstein|I have tried to live my life with no regrets. Because regrets will become guilt in some cases, and guilt eats away at your sanity.
Sandeep Sahajpal|Only and only handwork can get you to the front benches, where you get noticed by the God.
Narendran S|Life is just like an arrow..To launch it, we have to stretch it back.
A.J. Garces|As America slept, our constitutional quilt was slowly being unraveled by special interest... I hope you like the cold.
Teresa R. Funke, Bursts of Brilliance for a Creative Life blog|When we give ourselves permission to go wherever our outlandish thoughts take us, we feel that rush of creativity and excitement.
Adhish Mazumder, Solemn Tales of Human Hearts|I discovered that politics is not entirely about agendas and manifestos of some old, sullen creep promising a better future of the country as a whole. Politics is being played everywhere and it starts from the very bedroom that you consider your safe haven.
Emily  Williams, Letters to Eloise|Mistakes happen and life is full of twists and turns, but you mustn’t let any set backs hold you back from moving forward. Life is too short to dwell on things that have gone wrong.
Randy Leedy, Love Not the World: Winning the War Against Worldliness|Better a little hardship now than a great deal of loss or suffering forever, and a third alternative simply does not exist.
Germany Kent|Stop giving people the power to control your smile, your worth, your attitude and your day. Don’t give anyone that much power over your life.
Shannon L. Alder|Maybe, the lesson we can all learn from the inner sadness of a Narcissist is to see through our own fabrications, our own illusions so that we can be set free to be real once more.
Staci Welch-Bartley|Love does not leave, it grows and transforms into something different.
Brittany Burgunder|What are you hiding? Is it something from others, or from yourself. Find your truth. The more you show up, the more you'll be found.
Victor Hugo, Les Misérables|To love or have loved, that is enough. Ask nothing further, There is no other pearl to be found in the dark folds of life.
Ernest Agyemang Yeboah|Life is full of lessons; learn the lessons in life you meet each moment of time well! So many people meet the same things in life time after time, because they fail to know, understand and take real lessons from the same things they always meet time and time again! Day by day, make a consistent effort to improve yourself. Day by day, take consistent steps in wit to avoid doing the same thing that resulted in the same thing in the same way! Life is full of lessons; don’t forget to learn the lessons life teaches well, or else you shall leave each moment of your life learning the same life lessons!
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|The number one reason why people stay stuck is because they cannot accept that they are stuck. Accept that you are stuck, that something needs to change, that you have plateaued, and that you have stopped growing. Realize and understand who and where you are in life.
Bernie Yaras|LOVE, is the most powerful thing that makes my world turn upside down.
Kathryn Craft, The Art of Falling|It's weird, all you think about when you're young is gaining your independence, but when those final hours come, people want to go home.
Luan|We are a generation of everything temporary, masqueraded as engaged in patterns beyond the point, but relies too much on technology, and yet despite all of that, we no longer feel compulsive to connect with each other, and somehow that’s the reason some friendship doesn’t last, however, we have the sincerity to connect on a regular basis with a virtual audience and socialise on the internet.
Mario Benedetti|In life you have to avoid three geometric figures - vicious circles, love triangles and square minds
Dr. Jacinta Mpalyenkana, Ph.D, MBA|What comes from the soul, you can’t fake or learn. You be it, by letting it.
Irma Joubert, The Girl From the Train|life is like a silver coin. You can spend it any way you wish, but you can spend it once.
Kemi Sogunle, Beyond the Pain by Kemi Sogunle|Learn the truth...never assume.Understand the plight...never judge.Put yourself in someone's shoes...never hurt.Think before you act, reason before you react.
Sandeep Sahajpal|Life is all about making choices, as in a game of chess. The moves from other side are predetermined against every move of yours. But with each move, you shift your destiny for better or worse.
Sharfaraz Ahmed|Never compromise your "Self-respect" for "Love". If feel like you are loosing your "Self-respect" for "Love" Tell them you can keep your "love" and I will keep my "Self-respect
David Benedict Zumbo|Supply the needs first and the wants later, for one can only obtain true peace, love and joy when one supplies the needs first and not the wants.
Saaif Alam|Everyone is born to reach their destiny. Nobody have control of their own destiny, but they have control with their decision making skills if they want to reach their triumphs or end up being a failure.
Rudolf Jerome Ragay|Spend time with your kids and try to answer all their questions, it will make your life challenging.
Aravind Adiga, Last Man in Tower|Chain of envy linked them, showing each what was lacking in life, but offering also the consolation that happiness was present right next door, in the life of a neighbour, an element of the same society.
Ridhdhesh Jivawala|I was Rainbow, I tried to saw her the true colour of 'Happiness' & 'love', but unfortunately she was colorblind.!
Roxane Gay, Bad Feminist|Life, apparently, requires a trigger warning.This is the uncomfortable truth: everything is a trigger for someone. There are things you cannot tell just by looking at someone.We all have history. You can think you're over your history. You can think the past is the past. And then something happens, often innocuous, that shows you how far you are from over it. The past is always with you. Some people want to be protected from this truth.
Jellis Vaes|We are constantly taught in both in what we read, and what we see on the TV be it consciously and subconsciously, that being unhappy is not normal. Every time we read or hear about how we should be feeling happy, and how we need to go about it, and for whatever reason we aren’t at that moment in time, well, you feel that’s something must be wrong with you. “What’s wrong with me, I should be feeling happy in my life, but I’m not. Every article I have read says all those steps on how to be happy, but they don’t seem to work for me, I am still unhappy.”You come to see unhappiness as some kind of problem with you, with your personality. Something not normal at all. But it is. It is very normal. It is part of every human being, it is a part of you, it is part of who you are. You’ve got to first of all understand and acknowledge that feeling unhappy is nothing but normal and it isn’t something you should be afraid of. It only means that your emotions are functioning well and are taking care of you by keeping you up to date with the truth.
shashidhar sa|Today Never Comes, Tomorrow Never Stops
Alexander Georgiev|We can go and explore different roads in our future, but the past ones are permanent, just like our greatest memories.
Anonymous|Life's battle don't always go to the strongest or the fastest , but sooner or later the man who wins is the man who thinks he can .
Patricio Telman Chincocolo|One need not know one's karma, but have faith in life to be able to keep on going. With faith one can let go and let things take its course, embrace life and merge with it. Because she is the way.
Sandra Merrill Covey, The 7 Habits of Highly Effective Families|We all go through stages. Concern about appearances, making good impressions, being popular, comparing yourself to others, having unbridled ambition, wanting to make money, striving to be recognized and notices, and trying to establish yourself - all fade as your responsibilities and character grow. Life's tests refine you
Auliq-Ice|We often go through life with blinders on. Not always because we refuse to see what is obvious or that we’re too lazy or fearful to look very deeply, but because we don’t know to look where we don’t know something has been neglected.
Garry Fitchett, Life Is a Bicycle: A Living Philosophy to Finding Your Authenticity|We are all equally rich when it comes to the currency of time: 24 hours in a day and not one iota more. It is one of life's most level playing fields, ever devised, from the standpoint of a singular day.
Neel Mukherjee, The Lives of Others|It could be said of him that while others chased the mirage of happiness, he was happy with being content.
Abhijit Naskar|The important thing is not to survive, but to live.
Hannah Hart, Buffering: Unshared Tales of a Life Fully Loaded|There is much in this world that hurts us, but if we let pain become our master, we live our lives as slaves.
Khadija Rupa, Unexpressed Feelings|From all my dreams where you felt everlastingto all my clothes your words used to wear,to the old end, to the new beginning,you have lost me everywhere.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|We gain from the new science of mind not only insights into ourselves - how we perceive, learn, remember, feel, believe and act - but also a new perspective of ourselves and our fellow human beings in the context of biological evolution.
Shawn Marsham|What ever you say or do, are reflections of what is in your heart.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|The only un-distractable, un-destructable, "thing", yet also the foundation of all pure creation, is "nothing.
Saaif Alam|A persons life is a cycle that involves both his or her events of success and failure. A person should understand that most obstacles can be overcomed, but some of his or her barriers that he or she is born with could not be broken. It can be under control if the person understands his or her own identity.
Saaif Alam|A person' s life is a cycle that involves both his or her events of success and failure. A person should understand that most obstacles can be overcomed, but some of his or her barriers that he or she is born with could not be broken. It can be under control if the person understands his or her own identity.
Abhijit Naskar|Every single creature on earth manages to survive one way or another, but not every creature truly lives.
Roy T. Bennett|Make peace with yourself before you move forward. Accept yourself, love yourself, and keep moving forward.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|There is no religion better than love, no color better than the color of happiness and no language better than the language of compassion.
Abhijit Naskar, What is Mind?|Quantum Mechanics can indeed be extremely complex to grasp, but when we talk about Consciousness, with decades of rigorous studies on the human brain we have realized that actually, there is no other phenomenon in the entire universe that is simpler than the majestic phenomenon of Consciousness.'If you think you have a solution to the problem of consciousness, you haven’t understood the problem.' This age-old metaphysical and philosophical argument is strictly not true. If you are sufficiently clear-sighted enough, you can realize the problem itself was a matter of the past when we didn’t have insight into the neurological basis of consciousness. And today it is common knowledge in Neuroscience that, all mesmerizing features of the Human Mind, including the glorious Human Consciousness, are born from the tiny specks of jelly inside your head.
Abhijit Naskar, What is Mind?|At a cellular level of the human mind, Islamophobia is not really a matter of social stigma, rather it is a natural biological fear response of the general human mind, conditioned through countless pairings between terrorist attacks (unconditioned stimulus) and their apparent association with Islam (conditioned stimulus). Hence, Islamophobia cannot be eradicated completely, unless that pairing is severed and thereafter the conditioned stimulus of Islam is paired with something optimistic such as the heartwarming works of the 13th century Persian Muslim poet Jalal ad-Din Muhammad Rumi.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Harmony doesn’t come merely through tolerance. You don’t need to tolerate people from other cultural backgrounds. It is time you start loving them. Toleration may make you a decent person, but it is love that makes you a true human being. The greatest religion that you can ever have throughout your entire existence is love.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Harmony doesn’t come merely through tolerance. You don’t need to tolerate people from other cultural backgrounds. It is time you start loving them. Toleration may make you a decent person, but it is love that makes you a true human being.
Abhijit Naskar, What is Mind?|​Everything that makes you, you, is a biologically existential expression of your entire brain.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|There are more things in our biology that make us one, than there are to set us apart.
Abhijit Naskar, What is Mind?|Imagine yourself having a fight with your romantic partner. The tension of the situation makes your limbic system run at full throttle and you become flooded with stress hormones like cortisol and adrenalin. The high levels of these chemicals suddenly make you so damn angry, that you burst out in front of your partner saying, “I wish you die, so that I can have some peace in my life”. Given the stress of the situation through highly active limbic system, your PFC loses its freedom to take the right decision and you burst out with foul language in front of your partner, that may ruin your relationship. In simple terms due to your mental instability, you lost your free will to make the right decision.But when the conversation is over, and you relax for a while, your stress hormone levels come down to normal, and you regain your usual cheerful state of mind. Immediately, your PFC starts analyzing the explosive conversation you had with your partner. Healthy activity of the entire frontal lobes, especially the PFC suddenly overwhelms you with a feeling of guilt. Your brain makes you realize, that you have done something devilish. As a result, now you find yourself making the willful decision of apologizing to your partner and making up to him or her, no matter how much effort it takes, because your PFC comes up the solution that it is the healthiest thing to do for your personal life.From this you can see, that what you call free will is something that is not consistent. It changes based on your mental health. Mental instability or illness, truly cripples your free will. And the healthier your frontal lobes are, the better you can take good decisions. And the most effective way to keep your frontal lobes healthy is to practice some kind of meditation.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|During my school years, I was never a brilliant student, but just an average one, with only above average level of curiosity.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Historical experiences of this absolute godliness gave rise to all the scriptures in the world. Hence, the scriptures themselves don’t account for the actual globally prevalent psychological element of faith or divinity in the human society. Faith is a crucial evolutionary trait of the human mind, selected by Mother Nature as an internal coping- mechanism.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Any idea of separation is bondage. True liberation of the mind is in non-differentiation. And in the pursuit of breaking free from all the shackles of such man-made bondages, science is the most effective tool we have till this date. But in order to bring out all its effectiveness into the human society, it must be sweetened first with the touch of philosophy. Science without Philosophy leads to chaos. Philosophy without Science leads to nowhere. Only together they can construct a better world.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Every word that comes out of my neurons is to make humanity see that there are more things in our biology that make us one, than there are to set us apart. My goal is simple. It is to take the human civilization with me on the path of sweet general harmony.
Abhijit Naskar, What is Mind?|From the perspective of a general human being – a non-scientist, the most valuable element of the human mental life, is Emotion – a tiny portion of our conscious mental world. We humans as a species crave for emotional stimulation. And in many cases, as it happens, we are actually slaves to our emotions.
Abhijit Naskar, What is Mind?|In most cases, people argue over the term God, without having the perception of another person’s own idea of the word. Hence, often people with an atheistic perspective of the world attribute the God of many religious individuals to be an angry, authoritarian and vengeful God who acts like a human being and lives in the clouds or in heaven. But the irony is, most religious individuals do not conceive God in an anthropomorphic or angry way. Rather, in their personal psychological domain of religious or spiritual beliefs, they conceive God in more abstract, spiritual and merciful way.
Shubham Singh, TRUTH OF LOVE: Our life is based on the premise of love|Happiness & Sadness are compeerin other words,Sadness is the shadow of happinessjust like thatHappiness is the shadow of sadnesssadness gives Darknesshappiness gives Lightsadness gives Profundityhappiness gives HeightIt is always in proportion, that's its balanceIf you want happiness, Remember sadness will also come.
TemitOpe Ibrahim|When you can share the lessons you learnt through tears and heartache and others find life in it and are better off for it, then beauty has come out of those ashes.
Munia Khan|If God sets your speed limit high, don't be afraid of your life-car being crashed.
Kemi Sogunle, Beyond the Pain by Kemi Sogunle|Life is a journey filled with experiences but without the experiences, there will be no life.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Truth, by all means is the ultimate reward for all the sufferings of the human mind that often compel even the strongest of characters to get down on his or her knees.
Jude Sierra, What It Takes|What she meant was that I let my emotions control me. I was letting myself be helpless to them, and when we think we are our emotions, instead of our emotions being something we experience, or can let go of, or survive… they’re in control.
Abhijit Naskar|Don't judge people by their religious, cultural, or professional background. Judge if you must, by their behavior with other people.
Amanda Ashton-Booth|we are prisoners of our own lives, until we find the courage to break free from the prison that we created ourselves.
Muhammad Zaki|The art is not, to tell. The art is, not to tell.
TemitOpe Ibrahim|When you thank GOD for what you have, it means you appreciate and value what's in your hands. And when you value what's in your hands, it will open up its wonder to you.
Jane Austen, Mansfield Park|We have all a better guide in ourselves, if we would attend to it, than any other person can be
Max Monroe, Scoring the Billionaire|Most times, even if giving your heart away ends in heartbreak, the risk was still worth it. Sometimes, that risk gives you little miracles. and sometimes, that risk gives you life lessons that allow you to grow and learn more about yourself.
Katy Evans, Womanizer|I learned you can't always count on your life plans to go your way. Sometimes some higher power somewhere has a bigger picture. Puts you where you didn't expect to be. To learn what you need to learn. Life sometimes doesn't run in the cycles it's expected to. We are all here for a blink. Life changes in a blink. We fall in love sometimes, in a blink.
TemitOpe Ibrahim|When you think no one sees you and you are so clouded in your messy state that you begin to think maybe just maybe even GOD is fed up. Know this: He sees the tears, collects them, pays you double for them, fortifies you with encouragement even through them and He will lift up your spirit.
Kemi Sogunle, Being Single: A State For The Fragile Heart: A Guide to Self-Love, Finding You and Purposeful Living|For every choice you make, there is a consequence to face. Choose wisely!
Kierra C.T. Banks|I don't know what love is, so I'll redefine it.
Jellis Vaes|Don't waste this life being sad, angry or depressed as you just don't have as much time as you think you do.
Anthony L. Williamms|Change your mind, change your future
Tony Williams|True happiness comes from within. When we stop looking for social proof and trust in ourselves, a certain magic happens. You are the most important person in your life, and, we are one.
Anthony L. Williams|If you want to change your future, you have to change your now, and to change your now you must change your mindset.
Lauren Graham, Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between|What with your phone and the Xbox and the taxi TV and that music player you wear on your arm and the headphones that look like donuts on your ears, doesn’t it make life so much smaller? If absolutely everything important is only happening on such a small screen, isn’t that a shame? Especially when the world is so overwhelmingly large and surprising? Are you missing too much? You can’t imagine it now, but you’ll look like me one day, even though you’ll feel just the same as you do now. You’ll catch a glimpse of yourself in the mirror and think how quickly it’s all gone, and I wonder if all the time you used watching those families whose lives are filmed for the television, and making those cartoons of yourselves with panting dog tongues, and chasing after that terrible Pokémon fellow…well, will it feel like time well spent?
Joyce Rachelle|Don't be afraid to make mistakes. But if you do, make new ones. Life is too short to make the wrong choice twice.
James Hauenstein|Have no regrets in life because of the choices you make. Good or bad, they are a learning experience, to help you grow. The only regret in life, is to never make a choice at all.
Dan Johnston|My gift, if I would describe, is a double-edged sword. The good thing? I see through people and pierce their souls all the time. I can’t count how many times I listen to lies when I know the truth and intentions. I detect inauthenticity easy no matter how perfect a façade is. Genuine people love me because I protect them, fake people hate me because I crush them. The bad thing? Because it is my belief that everyone can grow into something beautiful, when I was young my sincerity and willingness to understand were taken the cost of neglecting people that genuinely love me and that breaks my heart more than anything. Now that I am older best I can do is to let go and leave people to where they are. At least I can tell myself that I tried.
TemitOpe Ibrahim|When you start with thanksgiving, you will always end with praise. Be thankful, it grows.
Anas Khan|Never ever try to look for the meaning of life. If you do, everything will become tasteless. Just stay where you are and be happy.Trust me, It's better to be in the illusion rather than in reality. So why spoil all the fun
Heidi Cullinan, A Private Gentleman|We all have pain, Wes. It isn't life without it. What matters in life isn't that we escape pain. What matters is that we overcome it.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|Know yourself as you are – particles of start-dust moving through the eternal ocean of time, trying to make whatever little difference you can.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|Any human action that goes against what is ordinary, is deemed as an anomaly.
Lois P. Frankel, Nice Girls Don't Get Rich : 75 Avoidable Mistakes Women Make with Money|As I mentioned earlier, women get mixed messages in childhood: You can do anything you want... but it wouldn't hurt to find someone who will take good care of you.
Abhijit Naskar|Ten minutes of meditation a day, keeps the psychiatrist away.
Kristen Day, Awaken|Every day I wake up is a day I’ve fought for. Every mistake, every laugh, every tear, and every sunrise; I’ve earned through the years of abuse and pain. I carry those memories with me as a reminder of who I am and what’s truly worth fighting for. And if you aren’t able to see that, I’m afraid your soul searching talents are highly suspect.
Abhijit Naskar, What is Mind?|Sex becomes less and less pleasurable in a relationship over time. Your brain gets habituated to the sensual stimulation from your specific partner as you are exposed to it repeatedly. It doesn’t mean that the love is gone from the relationship. Love still exists beyond the barriers of time, in the form of attachment, which becomes independent of sexual intimacy after the euphoric stage of mad love.
Jacqueline Simon Gunn|Sometimes the only way to hold on, is to let go.
Candice Millard, The River of Doubt: Theodore Roosevelt's Darkest Journey|Theodore you have the mind but you have not the body, and without the help of the body the mind cannot go as far as it should. I am giving you the tools, but it is up to you to make your body.
Thomas Hardy, Far From The Madding Crowd, Volume 1 of 3|Gabriel Oak: "It's time for you to fight your own battles... and win them too.
Abhijit Naskar, What is Mind?|Most religious individuals do not conceive God in an anthropomorphic or angry way. Rather, in their personal psychological domain of religious or spiritual beliefs, they conceive God in more abstract, spiritual and merciful way.
Mehmet Murat ildan|Life is offering you infinite paths! To get stuck in one path is nothing but shallowness! Go deep, discover other lanes!
Shashi, Songs of the Mist|What is the point of finding the reason as long as you know that you are on the right path? And I have realized lately that the right path is the one where you feel happy within yourself, at ease within yourself. - The Monk (Pg-95)
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|A man woke up at midnight and wanted to smoke. Therefore he looked for some fire, for which he went to a neighbor’s house and knocked at the door. The neighbor opened the door and asked him what he wanted. The man said, I wish to smoke. Can you give me a little fire? The neighbor replied, O.M.G.! What the heck is wrong with you? You have taken so much trouble to come and wake us up at the middle of the night, while in your own hand you have a lantern! The God that human beings so keenly seek, lives within the human biology, yet they wander hitherto searching for it.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|The scriptures are just books. It all depends on you, whether you are going to learn goodness and compassion from them, or use them to destroy your environment.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|We the humans are too tiny to know something so grand as an Eternal Driving Force behind the Universe. Ultimately what would really matter in the development of our species as a whole is, we the humans serving humanity.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|When you move to a new environment with cultural and social characteristics different from your own, it is only logical, that you loosen some of the knots of your religious doctrines, to embrace the new and vivid environment as much as you wish to be embraced by the environment.
Jacqueline Simon Gunn, What He Didn't See|Nothing looked the same, and everything looked the same.
Jacqueline Simon Gunn, What He Didn't See|Jacob being sensitive is an endowment. Think about all you'd miss out on if you didn't feel things so deeply, or see things so clearly." "But feeling good things deeply means you feel bad things deeply, too." "Would you rather walk around oblivious to the meaning of things hidden under the surface and the opportunities to feel wonder and joy? Would you want to miss out on moments that take your breath away?
raja shakeel mushtaque|Most people in life follow!We follow the things, the people or the strict rules to achieve something in our lives. And there is a blessing when life hinders one to follow these things and slows the speed of following others and sometimes giving us no way to do so. Then you realize what lies in your inner self, the hidden treasure. The moment you become master of your hidden treasure, the world follows you and not you.
vm|to spoil in the borrowed time of denial is a liar to its self. and yourself, to banish the seeds of time is fruitful to be honest to one’s self.
Abhijit Naskar|The concern of your brain is not to see the actual nature of reality, but to represent the reality to you in such a way that suits your needs.
Aaron Lauritsen, 100 Days Drive: The Great North American Road Trip|I don't believe in luck, but rather destiny. And destiny comes when you chase opportunity, only then will you make your own path in life.
Abhijit Naskar|All the repressed emotions and subconscious desires in time lead to some kind of psychological or physiological breakdown, if kept unchecked.
Kevin J. Donaldson|Look for reasons to be happy, and soon you will find many!
Norhafsah Hamid, Back to Basics|We only have one chance in this life, so don't waste it on trivial people and matters.
Christian Coma (CC)|Words can mean nothing, or be daggers in someone's heart. Choose them wisely.
Abhijit Naskar|The Bible is not religion, nor are the Vedas. The Torah is not religion, nor is the Quran, or any other scripture on earth.
Abhijit Naskar|Once you reach the brink of your will power, you have two options - either give up, or keep going. That decision decides whether you'll reach your goal.
Abhijit Naskar|My experience of that liberation, what Buddha had called Nirvana, set me off in the path of scientific investigation of that Oneness, the thing people call, meeting with God. And that meeting triggered an unquenchable thirst in me to develop a proper scientific method to understand and further explore that apparently bizarre domain of Universal Consciousness.
Abhijit Naskar|Science works through replication, rectification and modification. But when it comes to religion, people simply tend to accept the theoretical preachers and their claims of historical God experiences without a single question. If there has been one experience in this world in any branch of knowledge, it absolutely follows that that experience will be repeated eternally. If they are not repeated through natural processes, the thinking humanity would have no way but to disprove that such an experience ever occurred in the history.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|There has been more bloodshed in the name of God than for any other cause. And it is all because people never attempt to reach the fountain-head. They are content only to comply with the customs of their forefathers, and want others to do the same.
Dembe Michael|Detach yourself from people that only exists when they need something from you. From people who only calls you a “friend” when they have favors and leave you behind afterwards. Remove toxic people in your life, they will become a hindrance to you.
Abhijit Naskar|True religion must raise to work at the bar and the bench, on the couch and on the streets, in the cottage of the poor man and in the penthouse of the entrepreneur, with the fisherman that is catching fish and with the students that are studying.
Abhijit Naskar|Time spent in assessing one's self, is the time spent best.
Abhijit Naskar|The Self, when finite, is Human and when infinite, is God.
Abhijit Naskar|Nature of Human is neither good nor bad, it is simply a fusion of primitive instinctual urges and modern humane conscience.
Abhijit Naskar|There are pearls in the deepest fathoms of the Self, but to get them you will have to go through unimaginable perils.
Abby Fabiaschi, I Liked My Life|You don't always get to know what happened, or why things happened a certain way, but it always, always, goes deeper than any one thing.
Saahil Prem|You are either the person you were or the person you are, eventually you have to let go of one
Lauren Bacall, By Myself|But the amazing thing about life, I've finally discovered, is that you really don't learn from past mistakes. You do logically, reasonably, but emotionally not for a second.
Abhijit Naskar|Dare to contradict the scientist, not because of your scripture, but because of your own rational thinking.
Santosh Kalwar|Life does not change if you only modify the content, your life will change if you will dare to alter the context.
Abhijit Naskar|Everything that humans have achieved until now, were once merely an imagination in someone’s head.
Abhijit Naskar|You’ll feel afraid at times. You’ll feel weak at times. But remember, fear and weakness are not your enemies. They are forms of evolutionary wisdom in the face of danger. Take some time to assess the situation and shake the weakness and fear off your limbic system.
Abhijit Naskar|At times, look back towards your ancient days, drink deep from the eternal fountain of wisdom long gone, and then look ahead.
kambiz shabankareh|I cannot change the people around me, but I can change what kind of people are around me.
Abhijit Naskar|Live every single moment of your life, for the one thing that is most precious to you.
Sandesh Hukpachongbang|Its not about what we take with us when we die,Its about what we leave behind.
Abhijit Naskar|Religion is an experience, not a bunch of doctrines.
Abhijit Naskar|There is no force in the universe that can harm you, unless you allow it to.
Abhijit Naskar, What is Mind?|Humans are born with a hodge-podge of various brain circuits, that possess the seeds of peace, fear, love, hate, rage, pain, love, stress and faith. All these elements compose the emotional domain of our mental life. All these characters are ingrained in our limbic system, that keep our head straight in the path of survival. We humans can survive, only if, all these elements of our brain circuits function properly. Failure of any one element would mean extinction of the whole species.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|From the tiniest experience of your daily life to your grand perception of the universe, in various situations, the human brain tends to create its own myth and stories.
Colin Jost|We have to remember that progress isn’t just a straight line upwards, O.K.?It’s a weird roller coaster where sometimes you’re screaming for joy, and other times you’re barfing in your own face.
Anne Lamott, Bird by Bird: Some Instructions on Writing and Life|When people shine a little light on their monster, we find out how similar most of our monsters are.
Morgan Rhodes, Frozen Tides|...in life, a man only comes to a few crossroads that can shape his future for good or bad. Sometimes one recognized these crossroads, and could stop and think about the right decision. But other times, the choice could only be seen with the clarity that came afterward.
Brittany Burgunder, Safety in Numbers: From 56 to 221 Pounds, My Battle with Eating Disorders|Life works in mysterious ways, and I believe one of the biggest challenges and successes is to let go and let it be.
Abhijit Naskar|A Christian must worship the Self as Christ, not Christ as Christ. A Muslim must worship the Self as Mohammed, not Mohammed as Mohammed. A Hindu must worship the Self as Krishna, not Krishna as Krishna.
Autumn Morning Star|Water is sacred to all Human Beings. If you do not have water, you cannot have life. I always remember to honor and pour the water because it is traditional.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|I will take all the action there is, and even if I fail and fail and fail and fail and fail, I know like I know, that the door to this opportunity will one day get weakened by the forces of my attempts, and break wide open for me to get in.
Steven Cuoco|Enjoy being with yourself, you will then not feel alone.
Russell Evans|Assaulted as we are with so many advertisements, messages, appeals, theories, and obligations, we are in danger of losing our way, if not our sanity.We must choose just those few things that we really value. If we filter out the rest and focus on these, we can regain our perspective, and our happiness.
Ivan Turgenev|It’s strange how things happen in life: you live with someone for a long time, you are on the best of terms, yet you never once speak to them frankly and from the heart; with someone else, you’ve hardly even got acquainted - and there you are: as if at confession, one or other of you is blurting out all his most intimate secrets.
Uday Mukerji, Love, Life, and Logic|Silence doesn’t mean no activity; it means highly synchronized actions, much like the work of a well-tuned motor. More noise and vibration never assure better engine performance; indeed, quite the opposite.
Uday Mukerji, Love, Life, and Logic|Ask anyone; possibly ninety-five percent of our wishes have come true. The unfortunate part is, we all overlook that, and regret all our lives and torment ourselves for not getting the other five percent.
Abhijit Naskar, Love, God & Neurons: Memoir of a Scientist Who Found Himself by Getting Lost|Every man is subconsciously promiscuous, but it is the conscious mind that keeps those primordial urges in check. A healthy brain creates a healthy mind, which keeps your relationship strong, safe and healthy.
Uday Mukerji, Love, Life, and Logic|Nothing is forever, be it a good time or a bad time; nothing stays the same. Leaves change, seasons change, and so do people. And when people change, our relationships change with that.
Abhijit Naskar, Biopsy of Religions: Neuroanalysis Towards Universal Tolerance|Neglect of women is the major cause for the society’s downfall. The man and the woman are the two wheels of the society. If either one becomes defective, the society cannot make progress. There will be hope for the well-being of the entire world only if the humans, men and women alike, stop deeming the women as some kind of inferior creatures. We, the responsible citizens of the world can build a better future for the entire species, only by improving the condition of the women.
Anonymous|If you are still searching for that one person who will change your life, take a look in the mirror.
Harry Haskell, Maiden Flight: A Novel|...if I have learned any one thing over the years, it's that life contains too many variables for us to be absolutely certain about anything. In the last analysis, there is no accounting for the human factor. It is always easier to deal with things than with men, and no one can direct his life entirely as he would choose.
Roshan Sharma|All the problems and challenges make life interesting. It makes the living worthwhile. If everything follows a straight order, we lose our interest out of life.
Adrián Lamo|People represented in book or film travel vast oceans of life unrecorded; studeo time costs money, and pens grow heavy.
Amy Tan, Saving Fish from Drowning|I had thus learned to push down my feelings, to force myself to not care, to do nothing and let things happen, come what may.
Akansh Malik, Love Heals Everything|Once we start writing with a pen, we are not allowed to erase our mistakes, we are forced to deal with it.
Dr. Ateendra Jha|life is a challenge, which never accept back challenge. Accept is as it is as when it will start ignoring you that will be horrible.
Louis ck|Life isn't something you possess, it's something you take part in.
kambiz shabankareh|Anyone who has read enough, explored enough and experienced enough, somewhere in his/ her life will realize that the life is repeating itself again and again and again. He/she will soon understand there is nothing new to discover, all quests of human life have been experience and discovered in the past and all we do to play the game over and over to gain a different result, like an idiot who watches movie several time and hope to see a different ending. In such age, people no to remain enthusiastic, they need to still be excited about the story, which they have heard more than millions of times. Hence, intellectuals and creators create new toys for them. The toys that practically has the same purpose and affect the same result, but ordinary human does not need to know that. They need to be interested to play, because if we stop, the world will stop, and then the age of nothingness will end. And we cannot let that happen can we?
