|When there is no presence of self-love, the hunger for attention tends to take over one's mind
Frank Wanderer|By assembling the mosaic image of our own mosaic of “truth” (our own version of the “truth”) from our accumulated knowledge and through comparisons with those of others, we shall not be free and do not get closer to Truth. We have only created a beautiful (or not so beautiful) spiritual mask, and behind it the Ego grins at us and the world created by itself.
Frank Wanderer|It is to be recognized that the negative emotions and the guilt that comes with it is not a part of the Consciousness, it only belongs to the mind!
Woo Myung, Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever|Man's mind is made up of illusionary pictures. Consequently, when he throws away these pictures Truth will enter into his mind, and he will know Truth to the extent of what he has discarded. This is enlightenment.
Arzum Uzun, Nerdesin Aşkım?|I spit out to my heart and my mind. when you collect them together, they can not show the resistance of a average dick.
Arzum Uzun, Nerdesin Aşkım?|I spit out to my heart and my mind. when you collect them together, they can not show the resistance of an average dick.
Muhammad Imran Hasan|CHILDREN Are Like ANGELS And On Earth, ANGELS Have No Color.... It's The Society To Blame That Teaches Racism, Turning An ANGLE To A Civilized Beast While They Are Growing Up....
Miranda Neville, The Second Seduction of a Lady|On the whole she found erring children easier to deal with than their frantic parents, confirming her conclusion that marriage did strange things to the adult mind.
Woo Myung, The Living Eternal World|The true Mind is one that exists before and beyond one's delusional, self-centered, attachment-filled mind.
Amit Kalantri|The mind is more sensible than heart, if you are sure listen to your heart, if you are confuse listen to your mind.
Gillian Flynn, Gone Girl|I think of that, too: her mind. Her brain, all those coils, and her thoughts shuttling through those coils like fast, frantic centipedes. Like a child, I picture opening her skull, unspooling her brain and sifting through it, trying to catch and pin down her thoughts. What are you thinking, Amy?The question I've asked most often during our marriage, if not out loud, if not to the person who could answer. I suppose these questions stormcloud over every marriage:What are you thinking? How are you feeling? Who are you? What have we done to each other? What will we do?
Daniel J. Rice, This Side of a Wilderness|Sometimes I feel like I’m losing my mind,” she said with a hintof sadness.“You lost your mind a long time ago,” he said seriously. She looked at him with indignation. “That’s a compliment for anyone who knows the freedom and clarity of losing their mind,” he reaffirmed her.
Luther Burbank|The integrity of one's own mind is of infinitely more value than adherence to any creed or system. We must choose between a dead faith belonging to the past and a living, growing ever-advancing science belonging to the future.
Muhammad Imran Hasan|To Be Happy, You Only Need To Understand Your Mind....
Thomas Henry Huxley, The Evolution Of Theology: An Anthropological Study|With theology as a code of dogmas which are to be believed, or at any rate repeated, under penalty of present or future punishment, or as a storehouse of anaesthetics for those who find the pains of life too hard to bear, I have nothing to do; and, so far as it may be possible, I shall avoid the expression of any opinion as to the objective truth or falsehood of the systems of theological speculation of which I may find occasion to speak. From my present point of view, theology is regarded as a natural product of the operations of the human mind, under the conditions of its existence, just as any other branch of science, or the arts of architecture, or music, or painting are such products. Like them, theology has a history. Like them also, it is to be met with in certain simple and rudimentary forms; and these can be connected by a multitude of gradations, which exist or have existed, among people of various ages and races, with the most highly developed theologies of past and present times.
Michael Bassey Johnson|If you can be heartless as the first man who visited the space, then there will be nothing impossibe for you to achieve.
Muhammad Imran Hasan|Eyes And Heart Are Too Compatible To Each Other. Through Our Eyes, We Capture Moments And Through Our Heart We Relive Those Moments....
Rajeev Kurapati, Unbound Intelligence: A Personal Guide to Self-Discovery|The mind confines our outlooks to a mere bundles of desires, pleasures, prejudices, and fears to safeguard the body it inhabits.
Rajeev Kurapati, Unbound Intelligence: A Personal Guide to Self-Discovery|By way of watching your mind, you will see life beyond a mere set of habits, emotions and beliefs.
Muhammad Imran Hasan|In Life, What Would Be Best For You, You Know It Best....
Rajeev Kurapati, Unbound Intelligence: A Personal Guide to Self-Discovery|Realizing your true self apart from the mind-created ego self is profoundly liberating, and when you do, suddenly the universe appears immensely blissful.
Cecilia Llompart, The Wingless|If the sun rolled back like an eye,it would see the mind of God.
Olaotan Fawehinmi|When that little clock on my wall says “Olaotan! Olaotan!! Olaotan!!! It’s half past time to write”, I only have three things at my disposal: A pen, A piece of paper, and a crowded mind.
Amit Kalantri|Don't behave like your heart and mind are strangers to you; they are yours, don't depend on others to understand them, you got to understand them.
Sengcan|The Perfect Way is only difficult for those who pick and choose;Do not like, do not dislike; all will then be clear.Make a hairbreadth difference, and Heaven and Earth are set 
Rachel Hartman, Seraphina|This is my mind's garden, I tend it; I order it. I have nothing to fear.
Nikola Tesla|Edison was by far the most successful and, probably, the last exponent of the purely empirical method of investigation. Everything he achieved was the result of persistent trials and experiments often performed at random but always attesting extraordinary vigor and resource. Starting from a few known elements, he would make their combinations and permutations, tabulate them and run through the whole list, completing test after test with incredible rapidity until he obtained a clue. His mind was dominated by one idea, to leave no stone unturned, to exhaust every possibility.
Chang-rae Lee, On Such a Full Sea|Don’t sanctuaries become prisons, and vice versa, foremost in the mind?
-Imam Ali Ibn Abi Talib AS|A fool's mind is at the mercy of his tongue, and a wise man's tongue is under the control of his mind.
Plutarch|A mind is not a vessel to be filled, but a fire to be lighted.
Israelmore Ayivor, The Great Hand Book of Quotes|Don't rush to design your face to look beautiful, attractive and charming. Rather, be quicker to decorate your mind to appear as goal-oriented, passion-embedded and action-driven.
Israelmore Ayivor, The Great Hand Book of Quotes|Don't live by your thoughts only; live by your words also. Whatever plans you think about, affirm it in your mouth first, declare it and you will succeed in working it out! Words can be powerful!
Michael Bassey Johnson|There's no secret on how to attain a greater height, just keep climbing the ladder, don't look at the dreadful distance, lock up that negative thoughts today, and fulfil your dreams.
Vikram Seth, A Suitable Boy|Wherever his faltering mind,unsteadily wanders,he should restrain itand bring it under self-controlKrishna, the mind is faltering,violent, strong, and stubborn; I find it as difficultto hold as the wind.
Israelmore Ayivor, The Great Hand Book of Quotes|God calls big trees out of small seeds, so He prepares great monuments out of small minds. He will definitely call those wonderful things he put in you out of you. When He begins, do not resist!
Israelmore Ayivor, The Great Hand Book of Quotes|If you leave your life to chance, you can't make a change. Chance may favour a prepared mind, but it doesn't create change! Will does so.
Saurabh Sharma|They say love is all about raging hormones. For me, it's mind's way of breaking through its self-imposed limitations in order to set the eternally ecstatic soul free.
Ziad K. Abdelnour|If you want to know where your heart is, look where your mind goes when it wanders.
Israelmore Ayivor, The Great Hand Book of Quotes|Save your mind from a premature death by always learning something new no matter your age! Think every day, but make sure it's not within the perimeter of the box! Think outside the box!
Peggy Toney Horton, Somewhere in Heaven My Mother is Smiling|Writing unlocks the heart, mind and soul that we may be receptive to God's blessings.
Mehmet Murat ildan|When mind is so easy, body becomes so tranquil and so fearless.
Israelmore Ayivor, The Great Hand Book of Quotes|Your mind controls your actions and that means when your mind gives you designed thoughts, your actions too are going to be designed actions!
Israelmore Ayivor, The Great Hand Book of Quotes|The beauty of your mind depends on the "make-ups" you use to feed it. A "can-do-spirit" is the best cosmetic. It never fades your mental beauty!
Mehmet Murat ildan|Open the curtains of your mind! If there is light outside, it will come in; if there is light inside, it will go out! Keep the curtains open!
Amit Kalantri, Wealth of Words|Thinking before taking actions is useful only if you are going to take action, otherwise you are wasting time and insulting your mind.
Anthony Liccione|Be open in everything with your partner, because where there is secrecy, it can mistakenly come off as being sneaky; where you just may be innocently quiet.
U.G. Krishnamurti, The Mystique of Enlightenment: The Radical Ideas of U.G. Krishnamurti|What you know can never be the beyond. Whatever you experience is not the beyond. If there is any beyond, this movement of 'you' is absent. The absence of this movement probably is the beyond, but the beyond can never be experienced by you; it is when the 'you' is not there. Why are you trying to experience a thing that cannot be experienced?
Amit Kalantri|You can not have empty or neutral mind, as long as you work the mind will contain dreams, if you stop working it will contain regrets.
Michael Bassey Johnson|The best thing you can ever have is peace of mind, it is a basking fire to keep a cold heart in warmth, and a fortified confidence to be proud of.
Elizabeth George, Loving God with All Your Mind|We cannot begin to define God's knowledge. We know, simply and profoundly, that nothing is hidden from Him or incomprehensible to Him.
Amit Kalantri|My left foot is the wisdom from yesterday, my right foot is the vision of tomorrow and my mind is focused on the work of today and this is how I stand a winner.
Wilkie Collins, The Woman in White|At any time, and under any circumstances of human interest, is it not strange to see how little real hold the objects of the natural world amid which we live can gain on our hearts and minds? We go to Nature for comfort in trouble, and sympathy in joy, only in books. Admiration of those beauties of the inanimate world, which modern poetry so largely and so eloquently describes, is not, even in the best of us, one of the original instincts of our nature.
Plato, The Republic|So when a man surrenders to the sound of music and lets its sweet, soft, mournful strains, which we have just described, be funnelled into his soul through his ears, and gives up all his time to the glamorous moanings of song, the effect at first on his energy and initiative of mind, if he has any, is to soften it as iron is softened in a furnace, and made workable instead of hard and unworkable: but if he persists and does not break the enchantment, the next stage is that it melts and runs, till the spirit has quite run out of him and his mental sinews (if I may so put it) are cut, and he has become what Homer calls "a feeble fighter".
Donna Lynn Hope|I can't help it. You bring it out in me," he accused. "No," I said. "You're choosing to let me get to you. Don't. It's all in the mind.
Ray Kurzweil, How to Create a Mind: The Secret of Human Thought Revealed|The pattern recognition theory of mind that I articulate in this book is based on a different fundamental unit: not the neuron itself, but rather an assembly of neurons, which I estimate to number around a hundred. The wiring and synaptic strengths within each unit are relatively stable and determined genetically—that is the organization within each pattern recognition module is determined by genetic design. Learning takes place in the creation of connections between these units, not within them, and probably in the synaptic strengths of the interunit connections.
Robert Charles Wilson, Vortex|Sandra had studied psychiatry in order to understand the nature of despair, but all she had really learned was the pharmacology of it. The human mind was easier to medicate than to comprehend.
Ernst Cassirer|The form of observation , which underlines all speech and language development, always expresses a peculiar spiritual character , a special way of conceiving and apprehending. The difference between the several languages, therefore, is not a matter of different sounds and marks, but of different world conceptions.
John Cage, M: Writings '67-'72|Frost interviewing Noel Coward and Margaret Mead. Sir Noel's view of life is Sir Noel. Mead's mind is large and open, like Buckminster Fuller's. She found thoughts dull that suggest that men are superior to animals or plants.
Dan Brown, Angels & Demons|Scientific advancement carries risk,” Kohler argued. “It always has. Space programs, genetic research, medicine—they all make mistakes. Science needs to survive its own blunders, at any cost. For everyone’s sake.”Vittoria was amazed at Kohler’s ability to weigh moral issues with scientific detachment. His intellect seemed to be the product of an icy divorce from his inner spirit. “You think CERN is so critical to the earth’s future that we should be immune from moral responsibility?
Adrienne Rich|And yet, protest it if we will,Some corner of the mind retainsThe medieval man, who stillKeeps watch upon those starry skeinsAnd drives us out of doors at nightTo gaze at anagrams of light.
Elizabeth George, Loving God with All Your Mind|God puts desires into your heart. His desires will actually become your desires, and your desires will be His.
Leigh Hershkovich, Shattered Illusions|If I close my eyes, plug my ears, and hold my tongue, all of this will cease to exist. I can pretend it never happened. No one will blame me if I choose to shove these memories into the back of my mind.
Jay Woodman|GRACE is a word we can keep in our minds when we walk, dance, swim, talk, sing, do anything at all - to enable us to get in 'the zone' where everything flows more easily - where everything feels lighter, and we are in a peak state. Grace allows us to follow our inner guidance - be true to who we are - and give our gifts lightly to the world. It's one of those magic words!
Thomas Vazhakunnathu, God Does Not Roll Dice|The Metaphoton is a web of energy fields or complexes - having three hierarchical complexes called the light complex, mind complex and spirit complex.
Dean Koontz, Innocence|Each book is a mind alive, a life revealed, a world awaiting exploration, but living people are all those things, as well—and more, because their stories haven’t yet been completely told.
Amit Kalantri|Foolish minds will entertain you, but confuse minds will irritate you.
Robert G. Ingersoll, Some Mistakes of Moses|Christians must show that misery fits the good for heaven, while happiness prepares the bad for hell; that the wicked get all their good things in this life, and the good all their evil; that in this world God punishes the people he loves, and in the next, the ones he hates; that happiness makes us bad here, but not in heaven; that pain makes us good here, but not in hell. No matter how absurd these things may appear to the carnal mind, they must be preached and they must be believed. If they were reasonable, there would be no virtue in believing. Even the publicans and sinners believe reasonable things. To believe without evidence, or in spite of it, is accounted as righteousness to the sincere and humble christian.In short, Christians are expected to denounce all pleasant paths and rustling trees, to curse the grass and flowers, and glorify the dust and weeds. They are expected to malign the wicked people in the green and happy fields, who sit and laugh beside the gurgling springs or climb the hills and wander as they will. They are expected to point out the dangers of freedom, the safety of implicit obedience, and to show the wickedness of philosophy, the goodness of faith, the immorality of science and the purity of ignorance.
Michael Bassey Johnson|When Albert Einstein told you to hide your source, he wasn't giving you a deliberate advice to conceal the root in which you're growing, but was to conceal the root from the eyes of people that will dare to uproot it.
Honoré de Balzac, The Wild Ass's Skin|Have you ever plunged into the immensity of space and time by reading the geological treatises of Cuvier? Borne away on the wings of his genius, have you hovered over the illimitable abyss of the past as if a magician's hand were holding you aloft? As one penetrates from seam to seam, from stratum to stratum and discovers, under the quarries of Montmartre or in the schists of the Urals, those animals whose fossilized remains belong to antediluvian civilizations, the mind is startled to catch a vista of the milliards of years and the millions of peoples which the feeble memory of man and an indestructible divine tradition have forgotten and whose ashes heaped on the surface of our globe, form the two feet of earth which furnish us with bread and flowers. Is not Cuvier the greatest poet of our century? Certainly Lord Byron has expressed in words some aspects of spiritual turmoil; but our immortal natural historian has reconstructed worlds from bleached bones.
Gene Tierney|I existed in a world that never is , a prison of the mind.
Frank Herbert, Dune|Three quick breaths triggered the responses: he fell into the floating awareness... focusing the consciousness... aortal dilation... avoiding the unfocused mechanism of consciousness... to be conscious by choice... blood enriched and swift-flooding the overload regions... one does not obtain food-safety freedom by instinct alone... animal consciousness does not extend beyond the given moment nor into the idea that its victims may become extinct... the animal destroys and does not produce... animal pleasures remain close to sensation levels and avoid the perceptual... the human requires a background grid through which to see his universe... focused consciousness by choice, this forms your grid... bodily integrity follows nerve-blood flow according to the deepest awareness of cell needs... all things/cells/beings are impermanent... strive for flow-permanence within...
Paul Henri Thiry d'Holbach|How could the human mind progress, while tormented with frightful phantoms, and guided by men, interested in perpetuating its ignorance and fears? Man has been forced to vegetate in his primitive stupidity: he has been taught stories about invisible powers upon whom his happiness was supposed to depend. Occupied solely by his fears, and by unintelligible reveries, he has always been at the mercy of priests, who have reserved to themselves the right of thinking for him, and of directing his actions.
Michael Bassey Johnson|I may be deprived of eloquence, but my mind can never be a dumb.
John Tyndall, Fragments of Science: A Series of Detached Essays, Addresses, and Reviews. Volume 2|The logical feebleness of science is not sufficiently borne in mind. It keeps down the weed of superstition, not by logic but by slowly rendering the mental soil unfit for its cultivation.
Michael Bassey Johnson|When you favour a woman, she will want to return the favour in so many means, but its better to rupidiate such offerings.
Robert G. Ingersoll, Some Mistakes of Moses|If the Pentateuch be true, religious persecution is a duty. The dungeons of the Inquisition were temples, and the clank of every chain upon the limbs of heresy was music in the ear of God. If the Pentateuch was inspired, every heretic should be destroyed; and every man who advocates a fact inconsistent with the sacred book, should be consumed by sword and flame.In the Old Testament no one is told to reason with a heretic, and not one word is said about relying upon argument, upon education, nor upon intellectual development—nothing except simple brute force. Is there to-day a christian who will say that four thousand years ago, it was the duty of a husband to kill his wife if she differed with him upon the subject of religion? Is there one who will now say that, under such circumstances, the wife ought to have been killed? Why should God be so jealous of the wooden idols of the heathen? Could he not compete with Baal? Was he envious of the success of the Egyptian magicians? Was it not possible for him to make such a convincing display of his power as to silence forever the voice of unbelief? Did this God have to resort to force to make converts? Was he so ignorant of the structure of the human mind as to believe all honest doubt a crime? If he wished to do away with the idolatry of the Canaanites, why did he not appear to them? Why did he not give them the tables of the law? Why did he only make known his will to a few wandering savages in the desert of Sinai? Will some theologian have the kindness to answer these questions? Will some minister, who now believes in religious liberty, and eloquently denounces the intolerance of Catholicism, explain these things; will he tell us why he worships an intolerant God? Is a god who will burn a soul forever in another world, better than a christian who burns the body for a few hours in this? Is there no intellectual liberty in heaven? Do the angels all discuss questions on the same side? Are all the investigators in perdition? Will the penitent thief, winged and crowned, laugh at the honest folks in hell? Will the agony of the damned increase or decrease the happiness of God? Will there be, in the universe, an eternal auto da fe?
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Being healthy is a way of life. It’s not just about what you feed your body; it’s about what you feed your mind and the social environment you keep. Make healthy food choices, exercise your body and brain, and choose your friends wisely.
Thomas Jefferson, Letters of Thomas Jefferson|Even in Europe a change has sensibly taken place in the mind of man. Science has liberated the ideas of those who read and reflect, and the American example has kindled feelings of right in the people.
Percy Williams Bridgman|By far the most important consequence of the conceptual revolution brought about in physics by relativity and quantum theory lies not in such details as that meter sticks shorten when they move or that simultaneous position and momentum have no meaning, but in the insight that we had not been using our minds properly and that it is important to find out how to do so.
Ben Mitchell|My greatest strength is an unfocused mind. This is because while you are all thinking of one idea, I’m thinking of five different ideas. My greatest weakness however is an unfocused mind. This is because while I’m supposed to be thinking about one thing, I’m actually thinking of five other things.
Leigh Hershkovich, Shattered Illusions|Have you ever wanted something so desperately that you imagine it, day in and day out, until you have created an image of perfection that becomes the 'real thing'? Suddenly, all you have to live for is the image in your head that may not be real to anyone else in the world, but is most certainly real to you. Nothing is as perfect, not even the thing itself, as the image you have created in your mind.
Beverly Engel, The Emotionally Abusive Relationship: How to Stop Being Abused and How to Stop Abusing|With emotional abuse, the insults, insinuations, criticism, and accusations slowly eat away at the victim’s self-esteem until he or she is incapable of judging a situation realistically. He or she may begin to believe that there is something wrong with them or even fear they are losing their mind. They have become so beaten down emotionally that they blame themselves for the abuse.
Charles Bukowski, Come On In!: New Poems|unaccountably we are aloneforever aloneand it was meant to bethat way,it was never meantto be any other way–and when the death strugglebeginsthe last thing I wish to seeisa ring of human faceshovering over me–better just my old friends,the walls of my self,let only them be there.I have been alone but seldomlonely.I have satisfied my thirstat the wellof my selfand that wine was good,the best I ever had,and tonightsittingstaring into the darkI now finally understandthe dark and thelight and everythingin between.peace of mind and heartarriveswhen we accept whatis:having beenborn into thisstrange lifewe must acceptthe wasted gamble of ourdaysand take some satisfaction inthe pleasure ofleaving it allbehind.cry not for me.grieve not for me.readwhat I’ve writtenthenforget itall.drink from the wellof your selfand beginagain.Mind and Heart
Oliver Bowden, Assassin's Creed: The Secret Crusade|It is not our right to punish one for thinking as he does, no matter how much we disagree.
Vironika Tugaleva, The Love Mindset: An Unconventional Guide to Healing and Happiness|The mind, just like the body, becomes exactly what it is fed. While the body is nourished by food, the mind is nourished by thoughts.
Oliver Bowden, Assassin's Creed: The Secret Crusade|These bits of paper are covered with lies. They poison your minds. And so long as they exist, you cannot hope to see the world as it truly is.(...)You turn to them for answers and salvation. (...) You rely more upon them than upon yourselves. This makes you weak and stupid. You trust in words. Drops of ink. Do you ever stop to think of who put them there? Or why? No. You simply accept their words without question. And what if those words speak falsely, as they often do? This is dangerous.
John Updike, Self-Consciousness|The mind cannot fall asleep as long as it watches itself. Only when the mind moves unwatched and becomes absorbed in images that tug it as it were to one side does self-consciousness dissolve and sleep with its healing, brilliantly detailed fictions pour in upon the jittery spirit. Falling asleep is a study in trust. Likewise, religion tries to put as ease with the world. Being human cannot be borne alone. We need other presences. We need soft night noises-a mother speaking downstairs. We need the little clicks and sighs of a sustaining otherness. We need the gods.
Emil M. Cioran, The Temptation to Exist|We breathe too fast to be able to grasp things in themselves or to expose their fragility. Our panting postulates and distorts them, creates and disfigures them, and binds us to them. I bestir myself, therefore I emit a world as suspect as my speculation which justifies it; I espouse movement, which changes me into a generator of being, into an artisan of fictions, while my cosmogonic verve makes me forget that, led on by the whirlwind of acts, I am nothing but an acolyte of time, an agent of decrepit universes. (...)If we would regain our freedom, we must shake off the burden of sensation, no longer react to the world by our senses, break our bonds. For all sensation is a bond, pleasure as much as pain, joy as much as misery. The only free mind is the one that, pure of all intimacy with beings or objects, plies its own vacuity.
Hermann Hesse, The Glass Bead Game|He read the veinings of a leaf, the pattern on a mushroom cap, and divined mysteries, relations, futures, possibilities: the magic of symbols, the foreshadowing of numbers and writing, the reduction of infinitudes and multiplicities to simplicity, to system, to concept. For all these ways of comprehending the world through the mind no doubt lay within him, nameless, unnamed, but not inconceivable, not beyond the bounds of presentiment, still in the germ, but essential to his nature, part of him, growing organically within him. And if we were to go still further back beyond this Rainmaker and his time which to us seems so early and primitive, if we were to go several thousand years further back into the past, wherever we found man we would still find - this is our firm belief - the mind of man, that mind which has no beginning and always has contained everything that it later produces.
Josh Stern, And That’s Why I’m Single|It's not hard to fail...it's hard to accept you failed...but once that's out of the way, it's pretty smooth sailing
Marty Rubin|Movement is the freedom of the body; stillness, of the mind.
Hermann Weyl|The Greeks made Space the subject-matter of a science of supreme simplicity and certainty. Out of it grew, in the mind of classical antiquity, the idea of pure science. Geometry became one of the most powerful expressions of that sovereignty of the intellect that inspired the thought of those times. At a later epoch, when the intellectual despotism of the Church, which had been maintained through the Middle Ages, had crumbled, and a wave of scepticism threatened to sweep away all that had seemed most fixed, those who believed in Truth clung to Geometry as to a rock, and it was the highest ideal of every scientist to carry on his science 'more geometrico.
Greg Egan, Permutation City|How does it feel to be seven thousand years old?""That depends.""On what?""On how I want to feel.
Maria Goeppert Mayer|Mathematics began to seem too much like puzzle solving. Physics is puzzle solving, too, but of puzzles created by nature, not by the mind of man.
Diana Rose Morcilla|Life. Life is a show. It's up to you how to make your own story, do your own show and how to live your show you are on. You choose who you need to meet, where you should have your scenes or which scenes you want to do. How awesome your mind can do right?
Josh Stern, And That’s Why I’m Single|Be nice to people on your way up, because you'll land on them on your way down
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|When the loneliest place on earth is in your mind, move out!
Michael Bassey Johnson|The sub-conscious mind is so powerful in such a way that even if you empty your mind of all its components, there will be a little thought; it is synonymous to a well informed person who can never be deformed.
Vironika Tugaleva, The Love Mindset: An Unconventional Guide to Healing and Happiness|In our thoughts, we hold the key to our feelings. In our minds, we hold the key to love.
M.F. Moonzajer|The mind is just a delusion not a reality. If the materials are perception of our mind, then why we cannot turn into handsome guys and beautiful ladies without putting a hundred grams of makeup powder?
Idries Shah, Thinkers of the East|They asked Abboud of Omdurman: 'Which is better, to be young or to be old?' He said: 'To be old is to have less time before you and more mistakes behind. I leave you to decide whether this is better than the reverse.
Thomas Vazhakunnathu, God Does Not Roll Dice|Our Universe is a multidimensional one; every individual life unit consciously functions in a particular vibratory level (dimension or density) but unconsciously/ subconsciously functions in and through all the other levels, and as the awareness increases it moves to the conscious existence of the next immediate level.
Anthony Liccione|Does giving your piece of mind, bring a peace of mind? Or is it better to be silent and let the war inside subside?
Lauren Roedy Vaughn, OCD, the Dude, and Me|You are living far too much in the realms of your head. That is an ugly, mean, scary place to be. I am not just saying your head is nasty, everyone's head is. You need to vacate that premise immediately and start living in your heart. Your heart is a much nicer social venue.
Robert G. Ingersoll, The Works of Robert G. Ingersoll, Vol 1: Lectures|The real difference is this: the Christian says that he has knowledge; the Agnostic admits that he has none; and yet the Christian accuses the Agnostic of arrogance, and asks him how he has the impudence to admit the limitations of his mind. To the Agnostic every fact is a torch, and by this light, and this light only, he walks.The Agnostic knows that the testimony of man is not sufficient to establish what is known as the miraculous. We would not believe to-day the testimony of millions to the effect that the dead had been raised. The church itself would be the first to attack such testimony. If we cannot believe those whom we know, why should we believe witnesses who have been dead thousands of years, and about whom we know nothing?The Agnostic takes the ground that human experience is the basis of morality. Consequently, it is of no importance who wrote the gospels, or who vouched or vouches for the genuineness of the miracles. In his scheme of life these things are utterly unimportant. He is satisfied that “the miraculous” is the impossible. He knows that the witnesses were wholly incapable of examining the questions involved, that credulity had possession of their minds, that 'the miraculous' was expected, that it was their daily food.
Nathaniel J. Wyeth|I'm convinced that the best solutions are often the ones that are counterintuitive - that challenge conventional thinking - and end in breakthroughs. It is always easier to do things the same old way...why change? To fight this, keep your dissatisfaction index high and break with tradition. Don't be too quick to accept the way things are being done. Question whether there's a better way. Very often you will find that once you make this break from the usual way - and incidentally, this is probably the hardest thing to do—and start on a new track your horizon of new thoughts immediately broadens. New ideas flow in like water. Always keep your interests broad - don't let your mind be stunted by a limited view.
Charles Babbage, Passages from the Life of a Philosopher|Whenever a man can get hold of numbers, they are invaluable: if correct, they assist in informing his own mind, but they are still more useful in deluding the minds of others. Numbers are the masters of the weak, but the slaves of the strong.
Titus Lucretius Carus|There is no murky pit of hell awaiting anyone ... Mind cannot arise alone without body, or apart from sinews and blood ... You must admit, therefore, that when then body has perished, there is an end also of the spirit diffused through it. It is surely crazy to couple a mortal object with an eternal...
Ludwig Wittgenstein|The work of art is the object seen sub specie aeternitatis; and the good life is the world seen sub specie aeternitatis. This is the connection between art and ethics.The usual way of looking at things sees objects as it were from the midst of them, the view sub specie aeternitatis from outside.In such a way that they have the whole world as background.
Idries Shah, Learning How to Learn: Psychology and Spirituality in the Sufi Way|It is no accident that Sufis find that they can connect most constructively with people who are well integrated into the world, as well as having higher aims, and that those who adopt a sensible attitude towards society and life as generally known can usually absorb Sufi teachings very well indeed
Arnold Bennett|There can be no knowledge without emotion. We may be aware of a truth, yet until we have felt its force, it is not ours. To the cognition of the brain must be added the experience of the soul.
Idries Shah, The Commanding Self|The main problem is that most commentators are accustomed to thinking of spiritual schools as 'systems', which are more or less alike, and which depend upon dogma and ritual: and especially upon repetition and the application of continual and standardised pressures upon their followers.The Sufi way, except in degenerate forms which are not to be classified as Sufic, is entirely different from this.
Hermann Hesse, The Glass Bead Game|And those of us who trust ourselves the least,Who doubt and question most, these, it may be,Will make their mark upon eternity,And youth will turn to them as to a feast.The time may come when a man who confessedHis self-doubts will be ranked among the blessedWho never suffered anguish or knew fear,Whose times were times of glory and good cheer,Who lived like children, simple happy lives.For in us too is part of that Eternal MindWhich through the aeons calls to brothers of its kind:Both you and I will pass, but it survives.
Orson Scott Card, The Worthing Saga|I cut the wood however I like, but it's the grain that decides the strength and shape of it. You can add and subtract memories from people, but it isn't just your memory that makes you who you are. There's something in the grain of the mind.
Idries Shah, A Perfumed Scorpion|There is a succession of experiences which together constitute the educational and developmental ripening of the learner, according to the Sufis. People who think that each gain is the goal itself will freeze at any such stage, and cannot learn through successive and superseding lessons.
Pearl S. Buck, The Eternal Wonder|This was his mind, a storehouse, a computer programmed to life, minute by minute, hour by hour, day and night.
Soul Dancer, Pay Me What I'm Worth|Mind chatter: a clatter of left-brain rains of doubt, worry, guilt, shame in a thunderstorm of fear. Forgive the chatter, clear your mind.
Idries Shah, The Dermis Probe|Show a man too many camels' bones, or show them to him too often, and he will not be able to recognize a camel when he comes across a live one. (Mirza Ahsan of Tabriz)
Shahrukh Husain, A Restless Wind|Moving the body resolves nothing- sadness, after all travels in the mind.
Rick Doblin, Manifesting Minds: A Review of Psychedelics in Science, Medicine, Sex, and Spirituality|If we recognize the power of entheogenic substances to open us to the universal truth and full dimension of human experience, and if we accept the role of the shaman as hierophant and psychopomp into this realm, as enacted for example by the Huichol mara'akame, we have to conclude that today in Western society we are deprived of two key resources for complete human growth. Young people, in their hunger for meaning, will still gravitate toward entheogens. The more experienced among us may try to ease their journey, but in the absence of qualified guides not all will benefit from their experience.
Charlie Dunbar Broad|It is true that our everyday view of the world is not quite naively realistic, but that is what it would like to be. Common-sense is naively realistic wherever it does not think that there is some positive reason why it should cease to be so. And this is so in the vast majority of its perceptions. When we see a tree we think that it is really green and really waving about in precisely the same way as it appears to be. We do not think of our object of perception being 'like' the real tree, we think that what we perceive is the tree, and that it is just the same at a given moment whether it be perceived or not, except that what we perceive may be only a part of the real tree.
Tycho Brahe|And when statesmen or others worry him [the scientist] too much, then he should leave with his possessions. With a firm and steadfast mind one should hold under all conditions, that everywhere the earth is below and the sky above and to the energetic man, every region is his fatherland.
Gian Kumar|When you are positive; mind thinks, when you are negative; mind thinks,For mind can never be in balance.It is the Self, witnessing in awareness, Centered, which observes these two.
Raheel Farooq|The duty imposed on intellect by Life is not to suppress, but purify emotions.
