Peter Ackroyd, The Canterbury Tales: A Retelling|Women, of their nature, crave for liberty; they will not be ordered around like servants.
Marlon James, A Brief History of Seven Killings|Miss Betsy is looking at me. Some jealousy sure, but every woman have that in them
Susanna Sonnenberg, She Matters: A Life in Friendships|There is nothing that anyone can get past a forty-five-year-old woman.” We laugh hard, the first honest sound I make that afternoon, or in many days, each of us feeling the ravages of experience, our debt to enduring. We are not to be fucked with. We rule. Even as we age and help our children push past us, as we worry about the estimate for the roof, forget things we meant to do, regard our widening bodies, we rule. We’ve returned again and again to our original selves for another look; we have refined our purpose. Changes we thought we’d been resisting have anyway been wrought, and they have made us unbreakable.
Shari Graydon, I Feel Great About My Hands: And Other Unexpected Joys of Aging|We need an army of white-haired, wild-eyed radicals cutting a swath against the sexism that crosses our paths. It is a good antidote to the larger community’s apparent belief that older women are slightly dotty, grandmotherly, benign souls.
Jennifer Donnelly, These Shallow Graves|Headstrong is just a word, Katie - a word others call you when you don't do what they want.
Habeeb Akande|Getting married is easy, having sex is easier, but findings someone who can stimulate your mind and make love to your soul, that is rare.
George R.R. Martin, A Knight of the Seven Kingdoms|All men are fools, and all men are knights where women are concerned.
Pam Brown|When sisters stand shoulder to shoulder, who stands a chance against us?
Keri Hulme|She has this curious heavy grace, like something out of its element making do in a heavier medium. Like she should be living in water.
Priscilla Shirer|Ministry is when the people who hear you, don't want more of you; they want more of Him because of what you've said. When you point them to God's fire instead of trying to get attention for yourself-that's ministry.
Miranda Kerr|A rose can never be a sunflower, and a sunflower can never be a rose. All flowers are beautiful in their own way, and that's like women too.
Kailin Gow|Try being an indie author, a minority author, a woman, and a person with health issues in the world of traditional - that's where you are clearly 'different' and marginalized. I am all of that, yet I am still here and smiling. Life is good!
P.G. Wodehouse|She ignored my observation. This generally happens with me. Show me a woman, I sometimes say, and I will show you someone who is going to ignore my observations.
Sanhita Baruah|the girl with a moustache" they called me every now and then"It's about time you wax your arms" those who "cared" saidI faced the fears of the dreaded thread on my faceTo succumb every other week to the world's ways
Matt K. Turner, GENESIS|Ever wanted more. After all, women weren’t equal to men. They were better. Certainly not in strength or their skill in killing things, but when it came to propagation women absolutely trounced men. Men could bring some chips to the party, but that shindig was always going down in the belly of a woman. And considering that the hardest part of gathering food now was finding a parking spot, strength and killing things were significantly less high on the list of key survival traits.
Biju Karakkonam Nature and Wild life Photographer|Morning is sweet and always like a beautiful women, evening always shines like a man.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|Stop making someone else's looks your "#goals". By all means aspire to be a better version of your current self, but don't glorify others when you yourself are glorious.
Ahimsa Murfi|There’s something painfully beautiful about a woman who loves without condition. Heart filled with cracks from mistrust and disappointment and yet she loves as if her heart knows nothing of betrayal. For the strength and faith she holds, in spite reasons not to hold, she deserves love. But fu** it, she finds love within herself.
Christine de Pizan, The Book of the City of Ladies|For you know that any evil spoken of women so generally only hurts those who say it, not women themselves.
Elizabeth Cady Stanton, Solitude of Self|Whatever the theories may be of woman’s dependence on man, in the supreme moments of her life he can not bear her burdens. Alone she goes to the gates of death to give life to every man that is born into the world. No one can share her fears, no one can mitigate her pangs; and if her sorrow is greater than she can bear, alone she passes beyond the gates into the vast unknown.
Emma Goldman|I did not believe that a Cause which stood for a beautiful ideal, for anarchism, for release and freedom from convention and prejudice, should demand the denial of life and joy. I insisted that our Cause could not expect me to become a nun and that the movement would not be turned into a cloister. If it meant that, I did not want it. "I want freedom, the right to self-expression, everybody's right to beautiful, radiant things." Anarchism meant that to me, and I would live it in spite of the whole world — prisons, persecution, everything. Yes, even in spite of the condemnation of my own closest comrades I would live my beautiful ideal.
Ahimsa Murfi|Dear men, I’ll make it clear to you. Those who tell you that ‘true love’ is never giving up someone you are in love with are insecure and competitive. Their description on love is based on their needs. Selfish needs. While women who are confident, their spirits fulfilled by themselves know that a 'good bye’ doesn’t mean they never loved you. They realizes that letting you go is what God needs them to do, because both happiness: yours and your lover require taking different journey for spiritual growth. These kind of women show you what 'real love’ is. And you don’t want to catch them still? Win a battle for them? Even after what you have learnt? For God’s sake, these women have endured much. For battles she fight alone, they deserve LOVE.
Caitlin Moran, How to Be a Woman|... motherhood is a game you must enter with as much energy, willingness, and happiness as possible.
Anthony Powell, A Dance to the Music of Time: 2nd Movement|Daydreams of wealth or women must have given Carolo that faraway look which never left him; sad and silent, he contemplated huge bank balances and voluptuous revels.
Dana Arcuri, Reinventing You: Simple Steps to Transform Your Body, Mind, & Spirit|There is something magical and transformational about saying “yes” to God. When you take His hand, step out of that boat (your ordinary, comfortable life), and be brave. Instead of spending your lifetime living in fear and playing it safe, you boldly walk in obedience. God makes you brave.
Moosa Rahat|Only beards can't make you count as a man, you need to have respect for women in your heart for that.
Brownell Landrum, A Chorus of Voices: DUET stories Volume III - Adult Version|Old or young, light or dark, full or frail, every woman has qualities that make her beautiful.
Louisa May Alcott|I rather miss my wild girl; but if I get a strong, helpful, tender-hearted woman in her place, I shall feel quite satisfied.
Caitlin Moran, How to Be a Woman|It makes you love vividly, work intensely, and realize that, in the scheme of things, you really don't have time to sit on the sofa in your undies watching Homes Under the Hammer.
Caitlin Moran|The aphorism "If you want something done, ask a busy woman" is in direct acknowledgment of the efficiency boot camp parenthood puts you through.
Zadie Smith|And it's time people told the truth about beautiful women. They do not shimmer down staircases. They do not descend, as was once supposed, from on high, attached to nothing other than wings.
Elizabeth Cady Stanton, Solitude of Self|We ask no sympathy from others in the anxiety and agony of a  broken friendship or shattered love. When death sunders our nearest  ties, alone we sit in the shadow of our affliction. Alike mid the greatest  triumphs and darkest tragedies of life we walk alone. On the divine  heights of human attainments, eulogized and worshiped as a hero or  saint, we stand alone. In ignorance, poverty, and vice, as a pauper or criminal, alone we starve or steal; alone we suffer the sneers and rebuffs of our fellows; alone we are hunted and hounded through dark courts and alleys, in by-ways and highways; alone we stand in the judgment seat; alone in the prison cell we lament our crimes and misfortunes; alone we expiate them on the gallows. In hours like these we realize the awful solitude of individual life, its pains, its penalties, its responsibilities; hours in which the youngest and most helpless are thrown on their own resources for guidance and consolation. Seeing then that life must ever be a march and a battle, that each soldier must be equipped for his own protection, it is the height of cruelty to rob the individual of a single natural right.
Aliya Whiteley, The Beauty|My name is Nathan, just twenty-three and given to the curation of stories. I listen, retain, then polish and release them over the fire at night, when the others hush and lean forward in their desire to hear of the past. They crave romance, particularly when autumn sets in and cold nights await them, and so I speak of Alice, and Bethany, and Sarah, and Val, and other dead women who all once had lustrous hair and never a bad word on their plump lips. I can remember this is not how they were; I knew them, I knew them! Only six years have passed and yet I mythologize them as if it is six thousand. I am not culpable. Language is changing, like the earth, like the sea. We live in lonely, fateful flux, outnumbered and outgrown.
Benito Pérez Galdós|The passion of the collector when confronted with a rare item, the enthusiasm of a hunter who sees a fine, handsome beast, can give us no idea of the tremendous love of clothes in some women.
Elizabeth Cady Stanton, Solitude of Self|How the little courtesies of life on the surface of society, deemed so important from man towards woman, fade into utter insignificance in view of the deeper tragedies in which she must play her part alone, where no human aid is possible.
Eva Scoutt, The Intern|We are beautiful, but we are not weak, that old Geisha told her. Men should see us like supernatural beings. Everything is so open now. Women shave their legs in front of men, they eat with their mouth full, they drink side by side with them, they get drunk, they loose the whole essence of femininity. Being a work of art is painful, but nobody said it would be easy. To create and recreate yourself every single moment of your life, that takes commitment, passion, energy and faith.
Elizabeth Cady Stanton, The Woman's Bible|We ask no sympathy from others in the anxiety and agony of a  broken friendship or shattered love. When death sunders our nearest  ties, alone we sit in the shadow of our affliction. Alike mid the greatest  triumphs and darkest tragedies of life we walk alone. On the divine  heights of human attainments, eulogized and worshiped as a hero or  saint, we stand alone. In ignorance, poverty, and vice, as a pauper or  criminal, alone we starve or steal; alone we suffer the sneers and rebuffs of our fellows; alone we are hunted and hounded through dark courts and alleys, in by-ways and highways; alone we stand in the judgment  seat; alone in the prison cell we lament our crimes and misfortunes; alone we expiate them on the gallows. In hours like these we realize the  awful solitude of individual life, its pains, its penalties, its responsibilities; hours in which the youngest and most helpless are thrown on their own resources for guidance and consolation. Seeing then that life must ever be a march and a battle, that each soldier must be equipped for his own protection, it is the height of cruelty to rob the individual of a single natural right.
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|If we push hard now, this next wave can be the last wave. In the future, there will be no female leaders. There will just be leaders
Maya Angelou|To describe my mother would be to write about a hurricane in its perfect power. Or the climbing, falling colors of a rainbow.
Lindsay  Smith, A Tyranny of Petticoats|I think all women should be able to make it on their own,” Frankie said. “It’s not about needing a manor not — it just means she knows she can do whatever she sets out to do.
Emmeline Pankhurst, My Own Story|It is obvious to you that the struggle will be an unequal one, but I shall make it - I shall make it as long as I have an ounce of strength left in me, or any life left in me.
Julieanne O'Connor, Spelling It Out for Your Man|Ladies, you have a ton of power if you just understand the fundamental differences between men and women and unaffectedly play by the rules.
Julieanne O'Connor, Spelling It Out for Your Man|There will be a time when love is beautiful and passionate and nothing else will exist but you and the person you love, and a time when love hurts so badly that you will wish you wouldn't wake up. I say this. Always, always, always approach love with the heart of the angel you were born with.
Julieanne O'Connor, Spelling It Out for Your Man|To love without ownership, to love with total trust and faith in that very love, to love with the same faith you have that your heart will keep beating moments from now, that is the ultimate love.
Julieanne O'Connor, Spelling It Out for Your Man|Life is surreal. When you step back and really take a look at it, the irony is absolute.
Sofia Samatar, The Winged Histories|All bleed who fight with the sword. All confront, with greater or lesser difficulty, the worship of their own flesh. The swordmaiden faces particular obstacles in this matter: she will have seen, in the temples and elsewhere, many images of unscarred women.
Voltaire, Candide|If they're from the village, you take them to the inn. If they're from the city, you treat them with respect when they are beautiful and throw them on the highway when they are dead.
Halldór Laxness, The Atom Station|Immoral women do not exist", said the organist. "That this only a superstition. On the other hand there exist women who sleep thirty times with one man, and women who sleep once with thirty men.
Raymond Chandler, Nevada-Gas|I like games of chance, including women.
Charles Bukowski|Education was the new god, and educated men the new plantation masters.
Lailah Gifty Akita|Men love pleasure, but women wish for purposeful promise.
Charlotte Perkins Gilman|In all our discussions and speculations we had always unconsciously assumed that the women, whatever else they might be, would be young. Most men do think that way, I fancy. "Woman" in the abstract is young, and, we assume, charming. As they get older they pass off the stage, somehow, into private ownership mostly, or out of it altogether. But these good ladies were very much on the stage, and yet any one of them might have been a grandmother. We looked for nervousness—there was none. For terror, perhaps—there was none. For uneasiness, for curiosity, for excitement—and all we saw was what might have been a vigilance committee of women doctors, as cool as cucumbers, and evidently meaning to take us to task for being there.
Helen Oyeyemi, What is Not Yours is Not Yours|With boys there was a fundamental assumption that they had a right to be there — not always, but more often than not. With girls, 'Why her?' came up so quickly.
Delma Pryce, ABOVE AND BEYOND: My Spiritual Journey|A Pheonomenal woman is driven by her divine given POWER: The acronym Power defines her qualities:Poised for successOpportunities are endlessWorks hard to achieve her goalsEnduring strength and vitalityReaps the rewards of her hard workA Phenomenal woman will get out of bed, when the whole world around her is falling apart.
A.D. Posey|Greatness is achieved through kindness, compassion, and love.
Anthony Powell, A Dance to the Music of Time: 2nd Movement|Women may show some discrimination about whom they sleep with, but they'll marry anybody.
Terry Tempest Williams, When Women Were Birds: Fifty-four Variations on Voice|I am a woman with wings,' I once wrote and will revise these words again. 'I am a woman with wings dancing with other women with wings.' In a voiced community, we all flourish.
Caitlin Moran, Moranifesto|We need a temporary cessation in people having any opinions about any women, ever. I propose a, say, five-year moratorium on having opinions about women, in order to let one generation of girls get from one side of puberty to the other without growing up in a climate where women are constantly being scolded, chivvied, harassed, or subjected to thunderous opinion columns concluding that, yet again, some woman in the public eye has overreached herself and should wind her neck in.
Lauren Groff, Fates and Furies|It's true,' Mathilde said after some time, 'I could breathe fire.'She thought of how Lotto, in later years, had been called the lion. With his dander up, he could roar. He looked leonine too, his carrona of white-shot gold, the fine, sharp cheekbones. He'd leap on stage, offended by some actor flubbing his precious lines, and there he'd pace, sleek and swift with his long lovely body, growling. He could be deadly, fierce, the name was not inapt, but please, Mathilde knew lions. The male lolled beautifully, lazy in the sun. The female, less lovely by miles, was the one who brought back the kill.
Oscar Wilde|Men always want to be a woman's first love, -women want to be a man's last romance.
Mervyn Peake, Gormenghast|His staff had shaken hands with her as though a woman was merely another kind of man. Fools! The seeds of Eve were in this radiant creature. The lullabyes of half a million years throbbed in her throat. Had they no sense of wonder, no reverence, no pride?
M.F. Moonzajer, The Journalist: Attack on the Central Intelligence Agency|If I could find someone who would love me to the extent I do, I would love her to the extent she could never love me.
Shannon L. Alder|Empowered Women 101: Real women don't tell the world or elude to it on Pinterest, Facebook or any other social media platform that they are in an awful relationship. It is disrespectful to the person you say you love. Plus, it is self abusive to yourself. Ask yourself these questions: What if everyone you knew read it? Would your significant other be upset or humiliated? Why are you posting it (pity, anxiety, fear, desperateness, inmaturity)? And why do you want people to know?
Debasish Mridha|A woman is a blissful mother, a wonderful sister, a gorgeous daughter, and a friend with a kind heart who really cares. Wishing you a wonderful International Women’s Day
William Moulton Marston|The truest kindness to any woman is to provide her with an opportunity for self-expression in some constructive field: to work, not at home with cook-stove and scrubbing brush, but outside, independently, in the world of men and affairs.
Lauren Groff, Fates and Furies|Anyway, there is an essential difference in gender that isn't politically correct to mention these days. Women are the ones to bear the children after all. They are the ones to nurse. They are the ones, traditionally, who care for the infants. That takes a huge amount of time.'He smiled, waiting for the applause, but something had gone wrong. There was a cold silence from the crowd...'Did you just say that women aren't creative geniuses because they have babies?''No," he said, 'No. Not because. I wouldn't say that. I love women, and not all women have babies. My wife, for one, at least not yet. But listen, we're all given a finite amount of creativity, just like we;re given a finite amount of life, and if a woman continues to spend hers creating actual life and not imaginary life, that's a glorious choice. When a woman has a baby, she's creating so much more than just a world on the page, she's creating life itself, not just a simulacrum. No matter what Shakespeare did, it's so much less than your average illiterate woman of his age who had babies. Those babies were our ancestors, necessary to make everyone here today, and no one could seriously argue that any play is worth a single human wife. I mean the history of the stage supports me here. If women have historically demonstrated less creative genius than men, it's because they're making their creations internal, spending the energies on life itself. It's a kind of bodily genius. You can't tell me that isn't at least as worthy as genius of imagination. I think we can all agree that women are just as good as men, better in many ways. But the reason for the disparity in creation, is because women have turned their creative energies inward not outward.
Tabby Biddle, Find Your Voice: A Woman's Call to Action|When girls see women in leadership roles speaking out for what they believe in, they see it is possible for them, too. Instead of a faraway dream, their aspirations become real, concrete and achievable. Womanhood starts to look more inviting.
Thomm Quackenbush, Flies to Wanton Boys|When colleges, both within the Hudson Valley and throughout the country, encouraged women to do little beyond attaining their Mrs. degree in Husbandry, Annandale offered rigorous and prestigious degrees irrespective of gender.
Terry Tempest Williams, When Women Were Birds: Fifty-four Variations on Voice|The nature of living and loving is the act of reciprocity. As women, we are told that to be the guest is to receive. We are told that to be the host is to give. But what if it is the reverse? What if it is the guest who gives to the host and it is the host who receives from the guest each time she sets her table to welcome and feed those she loves? To be the guest and the host simultaneously is to imagine a mutual exchange of gifts predicated on respect and joy. If we could adopt this truth, perhaps we as women would be less likely to become martyrs.
Carolyn Custis James, The Gospel of Ruth: Loving God Enough to Break the Rules|Not every woman has a Boaz in her life. Sometimes the male voices we hear are cautioning us to hold back instead of urging us to serve God wholeheartedly with them. Sometimes the cautioning voices we hear belong to other women. Sometimes those who have the power to facilitate our callings and clear a path for us set up roadblocks instead. Ruth, Naomi, and Boaz remind us powerfully that even in a dark era like the days of the judges, God always has his people and the Blessed Alliance is still alive and well. He is working in our hearts, summoning us to be strong and courageous like Ruth - to embrace and embody his gospel on our 'bit of earth.
Jovan Dučić|Women do not admit to the past, they mourn for past even less. They grab from each moment anything they can reach.
William Moulton Marston|The only hope for civilization is the greater freedom, development and equality of women.
Debasish Mridha|Like nature, women are the creative power behind all of creation.
A.D. Posey|Like a flower, feel yourself rise above and begin to open.
Tanja Taaljard|Women instinctually know how to nourish each other, and just being with each other is restorative
bell hooks, All About Love: New Visions|When we understand love as the will to nurture our own and another's spiritual growth, it becomes clear that we cannot claim to love if we are hurtful and abusive. Love and abusive cannot coexist. Abuse and neglect are, by definition, the opposites of nurturance and care.
Alexander Chee, The Queen of the Night|The secret to being a rider in the hippodrome wasn't just that you must be agile, or that you must be good with horses, or that you must be strong and steady as the horse careens to the far end of the arena and back with you riding on its back. It was that you must hide inside your costume a little of a killer's heart.The animal will be tender with you, and you with it, but the animal never forgets that when what it wants for survival requires your death, it will become unafraid to kill you. And so you cannot forget this, either.It is, on reflection, good training to be a courtesan. A woman of any kind.
bell hooks, All About Love: New Visions|The best sex and the most satisfying sex are not the same. I have had great sex with men who were intimate terrorists, men who seduce and attract by giving you just what you feel your heart needs then gradually or abruptly withholding it once they have gained your trust. And I have been deeply sexually fulfilled in bonds with loving partners who have had less skill and know-how. Because of sexist socialization, women tend to put sexual satisfaction in its appropriate perspective. We acknowledge its value without allowing it to become the absolute measure of intimate connection. Enlightened women want fulfilling erotic encounters as much as men, but we ultimately prefer erotic satisfaction within a context where there is loving, intimate connection. If men were socialized to desire love as much as they are taught to desire sex, we would see a cultural revolution. As it stands, most men tend to be more concerned about sexual performance and sexual satisfaction than whether they are capable of giving and receiving love.
Ashton Applewhite, This Chair Rocks: A Manifesto Against Ageism|Women not only bear the brunt of the equation of beauty with youth, we perpetuate it—every time we dye our hair to cover the gray or lie about our age, not to mention have plastic surgery to cover the signs of aging.
Tanja Taaljard|It’s because our friendships – female friendships are just a hop to our sisterhood, and sisterhood can be a very powerful force, to give the world … the things that humans desperately need
Mark  Manson|If you think you can kiss her, you probably could have ten minutes ago.
Stephen Jay Gould, I Have Landed: The End of a Beginning in Natural History|Bless all the women of this world who nurture our heritage while too many man rush off to kill for ideals that might now be deeply and personally held, but will often be viewed as repugnant by later generations.
Robert Jordan|They were the sort who berated a man for meddling and chased him away, then berated him again for not being there when he was needed. Not that they would admit he was needed, even then, not them. Raise a hand to help and you were interfering, do nothing and you were an un-trustworthy wastrel.
A.D. Posey|Whatever you do, let it be lovely.
bell hooks|The men in my life have always been the folks who are wary of using the word 'love' lightly. They are wary because they believe women make too much of love. And they know that what we think love means is not always what they believe it means. Our confusion about what we mean when we use the word 'love' is the source of our difficulty in loving. If our society had a commonly held understanding of the meaning of love, the act of loving would not be so mystifying.
Heather Marsh|Women at the top are the ones chosen to be there by men and not eliminated by women, a dual filter that excludes most witches: those with brilliance and originality and those capable of disturbing the status quo.
Sara Sheridan, On Starlit Seas|He noticed that he felt calmer now she was here, still in that grey dress with her dowdy hat, the air around her redolent with orchid oil. Perhaps all women in England had this effect. Perhaps they all smelled of flowers and exuded a calm and measured purpose. He couldn’t remember.
Drea Damara, Chasing Vengeance|She better be capable of achieving something of the greatness that a cure for cancer would give the world or as damned good of an assassin as he was. If she possessed none of that, she should at least be the kind of woman with both a personality and face that could make any man question his better judgment. There weren’t enough of those in the world, at least not in the world he knew.
Miles Watson, Cage Life|You have to understand something about girls, Mick. You see 'em in the winner's circle, but you'll never find horseshit on their shoes.
Jerzy Pilch, The Mighty Angel|My tongue thirsty for superiority, maybe even immortality, ruled me. I was ruled by my tongue. I was ruled by women. I was ruled by alcohol.
Shirin Ebadi, Iran Awakening|Under the Iranian code, the worth of a woman’s life equals half of a man’s, a point that often leads to grotesque legal judgments that effectively punish the victims. In this instance, the judge ruled that the ‘blood money’ for the two men was worth more than the life of the murdered nine-year-old girl, and he demanded that her family come up with thousands of dollars to finance their executions.
Oliver Markus, Why Men And Women Can't Be Friends|Men know that most women want to have an emotional connection with someone before they sleep with them. Men know that a lot of women think it's romantic to be friends first, and then the friendship blossoms into a relationship. Men know that they have to jump through all these hoops first, before they can get laid. And that's really all romance and courtship is to a man: hoops he has to jump through to get laid.
EsthersChild, It Takes A Cat|It was come as you are when visiting my blog, CiCI's Garden -otherwise what would be the point? Readers were welcomed to a virtual place where emotions were respected and affirmed, and encouragement was offered to those who longed to know that wounded hearts can heal - even if it takes a lifetime.
Shan Sa, Empress|In our time women can demonstrate prowess in a thousand ways. Long ago the great Princess Sun of Ping fought for her father, the August Sovereign. At her funeral, His Majesty called for the trumpets and drums to be sounded, an honor reserved for men. My dear, from this day you must dress her as a boy. Give her an education worthy of her own determination.
Larry Correia|He'd been told that women were sensitive about such things, as if a scar could somehow ruin their beauty, but scars were just stories told in flesh...
Helen Mirren|I think every woman in our culture is a feminist. They may refuse to articulate it, but if you were to take any woman back forty years and say, 'Is this a world you want to live in?' they would say, 'No.
Toni Sorenson|If you could see into a woman’s heart you’d be shocked at the cracks and chasms of self-doubt, fear, and pain it holds. It’s a wreck and yet it manages to love like it’s never been broken.
Toni Sorenson|Every woman is born with her own sense of style and idea of beauty. To stifle that is a sin as great as snuffing out a blossoming bud, a one-of-a-kind flower will never bloom again.
Mehmet Murat ildan|To create a just world for women, we must firstly teach men to be just!
Adhish Mazumder|There is a noticeable symphony being played around the world today. That symphony speaks of the independent, unorthodox, proud women. Yes, it is the International Women's Day! It is the day to celebrate the women in your life.In my life I have never believed in a particular day to celebrate women though, but a date is necessary rather customary to remind you of their contributions in your life lest you forget it.So here's wishing all those strong women who competed in a man's world, defeating them and breaking the taboos to earn the place which was rightfully theirs from the start but usurped in the past by manly morals and ego, a very- HAPPY INTERNATIONAL WOMEN'S DAY!
Toni Sorenson, The Great Brain Cleanse|There is nothing wrong with being on the bottom once in awhile, but don’t stay there, women! New positions will give you new perspective, and new perspective will give you new experiences, and new experiences will give you a meaningful life.
Toni Sorenson|What is a strong woman? One whose very embrace can weaken the knees and soften the heart of the one she embraces, not by force, but by love which is the strongest force of all.
Toni Sorenson|A wise woman invests her time and doesn’t squander it in gossip, judgment or idleness. She knows every moment gone is one that she will not get back.
Thomas Browne, Religio Medici; And Other Writings|It is the common wonder of all men, how, among so many million faces, there should be none alike.
Toni Sorenson, The Great Brain Cleanse|A woman sees a problem and sets about solving it, not analyzing it.
Toni Sorenson|Intuition is a woman’s gift that comes packaged in responsibility. If we don’t change the world for good, who will?
Neil Strauss, The Truth: An Uncomfortable Book About Relationships|Many women think that if they put out too quickly, their partner won't respect them. This is not the case. It's not about waiting for a certain quantity of time before having sex, it's about waiting for a certain quality of connection.
Audre Lorde, Zami: A New Spelling of My Name|Every woman I have ever loved has left her print upon me, where I loved some invaluable piece of myself apart from me-so different that I had to stretch and grow in order to recognize her. And in that growing, we came to separation, that place where work begins.
Louise Erdrich, The Painted Drum|To join the company of women, to be adults, we go through a period of proudly boasting of having survived our own mother's indifference, anger, overpowering love, the burden of her pain, her tendency to drink or teetotal, her warmth or coldness, praise or criticism, sexual confusions or embarrassing clarity. It isn't enough that she sweat, labored, bore her daughters howling or under total anesthesia or both. No. She must be responsible for our psychic weaknesses the rest of her life. It is alright to feel kinship with your father, to forgive. We all know that. But your mother is held to a standard so exacting that it has no principles. She simply must be to blame.
Neil Strauss, The Truth: An Uncomfortable Book About Relationships|The women you've slept with, the ones you never did but primed for a future encounter, the ones who seemed interested but then suddenly stopped texting: Unless you do something horribly wrong, they never completely disappear. A lonely night, a cheating boyfriend, a sudden breakup, an attack of low self-esteem, an attack of high self-esteem—anything can, out of the blue, send them scrolling through their address book looking for validation, for security, for conversation, for adoration, for the fantasy of you filling some empty space in her life.
Jack Weatherford|Khatun (queen) is one of the most authoritative and magnificent words in the Mongolian language. It conveys regality, stateliness, and great strength. If something resists breaking no matter how much pressure is applied, it is described as khatun. The word can form part of a boy’s or girl’s names, signifying power and firmness combined with beauty and grace. Because of the admitted qualities of khatun, men have often borne names such as Khatun Temur, literally ‘Queen Iron’, and Khatun Baatar, 'Queen Hero’.
Oliver Markus, Why Men And Women Can't Be Friends|When guys try to get a good job and make a lot of money, it's so that they can find a good mate, because they know women like guys with money. Big tits are to men, what big wallets are to women. A sexy woman can have almost any man she wants. And a rich guy can have almost any woman he wants.
Oliver Markus, Why Men And Women Can't Be Friends|We want to look desirable. We want others to want to mate with us. No different than a colorful peacock. When girls dress up for their night out at the club, they are doing what all animals do when they try to make themselves desirable for a potential mate. That's the whole point behind the fashion, perfume, cosmetics, diet, and plastic surgery industries.
M.C. Beaton, Death of a Scriptwriter|Husbands are always angry, that's their nature.And the nature of us women,is not to pay a blind bit of notice.
Charlotte Brontë, Jane Eyre|Jane, will you marry me?""Yes sir.""A poor blind man, whom you will have to lead about by the hand?""Yes, sir.""A crippled man, twenty years older older than you, whom you will have to wait on?""Yes, sir.""Truly, Jane?""Most truly, sir.
Hazel V. Carby, Reconstructing Womanhood: The Emergence of the Afro-American Woman Novelist|The objective of stereotypes is not to reflect or represent a reality but to function as a disguise, or mystification, of objective social relations.
Abigail Tarttelin|#ToTheGirls2016 Value yourself, your voice, your body, your opinions, your dreams, your pride, your ego. You have a RIGHT to take up space.
Oliver Markus, Why Men And Women Can't Be Friends|There are only 24 hours in a day. The average man has to sleep about 8 hours. And work for 8 hours. That leaves 8 hours to run some errands, drive to and from work, eat, and have some spare time. And in that little bit of spare time, a man has to figure out how to get the one thing he likes more than anything else: sex.So when a man has to choose whether or not he will hang out with a female and spend any time, money or attention on her, the question of whether the resources he spent will result in sex plays a very big factor. If your male "friend" chooses to spend his time and money on you, it's because he thinks there is a chance it might pay off in sex at some point. If he hangs out with you instead of with some other female, it's because he thinks you are his best bet to getting sex.The more likely there will be sex, the more willing he is to spend his little bit of free time with you. If he thinks his chances of having sex are higher with a different female, he will spent more time, money and attention on her. That's just common sense, and using his limited resources wisely.
Chimamanda Ngozi Adichie|Some people will say, “Oh, but women have the real power, bottom power.” And for non-Nigerians, “bottom power” is an expression in which I suppose means something like a woman who uses her sexuality to get favors from men. But “bottom power” is not power at all. Bottom power means that a woman simply has a good root to tap into, from time to time, somebody else’s power. And then of course we have to wonder when that somebody else is in a bad mood, or sick, or impotent.
Shan Sa, Empress|Men's freedom is their unfaithfulness: the Son of Heaven or the son of a peasant, they could both reduce me to the mediocre torments of a woman.
Osayi Emokpae Lasisi, Invest in people, invest in profits|It doesn't matter to me that my leaving will cost you money. It doesn't matter that my space will take time to fill. What matters is that I'm happy and if you're not willing to invest in me, then I'm willing to cost you money.
Roy Bourgeois|It is important to note that when Mary Magdalene and other women were chosen by Jesus to bring the important news to the men, the men did not believe the women. Today 2,000 years later men still don't believe women when they say "We are also chosen by Jesus to be leaders in the church.
Michelle Franklin|Women always think in the catastrophic, and when there is a calamity to rectify that might require a unmarried granddaughter, there older women will always act. Their powers of foresight and vigilance might make any disheveled or nubile young haggage ready for the altar in five minutes.
Jennifer Garner|Can we just stop pretending that skinny jeans are a good look on anyone? Can we just band together and go for a boot cut, please? Ladies?
Lena Dunham|Women saying, 'I'm not a feminist' is my greatest pet peeve. Do you believe that women should be paid the same for doing the same jobs? Do you believe that women should be allowed to leave the house? Do you think that women and men both deserve equal rights? Great, then you're a feminist.
Oliver Markus, Why Men And Women Can't Be Friends|Men feel about sex the way vampires feel about blood. They don't just like it, they crave it. That's why vampire stories always have strong sexual undercurrents. A vampire's hunger is simply a metaphor for a man's lust. And if a guy is paying attention to you, he wants to have sex with you.
Helen Humphreys, Leaving Earth|Who? Mr. Dalton has his hand firmly on Grace's elbow, as though she can't manoeuvre herself through the blockade of tables and chairs.She could fly right through you, thinks Jack.
A.D. Posey|When a writer's heart is filled with the music of her soul, her words sing.
Shannon L. Alder|Beauty fades and the body becomes old, but nothing can dull the shine of a woman with a good heart.
Stephanie Lahart|I am RESILIENT, therefore, I am unstoppable. It’s important to always remember who YOU are. No matter what challenges you may have to face, ALWAYS stay true to yourself and NEVER give up. Never!
Adrienne Rich, Of Woman Born: Motherhood as Experience and Institution|All human life on the planet is born of woman. The one unifying, incontrovertible experience shared by all women and men is that months-long period we spent unfolding inside a woman’s body. Because young humans remain dependent upon nurture for a much longer period than other mammals, and because of the division of labor long established in human groups, where women not only bear and suckle but are assigned almost total responsibility for children, most of us first know both love and disappointment, power and tenderness, in the person of a woman.
