Na'ama Yehuda|When hearts speak, they touch each other and transform the deepest sorrow.
Ann Landers|Expect trouble as an inevitable part of life, and when it comes, hold your head high, look it quarely in the eye and say, 'I will be bigger than you. You cannot defeat me.
Joseph Chilton Pearce|To live a creative life, we must lose our fear of being wrong.
R.J. Anderson, Ultraviolet|But there were worse things than disappointment, and I'd lived through several of them already.
Deb Caletti, Honey, Baby, Sweetheart|summer, after all, is a time when wonderful things can happen to quiet people. for those few months, you’re not required to be who everyone thinks you are, and that cut-grass smell in the air and the chance to dive into the deep end of a pool give you a courage you don’t have the rest of the year. you can be grateful and easy, with no eyes on you, and no past. summer just opens the door and lets you out.
Jeanne d'Arc|Every man gives his life for what he believes. Every woman gives her life for what she believes. Sometimes people believe in little or nothing, and so they give their lives to little or nothing. One life is all we have, and we live it as we believe in living it…and then it’s gone.But to surrender who you are and to live without belief is more terrible than dying – even more terrible than dying young.
Robert F. Kennedy|This world demands the qualities of youth; not a time of life but a state of mind, a temper of the will, a quality of the imagination, a predominance of courage over timidity, of the appetite for adventure over the life of ease.
Nathaniel Hawthorne, The Scarlet Letter|Do anything, save to lie down and die!
Cassandra Clare, The Whitechapel Fiend|Will stopped glaring at Gabriel, and turned to Tessa. He looked at her and his face softened: the traces of the wild, broken boy he had been vanished, replaced with the expression often worn by the man he was now, who knew what it was to love and be loved. “Dear heart,” he said. He took her hand and kissed it. “Who knows your courage better than I?
Trieu Thi Choi|My wish is to ride the tempest, tame the waves, kill the sharks. I will not resign myself to the usual lot of women who bow their heads and become concubines.
John Patrick Shanley, 13 by Shanley|I am not a courageous person by nature. I have simply discovered that, at certain key moments in this life, you must find courage in yourself, in order to move forward and live. It is like a muscle and it must be exercised, first a little, and then more and more. All the really exciting things possible during the course of a lifetime require a little more courage than we currently have. A deep breath and a leap.
Nolan Bushnell|Everyone who has ever taken a shower has had an idea. It's theperson who gets out of the shower, dries off, and does somethingabout it that makes a difference.
Aleksandr Solzhenitsyn, The First Circle|If one is forever cautious, can one remain a human being?
Amit Ray, Nonviolence: The Transforming Power|In every crisis, doubt or confusion, take the higher path - the path of compassion, courage, understanding and love.
Bette Davis|The key to life is accepting challenges. Once someone stops doing this, he's dead.
Margaret Mitchell, Gone with the Wind|The liar was the hottest to defend his veracity, the coward his courage, the ill-bred his gentlemanliness, and the cad his honor
José N. Harris, MI VIDA: A Story of Faith, Hope and Love|When you find your path, you must ignore fear. You need to have the courage to risk mistakes. But once you are on that road... run, run, run, and don't stop til you've reached its end.
Nicholas Sparks, Safe Haven|That's what courage is. If she weren't scared, she wouldn't need courage in the first place." -Jo
Nikki Rowe|No one knows what you have been through or what your pretty little eyes have seen, but I can reassure you ~ whatever you have conquered, it shines through your mind.
Lois McMaster Bujold, The Curse of Chalion|Events may be horrible or inescapable. Men have always a choice - if not whether, then how, they may endure.
Charlotte Brontë, Jane Eyre|Dread remorse when you are tempted to err, Miss Eyre; remorse is the poison of life.
Hideaki Sorachi|Inside me, there is an organ more important than my heart. Although you can't see it, I feel it going right through my head and down to my legs, and I know that it exists inside me. It's the one that lets me stand up and walk forward. So that I can walk forward, without ever trembling. If I stopped here I feel like it would break...My soul would break. Even more than if my heart stops beating, to me that is the most important. Even if I become senile and my back gets bent, I still have to walk forward.
John Locke|What worries you, masters you.
Brené Brown, The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are|Courage originally meant "To speak one's mind by telling all one's heart.
Umberto Eco, Postscript to the Name of the Rose|I lacked the courage to investigate the weaknesses of the wicked, because I discovered they are the same as the weaknesses of the saintly.
Zelda Fitzgerald|And only weaklings...who lack courage and the power to feel they're right when the whole world says they're wrong, ever lose.
Maxwell Maltz|We must have courage to bet on our ideas, to take the calculated risk, and to act. Everyday living requires courage if life is to be effective and bring happiness.
Ray N. Kuili, Awakening|Because no matter what they say, you always have a choice. You just don’t always have the guts to make it.
Shannon L. Alder|You are not an option, a choice or a soft place to land after a long battle. You were meant to be the one. If you can wrap yourself around the idea that you are something incredible, then you will stop excusing behavior that rapes your very soul. You were never meant to teach someone to love you. You were meant to be loved.
Cynthia Hand, Hallowed|I’ve learned that sometimes, when you’re afraid but you keep on moving forward, that’s the biggest kind of courage there is.
E.B. White, The Elements of Style|If you don't know how to pronounce a word, say it loud!" (William Strunk) ... Why compound ignorance with inaudibility?
Thomas S. Monson|May we muster courage at the crossroads, courage for the conflicts, courage to say, "no," courage to say, "yes," for courage counts. 
Charles Dickens, A Tale of Two Cities|You might, from your appearance, be the wife of Lucifer,” said Miss Pross, in her breathing. “Nevertheless, you shall not get the better of me. I am an Englishwoman.
Alistair MacLean, The Guns of Navarone|There are no brave men and cowardly men in the world, my son. There are only brave men. To be born, to live, to die—that takes courage enough in itself, and more than enough.We are all brave men and we are all afraid, and what the world calls a brave man, he too is brave and afraid like the all rest of us. Only he is brave for five minutes longer.
Theodore Roethke|I learned not to fear infinity,The far field, the windy cliffs of forever,The dying of time in the white light of tomorrow,The wheel turning away from itself,The sprawl of the wave,The on-coming water.
Ruth Gordon|Courage is very important. Like a muscle, it is strengthened by use.
Suheir Hammad|Occupation, curfew, settlements, closed military zone, administrative detention, siege, preventive strike, terrorist infrastructure, transfer. Their WAR destroys language. Speaks genocide with the words of a quiet technician.Occupation means that you cannot trust the OPEN SKY, or any open street near to the gates of snipers tower. It means that you cannot trust the future or have faith that the past will always be there.Occupation means you live out your live under military rule, and the constant threat of death, a quick death from a snipers bullet or a rocket attack from an M16.A crushing, suffocating death, a slow bleeding death in an ambulance stopped for hours at a checkpoint. A dark death, at a torture table in an Israeli prison: just a random arbitrary death.A cold calculated death: from a curable disease. A thousand small deaths while you watch your family dying around you.Occupation means that every day you die, and the world watches in silence. As if your death was nothing, as if you were a stone falling in the earth, water falling over water.And if you face all of this death and indifference and keep your humanity, and your love and your dignity and YOU refuse to surrender to their terror, then you know something of the courage that is Palestine.
Tamera Alexander, Within My Heart|But he'd learned long ago that a life lived without risks pretty much wasn't worth living. Life rewarded courage, even when that first step was taken neck-deep in fear.
Paulo Coelho, Eleven Minutes|The most important experiences a man can have are those that take him to the very limit; that is the only way we learn, because it requires all our courage.
Muhammad Ali, The Soul of a Butterfly: Reflections on Life's Journey|All through my life, I have been tested. My will has been tested, my courage has been tested, my strength has been tested. Now my patience and endurance are being tested.
Maya Van Wagenen, Popular: Vintage Wisdom for a Modern Geek|This is the time to remember that I’m the protagonist in my own story, facing every challenge with grace and wit.
Lisi Harrison, Monster High|This isn't going to be pretty. Rules will be broken. Friendships will be tested. And huge risks will be taken. But they're small prices to pay for true love and freedom, right?
J.R.R. Tolkien, The Hobbit|Somehow the killing of the giant spider, all alone by himself in the dark without the help of the wizard or the dwarves or of anyone else, made a great difference to Mr. Baggins. He felt a different person, and much fiercer and bolder in spite of an empty stomach, as he wiped his sword on the grass and put it back into its sheath.
Maya Angelou|My life has been long, and believing that life loves the liver of it, I have dared to try many things, sometimes trembling, but daring, still.
Bruce Coville, Jeremy Thatcher, Dragon Hatcher|I don’t want Tiamat to go back,” said Jeremy sullenly. “I want her to stay here with me.”Miss Priest laughed. It was not a horrible laugh at all. “What a terrible idea!” she said. “Why do you want her to stay?”Because I love her. I don’t want to lose her.”Miss Priest reached out and took his chin in her hand. She looked into his eyes. “You silly boy,” she said. “Nothing you love is lost. Not really. Things, people—they always go away, sooner or later. You can’t hold them, any more than you can hold moonlight. But if they’ve touched you, if they’re inside you, then they’re still yours. The only things you ever really have are the ones you hold inside your heart.
Bernadette Devlin McAliskey, The Price of my Soul|To gain that which is worth having,it may be necessary to lose everything else.
Michelle Cohen Corasanti, The Almond Tree|Courage, I realised, was not the absence of fear: it was the absence of selfishness; putting someone else's interest before one's own.
Katherine Rundell, Rooftoppers|Perhaps, she thought, that’s what love does. It’s not there to make you feel special. It’s to make you brave. It was like a ration pack in the desert, she thought, like a box of matches in a dark wood. Love and courage, thought Sophie—two words for the same thing.
Jim Beaver, Life's That Way|Today we fight. Tomorrow we fight. The day after, we fight. And if this disease plans on whipping us, it better bring a lunch, 'cause it's gonna have a long day doing it.
Sophie Scholl|Somebody, after all, had to make a start. What we wrote and said is also believed by many others. They just don't dare express themselves as we did.
Criss Jami, Killosophy|A lack of common sense usually ends in some heroic feat, much like the soldier who dives onto the grenade so that others may live.
Nora Roberts|Courage comes in different forms. There's strength--that's the muscle. But love's the heart. When you put them together, you can do anything.
Lois Lenski, Indian Captive: The Story of Mary Jemison|It don't matter what happens, if you're only srong and have great courage.
Al Álvarez|When there is no peril in the fight, there is no glory in the triumph.
Ernest Hemingway, A Farewell to Arms|Abstract words such as glory, honor, courage, or hallow were obscene beside the concrete names of villages, the numbers of roads, the names of rivers, the numbers of regiments and the dates.
Lois McMaster Bujold, Labyrinth|Don't wish to be normal. Wish to be yourself. To the hilt. Find out what you're best at, and develop it, and hopscotch your weaknesses. Wish to be great at whatever you are.
Jack Campbell, Relentless|You can’t win unless you try to win, but you can lose by trying not to lose.
Winston S. Churchill|You make all kinds of mistakes, but as long as you are generous and true and also fierce, you cannot hurt the world or even seriously distress her.
U.S. Marine Corps|If I charge, follow me. If I retreat, kill me. If I die, revenge me.
Lev Grossman, The Magician King|You didn’t get the quest you wanted, you got the one you could do.
Veronica Mist, The Seven - The Key of Credence|Do not be afraid. Because if you let these fears consume you, you’ll most likely fail even before everything else starts.
Tahereh Mafi, Ignite Me|You will not be alone, I say to them, spinning to see their faces. You don't need to be afraid anymore. We want to take back our world. We want to save the lives of our family members, our friends. We want your children to have a chance at a better future. And we want to fight. We want to win. I lock eyes with them. And we are asking for your help.
Roman Payne, The Wanderess|When I was younger, I would cling to life because life was at the top of the turning wheel. But like the song of my gypsy-girl, the great wheel turns over and lands on a minor key. It is then that you come of age and life means nothing to you. To live, to die, to overdose, to fall in a coma in the street... it is all the same. It is only in the peach innocence of youth that life is at its crest on top of the wheel. And there being only life, the young cling to it, they fear death... And they should! ...For they are in life.
Mary Tyler Moore|Take chances, make mistakes. That's how you grow. Pain nourishes your courage. You have to fail in order to practice being brave.
Pericles|Those who can truly be accounted brave are those who best know the meaning of what is sweet in life and what is terrible, and then go out, undeterred, to meet what is to come.
Rollo May, The Courage to Create|It is highly significant and indeed almost a rule, that moral courage has its source in such identification through one's own sensitivity with suffering of one's fellow human beings." (p. 16-17)
Sophie Scholl|I am, now as before, of the opinion that I did the best that I could do for my nation. I therefore do not regret my conduct and will bear the consequences that result from my conduct.
Sharon E. Rainey|Through each crisis in my life, with acceptance and hope, in a single defining moment, I finally gained the courage to do things differently.
Anonymous, Holy Bible: King James Version|Now, this is what the Lord says, "Fear not, for I have redeemed you; I have summoned you by name; you are mine. When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze. For I am the Lord, your God, the Holy One of Israel, your Savior.
Pip Karmel|Pamela realizes for the first time in her life that she hadn't made the wrong choice at all. Nor had she made the right choice. She had simply made a choice. And somewhere along the way, she had lost the courage to live by it.
E.H. Majaw|If you have the courage to love, then you should have the courage to suffer, too.
Nisargadatta Maharaj|Absolute perfection is here and now, not in some future, near or far.The secret is in action - here and now.It is your behavior that blinds you to yourself.Disregard whatever you think yourself to be and act as if you were absolutely perfect- whatever your idea of perfection may be.All you need is courage.
Lisi Harrison, Monster High|Question.""Yes," Candace asked expectantly, eyes fixed on the dark street ahead."Have you ever had to chose sides between a friend and a boyfriend?"Candace nodded."Which side are you suppose to pick?""The right one.""What if they're both right?""They're not.""But they are," Melody insisted. "That's the problem.""No." Candace slowly rolled past a police cruiser. "They both think they're right. But who do you think is right? Which side represents the thing you think is worth fighting for?"Melody glanced out the window as though she was expecting the answer to be revealed on a neighbor's lawn. Every house except hers had the lights turned off. "I dunno.""You do," Candace insisted. "You just don't have the courage to be honest with yourself. Because then you'd have to do the thing you don't want to do, and you hate doing anything that's hard. Which is why you gave up singing and why you have no life and why you've always been a -""Um okay! Can we get back to the part where you were sounding like Oprah?""I'm just saying, Melly, what would you do if you weren't afraid? That's your answer. That's your side." She turned into the circular driveway and put the SUV in PARK. "And if you don't choose it, you're lying to yourself and everyone around you." She opened the door and grabbed her purse. "Oprah out!"The door slammed behind her.
David Benioff, City of Thieves|Perhaps a hero is someone who doesn’t register his own vulnerability. Is it courage, then, if you’re too daft to know you’re mortal?
Sting, Nothing Like the Sun|If "Manners maketh man," as someone saidThen he's the hero of the dayIt takes a man to suffer ignorance and smileBe yourself, no matter what they
Saurabh Sharma|Spontaneous insanity is the real bliss! It's sad that we are honored for playing sane, serious, safe, miserable and controlling in this poor world.
John Connolly, The Reapers|The Detective was different. Not that he wasn't a good man; Willie had heard enough about him to understand that he was the kind who didn't like to turn away from another's pain, the kind who couldn't put a pillow over his ears to drown out the cries of strangers. Those scars he had were badges of courage, and Willie knew that there were others hidden beneath his clothes, and still more deep inside, right beneath the skin and down to the soul. No, it was just that whatever goodness was there coexisted with rage and grief and loss.
Samuel Johnson, The Life of Samuel Johnson LL.D. Vol 2|[C]ourage is reckoned the greatest of all virtues; because, unless a man has that virtue, he has no security for preserving any other.
Kirtida Gautam, #iAm16iCan|You f*#ked my v*g*na, you wanted to think that you f#*ked my mind, but unlike you, D*ck, my mind doesn't lie between my two legs. ~ Subhangi Tyagi
Shannon L. Alder|Forget what hurt you in the past, but never forget what it taught you. However, if it taught you to hold onto grudges, seek revenge, not forgive or show compassion, to categorize people as good or bad, to distrust and be guarded with your feelings then you didn’t learn a thing. God doesn’t bring you lessons to close your heart. He brings you lessons to open it, by developing compassion, learning to listen, seeking to understand instead of speculating, practicing empathy and developing conflict resolution through communication. If he brought you perfect people, how would you ever learn to spiritually evolve?
Maya Angelou|Courage is the most important of all the virtues, because without courage you can't practice any other virtue consistently. You can practice any virtue erratically, but nothing consistently without courage.
Robert McKee, Story: Substance, Structure, Style, and the Principles of Screenwriting|Good story' means something worth telling that the world wants to hear. Finding this is your lonely task...But the love of a good story, of terrific characters and a world driven by your passion, courage, and creative gifts is still not enough. Your goal must be a good story well told.
Lev Grossman, The Magician King|Being a hero, the man had observed, is largely a matter of knowing one’s cues.
Edward M. Hallowell, Dare to Forgive: The Power of Letting Go & Moving on|Forgiveness takes intelligence, discipline, imagination, and persistence, as well as a special psychological strength, something athletes call mental toughness and warriors call courage.
Catherynne M. Valente, The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making|So most people go around with grimy machinery, when all it would take is a bit of spit and polish to make them paladins once more, bold knights and true.
Adedayo kingjerry|Always be bold in everything you do, because boldness has genius, power and magic in it which makes impossibility possible
Tim O'Brien, If I Die in a Combat Zone, Box Me Up and Ship Me Home|Courage is nothing to laugh at, not if it is proper courage and exercised by men who know what they do is proper. Proper courage is wise courage. It's acting wisely, acting wisely when fear would have a man act otherwise. It is the endurance of the soul in spite of fear - wisely.
Don Juan|When one has nothing to lose, one becomes courageous. We are timid only when there is something we can still cling to.
Delmore Schwartz, Last and Lost Poems|Love is the most difficult and dangerous form of courage. Courage is the most desperate, admirable and noble kind of love.
Bianca Sparacino|You ruin your life by desensitizing yourself. We are all afraid to say too much, to feel too deeply, to let people know what they mean to us. Caring is not synonymous with crazy. Expressing to someone how special they are to you will make you vulnerable. There is no denying that. However, that is nothing to be ashamed of. There is something breathtakingly beautiful in the moments of smaller magic that occur when you strip down and are honest with those who are important to you. Let that girl know that she inspires you. Tell your mother you love her in front of your friends. Express, express, express. Open yourself up, do not harden yourself to the world, and be bold in who, and how you love. There is courage in that.
Louis-Ferdinand Céline, Journey to the End of the Night|Chin up, Ferdinand," I kept saying to myself, to keep up my courage. "What with being chucked out of everywhere, you're sure to find whatever it is that scares all those bastards so. It must be at the end of the night, and that's why they're so dead set against going to the end of the night.
C.J. Redwine, Deception|And for me, it means honoring those who've loved me and sacrificed for me by choosing to be the kind of warrior who delivers justice even when it threatens to hurt me.
Fadi Hattendorf|Love is like life with or without justice, with or without fairness.
Manoj Arora, From the Rat Race to Financial Freedom|All of us, at some point in life, get brilliant ideas...only a few of us have the courage to take the next step.
Nancy Farmer|Quests always have their ups and downs,' rumbled the giant. 'The point is never to give up, even if you're falling off a cliff. You never know what might happen on the way to the bottom.
David A. Cleinman|The Coward will run away from danger, only to strike in the dark. The Heroine will run through the dark, even though she knows the coward is waiting to strike.
Howard Schultz, Onward: How Starbucks Fought for Its Life without Losing Its Soul|There are moments in our lives when we summon the courage to make choices that go against reason, against common sense and the wise counsel of people we trust.
Adedayo kinjerry|be bold to face the battle, if you win then you are lucky and if you loose then you will be wise....
Patricia C. McKissack, Flossie and the Fox|I aine never seen a fox before. So, why should I be scared of you and I don't even-now know you a real fox for a fact?
Rachel Hartman, Seraphina|He looked up at the reddening sky and said with a self-deprecating laugh, "You put me to shame, Seraphina. Your bravery always has.""It's not bravery; it's bullheaded bumbling."He shook his head, staring off into the middle distance. "I know courage when I see it, and when I lack it.
Margaret Mitchell, Gone with the Wind|Scarlett's mind went back through the years to the still hot noon at Tara when grey smoke curled above a blue-clad body and Melanie stood at the top of the stairs with Charles' sabre in her hand. Scarlett remembered that she had thought at the time: 'How silly! Melly couldn't even heft that sword!' But now she knew that had the necessity arisen, Melanie would have charged down those stairs and killed the Yankee - or been killed herself.
Sydney Smith, Dictionary of Burning Words of Brilliant Writers: A Cyclopaedia of Quotations, from the Literature of All Ages|The fact is that in order to do anything in this world worth doing, we must not stand shivering on the bank thinking of the cold and the danger, but jump in and scramble through as well as we can.
Sherrilyn Kenyon, Kiss of the Night|Things are always given to us when we need them (Acheron)." "That's so not true," Wulf said. "Actually it is. You just have to decide if you're strong enough, brave enough, to seize it and make ityours (Acheron).
Ellis Peters, The Heretic's Apprentice|They sell courage of a sort in the taverns. And another sort, though not for sale, a man can find in the confessional. Try the alehouses and the churches, Hugh. In either a man can be quiet and think.
Karen   White, The Beach Trees|The word that came to me now was "defiant." Because a person had to be defiant to be able to stand amid the wreckage of her life and instead of shaking a fist, pick up a hammer.
Louisa Young, My Dear I Wanted to Tell You|Courage for the big troubles in life, lad' he'd say, 'and patience for the small. Be of good cheer. God is awake.
William Shakespeare, Macbeth|Macbeth:If we should fail?Lady Macbeth:We fail?But screw your courage to the sticking place,And we'll not fail.
R.M. Ballantyne|Boys [should be] inured from childhood to trifling risks and slight dangers of every possible description, such as tumbling into ponds and off of trees, etc., in order to strengthen their nervous system... They ought to practice leaping off heights into deep water. They ought never to hesitate to cross a stream over a narrow unsafe plank for fear of a ducking. They ought never to decline to climb up a tree, to pull fruit merely because there is a possibility of their falling off and breaking their necks. I firmly believe that boys were intended to encounter all kinds of risks, in order to prepare them to meet and grapple with risks and dangers incident to man’s career with cool, cautious self-possession...
Edward Lewis Wallant, The Tenants of Moonbloom|Courage, Love, Illusion (or dream, if you will) -- he who possesses all three, or two, or at least one of these things wins whatever there is to win; those who lack all three are the failures.
Toni Sorenson|Courage is not beating up the bully or letting the bully beat you up, it is standing strong before the bully and seeing him for what he truly is: a child of God in need of an attitude adjustment.
Elizabeth Alder, The King's Shadow|There is no magic herb that makes a brave man. Courage is knowing that what you do is necessary. Don't doubt yourself, Shadow. There is more valor in your heart than you realize.
L. Frank Baum|Courage~ What makes the flag on the mast to wave? What makes the elephant charge his tusk in the misty mist, or the dusky dusk? What makes the muskrat guard his musk? Courage! What makes the sphinx the seventh wonder? Courage! What makes the dawn come up like thunder? Courage! What makes the Hottentot so hot? What puts the "ape" in apricot?~Cowardly Lion from the Wizard of Oz
Ralph Waldo Emerson|Valor consists in the power of self-recovery, so that a man cannot have his flank turned, cannot be out-generalled, but put him where you will, he stands. This can only be by his preferring truth to his past apprehension of truth; and his alert acceptance of it, from whatever quarter; the intrepid conviction that his laws, his relations to society, his Christianity, his world may at any time be superseded and decease.
Harper Lee, To Kill a Mockingbird|Thought you could kill my Snow-on-the-Mountain, did you? Well, Jessie says that the top's growing back out. Next time you'll know how to do it right, won't you? You'll pull it up by the roots, won't you?
Meredith Ann Pierce, Birth of the Firebringer|He was lost. He knew it. He had neither the size nor the strength to defeat her, and she had him cornered. But he would fight. He was a warrior, the prince-son of the unicorns, and he meant to go down fighting. There would be no songs to mark his death; and none of his people would even know. But he had saved Korr and the others of the band. It was noon — they were safe out of the hills by now, and none of the rest of it mattered.
Jean Paul Friedrich Richter|Courage consists, not in blindly overlooking danger, but in seeing and conquering it.
Louise Penny, The Brutal Telling|Where there is love there is courage,where there is courage there is peace,where there is peace there is God.And when you have God, you have everything.
Khaled Hosseini, And the Mountains Echoed|you say you have no courage, but i see it in you. what you did, the burden you agreed to shoulder, took courage. for that, i honor you.
Kamila Shamsie|So she became a woman who held her head high, not in arrogance, or contempt, but because she knew that it was a form of cowardice to make a choice and then pretend you didn’t really make it
Richelle E. Goodrich, Smile Anyway|Laughing in the face of danger doesn't negate the fear, it simply enables you to smile at it.
Sujit Lalwani, Life Simplified!|Stop walking with a ‘calendar’. It’s capable of ruining your fate, by showing you the date & limiting your courage, by reminding you of your age.
Kamila Shamsie, Kartography|Come on! Think of Miandad hitting that six off Sharma. If he could do that, you can do this.
Brené Brown, The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are|Ordinary courage is about putting our vulnerability on the line. In today’s world, that’s pretty extraordinary.
Donna Lynn Hope|I have a deep appreciation for anything that challenges my morality. I tend to wonder which thing or person might overpower my beliefs and would I avoid it altogether in order to say, "It didn't conquer me," or would I accept the challenge head-on in an attempt to prevail? Which requires greater courage?
Craig D. Lounsbrough|If the amount of times we get up is just one less than the amount of times that we've been knocked down, then we're spending our lives lying down.
Mehmet Murat ildan|A journey to the unknown shores needs a port, a ship, a wind; but more important than all of them: Courage; courage to leave the known for the unknown!
H. Raven Rose, Caffè Latte|Oh, my god, he thought, realizing why he had always felt negatively towards Eden. She reminds me of my mother. The thought made his throat close up tight. He mused about the day's events. What a ride. Edward had surprised him. The man had courage, committing to love. What had he said to that starlet, none of it meant anything?
Josie Sigler, The Galaxie and Other Rides|As a man begins to understand the sacrifices he must make to live the life he dreams of, he often loses his courage for such a life.
William Makepeace Thackeray, Barry Lyndon|Let the man who has to make his fortune in life remember this maxim. Attacking is his only secret. Dare, and the world always yields: or, if it beat you sometimes, dare again, and it will succumb.
Gail Blanke|Courage comes with action. The minute you step forward, the minute you declare your decision, the minute you say, "This is how it's going to go," courage comes. It floods through you and energizes every single fiber of your being. You don't have to wait for it. It'll be there.
Sherrilyn Kenyon, Dream Warrior|When you feel deep, paralyzing fear and you don't let it stop you, that is true courage. There's never bravery without fear. Just as there's no love without hate. (M'Adoc)
Lynna Banning|Courage is not walking into battle with no fear - you should know this as a soldier. Courage is feeling great fear, but walking forward anyway.Lady Lavender by Lynna Banning
L. Frank Baum, Rinkitink in Oz|Like all bullies and marauders, Gos was a coward at heart
Markus Zusak, Getting the Girl|I told her I loved the howling sound of her harmonica. That seemed to be the limit of my courage that night, and even those spoken words had to struggle their way out of my mouth. It's all very well for words to build bridges, but sometimes I think it's a matter of knowing when to do it. Knowing when the time's right.
Mary Wollstonecraft Shelley|What do you mean? What do you demand of your captain? Are you then so easily turned from your design? Did you not call this a glorious expedition? And wherefore was it glorious? Not because the way was smooth and placid as a southern sea, but because it was full of dangers and terror; because at every new incident your fortitude was to be called forth and your courage exhibited; because danger and death surrounded it, and these you were to brave and overcome. For this was it a glorious, for this was it an honourable undertaking. You were hereafter to be hailed as the benefactors of your species; your names adored as belonging to brave men who encountered death for honour and the benefit of mankind. And now, behold, with the first imagination of danger, or, if you will, the first mighty and terrific trial of your courage, you shrink away, and are content to be handed down as men who had not strength enough to endure cold and peril; and so, poor souls, they were chilly and returned to their warm firesides. Why that requires not this preparation; ye need not have come thus far, and dragged your captain to the shame of a defeat, merely to prove yourselves cowards. Oh! be men, or be more than men. Be steady to your purposes and firm as a rock. This ice is not made of such stuff as your hearts may be; it is mutable and cannot withstand you if you say that it shall not. Do not return to your families with the stigma of disgrace marked on your brows. Return as heroes who have fought and conquered, and who know not what it is to turn their backs on the foe.
Mehmet Murat ildan|We don't move with our legs and arms, but with courage and will power.
V.S. Carnes|He squinted at her. He recalled the tears in her eyes that had not fallen into her teacup. No, it wasn’t a revelation. Not even to him. Yet, this was the same woman who had stolen a camel right out from under the Anti-Zionist army’s nose. She’d taken his hand, thrown herself down a sand dune on a dare, and then beaten him back up it. She’d glared at him and refused to part from his side. A coward? “Never,” he said again.
Bruce Schneier|Terrorism isn't a crime against people or property. It's a crime against our minds, using the death of innocents and destruction of property to make us fearful. Terrorists use the media to magnify their actions and further spread fear. And when we react out of fear, when we change our policy to make our country less open, the terrorists succeed -- even if their attacks fail. But when we refuse to be terrorized, when we're indomitable in the face of terror, the terrorists fail -- even if their attacks succeed.
H.E. Davey, Japanese Yoga: The Way of Dynamic Meditation|A strong life force can be seen in physical vitality, courage, competent judgment, self-mastery, sexual vigor, and the realization of each person’s unique talents and purpose in life. To maintain a powerful life force, forget yourself, forget about living and dying, and bring your full attention into this moment.
Maria Woodworth-Etter|I was very timid, and bound as with chains in a man-fearing spirit. When I arose to testify I trembled like a leaf, and began to make excuses - O God, send someone else! Then the Lord in a vision caused me to see the bottomless pit open in all its horror and woe. There was weeping and wailing and gnashing of teeth. It was surrounded by a great multitude of people who seemed unconscious of their danger, and without a moments warning they would tumble into this awful place. I was above the people on a narrow plank-walk, which wound up toward heaven; and I was exhorting and pleading with the people to come upon the plank and escape that awful place. Several started.There was a beautiful bright light above me, and I was encouraging them to follow that light and they would go straight to heaven."In all these trials God was preparing me and opening the way for the great battle against the enemy of souls and now the great desire of my heart was to work for Jesus. I longed to win a star for the Savior's crown.
David T. Dellinger, From Yale to Jail: The Life Story of a Moral Dissenter|There is a heady sense of manhood that comes from advancing from apathy to commitment, from timidity to courage, from passivity to aggressiveness. There is an intoxication that comes from standing up to the police at last.
Erin Bow, Plain Kate|I am not sure I can.""Become sure," said the cat, his eyes flashing green in the firelight. "Once you leap on a boar's back, you can't sheath your claws.
Margaret McMullan, Sources of Light|Why did you marry Dad, Mom?" My mother sniffled through her nose, looked at me, then smiled. "I wanted something more and he was it. We both had big dreams." "That must have taken a lot of courage," I said. "To marry Dad. He was so different from you.""It was hardly courageous. It was just the only thing to do. We were in love.
Paul Collier, The Bottom Billion: Why the Poorest Countries Are Failing and What Can Be Done About It|Launching a turnaround takes courage. I cannot measure that and so it is not going to be included in my analysis, but behind the moments of change there are always a few people within these societies who have decided to try to make a difference.
Deborah Wiles, Countdown|A hero can be afraid, but a hero never runs away.
Bram Stoker, Dracula|What a fine fellow is Quincey! I believe in my heart of hearts that he suffered as much about Lucy’s death as any of us, but he bore himself through it like a moral Viking. If America can go on breeding men like that, she will be a power in the world indeed.
Steven J. Carroll, In the Window Room|Nearly all men have weak hearts, in one way or another.
Stephen M. Irwin, The Dead Path|She put her tongue out and felt the raw edges of the torn silk. She looped her tongue around them and drew them into her teeth. Just a little bit, she thought, that's all I need to free my eyelids. She pulled the tasteless web between her teeth and ground, pulling her jaw down in a grimace - it felt as it she was eating the very skin off her face. But the silk over her eyelids shifted.
José N. Harris, Mi Vida|Fighting can be like champagne. It can go to the head of a coward as quickly as of a hero. Anyone has the ability to be brave on a battlefield; when you are forced with the choice of: Be brave or... be killed.You may not realize it, but most of us have the chance to be heroes off the battlefield. When we take a stance and find our inner courage, instead of looking the other direction when we encounter evilness or oppression.
Brené Brown, Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone|People often silence themselves, or "agree to disagree" without fully exploring the actual nature of the disagreement, for the sake of protecting a relationship and maintaining connection. But when we avoid certain conversations, and never fully learn how the other person feels about all of the issues, we sometimes end up making assumptions that not only perpetuate but deepen misunderstandings, and that can generate resentment.
John Christopher, The Sword of the Spirits|A man faced death, but when death drew back forgot it until the next time.
