Cassandra Clare|I think that's just a story.""But, Jace," she said. "All stories are true.
Paula Millhouse, Dragonstone|How much Romance do you like in your Fantasy? And, respectively, how much Questing do you like in your Romance?
Pippa DaCosta, Wings Of Hope|We are not so different, and yet we are worlds apart." Ahkeel/Akil, The Veil Series prequel.
Terry Pratchett, A Slip of the Keyboard: Collected Non-Fiction|Far more beguiling than the idea that evil can be destroyed by throwing a piece of expensive jewelry into a volcano is the possibility that evil can be defused by talking. The fantasy of justice is more interesting than the fantasy of fairies, and more truly fantastic.
J.A. Ironside, I Belong to the Earth|Every time I had things straight in my head abouthim, I saw him smile or crook an eyebrow, and all my sensible reasons on why I couldn’t have feelings for him seemed redundant.
J.A. Ironside, I Belong to the Earth|Maybe because I knew Haze and Kate so well by then the passage leapt out at me, clear and sharp as di
Jack Vance, The Green Pearl|Where was his knife, upon which he relied? He had cut cheese for their noonday meal, and had packed the knife away with the cheese.Aillas said: 'Sir, before we continue with this matter, may I offer you a bite of cheese?''I care for no cheese, though it is an amusing concept.''In that case, allow me a moment while I cut a morsel or two for myself, as I hunger.''I have no time to spare while you eat cheese; prepare instead for death.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|What they teach you as history is mythology, and true mythology is far from fantasy - every kind reveals true fragments of our real history. A bulk of our real history can be found in Egyptian and Greek mythology. Yes, myths reveal to us worlds of other dimensions that make up our true reality. History books teach us that the minds of the past operated on the same frequency, dimension, or level of consciousness as we do now. Not true at all.
J.A. Ironside, I Belong to the Earth|Oh r-really? Do t-tell?” I quirked an eyebrow back at him.“Well, usually it’s best to take your shoes and socks off before you step in the stream, better balance on an uneven surface. Also, you avoid that unpleasant squelchy feeling when you wear the shoes againlater.” He paused, smirking. “Also, ifI was going to paddle barefoot “I was going to paddle barefoot upstream in Yorkshire, I’d wait until at least May before I tried it. But you go ahead, love. You’re clearly a Spartan lass.
J.A. Ironside|Hey now, wait a second. When will I see you again? You can’t leave a poor lad dangling like that!”His look of bewilderment made me bite my lip to keep from laughing.“Why would you w-want to?” The words were out before I could stop them. A rare occurrence for me. And now I seemed pathetically needy. Very attractive.“Because I love a pair of pretty green eyes.” He grinned.
J.A. Ironside, I Belong to the Earth|This is m-me.” I indicated the lonely track.“Really? What’s up there?” He peered over my shoulder in genuine curiosity. “Is there a house up there? You’re not a sylph or something that really does live wild, are you?
T.B. Schmid|From Bralloc’s mounted position he could see over the heads of most of his men, but the thickening darkness of evening coupled with the storm made it impossible to see more than a few yards. He jerked at the reins and swung his horse around, pushing into the crowd. The large grey charger was nearly as mean-spirited as her owner; she snorted and bucked her head, then nipped, stomped and shoved her way through, giving every indication that she was enjoying herself. His men drew to either side, and the crawling excitement in Bralloc’s belly became an angry swarm of insects. The scout – the ballsy woman whose name he could never remember - stood several paces away. Bralloc paid her no heed, however, and the mixture of nervousness, relief and fear on her face didn’t even register in his mind: his eyes were locked on the captive at her side. His lips twitched into a smile and he licked them, like a ghoul eyeing a fresh corpse. He forced himself to move slowly, deliberately – sucking each individual drop of marrow from the bones of his anticipation..."-From 'Feral
Terry Pratchett|Too much alleged ‘fantasy’ is just empty sugar, life with the crusts cut off.
J.A. Ironside, I Belong to the Earth|Oh r-really? Do t-tell?” I quirked an eyebrow back at him.  “Well, usually it’s best to take your shoes and socks off before you step in the stream, better balance on an uneven surface. Also, you avoid that unpleasant squelchy feeling when you wear the shoes again later.” He paused, smirking. “Also, if I was going to paddle barefoot upstream in Yorkshire, I’d wait until at least May before I tried it. But you go ahead, love. You’re clearly a Spartan lass.
J.A. Ironside, I Belong to the Earth|How did you get so scratched up then, Emlynn?” He looked at me uncertainly again.I felt wildly like laughing. Too many swooping highs and plummeting lows. What a weird fewdays. Weird being a massive understatement.“Cr-Crawling through gorse bushes.” I took a perverse delight in answering his questions in a way that told him nothing at all. I’d never paid much attention to boys before. Maybe Grace was onto something after all.“Crawling through gorse,” he repeated. “Part of your action-girl antics, no doubt?”“N-no doubt.” I smirked again.
Ed Lynskey, The Quetzal Motel|He peeled out the banknotes from inside a billfold held on a chain and paid her. Andy Jackson’s eyes were X’d out. For an edgy instant she wondered if his money was counterfeit. She also noted his missing middle finger, and a skull tattoo decorated his sinewy wrist.She put down the card key. “You’re in Seven, straight down the courtyard.”He slid the card key off, but it fell to the floor. "Oops. Ihaven’t gotten used to this high gravity.”“I beg your pardon?”“Nothing. I’m just punchy from all the driving.
Robert Jordan|Oh, how long were the days of a man.When he strode upon the broken land.He sailed as far as a man could steer.And he never wished to lose his fear.For the fear of man is a thing untold.It keeps him safe, and it proves him bold!Don’t let fear make you cease to strive,for that fear it proves you remain alive!I will walk this broken road,and I will carry a heavy load!So come at me with your awful lies,I’m a man of truth and I’ll meet your eyes!
J.A. Ironside, I Belong to the Earth|Tangled onto the shuttle, we were being woven back and forth to create the same tapestry of despair and heartbreak and loss. It was so muchbigger than I could see before, and all I had done was stand at the centre of the web and feed it my anger and frustration and jealousy.
J.A. Ironside, Reading is Magic|My love, a person is better judged by how they treat their inferiors than their betters. That is the true measure of a man, or a woman. Think you that you are so far above Lata?""If I am to be your wife then I shall be far above her and she had better do as she is told if she wants to stay employed here!""I've ruined you. My poor little mango seller." Nadir let go of my wrist and stepped away, his face hardening. "You shall not be my wife if you cannot treat people with the respect they not only deserve, but earn every day by working so hard for it!"'Mangoes
Nathalie M. Llanto|Once I finished reading a good book, it gives me a hard time coping up with reality.
Brian A. McBride, Dominion|Such a distant, forgotten thing, this Light.
Brian A. McBride, Paradox|From now until eternity meets its end, you will walk by faith and not by sight.
Fennel Hudson, A Waterside Year - Fennel's Journal - No. 2|As the daydreams grew longer, the distinction between what was real and what was imaginary grew less. Soon I existed in a blissful world of my own creation.
Jen Crane, Rare Form|I could not recall the last time I had been so flagrantly insulted.Don't make enemies, I told myself.Swallow your pride.Hold your tongue.But the fact was, I had real difficulty with those particular virtues.
Jonathan Stroud, The Ring of Solomon|The Evasive Cartwheel ™ © etc., Bartimaeus of Uruk, circa. 2800 B.C.E. Often imitated, never surpassed. As famously memorialized in the New Kingdom tomb paintings of Ramses III— you can just see me in the background of The Dedication of the Royal Family before Ra, wheeling out of sight behind the pharaoh.
Salman Rushdie|Among the great struggles of man-good/evil, reason/unreason, etc.-there is also this mighty conflict between the fantasy of Home and the fantasy of Away, the dream of roots and the mirage of the journey.
Brian A. McBride, Dominion|Am I your weakness?""Of course you are.
Jen Crane, Rare Form|At his words not my body, but my soul bucked, decimating barriers that until then had been untouched.
M.A. George, Aqua|You’re injured.” He flicks his chin at my bleeding leg.“We need to get that cleaned up.”“It’ll be fine,” I wave it off. “My mom will descend upon me with a bottle ofperoxide the second I hit the door.
Michael Scott, The Sorceress|With a tremendous effort, Areop-Enap opened all its eyes. " I am sorry to leave you alone and defenseless."Perenelle sealed the spider Elder into the huge cocoon of web, then turned and strode across the room. The tiniest breeze swept the floor clean before her. " I am Perenelle Flamel, the Sorceress,"she said aloud, unsure whether Aerop-Enap could hear her. "And I am never defenseless.
A.N. Jones|Perhaps when I first arrived on this world so long ago I may have known more. Now, though, I do not have knowledge of as much as I used to. The years, many of them, have changed this world and the great societies flourish with change. Although I feel nothing but pride for this, I am saddened as well. For as the changes occur my knowledge of this world dwindles. As such, I seek to learn, to regain that which I have lost. Do you now understand?" ~ except from "Raging Land", book 2 of 3 in the "Patrons of Earth" Trilogy by A. N. Jones (quote is subject to change)
Robert Jordan|I'm not a clever man, but I'm willing to listen to people who are, and I think you are. Just don't try poking me in the direction you want me to go. I don't like that Master Balwer.
M.A. George, Aqua|He’s close enough now that I can hear his footfall on the pavement, and I knowmy chances of outrunning him are slim. I’m practically in a full sprint, and mypounding heart is begging me to take it down a notch. I try to will my feet to keep pace with its beat; but I think it’s humanly impossible to run that fast. And then it dawns on me that my footsteps are the only ones I hear. Somewhere along the way, Tristan’s must have come to a stop. And I can’t quite explain why I’m running this fast in the first place. I slow to a jog, intending to just pick up with my original pace; but I can’t seem to suck in breaths fast enough to propel my feet any further. My molten shoes stutter to a stop, as my hands come to rest on my knees. I’m still wheezily sucking in breath after breath of thick, humid air, when I warily turn tolook over my shoulder.Tristan’s standing about fifty feet back, hands on his hips and a comp
Elizabeth Varlet, Abounding Dawn|She was the lover of two mighty kings.She was their Chalice.The certainty of the knowledge settled over her shoulders like a weighty mantle. She might not know where she came from, but she knew where she was going. She knew who she wanted to be, who she was.She was the queen of Amendal, leader and protector of the dal.Time to start acting the part. She stood and pulled them up with her. Amendal was still in danger, and she would not stand for it any longer.By Aiea, and all the gods of Odren, no more would die today.
Zachary Jernigan, Shower of Stones|He patted the side of the wyrm's head. The animal did not react: it was a stone fallen from the sky, still smoldering.
Ramana Pemmaraju|The irony of life is we always compare our fantasies with reality, rather than accepting the reality as is and transforming it into a paradise....
M.A. George|He’s close enough now that I can hear his footfall on the pavement, and I knowmy chances of outrunning him are slim. I’m practically in a full sprint, and my pounding heart is begging me to take it down a notch. I try to will my feet to keep pace with its beat; but I think it’s humanly impossible to run that fast. And then it dawns on me that my footsteps are the only ones I hear. Somewhere along the way, Tristan’s must have come to a stop. And I can’t quite explain why I’m running this fast in the first place. I slow to a jog, intending to just pick up with my original pace; but I can’t seem to suck in breaths fast enough to propel my feet any further. My molten shoes stutter to a stop, as my hands come to rest on my knees. I’m stillwheezily sucking in breath after breath of thick, humid air, when I warily turn to look over my shoulder.Tristan’s standing about fifty feet back, hands on his hips and a comp
M.A. George, Aqua|As one of the little streams starts snaking my way, inching closer to the toe of my shoe, I hop over the spreading puddle and out of its reach. I don’t look back to see if it’s going to follow me. I’m already three blocks away and still gaining speed
M.A. George, Aqua|All kidding aside…” I focus back on Pyke, genuine sincerity in my tone.“Thank you…for everything. For dragging my ‘clueless ass’ through the ocean, andover hill and vale, when you knew it was futile and stupid—but that I’d still try to do it, with or without your help. Thanks for tracking me down when I was alone and helpless; and for giving me a voice when I thought all hope was lost—”“Ugh, for crying out loud…Enough already,” Pyke squirms, a nauseatedgrimace twisting his hairy face. “Now you’re going way overboard with thegratitude…That kind of gushy crap is meant to be dished out in small doses,” he gripes. “Please make it stop…before I have to snap my own neck, just to end the suffering.” He backs away into the crowd, giving Tristan’s shoulder one more slap with a sly wink. “Hurry up, Man, and do something. Kiss her, muzzle her…shove a sock in her mouth—
M.A. George, Aqua|Fair enough…No inhaling battery acid,” I smirk. “We can’t breathe batteryacid, can we?
D.C. Farmer, The 400lb Gorilla|Matt shrugged. It was a good shrug, too. All it was missing was a beret, a stripy shirt and a Gauloise cigarette.
Brian A. McBride, Dominion|War is an infidel; it holds no loyalties, neither to king nor countryman. She is a whore, selling herself to the highest bidder. Victory is bought in blood and steel.
C. J. Brightley|Men aren't an inexhaustible resource, even for a king. Soldiers must have faith that their sacrifices are worthwhile.
Leah Raeder, Black Iris|Most of the time romance isn't even about love, anyway. It's about escape. Fantasy. Salvation from the mundane. Save me from boredom, from exhaustion, from my undersexed body, from microwave dinners and reality TV, from going to bed alone with a vibrator or a cat. Save me from my desperately ordinary life.
Criss Jami, Healology|Nightmares are seldom a foreshadowing of real events, but always a showing of real fears.
Tanzy Sayadi, Write like no one is reading 2|He danced across my heart like a pirate,Constantly discovering my secrets,Turning over every hidden treasure,Drowning me in his fantasy.
Alice Hoffman, Nightbird|It was a miracle to live as birds do, except for one thing: anyone seen in flight would surely be captured, perhaps even shot down like a crow flying above a cornfield. It's always dangerous to be different, to appear as a monster in most people's eyes, even from a distance.
LeAnne Mechelle, Write like no one is reading 2|I crossed oceans for you,Turned over every rock,Climbed the highest mountains,Holding on to the words you said,Reliving your touch inside my head,The taste of you on the tip of my tongue,Only to be left with you as only a fantasy inside my head.
Dorothy Gravelle, Paradox Love|Fine. Fine. Let’s try. You asked why bad things happen to good people. Well, the simple answer is, there are no bad things and there are no good people. Nothing bad ever happens to anyone and people are neither good nor bad. A person is nothing. A person does not exist. There are no people.
Michelle West|My Ona Elena once told me something important," Adam said, hesitant now that the force of Levec's anger had deserted him. "Happiness is like a seed." Before Levec could speak, Adam lifted a hand. "She said that anger and hatred and love are like seeds as well. All the things we feel that endure, are.""And we are?""Dirt," Adam replied."I might agree with that statement, but I'm certain you intend to go elsewhere with it.""We are earth. But we are like different types of earth, in different climates. Not all seeds that fall from a tree take root. Not all things that take root survive. We cannot be given happiness. Only the seed of it. We might not recognize the seed," he added. "Because we can't see the tree it might become. We are surrounded by trees, and the seeds in our hands looks nothing like them."For some, the earth is damp and fertile, and all seeds take root. But for others, the earth is hard, and water scarce. Elena believed that no man--or woman--starts life as a desert. But without trees, any many or woman can become one." - Adam
Angela B. Chrysler, Dolor and Shadow|Hjuki and BilHjuki and Bil chased the moon,With waters from Byrgir’s well,Upon their shoulders they did share,Simul the pole and Saegr.‘Mani,’ they cried and chased the sky,‘From Byrgir whence we came,To water the earth and water your drink,And water the seas with rain’.Hati looked back and Skol ahead,But Mani gave no reply,For Hjuki he took, and bent his crook,And Bil was taken thereafter.Hjuki and Bil still chase the moon,From Byrgir whence they came,To water the earth and water the drink,And water the seas with rain.
Angela B. Chrysler, Dolor and Shadow|With mouths agape, they stared in awe at the floor of fire and wall of flame. Atop a horse of golden flames that whipped and licked the leather reins, untouched by the fire that twisted and burned, sat Heimdallr, guardian of the Bilrost.
Angela B. Chrysler|I should kill you,” Kallan whispered, “and watch your blood run with the cries of my people. If I kill you, all my troubles end. And I go home to Lorlenalin, my father’s death avenged.
Angela B. Chrysler, Dolor and Shadow|In death we vanquished enemies,In death, we slew our foes.Blood soaked rage engulfed our blades,When blood lust took its hold.–In death, a darkness troubled one,In death, concealed, undone.Deep in darkness dragons wait,When blood would set the sun.–In death, we glorified his name.In death, we saw too late,When drink, to him, we raised in praise,The dragon sealed his fate.–In death, we lived. In death, we fought.In death, we grew to hate.In death, the blackened wraith released,The blinded shade beneath.–In death, his darkened eyes grew dim.In death, his mind was lost within.With blackened eyes, he slew his kin,In death, we lost to him.–In death, I took up sword and slew.In death, the dragon’s wrath ensued.We had no choice. The dragon fumed.In death, he was consumed.–In death, our brother’s blood deplored,In death, our brother, did I gore,When I rose up and killed one more.His blood ensconced my sword.–From death, his mutterings are weak.From death, his voice, to me, it speaks.Entombed within my brother’s keep,Revived in death, he sleeps.
Angela B. Chrysler|Think back to the oldest era your mind can fathom, back beyond everything we can remember, when gods were still men who had not yet lived the deeds that would deify them.
Alice Hoffman|I'm trying to find someone who doesn't want to be found.""That can be as hard as looking for a shadow.
Alice Hoffman|He was withdrawing. I think it was getting harder for him to accept his fate. Like a bird in a cage, he grew silent.
Alice Hoffman|James had a theory about caged birds, one he hoped to prove when he became a scientist someday. He believed that all birds that had their freedom taken from them eventually lost their voices. Once that happened, they could never find their true song.
Alan Kinross, Longinus the Vampire|Lilith came to Longinus in the night, as she often did, and the darkness of the cave was filled with the lustful sounds of their passionate couplings. Afterwards, as he lay back with his eyes closed, she ran her cool fingers playfully across his chest and whispered honeyed words in his ear.
Alice Hoffman|It's still horrible to wish the worst on anyone. I'm sure she had her reasons. Maybe people hurt her feelings, the same way I was hurt. A single word can feel like a rock being thrown at you.
Anne Bishop|Why?"He stopped pacing and looked at her as if she'd just asked him to count every leaf on every tree in the Old Place. "Because... you're you.
Zechariah Barrett|A dream? With you, reality is always as a dream. There is no greater fantasy, no grander epic, than being with you.
Richelle E. Goodrich, Making Wishes|How crazy it would be if the moon did spin and the earth stood still and the sun went dim!How absolutely ludicrous if snakes could walk and kids could fly and mimes did talk!How silly it would be if the nights were tan and the mornings green and the sun cyan!How totally ridiculous if horses chirped and spiders sang and ladies burped!How shocking it would be if the dragons ruled and the knights were daft but the fish were schooled!How utterly preposterous if rain were dry and snowflakes warm and real men cried!I love to just imagineall the lows as heights,and the salty, sweet,and our lefts as rights.Perhaps it is incredibleand off the hook,but it all makes sensein a storybook! 
Alex E. Carey, Earth's Embrace|When the time comes, don’t be afraid to open the door, just make sure you choose the right one.
D.F. Monk, Tales of Yhore: The Chronicles of Monch|Wynter's Pass was a picturesque region in the north of Vohlfhein, where the Bleak Hills eventually collapsed into the Frozen Sea. From the back of Mr. Buckles, who had been on a slow trot since sunrise, Monch watched the light glisten off of the frozen branches of the evergreens. As the sun warmed the frozen ground, sending the evening's frost into retreat, Monch absorbed the splendor of it all and wondered how expensive the local real estate must be around here. He then contemplated attempting to find an agent that would represent his interests well."This land is such a spectacular wonder," the Lion of Ahriman declared. "It would be very much sought after if they could just do something about the bears, the White Orts, the wolves, the bloodthirsty cannibals, the snow manapés, the frost wizards, the northern bandit gangs, the dire lynxes, the similarly sounding but not related pygmy bloodthirsty cannibals, the demon possessed yaks, the dead-soul animated trees, the..." Monch paused for a moment."It just occurred to me that this land is really not safe at all. It seems almost everything in it wants to kill me," the Templar admitted.
Terry Pratchett|- "Surely you have considered terrorist activity?"There was another pause. Then the spokesman said, in the quiet tones of someone who has had enough and who is going to quit after this and raise chickens somewhere, "Yes, I suppose we must. All we need to do is find some terrorists who are capable of taking an entire nuclear reactor out of its can while it's running and without anyone noticing. It weighs about a thousand tons and is forty feet high. So they'll be quite strong terrorists. Perhaps you'd like to ring them up, sir, and ask them questions in that supercilious, accusatory way of yours."-- The BBC interviews a nuclear spokesperson (Terry Pratchett & Neil Gaiman, Good Omens)
Barbara T. Cerny, Shield of the Palidine|By the second cycle of the solstice of the warm time, the One will face the enemy. And the One will unearth the Shield of the Northern Lights and smote the enemy with daring and intelligence. The heart of the One is pious and evil will cower. Couatl will rise.
Ana Franco, Down the Wormhole|Oh. Now you are not so afraid, then?"Kitty opened her mouth, indignant. "I was not afraid before! I was... shocked. How many times do you see your orphanage roommate be able to turn someone into stone?""Every time I look in the mirror.
Alex E. Carey, Earth's Embrace|Love when you can, and fight when you must, but stand together and never give up, not to the enemy, and not on each other.
Don Roff|I write fiction. It may have mystery, it may have horror, it may have fantasy, it may have love, but like life, it's all the same genre.
Scott Kaelen, Falling|With the fading of the final notes the saxophone player turns to me. Its baleful, otherworldly gaze bores into my soul. It lowers its instrument to the disc and extends a podgy, grey hand to point at me. It looms closer, its head expanding, arm elongating. A clammy digit brushes the tip of my nose and a tingling numbness spreads over my face like an ice-cold spider web. 	A voice like the rustle of dried leaves whispers inside my head: “Forever…” The last syllable stretches, just like my grandfather’s dying breath.	And the beady, black orbs are no longer eyes but deep, obsidian pits…
Alex E. Carey, Earth's Embrace|Everything changes, and there’s no denying that. But change isn’t always bad, as long as you hold onto who you truly are, and hold onto each other.
Gary Meehan, True Dark|He continued to attack the gate. His arm started to ache. The hammer was designed for neither brute nor force. "Are you all right up there?" asked Eleanor. "Want me to go see if I can find a small child to give you a lift?" "Maybe if we swapped positions and you condescended at the gate, we'd get through faster?
Isabella Rogge, Sanguine Moon|Together we can take this world, and all those whose knees have never felt the sting of the earth will bow to us
H.R. Kasper, The Mirror|Come, Leigh, come with me...
Scott Kaelen, Island in the Sands|A crush of bodies surrounded the featureless monument. The enraged dead clambered atop their ghastly kin. Caiaphas tucked his knees to his chest and hugged his legs tightly, staring at the scores of ragged, flailing hands as they scratched for purchase over the edge of the cylinder. Metal thrummed and thunder roared, filling his head.	Now there were words within the deafening roar. 	“Straaaange,” they seemed to say. 		“Daaaace…”	“Straaaangerrrr…”	Then a quick, awful chant: “CAIAPHAS! FOREVER! CAI—”	And with a piercing whistle it ended as his eardrums burst.
Joe Abercrombie|it was like staring at a whitewashed wall, but without all the emotion
Criss Jami, Healology|It is so easy at times for a lonely individual to begin fantasizing about what the people outside are saying about him and, in result, irrationally and fearfully, and sometimes angrily, fancy himself a villain.
Rachel A. Marks, Darkness Brutal|Without thinking, I step a little closer, reaching out slowly to slide a fingertip over the largest petal of the lily tattoo on her lower back. Instantly a vibration moves up my arm, and I swear the mark on my hand burns against my skin.I clench my fingers into a fist, but I don’t step away.“Did you feel that?” she asks.I shake my head. “I don’t know.” I feel so much, always so much.She takes my hand and brings it to her side again, resting it on the violets. I look at thepurple flowers between my fingers and feel the heat of her skin, the way it slides beneath my palm, soft as silk. And that vibration moves through my arm again.Her breath quickens.I find myself moving closer as her blue eyes go wide with wonder. My heart stutters and my chest aches with some unknown need.“Are you doing this?” I ask. Is she making me want this?“No,” she breathes. The smell of her turns to spice, sharp and warm, and I know I’m sensing her now, even through the block in the house.We stand like that for an eternity, still as statues on the outside, but inside I’m running, running toward a place I’ve never been. I should be terrified. But all I feel is strength. Rightness.And then Kara moves, her hands skimming up my chest, testing the boundaries. Her palms slide to my shoulders, her fingers tracing the line of the muscles in my arms, down to my waist. She grips my shirt, stretching it a little, waiting for me to tell her to stop. But I watch her lift it, let her pull it up, raising my arms, and I even take the last of it off myself, dropping it to the floor.We breathe, staring at each other.The vibrations move between us. My left arm buzzes with them. I think she’s doing it. Whatever’s happening, it’s her.I reach up and brush my marked knuckles across her cheek, amazed at the feel of her, the way her eyes seem to see everything, the way she pulls me into her. I can’t seem to remember why I shouldn’t kiss her. And kiss her. And . . .I kiss her, taking her face in both hands, skimming my thumb over her jaw as she leans into the touch, reaching out to curl her fingers around the back of my neck. I have to remind myself to breathe. I need more of her. The emotions roll over me in a rush, a tangle of sensation and movement, heat and sugar and heady aromas.I grip her tighter.Her nails dig into my shoulders. My hands slide down her spine. The kiss deepens, goes on forever, until I can barely see sense. I explore her shape, the feel of her ribs, the textures and taste of her skin on my tongue as I kiss her neck, her shoulders, her chest. As I draw trembling gasps from her lips, she grips me so hard it hurts.Our bodies mesh. Our breath mingles in frenzied desperation. Nothing else exists except her. Her warmth. Her spice. Her.
Terry Pratchett, The Color of Magic|I just think the world ought to be more sort of organized.''That's just fantasy,' said Twoflower.'I know. That's the trouble.' Rincewind sighed again.
Jill Knowles, Concubine|I am ewe to your ram. How can I call myself a man anymore?""The penis is a dead giveaway.
K.K. Allen, The Equinox|Holy sea turtles!" - Arabella Valli, The Equinox (Book Two of the Summer Solstice Series)
Michael Ende, The Neverending Story|There are people who can never go to Fantastica," said Mr. Coreander, "and others who can, but who stay there forever. And there are just a few who fo to fantastica and come back. Like you. And they make both world well again.
Hanif Kureishi|Freud wrote that love involves the undervaluation of reality and the overvaluation of the desired object. While the correct valuation of a person is an odd, if not impossible idea, we might say Freud meant something like this: for various reasons, many of them masochistic, we become involved with others who cannot possibly give what we ask for; we can wait as long as we wish, but they do not have it, and one day, if we bear to abandon our fantasy and see clearly, we might face reality straight on. We will then look elsewhere for fulfillment, to a place where our needs can, in fact, be satisfied.
Ursula K. Le Guin, From Elfland to Poughkeepsie|A fantasy is a journey. It is a journey into the subconscious mind, just as psychoanalysis is. Like psychoanalysis, it can be dangerous; and it will change you.
Ursula K. Le Guin|What is fantasy? On one level, of course, it is a game: a pure pretense with no ulterior motive whatever. It is one child saying to another child, “Let’s be dragons,” and then they’re dragons for an hour or two. It is escapism of the most admirable kind—the game played for the game’s sake. On another level, it is still a game, but a game played for very high stakes. Seen thus, as art, not spontaneous play, its affinity is not with daydream, but with dream. It is a different approach to reality, an alternative technique for apprehending and coping with existence. It is not antirational but pararational; not realistic, but surrealistic, superrealistic, a heightening of reality. In Freud’s terminology, it employs primary, not secondary process thinking. It employs archetypes, which, Jung warned us, are dangerous things. Dragons are more dangerous, and a good deal commoner, than bears. Fantasy is nearer to poetry, to mysticism, and to insanity than naturalistic fiction is. It is a real wilderness, and those who go there should not feel too safe. And their guides, the writers of fantasy, should take their responsibilities seriously.
Juliet Marillier, Wolfskin|Now he understood what it was to be a man: that it was to be weak as well as strong, to be foolish sometimes and wise sometimes, to know love as well as to kill. And he had learned that there were other paths for him, other gods who called in the deep places of the earth, in the lap of wavelets on the shore, in the breath of the wind. He had learned that there were other kinds of courage. He knew, with deep certainty, that the islands held a new path for him. He need only move forward and find it.
Truman Capote, Answered Prayers - The Unfinished Novel|Somewhere in this world there exists an exceptional philosopher named Florie Rotondo.The other day I came across one of her ruminations printed in a magazine devoted to the writings of schoolchildren. It said: “If I could do anything, I would go to the middle of our planet, Earth, and seek uranium, rubies, and gold. I'd look for Unspoiled Monsters. Then I'd move to the country. --Florie Rotondo, age 8.”Florie, honey, I know just what you mean – even if you don’t: how could you, age eight?
Jenna Lindsey, The Dragon's Breath|First, I'm a writer; I look at things from a different point of view. The untrained eye is the eye that sees what's been missed.Devon, from The Dragon's Breath by Jenna Lindsey
M. Larose, The Flower Eater|Inside the flower, within the very structure of its petals, my soul is an element of nature, at one with the blooming Meadow Pinx in the fields on the coast of Marnan.
Ursula K. Le Guin, The Unreal and the Real: Selected Stories, Volume One: Where on Earth|One of the rocks in my soulbag, a little grey rock that I had picked up on a certain day in a certain place in the hills above the river in the Silver Time, a little piece of my world, that became my world. |Every night I took it out and held it in my hand while I lay in bed waiting to sleep, thinking of the sunlight on the hills above the river, listening to the soft shushing of the ship’s systems, like a mechanical sea
Kai Leakes, Sin Eaters|Oooo wee! You see that chump go flying? Look’eah, nothing like charred demon to make a brotha feel right. - Calvin Freeman (Sineaters‬:Devotion Book One)
Larry Itejere, The Lamtin Star|Some truths are hard to swallow, so we share it within tales that most people will accept without being frightened by the truth hidden within.
John Moore|He turned his gaze upon her, and their eyes not only met, the pupils shook hands, exchanged business cards, and sat down for tea together.
Antoinette Turner, Cookies & Cream|The problem with Fate is that its own purpose is often hidden in the path of the journeyed, whether they realized it or not.
Kristyn Van Cleave|I love you all for bearing with me, whether I was asking your opinion on the best sources to base the magic in the book off of, hearing your suggestions on wording, or having an argument with you on just how "that sentence has completely correct grammar." On that note, also telling me when the fantasy just got way too cheesy.
Ursula K. Le Guin|I know perfectly well he's a god, too. But what I think is he'll be much godlier after he's dead.
Patrick Rothfuss, The Name of the Wind|Metal rusts, music lasts forever.
Tui T. Sutherland|Listen" Darkstalker said, "I could see the future, but not just any future- all the possible futures. Do you understand what that means? I could have guided the tribe along the best path, to safety and glory and power and everything else. At each crossroad, I would have known the right thing to do. I loved my tribe Moonwatcher. i would have been the best ruler they'd ever had. I know it; I saw the futures where I was king, benevolent and beloved, married to Clearsight with six little dragonets of our own. Those were possible. They could have happened, if anyone had faith in me.
Michael Ende, The Neverending Story|What do you suppose it means?'[Bastian] asked. ""DO WHAT YOU WISH.'" That must mean I can do anything I feel like. Don't you think so? All at once Grograman's face looked alarmingly grave, and his eyes glowed. 'No,' he said in his deep, rumbling voice. 'It means that you must do what you really and truly want. And nothing is more difficult.' 'What I really and truly want? What do you mean by that?' 'It's your own deepest secret and you yourself don't know it.' 'How can I find out?' 'By going the way of your wishes, from one to another, from first to last. It will take you to what you really and truly want.' 'That doesn't sound so hard,' said Bastian. 'It's the most dangerous of all journeys.' 'Why?' Bastian asked. 'I'm not afraid.' 'That isn't it,' Grograman rumbled. 'It requires the greatest honesty and vigilance, because there's no other journey on which it's so easy to lose yourself forever.
Michael Ende, The Neverending Story|The human world is full of weak-minded people, who think they're as clever as can be and are convinced that it's terribly important to persuade even the children that Fanstastica doesn't exist.
Lucian Bane, The Scribbler Guardian|Fiction is just a mirror of reality for the most part. Many things that happen in fiction don’t even happen here. But as far as pain and sadness. Joy and love, life and death, it’s all real here. Here it’s real.
Kelly Proudfoot, Delwyn of the Realms|One foot in each world, riding them simultaneously; expecting not to fall.
Karen Gammons, Phoenix|Dorian, I have wings!” “I can see that.” “What am I?” I asked, as chills ran up my spine. “I—I can’t be positive, because I have never seen one. But I think you’re a phoenix,” he said in amazement. “You are so beautiful.
Karen Gammons|Dorian sat quietly for a moment and then said, “We all straddle the abyss, Penny. If you never look down, how will you ever know who you are or what you will become? Your dad could never be ashamed of you, because falling in that abyss is part of the process of growing up.
