Santosh Kalwar|Born to be wild; born to be free; nobody owns you; you are, a romantic tree.
Rachel Gibson, Nothing But Trouble|I didn’t mean to fall in love with you, but I did.- Chelsea
Kresley Cole, A Hunger Like No Other|Emma turned to him, bottom lip trembling. “For me?” “Always for you. All things for you. He coughed into his fist “All your own.
Thomas Hardy, Tess of the D'Urbervilles|That it would always be summer and autumn, and you always courting me, and always thinking as much of me as you have done through the past summertime!
Nicole Krauss, The History of Love|When they write my obituary. Tomorrow. Or the next day. It will say, Leo Gursky is survived by an apartment full of shit
Huntley Fitzpatrick, My Life Next Door|This is Sailor Supergirl,” George says. “She knows all about black holes.
Ivan Rusilko, Appetizers|Your beauty took my breath away, but your mind has stopped my heart.
Emme Rollins|My task is set before me, girl My mission clear and true There’ll be black knights and dragons, girl But I will always come for you…
Pamela Clare, Hard Evidence|Her gaze met his, her blue eyes filled with confusion and terror – and love. If Julian hadn’t already been in love with her, that would have done it.
Julie James, A Lot like Love|Don't take this next undercover assignment. Stay with me instead."Nick's eyes pierced hers, refusing to let her off that easily. "Tell me why.""Because... I love you." She exhaled. No take-backs. The words were out there forever.And it felt great.
Jennifer Echols, Going Too Far|Why are you pretending to write, when I already know you're just doing that to intimidate me?
Daphne du Maurier, Rebecca|We've got a bond in common, you and I. We are both alone in the world.
John Green, The Fault in Our Stars|If you want the rainbow, you have to deal with the rain.
Kristen Ashley, Law Man|The man who gets Mara gets you and Billie. I’m that man. What you gotta get is, while fallin’ in love with Mara, I fell in love with you and your sister. Straight up, Bud, no lie. The feelings I feel for Mara are hers, the feelings I feel for Billie are hers and the feelings I feel for you are yours. You all have my love, not collectively, individually. Do you understand me?” “Mitch nodded. “Right. What I mean is, I didn’t fall in love with you all as a whole. I fell in love with each of you because of who you are. I don’t care about you because you come with Mara. I care about you because you’re a good kid. You’re smart. You’re loyal. And you love and look out for your sister and Mara. I know grown men who do not have a character as fine as yours. Those are the reasons I love you. There are different reasons I love Billie. And there are different reasons I love Mara. Today, what we had together was good. But the feelings I feel for you aren’t feelings I have to have in order to have Mara. They’re feelings you earned. Now, you with me?
Jane Austen, Persuasion|They had no conversation together, no intercourse but what the commonest civility required. Once so much to each other! Now nothing! There had been a time, when of all the large party now filling the drawing-room at Uppercross, they would have found it most difficult to cease to speak to one another. With the exception, perhaps, of Admiral and Mrs. Croft, who seemed particularly attached and happy, (Anne could allow no other exception even among the married couples) there could have been no two hearts so open, no tastes so simliar, no feelings so in unison, no countenances so beloved. Now they were as strangers; nay, worse than strangers, for they could never become aquainted. It was a perpetual estrangement.
Tina Carreiro, Power of the Moon|When you give yourself to me, completely, I will bite you. Until then, my love, I will only nibble on you.”~Cole
Courtney Milan, Unlocked|I’ll be your friend in daylight. I’ll treat you as a comrade in every gas-lit ballroom. But alone, under moonlight, I’ll not pretend that I want you for anything but mine.
Julie James, Something About You|My God, Jack - with a look like that, you two should just get a room. And try not to pick the one with a dead body next to it this time.
Cassandra Clare, City of Fallen Angels|I love you, Clary," he said without looking at her. He was staring out into the church, at the row of lighted candles, their fold reflected in his eyes. "More than I ever--" He broke off. "God. More than I probably should. You know that, don't you?
Gregory Maguire, Wicked: The Life and Times of the Wicked Witch of the West|But she woke up just then, and in the moonlight covered herself with a blanket. She smiled at him drowsily and called him "Yero, my hero," and that melted his heart.
P.C. Cast, Hunted|I watched you while you were sleeping and you looked completely at peace. I wish I could feel that. I wish I could close my eyes and feel at peace. But I can’t. I can’t feel anything if I’m notwith you, and even then all I can do is want something that I don’t think I can ever have, at least not now. So I left this, and my peace, with you. Stark.
Diana Gabaldon|I thought the force of my wanting must wake ye, surely. And then ye did come. . ." He stopped, looking at me with eyes gone soft and dark. "Christ, Claire, ye were so beautiful, there on the stair, wi' your hair down and the shadow of your body with the light behind ye…." He shook his head slowly. "I did think I should die, if I didna have ye," he said softly. "Just then.
Amie Kaufman, Gemina|And blood and tears and screams did not matter anymore, because at least they are together.
Julie James, Practice Makes Perfect|I’m not sure I trust myself around you I liked you from the start, J.D. I really wish things had been different, that's all.
Rainbow Rowell, Eleanor & Park|There's only one of him, she thought, and he's right here.He knows I'll like a song before I've heard it. He laughs before I even get to the punch line. There's a place on his chest, just below his throat, that makes me want to let him open doors for me.There's only one of him.
Tara Janzen, Crazy Cool|He caught her, and he held her, and he let her cry, and cry, and cry, and he let her use his sheets to wipe her eyes, and her nose, and God knows what, because he had plenty of clean sheets, and he only had one Kat.
Jay Asher|Justin, honey, you were my very first kiss. My very first hand to hold. But you were nothing more than an average guy. And I don't say that to be mean- I don't. There was just something about you that made me need to be your girlfriend to this day I don't know exactly what that was. But it was there.. and it was amazingly strong. -Thirteen Reasons Why
Susan Elizabeth Phillips, Dream a Little Dream|The engine roared to life. He ran toward her. She shot our of her parking space. He rushed to the side of her car. "Stop it, Kristy! You're overreacting! Let's talk about this." That was when she did the unthinkable. She rolled down the window, thrust out her hand, and gave Reverend Ethan Bonner the bird.
Anton Chekhov, The Lady With the Little Dog and Other Stories, 1896-1904|And only now, when he was gray-haired, had he fallen in love properly, thoroughly, for the first time in his life.
Gena Showalter, The Darkest Night|While Maddox now believed the demon did not want to hurt Ashlyn, he wasn't willing to take a chance. He would talk about flowers and moonbeams - he cringed - if it meant maintaining this delectable inner peace."Is there a way to break your death-curse?" Ashlyn asked. So much for flowers and moon-beams.
Esther Perel, Mating in Captivity: Reconciling the Erotic and the Domestic|For [erotically intelligent couples], love is a vessel that contains both security and adventure, and commitment offers one of the great luxuries of life: time. Marriage is not the end of romance, it is the beginning. They know that they have years in which to deepen their connection, to experiment, to regress, and even to fail. They see their relationship as something alive and ongoing, not a fait accompli. It’s a story that they are writing together, one with many chapters, and neither partner knows how it will end. There’s always a place they haven’t gone yet, always something about the other still to be discovered.
Lori L. Otto, Lost and Found|one transcendent kissthat later makes lovers takesoft breaths, holding hands
Laura Lee Guhrke, Guilty Pleasures|How much time do I get in exchange for that rose?”For the rose, a short engagement. For the speech, you get a lifetime.”I can live with that,” he said, and kissed her.
Kim Harrison, The Outlaw Demon Wails|Big lots,' I said, seeing the eighty-year-old oaks and shady lawns. The houses were set way back and had iron fences and stone drives. The harder to hear your neighbors scream, my dear,' was David’s answer, and I sent my head up and down in agreement.
Karen Chance, Touch the Dark|If I'd had enough breath, I would have screamed, both at the sensation and at the sheer pettiness of the bastard who wouldn't allow me even a tiny chance of escape.
Bridget Zinn, Poison|Okay, that one's pretty good," Fred acknowledged, after she'd told him a particularly filthy joke. "But have you heard the one about the baker's wife?""No," Kyra said."Rumor has it, she married him for his buns." Fred burst out laughing.Kyra groaned. "Okay, that was just bad.
Rowena Cherry, Forced Mate|As a rule of thumb, it was always safer if the Commander-in-Chief formulated a risky plan.
Nicola Yoon, Everything, Everything|For the first time in a long time, I want more than I have.
Maya Banks, The Darkest Hour|She laid her head against his collarbone, and he kissed her temple. To her shock, she felt a shudder roll through his body about the same time she registered wetness against her skin. Tears. His tears.She started to turn around, but he tightened his grip.“Stay,” he said in a choked voice. “Just let me hold you, baby. Just let me hold you.
E.L. James, Fifty Shades Freed|He tastes of white wine and apple pie and Christian. I run my fingers through his hair, holding him to me while our tongues explore and curl and twist around each other, my blood heating in my veins.We're breathless when Christian pulls away.
Lisa Kleypas, Again the Magic|He uttered a curse that startled her with its foulness, and gripped her head between his hands, forcing her to stare at him. His voice was savage. "For twelve years I have been in constant torment, wanting you in my arms and believing it would never be possible. I want you for a thousand reasons other than your legs, and...no, damn it, I want you for no reason at all, other than the fact that you're you. I want to shove myself deep inside you and stay for hours...days...weeks. I want morning and noon and nightfall with you. I want your tears, your smiles, your kisses...the smell of your hair, the taste of your skin, the touch of your breath on my face. I want to see you in the final hour of my life...to lie in your arms as I take my last breath.
Susan Elizabeth Phillips, Natural Born Charmer|Do you really expect me to fall apart every time another woman throws herself at you? Because, if that's so, I'll be a nervous wreck before the honeymoon's over. Although, if they do it in front of me..."He went still. "Did you just propose to me?"She bristled. "Do you have a problem with that?"The scoreboard lit up, and he gave the world a high five. "God, I love you.
Maureen Johnson|WORTH IT and perfect are different things. No one’s perfect, yet in romance, everyone becomes WORTH IT. And that’s the trick.
Lisa Kleypas, Mine Till Midnight|Rohan, one of us is an unmarried man with superior mathematical abilities and no prospects for the evening. The other is a confirmed lecher in an amorous mood, with a willing and nubile young wife waiting at home. Who do you think should do the damned account books?" And, with a nonchalant wave, St. Vincent had left the office.
J.R. Ward, Lover Unleashed|Love, he realized, was like the daggers he made in his forge: When you first got one it was shiny and new and the blade glinted bright in the light. Holding it against your palm, you were full of optimism for what it would be like in the field, and you couldn't wait to try it out. Except those first couple of nights out were usually awkward as you got used to it and it got used to you.Over time, the steel lost its brand-new gleam, and the hilt became stained, and maybe you nicked the shit out of the thing a couple of times. What you got in return, however, saved your life: Once the pair of you were well acquainted, it became such a part of you that it was an extension of your own arm. It protected you and gave you a means to protect your brothers; it provided you with the confidnece and the power to face whatever came out of the night; and wherever you went, it stayed with you, right over your heart, always there when you needed it.You had to keep the blade up, however. And rewrap the hilt from time to time. And double-check the weight. when it came to weapons. Why hadn't it dawned on him that matings were the same?(From the thoughts of Vishous)
Jeri Smith-Ready, Shade|I promise I'll never tell.""Don't promise that," he said in an ultraserious voice. "If they try to hurt you and the only way to protect yourself is to tell them what you know about me, then you tell them. Straight off, okay?""No." "Promise me.""No!""I will possess your heart."Heat flared along the back of my neck. "What did you say?""My favorite song. 'I Will Possess Your Heart.'""By Death Cab for Cutie?"He snorted. "No, the little known T.I. Hip-hop remix. Yes, Death Cab for Cutie."... "Why? What's wrong with it?""Nothing, but it doesn't seem to fit you. It's kind of a sad song." "No it's pure confident. It's not 'I want' or 'I need', none of that crap." He slipped his hand over mine. "It's 'I will.'"A nervous laugh bubbled up. "You will, huh?"His fingers brushed my cheek, then slid into my hair. "I will.
J. Kenner, Claim Me|You have captured me utterly, and you hold my heart in your hands. Be gentle with it. It's more fragile than you might think.
Lisa Kleypas, Love in the Afternoon|I’m fairly certain, Captain,” she said, “that the more you discover about me, the more you will dislike me. Therefore, let’s cut to the chase and acknowledge that we don’t like each other. Then we won’t have to bother with the in-between part.”She was so bloody frank and practical about the whole thing that Christopher couldn’t help but be amused.“I’m afraid I can’t oblige you.”“Why not?”“Because when you said that just now, I found myself starting to like you.”“You’ll recover,” she said.Her decisive tone made him want to smile. “It’s getting worse, actually,” he told her. “Now I’m absolutely convinced that I like you.”Beatrix gave him a patently skeptical stare. “What about my hedgehog? Do you like her, too?”Christopher considered that. “Affection for rodents can’t be rushed.”“Medusa isn’t a rodent. She’s an erinaceid.
Rick Riordan, The Throne of Fire|Two farewell gifts," Sadie muttered, "from two gorgeous guys. I hate my life.
Deborah Cox|I've tried that love thing for the last time. My heart says no, no! Nobody's supposed to be here, but you came along and changed my mind
Lisa Kleypas, Where Dreams Begin|You wouldn't have taken Rose to such a place, would you?""Of course not, but she is a little girl, and I'm-""My life", he interrupted quietly. "You're my entire life. If anything ever happens to you, Holly, there is nothing left for me.
Jez Morrow, Force of Law|She sniffled. "Does he know?""Not a clue," Law said. "There are concrete bricks less dense than my beloved.
Mary Balogh, Slightly Dangerous|And infatuated be damned. He was near to being blinded by his attraction to her. He was in love, damn it all. He disliked her, he resented her, he disapproved of almost everything about her, yet he was head over ears in love with her, like a foolish schoolboy.He wondered grimly what he was going to do about it.He was not amused.Or in any way pleased.
Sherry Thomas, Delicious|Some lovers were fortunate enough to grow old together. They’d grown old apart. She did not think him any less handsome. She only wished that she’d been there when the first line on his face had appeared, so that she could have stroked and kissed and cherished it.
Ivy Devlin, Low Red Moon|Ben kissed me like he could kiss me forever, like he had to kiss me forever and he wanted to, he wanted me, and when he felt my surprise at that, I could feel again how beautiful I was to him, how I was beautiful beyond words.
Julie Kagawa, Winter's Passage| i'm your enemy, meghan. never forget that. if Mab tells me to kill you in front of the entire court, it's my duty to obey.
Holly Black, The Coldest Girl in Coldtown|She took a deep breath, "Last chance. Are you in need of rescuing?" His expression turned very strange, almost as if she'd struck him, "Yes," he said finally.
Huntley Fitzpatrick, My Life Next Door|Right. Because if you have trouble putting ketchup and mustard on a hot dog, you should totally move on to saving lives.
Julianne Donaldson, Blackmoore|You are brave and loyal and true. You have such a good heart." He held my hand close to his chest and covered it with his other hand. "It is only afraid. But I would take such good care of it, love, if you would give it to me.
Robin Schone, Scandalous Lovers|A woman's got one life: She's got to reach out and grab it with both hands, or it'll pass her by and leave nothing but a smelly old fart in her face.
Charlotte Brontë, Villette|~Do you like him much?~I told you I like him a little. Where is the use of caring for him so very much? He is full of faults.~Is he?~All boys are.~More than girls?~Very likely. Wise people say it is folly to think anyboy perfect, and as to likes and diskiles, we should be friendly to all, and worship none.
Patrick Rothfuss, The Name of the Wind|Roses! I swear you men have all your romance from the same worn book. Flowers are a good thing, a sweet thing to give a lady. But it is always roses, always red, and always perfect hothouse blooms when they can come by them.
Patton Oswalt|I had a romance novel inside me, but I paid three sailors to beat it out of me with steel pipes.
Paulo Coelho, The Alchemist|There is only that moment, and the incredible certainty that everything under the sun has been written by one hand only. It is the hand that evokes love, and creates a twin soul for every person in the world. Without such love, one's dreams would have no meaning.
Rachel Gibson, I'm In No Mood For Love|You want the fairy tale." "I want a chance at it.
John Eldredge|She is the crescendo, the final, astonishing work of God. Woman. In one last flourish creation comes to a finish with Eve. She is the Master's finishing touch.
Margaret Atwood, The Handmaid's Tale|Neither of us says the word love, not once. It would be tempting fate; it would be romance, bad luck.
Jane Austen, Persuasion|Oh!" cried Anne eagerly, "I hope I do justice to all that is felt by you,and by those who resemble you. God forbid that I should undervaluethe warm and faithful feelings of any of my fellow-creatures! I should deserve utter contempt if I dared to suppose that true attachmentand constancy were known only by woman. No, I believe you capableof everything great and good in your married lives. I believe you equalto every important exertion, and to every domestic forbearance,so long as--if I may be allowed the expression--so long as you havean object. I mean while the woman you love lives, and lives for you. All the privilege I claim for my own sex (it is not a very enviable one;you need not covet it), is that of loving longest, when existenceor when hope is gone.
E.M. Forster, Howards End|The tragedy of preparedness has scarcely been handled, save by the Greeks. Life is indeed dangerous, but not in the way morality would have us believe. It is indeed unmanageable, but the essence of it is not a battle. It is unmanageable because it is a romance, and its essence is romantic beauty.
Heather Dixon, Entwined|Ah, Azalea," said the King. "He's not going to be the one proposing."."Sorry?" she said.. The Delchastrian queen had to propose-""I will do no such thing!" said Azalea.
Courtney Milan, Unlocked|Over the years, everyone stumbles. That's why I'll be here for you — and you'll be there for me. I don't expect perfection. I want you, and you're a thousand times better.
Meredith Wild, Hardwired|You lose yourself, Erica, because with the right person, who you become together is something so much greater, more than you could even realize right now.
Cristina Marrero, The Unsung Love Story|For the first time in my life, I said the words, “I need a drink.
Jez Morrow, Force of Law|Law looked dumbstruck, almost angry. He breathed, "Son of a bitch." And to Tom's surprise, Law got down on one knee and took his hand. "Tom, you beloved bastard, I love you. I need you in my life forever. I cannot imagine existence without you. Will you-God please say yes-grant me the honor and the privilege and save my life and marry me?
Ottilie Weber, Family Ties|Yet I am stuck in the idea of romance, a dreamer; I want to actually fall in love with a man, then marry him
Janet Evanovich, Eleven on Top|I'd spent a night with Ranger a while ago, and I knew what happened when he was encouraged. Ranger knew how to make a woman want him. Ranger was magic.
Lisa Kleypas, Secrets of a Summer Night|Annabelle gave him a chiding smile. “If you’re implying that I’m spoiled, I assure you that I am not.”“You should be.” His warm gaze slid over her pink-tinted face and slender upper body, then sought hers again. There was a note in his voice that gently robbed her of breath. “You could do with a bit of spoiling.
Robert Fanney|Without realizing what she was doing and more on an impulse than anything else, she leaned forward and kissed him. It was a simple, yet firm kiss and she pulled back after only a moment. But it sent a thrill through her.  He leaned down for another. But she put her finger on his lips to stop him. "That was my reward to you," she said as they danced. "Don't squander it." "Reward? he asked still seeming both surprised and delighted at this unexpected attention. "What for?" "Why for living, Vaelros. And for doing so much else to help me. I will have you rewarded in state as well. But that was just from me." She saw Vaelros flush and she gave him a brilliant smile. "You don't like my reward?" she asked. "I do!" he replied. "I want only to learn how to earn more." The music was fading. The song was ending. Luthiel stepped back and let her hands drop. "A mysterious thing, my heart," she said. 
Tara Janzen, Crazy Hot|Hanson got to sleep with you, and I didn't,” he said, his own jaw a little tight. “So I stole his car.
Christine Warren, Wolf at the Door|Fresh, sweet honeysuckle. Ripe and rich and ready to be fucked--PLUCKED, he corrected himself, ready to be plucked.
Kristen Ashley, Rock Chick Redemption|I’m out of health potions. Retreat! Retreat! Give me some of your health potions!” I screamed. “I don’t have any potions. Run, bitch, run,” Brody squealed. The red ran out on my health and my assassin was transported, stripped of everything we’d earned, back to the starting camp. “I’m dead! Fuck, they killed me!
Lorraine Gokul|Love is photogenic, it develops in the dark.
Julia Quinn, Just Like Heaven|How do you feel?” she asked, trying to fluff his pillow. “Other than terrible, I mean.”He moved his head slightly to the side. It seemed to be a sickly interpretation of a shrug.“Of course you’re feeling terrible,” she clarified, “but is there any change? More terrible? Less terrible?”He made no response.“The same amount of terrible?
Julia Quinn, Romancing Mister Bridgerton|And, she was able to tell herself with some satisfaction, the man in question - one Colin Bridgerton - felt precisely the same way........His earth shook, his heart leaped, and Penelope knew without a doubt that his breath was taken away as well. For a good ten seconds.Falling off a horse tended to do that to a man.
Julie James, Just the Sexiest Man Alive|She inched closer to him. "I intrigue you?""You know you do," he replied boldly, his eyes burning into hers. Wow-things were suddenly heating up fast. He wondered if they would have sex right there on her desk.Somebody better move that stapler.With a coy look, Taylor stood up to whisper in Jason's ear."then I think you're going to find this next part really intriging," she said breathlessly.He gazed down at her-he like the sound of that-and raised one eybrow expectantly as taylor grinned wickedly and-Slammed the office door right in his face.For a moment, Jason could only stand there in the hallway with his nose pressed against the cold wood of her door. After a few seconds, he knocked politely.Taylor whipped open the door, unamused.Jason grinned at her. "I just gotta ask: where did you get the whole 'all the cute girls run around naked' thing?
Susan Elizabeth Phillips, Natural Born Charmer|So, Beav, tell me about yourself.""I'm Blue.""Sweetheart, if I had your dubious taste in men, I wouldn't be too happy, either.""My name is Blue. Blue Bailey.
Jenny Han, Always and Forever, Lara Jean|Kitty's always saying how origin stories are important.At college, when people ask us how we met, how will we answer them? The short story is, we grew up together. But that's more Josh's and my story. High school sweet-hearts? That's Peter and Gen's story. So what's ours, then?I suppose I'll say it all started with a love letter.
Julie James, Something About You|I invited a few people to help celebrate your birthday," Cameron said sheepishly. She threw up her hands. "Surprise.""We sort of come with the package," Collin explained. "Think of it as a collective gift from all of us to you: five bona fide annoying and overly intrusive new best friends.""It's the gift that keeps on giving," Wilkins said.Jack grinned. "I'm touched. Really. And since it appears I'm going to be moving in, let me be the first to say that all of you are always welcome at my and Cameron's house. Subject to a minimum of forty-eight hours prior notification.
Courtney Milan, Unveiled|Maybe that’s what I have been looking for. When storms and rockslides threaten, I am looking for someone who will hold on to me and not let go.
Lisa Kleypas, Secrets of a Summer Night|Where are we going?” Annabelle asked, resisting his hold on her wrist.“To the house. If they’re not willing to be witnesses, then it seems I’ll have to debauch you in front of someone else.
Julie James, Something About You|I'm still trying to decide how I feel about the fact that you knew about this before I did.""Don't be disappointed," Jack said. "The fact that I've been ridiculously proud of you for days doesn't change how excited you should be about this. Besides, I pretty much know everything. You should probably just start getting used to it.""And on that note, I'm hanging up," Cameron said."Rushing me off so you can call Collin next?" Jack teased."No" she said emphatically. Damn, he really did know everything.
Suzanne Young, The Treatment|It's taken me all this time, all this loss, to realize what really matters is now.
William Shakespeare, Much Ado About Nothing|Suffer love! A good ephitet! I do suffer love indeed, for I love thee against my will.
Laura Kinsale, Seize the Fire|Then you came and I started to feel again. I started to think there was a reason I survived, that you were my reason. But nothing's so simple, is it? I didn't protect you. Here you are hurting so bad, and I can't even help. I'm just here and I need you. That's all it comes to. I need you to be brave when I haven't been. I know how hard it is. Look at me. Look at what's happened to me. Jesus, I feel like I'll be crying for the next century." He bent his head, pressed his tear-wet cheek to her dry cold skin. "But I'm here. I'm not hiding anymore. Princess, I'm asking you. Come back to me. You're my life.
Huntley Fitzpatrick, My Life Next Door|When I turn back to Jase, he’s again beaming at me. “You’re nice.” He sounds pleased, as if he hadn’t expected this aspect of my personality.
S.L. Naeole, Falling From Grace|Robert, I’m sorry that you feel so strange, but I’m not sorry that you’re feeling it because of me,” I whispered, my heart feeling a familiar twinge as I continued, “but even if you hadn’t felt it, it would not change the way I feel about you.
Nora Roberts, Enchanted|He won't be one of those girlishly pretty men with curly gold hair...He'll be dark, dangerous, too. Brave, certainly, but not without flaws. I like my heroes human.
Nelou Keramati|And to think of all the colors in the world, blood chose to be red.
Nyrae Dawn, Charade|A laugh jumps out of my mouth, surprising me. I can’t even remember the last time I laughed and it puts me on edge. I suddenly want to do the same thing to her. Let her see how it feels to teeter on that cliff.
Elizabeth J. Kolodziej, Witch Devotions|Yeah, cause that would be a smart choice. So, I should just forget about the whole lying to me thing when you pronounce you will never do it again?” “Yes.” “You’d have a better chance getting a donkey to shit gold.
Virginia Woolf|the battered woman--for she wore a skirt--with her right hand exposed, her left clutching at her side, stood singing of love--love which has lasted a million years, she sang, love which prevails, and millions of years ago, her lover, who had been dead these centuries, had walked, she crooned, with her in May; but in the course of ages, long as summer days, and flaming, she remembered, with nothing but red asters, he had gone; death's enormous sickle had swept those tremendous hills, and when at last she laid her hoary and immensely aged head on the earth, now become a mere cinder of ice, she implored the Gods to lay by her side a bunch of purple heather, there on her high burial place which the last rays of the last sun caressed; for then the pageant of the universe would be over.
Jane Austen|Have you any other objection than your belief of my indifference?"- Elizabeth Bennet
Sylvain Reynard, Gabriel's Inferno|If for some reason we get separated, I want you to wait for me. I’ll find you, I promise. - Gabriel Emerson
Amanda Ashley|That settles it, no more books about vampire before bedtime.
Françoise Sagan, Bonjour tristesse|For this was the round of love: fear which leads on desire, tenderness and fury, and that brutal anguish which triumphantly follows pleasure.
Anna Todd, After Ever Happy|I want him to look in the mirror and smile, not scowl. I need him to not think of himself as a monster. I need him to see the real him, because if he doesn’t pull himself out of the villain role, it will destroy him, and I’ll just be left with ashes. I just needed to get it all out because I feel like I’m drowning, and it’s hard to keep myself above water,especially when I’m fighting against the current to save him rather than myself.
A.G. Howard, Ensnared|And there, in the midst of blinding orange, yellow, and white flames, our forever begins.
Faraaz Kazi|Lie beside me, oh my beloved! For thy thorns are more pleasurable than the petals of the world.Hold me in thy arms of hope, for the truth of separation can rest tonight.
Aberjhani, Visions of a Skylark Dressed in Black|If I say your voice is an amber waterfall in which I yearn to burn each day, if you eat my mouth like a mystical rose with powers of healing and damnation, If I confess that your body is the only civilization I long to experience… would it mean that we are close to knowing something about love?
Kresley Cole, Wicked Deeds on a Winter's Night|What’s your favorite place to visit?” He absently answered, “Wherever you are.” “Bowen, five things about you can’t all be about me.” But you’re the only good thing that I’ve got.
Yasmine Galenorn, Demon Mistress|We come together, we create our families, we chose our mates out of the desire to form a life together. Love takes many forms, wears many faces, but when it's real, when it touches your heart, you will know it and--with hope--embrace it. Love is stronger than hate, love is stronger than anger. Love is stronger than all artificial divisions that exist n our world.
Robyn Carr, Wild Man Creek|Did you miss me?’“A little bit,” she said with a shrug.“You have tears running down your cheeks,” he said with a grin. “I think you missed me more than a little.
Marlon Pierre-Antoine, Wandering Stars|They say love is blind...but it isn't. Love is perfect sight. Love is the ability to see a person, I mean really see him-his strengths, his weaknesses, his flaws, all his past triumphs and mistakes-and view that person not as the world says you're supposed to see him, but as you see him-as that special someone you know you will always embrace, body and soul, no matter what anyone else says or thinks  I know I can't tell anyone what I've been through. I know they wouldn't understand. They don't see him the way that I see him. All they know is the legend, the darkness. They don't know the inner beauty, the warmth and the joy more intense than anything I ever thought was possible to experience. They don't know the truth behind the name. My angel. My only. Lucifer.
Paullina Simons, The Bronze Horseman|Alexander tilted his head and kissed her deeply on the lips. He let go of her hands, and she wrapped her arms around his neck, pressing herself against him. They kissed as if in a fever... they kissed as if the breath were leaving their bodies.
Lisa Kleypas, Mine Till Midnight|She shook her head as she confessed, "I want it so much, I'm afraid to hope." "Never be afraid to hope," Rohan said gently. "It's the only way to begin." -Rohan to Win
Nalini Singh, Play of Passion|Once, he hadn't been able to touch her without causing himself pain. Now, it only hurt when he didn't touch her.
Charlaine Harris, Living Dead in Dallas|So you want me to go to a human orgy, where I will not be welcome, and you want us to leave before I get to enjoy myself? ~Eric Northman
Julia Quinn, It's in His Kiss|Miss Bridgerton,” he said, “the devil himself couldn’t scare you.”She forced her eyes to meet his. “That’s not a compliment, is it?”He lifted her hand to his lips, brushing a feather-light kiss across her knuckles. “You’ll have to figure that out for yourself,” he murmured.To all who observed, he was the soul of propriety, but Hyacinth caught the daring gleam in his eye, and she felt the breath leave her body as tingles of electricity rushed across her skin. Her lips parted, but she had nothing to say, not a single word. There was nothing but air, and even that seemed in short supply.And then he straightened as if nothing had happened and said, “Do let me know what you decide.”She just stared at him.“About the compliment,” he added. “I am sure you will wish to let me know how I feel about you.”Her mouth fell open.He smiled. Broadly. “Speechless, even. I’m to be commended.”“You—”“No. No,” he said, lifting one hand in the air and pointing toward her as if what he really wanted to do was place his finger on her lips and shush her. “Don’t ruin it. The moment is too rare.
Maggie Stiefvater, Linger|When he kissed me, his lips soft and careful, it was all the thrill of our first kiss and all the practiced familiarity of the accumulated memory of all our kisses.
Simone Elkeles, Rules of Attraction|When they’re together, the world could fall apart around them and they’d never notice or care as long as they have each other.
Nicholas Sparks, The Notebook|Who did she know in Raleigh who took the time off to fix a house? Or read Whitman or Eliot, finding images in the mind, thoughts of the spirit? Or hunted dawn from the bow of a canoe? These weren't the things that drove society, but she felt they shouldn't be treated as unimportant. They made living worthwhile.
Stephanie Laurens, A Rogue's Proposal|Frowning, she looked up. "You can't want to ravish me every time we meet."Oh, yes, he could. Demon gritted his teeth...
Esther Perel, Mating in Captivity: Reconciling the Erotic and the Domestic|Love is a vessel that contains both security and adventure, and commitment offers one of the great luxuries of life: time. Marriage is not the end of romance, it is the beginning.
Patricia Briggs, Fire Touched|She doesn’t need the pack. She doesn’t need me.”I shot to my feet. “That’s not true,” I said hotly.He tilted his head a little, his eyes meeting mine. His eyes softened. “I misspoke,” he said in a steady voice. “She doesn’t need me to make sure she has enough food or a place to live-that is my privilege, but she doesn’t need me to do that. She doesn’t need me to keep her safe or to make her a whole person. She doesn’t need me to do anything except love her. Which I do.
Jennifer Crusie, Bet Me|Bet you ten bucks we make it."What are the odds? she thought, and realized with sudden, blinding clarity that she wouldn't take the other side of that bet, that only a loser would bet against them. This is really it, she thought, amazed. This is really forever. I believe in this."Min?" he said, and she kissed him, putting all her heart into it. "No bet," she said against his mouth. "Your odds are too good.""Our odds are too good
Anne Gracie, The Perfect Rake|I shan't mind if you don't," he agreed. "But I'll not let you go, Prudence. Til not pester you, but know this: I will wait until you choose to listen to your heart.""Pshaw." It was a feeble effort. She took a deep breath and tried again. "Humbug! How can you presume to know my heart?"He smiled a slow, devastating smile. "You are my heart." He lifted her hand and kissed it. "And our hearts beat in tune. I know it—I, who used not to believe in such things. And you know it.
Kim Harrison, A Fistful of Charms|His right ear still held both studs, and I wondered who had the missing earring. I would have asked, but was afraid he’d tell me Ivy had it.
Huntley Fitzpatrick, My Life Next Door|Jase props himself up on an elbow, looking at me for a minute without saying anything. His face gets an unreadable expression, and I wish I could take back walking over.Then he observes, “I’m guessing that’s a uniform.”Crap. I’d forgotten I was still wearing it.
Sharon Shinn, Angelica|He leaned upon her as if there was no other support anywhere in the world, and she held him as if she would undertake no other task for all eternity.
Coheed and Cambria|The morning will come In the press of every kiss, With your head upon my chest Where I will annoy you With every waking breath Until you decide to wake up.
Kristen Ashley, Knight|Wars fought over a face like this,” he murmured like he was talking to himself, my heart stopped beating and his thumbs moved lightly across my cheeks. “A man would work himself into the ground for it, go down to his knees to beg to keep it, endure torture to protect it, take a bullet for it,” his eyes came to mine, “poison his brother to possess a face like this.
