Vincent van Gogh, Van Gogh's Starry Night Notebook|For my part I know nothing with any certainty, but the sight of the stars makes me want to dream.
C. JoyBell C.|If Cinderella were given a single shining epiphany (instead of a fairy godmother), she would have realized: "This is my father's house. This is my father's estate. I am the rightful heiress to everything here!" then she would have said: "Get off of my property, take nothing with you, and never show your faces to me again! You ugly, bitter, insecure, envious witches!" And I'm sure she would have been happier, sooner!
C. JoyBell C., Saint Paul Trois Chateaux: 1948|It was him, it was always him, they only needed to stand there with their feet buried into the muddy moss and look at each other; to feel each other. Time stopped, movement disappeared and it was both the beginning of everything and the end of everything else. They had each other and there was no name, no title to it other than they just had each other. There was no necessity to be practical, what they had and what they were, was of their own and in their own and I think nothing in the world could have made Lucy happier than to have what they had, to be what they were.
C. JoyBell C.|If we come from the water, I conclude that we come from different kinds of it. I will meet a person and in his eyes see an ocean, deep and never ending; then I will meet another person and feel as though I have stepped into a shallow puddle on the street, there is nothing in it. Or maybe some of us come from the water, and some of us come from somewhere else; then it's all a matter of finding those who are the same as us.
C. JoyBell C.|Where are you?" he asked. "I'm right here" she said. "I know, but it feels like one percent of you is somewhere else, where is that one percent?" he said. "I don't know....I think I'm always like that..." she answered. "I like that." "You do?" "Yes, because that way, I have to always look for the one percent to find it.
Joanne Crisner, Brightest|Long before we even lose our lives, we lose our souls. Tragic but true. Some carry on—willing to make the sacrifices, putting what is perceived as important before anything else. Some tread into the dark—wasting moments of grace, letting themselves suffer from their own decisions or the other’s domination. Some continue to love, give too much, and not leave even a little love for themselves.
C. JoyBell C.|Many things that don't really mean so much of anything, are wonderful.
Paulo Coelho, The Alchemist|Life doesn´t come with any guarantees. You have to risk it to get the biscuit." - The Alchemist, Paulo Cohelo -
John R. Gouin|There are many rivers that we cross in our lifetime, unfortunately some of those rivers just don't have bridges.
Thisuri Wanniarachchi|The thing about life is, you’ve got to somehow make it through the day. Don’t wait for the beautiful evening. Go on with your life. Of course, the beautiful evening will come. In fact, she’s on her way. And she’s coming to you as fast as she can. And dude, she’s beautiful.
Molly Friedenfeld|When your footsteps and thoughts carry you down the same path your heart and soul are directing you, you will know without a doubt that you are headed in the right direction.
Joshua Hartzell|Failure is when you give up. A real winner is someone that doesn't give up, even when it feels like they are losing.
J. Conrad Guest, January's Paradigm|Love is not a forest fire that burns intensely,hotly and out of control for a brief moment until,its expendable fuel spent,it sputters,seeking in vain for something else to consume,to sustain itself before, finally,it dies:cold, black ash the only evidence of its passing.Love is, instead, a campfire:it provides ample heat and comfortto the twosome who sit before it,and although its flames may at times wane,a well-tended campfire’s embers can be nurtured and fanneduntil the flames once again dance brightly and cheerfully,providing comfort to the couple who cherish the gentle warmth it ministers.
Amy Leigh Mercree|Treat yourself today! You are a unique, sparkling, spectacular soul. Celebrate you!
C. JoyBell C.|Here is a universal law: that when it comes to negative and positive, you will always thrive more powerfully in the positive if you have first been immersed in, and have heroically overcome, the polar opposite negative of that thing. To abide in the positive existence of something, without having known and overcome it’s polar opposite— that is to be only a frame of the real structure. Easily toppled down and taken apart. True power is in the hands of the one who thrives in the positive, after having known and conquered the negative. Because when the demons come along, she will say to those demons: “I know you, I have owned you, but now you bow down to me.
Amy Leigh Mercree|Choose joyful abundance in your heart and be unbounded, free, and relaxed. Be relentless with your choice and you’ll make your mark.
Philen Naidu, My Life My Africa|Every man reaches his destination, if he just keeps walking
John Updike|Being able to write becomes a kind of shield, a way of hiding, a way of too instantly transforming pain into honey.
Jennifer Van Allen, The Runner's World Big Book of Running for Beginners: Lose Weight, Get Fit, and Have Fun!|There will be haters, there will be doubters, there will be non-believers, and then there will be you proving them wrong.
Richelle E. Goodrich, Eena, The Dawn and Rescue|You can capture this body of mine, take away my freedom and enslave me. You may even have the power to capture my soul and sentence me to the realm of eternal darkness. But my dreams you cannot touch. They are my will―the very essence of who I am. In them I laugh. In them I cry. In them I love. And in them.....I live.My dreams are untouchable and unceasing.
E.M.Bounds|Pray for "all men." We usually pray more for things than we do for men. Our prayers should be thrown across their pathway as they rush in their downward course to a lost eternity.
C. JoyBell C.|I see myself as a Scottish sky: there are rain clouds, rainbows and sunrays that run and overtake one another, mingle together and dance with each other! You see all of this within seconds of looking up! It’s a living sky, it breathes and it’s real! And I think that when you look at me, you’ll see my rain clouds first, because only after rainclouds can there come the rainbows. You see, if the rainbows come first, then the rainbows aren’t even real, so I think that if people deserve to see my real rainbows, then they will just know that they need to stick around through the rain! Like a Scottish sky, I want to be real and breathing and running. I don’t want to be a clear blue all the time, or a dark grey all the time or have fake rainbows painted onto me; I want to be Scottish.
Roy  Bennett|If you always do what is easy and choose the path of least resistance, you never step outside your comfort zone. Great things don’t come from comfort zones.
Amy Leigh Mercree|A circle's unity and never ending smoothness is how we can aim to feel inside. Smooth, gentle, accepted, no rough edges, only love for all parts of our selves.
Amy Leigh Mercree|A kind thought, word, or action creates infinite ripples of caring, consideration, and peace.
Amy Leigh Mercree|Caring is what matters, not stuff or status, just people sharing kindness & joy in a web of the heart that spans the globe.
Amy Leigh Mercree|Focus your heart, mind, and soul on joy and you'll find ultimate success and fulfillment.
Roy  Bennett|Integrity is doing the right thing when nobody's watching, doing as you say you would do.
Louise L. Hay|No matter where we live on the planet or how difficult our situation seems to be, we have the ability to overcome and transcend our circumstances.
C. JoyBell C.|We must not be defined by what we do, but we must be what and who we are, then only happen to do what we do!
C. JoyBell C.|Friendship is so important. The goal of a good friendship should be for life! To keep it for life! If you find a friendship, and it gives you a joy inside, a peace, and a freedom; keep that friendship for life. Through it all, you stay together. So many friendships are toxic, but the good ones are really good! I always tell my son this, I always say, a friend is for life!
James     Baldwin|The world is before you, and you need not take it or leave it as it was when you came in.
C. JoyBell C.|Peace is something like happiness; you cannot say "I will be happy when..." and you can't say "I will be peaceful when..." Your happiness shouldn't depend on the situation you're in nor on the circumstances that surround you. In the same breath, you cannot wait for everything around you to become peaceful in order for you to say "I am peaceful." In both happiness and peace, there is a heart of strength, determination and steadfastness; a heart that has the power to make things happen. You have to be at peace. You have to be happy. Now.
Amit Kalantri, Wealth of Words|Someone needs to fight, someone needs to sacrifice, someone needs to inspire, someone needs to be a hero.
Mark Batterson, In a Pit with a Lion on a Snowy Day: How to Survive and Thrive When Opportunity Roars|As I look back on my own life, I recognize this simple truth: The greatest opportunities were the scariest lions. Part of me has wanted to play it safe, but I’ve learned that taking no risks is the greatest risk of all.
Christopher Robinson|Never allow others to create your world because if you do, they will always make it too small.
Eleesha|We cannot face up to what lies ahead, without facing up to what lies within.
Maryam Faresh, Daisy|You can't be sad when Daisy is around, she won't let you.
♥EJ <---|I would rather live in a world where people shout, "This is wrong." than live in a world with superheroes saving the day.
Richelle E. Goodrich, Smile Anyway|I don't so much mind looking back on having lost the election, or having been denied a role in the play, or having had my novel repeatedly rejected, or having been turned down for a date, or recalling laughter at my expense when I attempted some silly challenge.  Those things simply prove that I lived life.  What I do mind, however, is looking back on the lost opportunities where imagined concerns kept me from even trying—lose or win.  I've learned that there is no regret in a brave attempt, only in cowering to fear.
Richelle E. Goodrich, Making Wishes|A poet is simply an artist whose medium is human emotions.  A poet chisels away at our own sensibilities, shaping our vision while molding our hearts.  A poet wraps words around our own feelings and presents them as fresh gifts to humanity.
Natalie Wright, Emily's House|No difference, good or bad. Thoughts like birds in mind. Some fly in. Some fly out. Some stay at water hole to drink. Beware of birds that linger.
Jayson Engay|You don't need to understand what the world is, just let your life flow with it and become something
Lucas Remmerswaal, The A-Z of 13 Habits: Inspired by Warren Buffett|H is for Habit, winners make a habit of doing the things losers don't want to do.
C. JoyBell C.|I can't over-emphasize how important an exquisite perfume is, to be wrapped and cradled in an enchanting scent upon your skin is a magic all on its own! The notes in that precious liquid will remind you that you love yourself and will tell other people that they ought to love you because you know that you're worth it. The love affair created by a good perfume between you and other people, you and nature, you and yourself, you and your memories and anticipations and hopes and dreams; it is all too beautiful a thing!
Richard Bach, Jonathan Livingston Seagull|Like everything else, Fletcher. Practice.
Denzel Washington, A Hand to Guide Me|So you never know who you touch. You never know how or when you'll have an impact, or how important your example can be to someone else" (20).
C. JoyBell C.|I hope I don't write TOO many books! When I look at authors who have written too many books, I wonder to myself "When did they live?" I certainly want to write BECAUSE I live! I know I don't want to write in order to live! My writing is an overflow of the wine glass of my life, not a basin in which I wash out my ideals and expectations.
Samuel Chadwick|There is no power like that of prevailing prayer - of Abraham pleading for Sodom, Jacob wrestling in the stillness of the night, Moses standing in the breach, Hannah intoxicated with sorrow, David heartbroken with remorse and grief, Jesus in sweat and blood. Add to this list from the records of the church your personal observation and experience, and always there is cost of passion unto blood. Such prayer prevails. It turns ordinary mortals into men of power. It brings power. It brings fire. It brings rain. It brings life. It brings God.
Elizabeth Barrett Browning|Earth's crammed with heaven, And every common bush afire with God.
C. JoyBell C.|There are gigantic trees that have grown tall into the winds and the clouds over the thousands of years of their lives, their tops are rustled and tossed by the mists of the atmosphere! Then there are the short trees that don't live for long, they are young with no deep roots and only a few annual rings to tell their stories.The tall, ancient trees sway in the realm of freedom while the short young trees cannot even raise their branches into that direction of the sky! Now, you are the bird who needs a tree to live in; if you choose to live in the tree which thrives in the realm of freedom, that doesn't mean you are not committed to that tree. You are still committed to your tree, but together you and your tree live in freedom. Freedom is not the absence of commitment. If you are the bird who chooses to fly around amongst the short trees and live in them, that's because your wings are too short to make it any higher and your vision too near to see any further into the clouds. And if you move from one short tree to the next short tree, that doesn't mean you are free, you are still down there below, freedom is still nowhere near you.
Elizabeth O. Dulemba|I like to set my dreams high. That way, even if I only make it half way there, it's still pretty darned good.
Al Jarreau|Once you discover that you can, you must.
Green Day|L'esercizio rende perfetti, ma nessuno è perfetto, quindi perché esercitarsi?
Chanda Kaushik|The more you try to please people, the more they get control of you and you'll end up hurting yourself.
Amy Leigh Mercree|Spread kindness, caring, and compassion and create your own paradise. Infuse it with joy and you’ve created heaven on earth.
L. Frank Baum, The Wonderful Wizard of Oz|...and remember my sentimental friend that a heart is not judged by how much you love, but by how much you are loved by others.
Todd Stocker|I wanted to figure out why I was so busy, but I couldn't find the time to do it.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Thoughts frame your portrait, action paints it.
Nataša Nuit Pantović, Conscious Parenting: Mindful Living Course for Parents|A child has a deep longing to discover that the World is based on Truth. Respect that longing. In our attempt to help children grow into Inspired Adults, we wish them to carry the Youthfulness of their Souls, and the Wonders of Childhood into their old age.'Conscious Parenting by Natasa Pantovic Nuit Quotes about kids and world based on truth
Nataša Nuit Pantović, Conscious Parenting: Mindful Living Course for Parents|A child is a Soul, a Unit Consciousness materialized on Earth to learn, fulfill its purpose contributing within the Matrix of Gaia. Our parents fought for ‘Expression of Thoughts’, ‘Equality’, we now have a task to fight for the Supremacy of Love over Control within all Areas of Life.‘Conscious Parenting by Natasa Pantovic Nuit Quotes about kids development soul
Rishank Jhavar|Go past the insecurity. Go past the little voice that says doing that thing will hurt you. Instead let the pain flow through you, and just hold on. At that very point, you will find yourself invincible.
Penelope Douglas, Rival|Fallon affected my body in weird ways. But only because she’s different, I told myself.
|Your children are not your children.They are the sons and daughters of Life's longing for itself.They come through you but not from you,And though they are with you, yet they belong not to you.You may give them your love but not your thoughts,For they have their own thoughts.You may house their bodies but not their souls,For their souls dwell in the house of tomorrow,Which you cannot visit, not even in your dreams.
Amy Leigh Mercree|Sharing your kindness sparks understanding all around. Then like fireflies in the night, twinkling love surrounds you.
Roy  Bennett|When you encourage others, you boost their self-esteem, enhance their self-confidence, make them work harder, lift their spirits and make them successful in their endeavors. Encouragement goes straight to the heart and is always available. Be an encourager. Always.
Carlos Wallace, Life Is Not Complicated-You Are: Turning Your Biggest Disappointments Into Your Greatest Blessings|No one makes it to the "top" by themselves. Each step you take is guided by at least one person's blood, sweat and tears. Appreciate those who stand behind you as you rise. They are the only ones who will catch you if you fall. The ladder of success is steadiest when someone's there to support it.
Roy  Bennett|When you start giving, instead of getting, you make a difference… You can always give a warm smile, a sincere hello, a positive vibe… your concern, your attention, your time, your love, and kindness to those around you.
Kirsten Siggins, The Power of Curiosity: How to Have Real Conversations that create Collaboration, Innovation and Understanding|When we aren't curious in conversations we judge, tell, blame and even shame, often without even knowing it, which leads to conflict." -The Power Of Curiosity: How To Have Real Conversations That Create Collaboration, Innovation and Understanding
Roy  Bennett|Don't let your mind talk you out of your dreams, trick you into giving up; don't let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.
Roy  Bennett|Instead of worrying about what you cannot control, focus your energy on what you can create.
Roy  Bennett|Courage is feeling fear, not getting rid of fear, knowing something is more important than fear and taking action in the face of fear.
C. JoyBell C.|Some people live in cages with bars built from their own fears and doubts. Some people live in cages with bars built from other people's fears and doubts; their parents, their friends, their brothers and sisters, their families. Some people live in cages with bars built from the choices others made for them, the circumstances other people imposed upon them. And some people break free.
Napoleon Hill|A genius is simply one who has taken full possession of his own mind and directed it toward objectives of his own choosing, without permitting outside influences to discourage or mislead him.
Mother Teresa|I have found the paradox that if I love until it hurts, then there is no hurt, but only more love.
C. JoyBell C.|Do not limit yourself to your own preconceptions of yourself, but throw yourself out onto a blank page that you haven't written on yet, and see what you find out about you, see what story unfolds, see what happens! I always do this, and sometimes it can be very frightening! To very often have a blank page with nothing written on it yet! I feel as though I am a soul with a single covering–my body of skin– and that's the only thing between me on the inside and the rest of the world! It's quite frightening to begin each day on a blank page, forgetting your own preconceptions of yourself and allowing your mind to embrace the new! It is like meeting yourself for the first time, over and over again!
Cormac McCarthy|I never had any doubts about my abilities. I knew I could write. I just had to figure out how to eat while doing this., New York Times, April 19, 1992]
C. JoyBell C.|The problem with thinking that you are the absolute best, is that it leaves no room for you to become any better and while you live life thinking that you're the best, truth is a lot of people around you are already better and becoming even more better.
Rick Riordan|Nothing lasts forever. But the thing is, you can reuse some. Use your mind. - Leo's Mother, The Lost Hero
Molly Friedenfeld|Fairies with gossamer wings, Bring forth beauty, grace and joyful things. Fairies of the earth are caretakers of our soil, water and trees,They watch over beautiful creatures such as bears, bunnies and bees.Fairies ask that you breathe in and appreciate the vantage point from which you stand,Then trod carefully and respectfully with each intentional step you make across this beautiful land.
Mark  Donnelly|When the flames of life are gnawing away at your butt, run faster, quicker, and harder than you've ever run before, because I guarantee it that life will condition you, harder than any trainer ever will.When you state to yourself with the utter most believe, “I will achieve this,” than you are on the path, and this is when life throws obstacles left, right, straight on and which other way, but keep going. Because you will make it
Erica Goros|Never mourn the loss of innocence, because it always brings the much greater gain of wisdom.
Pedro Okoro, Crushing the Devil: Your Guide to Spiritual Warfare and Victory in Christ|The good is the Enemy of the best. Until you depart from the good, you cannot enter God's best for your life.
sahil banga|Success always hugs you in private,but failure slaps you in the public...
Angela M. Hudson|Thought I wanted overnight success, until I achieved it through hard work and the refusal to back down! What you earn, you keep.
Kevin Clash|If everybody else your age is doing something very different than what you're doing, there's always going to be someone saying to you you might not succeed with it, you might not make any money with that... there's always going to be some type of obstacle in the way. All of those things will go away if you really focus on what makes you happy.
C. JoyBell C.|Freedom is not the absence of commitment, and to be committed to something or to someone does not mean the loss of freedom. But freedom exists in the realm of the unbound and to be free is to be committed to that which is a part of the unbound realm. Whatever sets your soul to flight is freedom. If someone sets your soul to flight, to stay with that person is not to lose freedom but to stay with that person is to retain freedom. Together you have what is unbound. Whatever will swell your spirit and give you wings, is freedom, and it is a fault if you let go of that for the very reason that you are afraid of losing your freedom and in doing so you have in fact let go of what will keep you unbound.
Donna Quesada, Buddha in the Classroom: Zen Wisdom to Inspire Teachers|What we can change is our perceptions, which have the effect of changing everything.
C. JoyBell C.|I’m barely human. I’m more like a creature; to me, everything gives off a scent! Thoughts, moments, feelings, movements, words left unsaid, words barely spoken; they all have a distinct sense, distinct fragrances! Both a smell and a touch! To inhale is to capture, to experience! I can perceive and I can “touch” in so many odd ways! And so I am made up of all these scents, all these feelings! An illumination of nerve endings!
Sue Nelson Buckley|It's not whether your glass is empty or full, it's what you do with it that really matters.
Lucas Remmerswaal, The A-Z of 13 Habits: Inspired by Warren Buffett|Just do it! First you make your habits, then your habits make you!
C. JoyBell C.|Freedom is a place, an area. It's a higher place. There are some other people that are here, and things that are here which are unseen. But you first have to set yourself free and believe in what you cannot see, believe that there is something more out there. In freedom can be found many devotions: a devotion to love, a desire to believe, a willingness to be happy, a perseverance to have peace. All these unseen things breathe and grow in the unseen soul. A free person is not an uncommitted person, but in a free person you will find a deep devotion, and a desire to be devoted to even more.
C. JoyBell C.|...No– but ours is a journey into ourselves, a walk with God every day! Ours is a book that we write, a smile, a love, a tear, a lust, an awakening, a learning, a joy, a laughter, a memory, a dream, a vision, a love, a love, a love and a love. Our life is now. And Heaven is always there, but this life isn't always there, but this life isn't always here. Heaven is always there for us but this life is a gift to us!
C. JoyBell C.|It's time that I stop referring to myself, thinking about myself, planning for myself, according to the gridlines and the timelines and the guidelines of people. I will expand in this universe, I will not stay on the lines nor within the lines written by this world.
Solange nicole|It doesn't matter where your journey begins, so long as you begin it...
C. JoyBell C.|I think that there are those who write of life being a skip on the sidewalk, a chocolate bar, a bowl of cherries... the problem with that is it ends up disappointing people. Because life is more like being on the tube in London; you never really know what could happen! But then there are those people who bring a box of chocolates to eat on the tube...so life, it isn't a skip on the sidewalk, but it is a matter of strength: "Can I bring my bowl of cherries to feast on while I stand here in the gutter?" that's the essence of life. Can you still put on your rose-colored glasses while your eyes are filled with tears, and see everything in rosy colors? That's the strength that fuels a true life. Can you think to bring your little box of chocolates with you while you sit on the tube running under the streets of London? Because you should. Because even if you don't know anybody, and you don't know what's gonna happen next, you should have your box of chocolates with you. You should eat your bowl of cherries. And that is what life is.
Dianna Bellerose|True friends are always together in spirit." Lucy Maud Montgomery
Casi McLean|When you let go of past pain, believe in yourself, and follow your dreams—you can find true happiness!
William Shakespeare|Tongues in trees, books in running brooks, sermons in stones, and good in everything.
Laura Jensen Walker, Becca by the Book|Be in the World, Not of the World—Kind of like Lucky Charms cereal: there are lots of pretty marshmallows in with the cereal, but they’re not the same. So live with the cereal, but remember: you’re a pretty marshmallow.
Shahrizad Shafian, Tunjuk Langit Cinta|Receiving is good but giving is much better. Nevertheless, sharing is the best.
Nakia R. Laushaul, Running from Solace|Love is something you must accept in order to have, Naomi.
Michelle Cruz-Rosado|The concept of 'home' is not just where one resides, but where the heart resides; in the purest depths of the soul.♥
Jon-Robert Holden, Blessed Footsteps: Memoirs of JR Holden|Success for you is a RECIPE that ONLY YOU KNOW the ingredients for.So to you I say ,COOK UP the success that ONLY YOU know how to make and allow the world to see YOUR CREATION!
Monica Pradhan, The Hindi-Bindi Club|I don’t want to freeze my eggs. I don’t want to visit a sperm bank. I don’t want to be a single parent, if I have any choice in the matter. I want a nuclear family. I want to put down roots, to let my seeds germinate, to watch them bloom and flourish. Not one day, if and when I ever fall in love again, but now. While I still have my youth, damn it.
Roy T. Bennett|Strive to make small changes and learn something new daily, because there is always these experiences you have had to tap into for the future.
Thérèse de Lisieux, The Story Of A Soul: The Autobiography Of St. Therese Of Lisieux|I am convinced that one should tell one's spiritual director if one has a great desire for Communion, for Our Lord does not come from Heaven every day to stay in a golden ciborium; He comes to find another heaven, the heaven of our soul in which He loves to dwell.
Lisa Wingate, Talk of the Town|Somewhere, deep within me, beyond the passion, beyond the beauty of the night, that little spark of Daily magic ignited in me again, began burning in a place that had gone dark and untended, that had yearned to be bright and warm. I felt it now, something old, something new, something complete. Perhaps it had been in there in me all along, the belief that there is a plan and a purpose, that God whispers into every life, some things that are beyond the scope of the mind, and can only be felt with the heart and the spirit. Those dreams, the dreams that are dreamed *for* us, not by us, are the truest of all.
Tonny K. Brown|A hero is not know by the number of battles he has won, but rather by the kind of battles he chooses to fight.
Taylor Caldwell, Dear and Glorious Physician|If a nation has not God that nation must fall, but if a nation has God then all the powers of evil, and all the armies, cannot shake its foundations; no, not even if the whole world is arrayed against it.
Preston Bradley|I've never met a person, I don't care what his condition, in whom I could not see possibilities. I don't care how much a man may consider himself a failure. I believe in him, for he can change the thing that is wrong in his life any time he is ready and prepared to do it. Whenever he develops the desire he can take away from his life the thing that is defeating it. The capacity for reformation and change lies within.
Beatrice McClearn, Diaries of an Emotional Prostitute|The more time you spend thinking, the less time you spend doing. The less time you spend doing, the more you watch others do. This formula never equals success.
Amy Leigh Mercree|Love drips like honey from the hive, constant, sweet, precious, into your heart each and every moment if you let it.
Paulo Coelho, The Witch Of Portobello|waktu kita di bumi ini sakral adanya, dan kita seharusnya merayakan setiap detiknya
I. Made Iwan Darmawan|Simbol, huruf dan angka adalah alat, sedangkan gagasan adalah roh sebuah tulisan.
Amy Leigh Mercree|Embrace your diverse, prismatic colors! They make you uniquely you!
Amy Leigh Mercree, The Spiritual Girl's Guide to Dating: Your Enlightened Path to Love, Sex, & Soul Mates|As architect of your reality, you are empowered to create it as you choose.
Matshona Dhliwayo|Learn from stars; even in the dark they give off light, not despair.
Amy Leigh Mercree|Nurturing a feeling makes it proliferate. Choose wisely. Joy, kindness, love, & caring will illuminate your life.
Monika Zands|It is in the darkest hour, when we are faced with our deepest most wrenching fears, that we are given the greatest strength. The choice is whether we succumb to the fear or rise with courage to face our truth and shine our brilliance as our sword of valor.
Roy  Bennett|Change your attitude and you change your life. You cannot control what happens to you in your life, but you can always control how you respond to it. The way you choose to respond is a reflection of your attitude. By changing your attitude, you also change your perspective and change your life.
Swami Vivekananda , Ramakrishna Paramhans, Sarda Devi|Take up one idea. Make that one idea your life - think of it, dream of it, live on that idea. Let the brain, muscles, nerves, every part of your body, be full of that idea, and just leave every other idea alone. This is the way to success.
Amy Leigh Mercree|True love begins when you accept yourself in your totality. Then, and only then, can you completely love another.
Amy Leigh Mercree, The Spiritual Girl's Guide to Dating: Your Enlightened Path to Love, Sex, & Soul Mates|An empowered sense of self-love means you truly love and accept yourself as you would a treasured lover or a sweet, wonderful child, and that you do this from a place of strength of character and belief in yourself.
Lailah Gifty Akita, Think Great: Be Great!|The more you learn, the more you want to learn.
Amy Leigh Mercree|Transcendent, magical romance happens when you’re one hundred percent present for each other as #supersoul lovers.
Victor Hugo, Les Misérables|As for methods of prayer, all are good, as long as they are sincere.
Aung San Suu Kyi, Freedom from Fear|If you're feeling helpless, help someone. ”― Aung San Suu Kyi (from Freedom from Fear)
John Galsworthy, Five Speeches to P.E.N. Clubs and a Letter|Dreaming is the poetry of Life, and we must be forgiven if we indulge in it a little.
Suzanne Elizabeth Anderson, Waiting with God|At times, it can feel like the loneliest place on Earth, because it’s just us. Alone with our unanswered prayers
Clement Watt|Take the first step. No more, no less, and the next will be revealed.
Gail McMeekin, The 12 Secrets of Highly Successful Women: A Portable Life Coach for Creative Women|Gather the best you have to offer and create a heartfelt, prosperous life full of purpose.
Morrie Schwartz.|The most important thing in life is to learn how to give out love, and let it come in.
Radu Tudoran, Un port la rasarit|… e mult mai nobil sa ramai lucid oricat te-ar coplesi viata, esti totdeauna mai putin om cand te imbeti, indiferent cum, si daca fuga de realitate nu-i chiar o decadere, ramane totusi o infrangere.
Krista Kedrick, Under a Prairie Moon|Whether you think you're right or you think you're wrong. You're right.""If you think in pictures, write. If you think in words, paint.
Nakia R. Laushaul|Some instances in life call for humility. But, sometimes you need to be flat-out brazen when it comes to the desires of your heart.
Jaachynma N.E. Agu|Living a Princely life requires that you learn to think and reason like the Prince, talk and behave like him, react like him as well.
Rayvon L. Browne|Try it before you doubt it, because it might just be for you
M.J. Stoddard|The calling of an author is more than just to entertain, but also to share ones experiences with the world.
Rod Judkins, Change Your Mind: 57 Ways to Unlock Your Creative Self|The task of modern man is not to find his inner self, but to create himself.
lexis smigz|life is not about how fast you start,but how the end is going to be ,so don't worry when others are ahead of you.just keep on doing what you have been doing.
Charles Haddon Spurgeon|The wide awake man seizes opportunities or makes them, and thus those who are widest awake usually come to the front.
Saleem Durrani|Fear is a probability by its own cause of actions, if we live by it we lose all the possibilities of endurance
Wendy Mass, 13 Gifts|I've learned that the universe doesn't care what our motives are, only our actions. So we should do things that will bring about good, even if there is an element of selfishness involved. Like the kids at my school might join the Key Club or Future Buisness Leaders of America, because it's a social thing and looks good on their record, not because they really want to volunteer at the nursing home. But the people at the nursing home still benefit from it, so it's better that the kids do it than not do it. And if they never did it, then they wouldn't find out that they actually liked it.
Rabindranath Tagore|I thought that my voyage had come to its end at the last limit of my power, that the path before me was closed, that provisions were exhausted, and the time come to take shelter in a silent obscurity, but I find that thy will knows no end in me, and when old words die out on the tongue, new melodies break forth from the heart, and where the old tracks are lost, new country is revealed with its wonders.
Haruki Murakami, 1Q84|But hell, you've gotta work with what you've got.
C. JoyBell C.|There is a higher form of hierarchy and that is the hierarchy of the spirit. When I stand in front of a person, I stand in front of a soul and I have met magnificent souls in bodies possessing no money, as well as parched and shallow souls in bodies bathed in riches. In the same light, I have met magnificent souls in bodies bathed in wealth, as well as parched and shallow souls in bodies that are impoverished. I am tired of people busying their minds with hierarchy based upon money, because this form of hierarchy is primitive; meanwhile there is an altogether higher form of hierarchy that is of the soul. As you judge man and woman based upon their riches, I laugh at your primitive form of judgment! When I stand in front of a human, I stand in front of a soul.
Julie Cantrell, Into the Free|Maybe God doesn't care if we get all dressed up and sit in the pew every Sunday, as Diana believes. Instead, maybe God comes to us through men like Sloth, watching over us as we make our own decisions. Maybe God has always been with me. Opening doors, leading me to opportunities, letting me choose my own path, and loving me even when I chose the wrong one. Never giving up on me. Knowing all along that I am on a journey. That I must find my own way to Him. Maybe River was rights. Maybe God does still believe in me.
C. JoyBell C.|My friends, don't idolize hardship. What you idolize is what your heart will look for and what your heart looks for is what you will have. And don't capitalize on misfortune, because you will always seek out to have capital! Throw away that pride! Don't put sorrow on a pedestal! If you ask me if I would rather have had my sorrows or not, I will tell you that no, I would rather have not had any of them! In the blink of an eye, I would rid myself of them! I have no pride. I don't rely on hardships and sorrows to mold me into someone. I don't allow myself to be dictated. When hardship and sorrow come knocking, saying "We are responsible for who you are today, let us in!" I'm going to say, in a split second, "No you're not! Go away, I don't owe you anything!
C. JoyBell C.|There are blue diamonds born to the world and given to those who only want glass crystals. There are blue roses born to the world yet given to those who only want daisies. Blue diamond, don't cry because they want glass crystals. Blue rose, don't bleed because they see only the daisies. You were formed in the bedroom of the gods, you were conceived in the garden of the eternal!
Marguerite Yourcenar, L'Œuvre au noir|Le souvenir n'est qu'un regard posé de temps en temps sur des êtres devenus intérieurs,mais qui ne dépendent pas de la mémoire pour continuer d'exister.
Donna Galanti, A Human Element|We all have something redeemable in us, no matter how small." - Laura Armstrong, A Human Element
Joana James|If all the people who were called "crazy" started acting "normal", we'd probably still be living in caves.
Lenore Wolfe|For every woman, there is that one man who could get her to go anywhere he wanted her to go, do anything he wanted her to do—reach into her soul and turn her whole world on its ear—challenge everything she thought she believed. Highlighted by 24 Kindle users
Angel Sharum|If you are willing to go out on a limb, the tree of life holds endless possibilities.
Colton Robinsmith|make the most of the day, by determining to spend it on two sorts of acquaintances only - those by whom something may be got, and those from whom something may be learned. - Colton
Meg Meeker, The 10 Habits of Happy Mothers: Reclaiming Our Passion, Purpose, and Sanity|Friends who love us know that motherhood is about transitioning--and adjusting, constantly, to those changes. We must become masters of change because that is what life demands of us.
Leo Tolstoy, Kreutzer Sonata and Family Happiness|I led the life of so many other so-called respectable people,—that is, in debauchery. And like the majority, while leading the life of a debauche, I was convinced that I was a man of irreproachable morality.
Cassandra Blizzard|Love and honor the world around you, and you experience life in its fullest. There is no “Other.” There is simply us. The all of us, the whole of us. The mankind of us. Anything else is a lie.
Keisha Keenleyside|fight for what you believe in,for if you don't you will be forever fighting against yourself.
G. Norman Lippert, James Potter and the Hall of Elders' Crossing|a hero is just somebody who does the right thing when it would be far, far easier to do nothing.”-Cedric Diggory-
Lucas Remmerswaal, The A-Z of 13 Habits: Inspired by Warren Buffett|I is for Integrity, be honest with yourself and others.
