Tapan Ghosh, Faceless The Only Way Out|Death is an illusion, Love is not!
Mensah Oteh|Success is subjective, so define it for yourself. Don’t allow your life efforts to be dictated and judged according to other people’s standards.
Mensah Oteh|To take the island, cut all sources of retreat. Burn your boats and go all in.
Mensah Oteh|Plan your work, then work your plan.
Mensah Oteh|Like any formula, success has parts and therefore it is expressed in three ways – achievement (a science), fulfilment (an art) and lifestyle (an act). All three have to be present for the formula to be complete.
Mensah Oteh|Life is beautiful, so celebrate it like the gift that it is.
Mensah Oteh|Find something during the day to celebrate – something you someone did, something you observed or something you heard.
Mensah Oteh|Don’t wait for others to celebrate you, learn to do it yourself.
Mensah Oteh|Life is supposed to be exciting, so journey through each day collecting moments and celebrating the right ones.
Kilroy J. Oldster, Dead Toad Scrolls|All love is bittersweet. Love is inexplicable; it is part poetry and part masochism. Part of love is the loss of self-control because one must openly surrender their sense of an exclusive self to the manic powers of love. The personal act of surrender to a lover leaves one vulnerable to entanglement in a maze of emotions. When we fall in love, our lover’s happiness and well-being assumes the primary role in our mind, they become copilots of our souls. When we are in love for the first time, we feel what it means to become a complete person; we identify who we are by seeing our reflection in our lover’s eye; and we sense what we might become when infused with love. When our lover leaves us, we feel vexed and vacant because we recognize that they took up such a large part of what made us feel intoxicated with life. When our lover abandons us, we lose our sense of self; we temporarily cease to exist as a whole person, and we must reconstruct the shattered remnants of oneself in the wake of a love lost.
Kilroy J. Oldster, Dead Toad Scrolls|No one can claim they are mature until they experience the hallucinogenic ramifications of being in love, and undertaken an urgent personal assessment and soul-searching discernment that is mandated after experiencing the bitterness of losing in the love game.
Mensah Oteh|Gratitude is an act that has to be expressed, not an attitude.
Mensah Oteh|If you learn to be grateful and celebrate each day, you have mastered the secret to living.
Mensah Oteh|We all have to be taught how to be thankful and once learned, it has to be improved and practised daily.
Mensah Oteh|If you got on your knees to give thanks for the undeserved kindness and mercy in your life, you would be shocked by how rich you truly are.
Mensah Oteh|Gratitude must come from a place of true sincerity to be effective. Without sincerity, the experience is incomplete.
Mensah Oteh|Without emotion, all thoughts or words are powerless.
Mensah Oteh|Gratitude is arriving at the point where your expectations, accumulation and anticipations make way for appreciation, reflection and celebration.
Mensah Oteh|By focusing your thoughts on the things you are thankful for, you attract more things to be grateful for into your life.
Mensah Oteh|It’s no mystery, it isn’t luck. Success is a result of your obedience to specific principles, rules and laws
Mensah Oteh|your responsibility is simply to find how things work and those who are already successful then model their beliefs, behaviour, attitude, philosophies and actions and you’ll get similar results
Mensah Oteh|Appreciation generates energy, like thankfulness creates increase.
Kilroy J. Oldster, Dead Toad Scrolls|Our compassion, spirituality, and appreciation of beauty provide us with the capacity to love.
Mensah Oteh|If you got on your knees and counted all of the blessings, goodness, grace, favour and kindness in your life, you would find that you would exhaust the whole day and will still have more to share.
Mensah Oteh|Hard work is the foundation of the abundant life, and sacrifice is needed to make it reality.
Mensah Oteh|To be happy, you simply need to choose happiness and it comes from within not without.
Mensah Oteh|There isn’t a single definition of happiness to suit everyone’s requirements, but you know it when you feel it.
Mensah Oteh|Your life is lived in a day, so focus on living one good day by successfully designing, creating and living that good day and duplicating it.
Mensah Oteh|If you want to live in abundance, work towards it one day at a time.
Mensah Oteh|Ask questions. The secrets of life are hidden in questions, so ask wisely.
Mensah Oteh|Life never gives you what you want or need just because you have a burning desire for it. Life gives you what you seek, knock, and ask for.
Mensah Oteh|Life is like soil – it will always return a harvest. If you plant good seeds, you’ll reap a bountiful harvest.
Mensah Oteh|The abundant life doesn’t happen by accident. It is the result of doing specific things purposefully every day and it requires an investment of time, energy and effort.
Mensah Oteh|Life is not just the passing of time; it’s also a collection of experiences from your past, present and future.
Mensah Oteh|The roots of the abundant life may seem bitter, but its fruits are sweet.
Mensah Oteh|To succeed in life you need five things – a burning desire, a willingness to do whatever it takes, wisdom, incredible effort, and a commitment to never-ending improvement.
Mensah Oteh|To put in the effort needed to create the life of your dreams, you first need to develop a burning desire.
Mensah Oteh|Creating the good life is like following a recipe; specific ingredients are required to guarantee the promised results and each has to be carefully selected and added in the right quantity and sequence. If you get it right, the outcome is guaranteed. If you change or alter the ingredients, the outcome changes.
Mensah Oteh|Appreciation and gratitude show your true wealth emotionally, spiritually and psychologically.
Mensah Oteh|Gratitude is the key to wealth and abundance, so learn to be grateful in all things.
Mensah Oteh|You are perfect, not tomorrow, not in the future, but today.
Mensah Oteh|Anyone who constantly makes you unhappy belongs in someone else’s world, not yours.
Mensah Oteh|Happiness resides in your mind, brain, heart and tongue. Connect all four and you’ll live in bliss.
Mensah Oteh|Humour, like any life skill, is learnable. If others can learn it, so can you.
Matshona Dhliwayo|When two souls are one, they hear each other, even in silence.
Matshona Dhliwayo|Everyone should have a place in your heart, but only a special few should have a place in your life.
Jacqueline Simon Gunn|Empty Spaces I wanted to feel less.To not be burdened by emotion,To not feel sadness,To not know loss.I envied the inanimate,The trees that stand proudly in winter,Not missing their leaves.I wanted to be weightless,To not experience limitation.I didn’t want time to pass,The blur of days, months, years.It moved too quickly,I wanted to grasp on,Hold it.It eluded me,Intangible,Like light.I wanted to preserve life before you were gone.I didn’t want to know grief.But the pain kept me connected.It meant that I loved you,It meant that I would always be a little broken,It meant that our love filled all of the empty spaces.It meant that you would be with me... forever.
Sapan Saxena, Unns-The Captivation|You have been the summary of my entire existence; my biggest weakness, my greatest strength. The weathers of my life start and end with you. You complete me.
litymunshi|my dearshow me i am with you . other way show me you are with me . not seeing any place at your life , feels i am like a cold wind ,invisible can't see anyway . this ishard to feelconversation with my life-----------------------------litymunshi
Matshona Dhliwayo|Marry your friend, and you will be reasonably happy. Marry your lover, and you will be abundantly happy. Marry your soulmate, and you will be infinitely happy.
Matshona Dhliwayo|Love is your greatest asset, fear is your greatest liability, and joy is your greatest reward.
Tracie Sage, The Missing Manual to Love, Marriage and Intimacy: A Proactive Path to Happily Ever After|What if children grew up with parents who modeled a loving relationship, who openly showed each other affection and respect, expressing feelings authentically, and who lovingly, even playfully, turned conflicts toward solutions? What if we grew up feeling embraced, loved, seen and valued for the whole of who we are? Would it all turn out differently? You bet it would!
Tracie Sage, The Missing Manual to Love, Marriage and Intimacy: A Proactive Path to Happily Ever After|Our spirit wants to experience connection by being seen, felt and heard. When you ask and listen deeply with curiosity to whatever wants to be expressed, you are giving one of the most precious gifts you can give to one you love.
Tracie Sage, The Missing Manual to Love, Marriage and Intimacy: A Proactive Path to Happily Ever After|When your thoughts, choices and actions are in alignment with love as a priority in your life, the streams of love flow naturally in ways that continue to replenish you.
Tracie Sage, The Missing Manual to Love, Marriage and Intimacy: A Proactive Path to Happily Ever After|Love is a practice. It’s up to you to choose it, prioritize it and commit to it.
Matshona Dhliwayo|When you hear love calling you, don’t pretend to be deaf.
Christy  Johnson, Breathless: Edition Two|Maybe love doesn't come from the heart. Maybe it's a psychic jolt that wakes you when you touch them, leaving you breathless.
Matshona Dhliwayo|The world’s most lethal venom is not found on the tongues of serpents, but on the tongues of a disgruntled wife.
Matshona Dhliwayo|Grief gives you a hundred reasons to cry; hope gives you a thousand reasons to smile, joy gives you a million reasons to laugh, and love gives you billion reasons to rejoice.
K.R. Royal|Some men and women move mountains, even if it's one shovel full at a time.
Sapan Saxena, Unns-The Captivation|And then I realized that love is like a helium balloon. You know the one which flies away into the sky if you don’t hold it by its strings? No matter how much I tried to break my string, the balloon always remained there. Know why? Because maybe unknown to yourself, you were holding a couple of strings as well
Matshona Dhliwayo|If you have no one, you are poor; if you have an acquaintance, you are fortunate; if you have a friend, you are privileged; if you have a lover, you are rich; if you have a soulmate, you are wealthy.
Kamand Kojouri|If I can’t be your love, then let me be a simple brooch so I may rest a while against your chest. If I can’t be your love, then let me be a forgotten coin so I may rest a while against your thigh. If I can’t be your love, then let me be an unlit cigarette so I may rest a while in between your lips. If I can’t be your love, then let me at least remain in these words so I may rest a while in your thoughts.
Matshona Dhliwayo|If you want to be strong, exercise; if you want to be wise, study; if you want to be happy, smile; and if you want to be invincible, love.
Micheline Jean Louis|I don't defend pain, But I do respect its ability to make us stronger and wiser after it stings.
Nigel Jay Cooper|Maybe that’s the way of love. It doesn’t wait to be invited in, and it won’t be coerced. It gently creeps under your skin, a mild itch at first, not giving itself away in case you scratch it and cause an infection. But then it sinks in deeper, getting into your bloodstream. It travels. By the time it reaches your brain and you’re aware of the infection, it’s already taken over your heart. In Natalie’s experience, love is anything but innocent. It’s a captor, a guard, imprisoning you in the clutches of another, knitting the fabric of your own life to somebody else’s, whether you like it or not.
Izey Victoria Odiase|If they don't like you for who you are, it means they're not meant to be in your life.
Matshona Dhliwayo|If a woman stands behind you, respect her; if she stands beside you, cherish her; if she stands with you, adore her.
Abigail Thomas, What Comes Next and How to Like It|It ended sadly. The kind of ending where you wait together, holding hands and weeping, while off in another room, love slowly dies.
Rajesh Walecha|Live with radiance, dignity and strength of love.
Matshona Dhliwayo|If the world stands in between a man and the woman he loves, he will set out to conquer it.
Avijeet Das|And the golden rays of your love made me warm on cold, wintry nights.
Matshona Dhliwayo|The cheapest thing in your life is money; the most expensive, love.
Linda Alfiori, The Art of Loving Intelligently:Discover the Five Love Myths Hurting Women in America|FOCUS ON YOURSELF AT ALL LEVELS: BODY, MIND & SOUL. THUS, WHEN THE RIGHT MAN COMES TO YOUR SIDE, YOU WILL BE READY TO WIN HIS HEART.
Renae A. Sauter, An Empowered Life: Mind/Body/Spirit Empowerment|Love: always inclusive, never divisive
Matshona Dhliwayo|If you want the world to know how truly beautiful you are, love everyone.
Altaf ul qadri|Love is cure, love is power,love is magicof changes,love is the mirror of divine beauty
Matshona Dhliwayo|Your knowledge can stir the world, your intellect can move it, your wisdom can shake it, but only your love can truly change it.
Micheline Jean Louis|It takes courage to forgive love and allow yourself to embrace it again, its like discovering wings you thought you've lost
Ehsan Sehgal|Love is the natural constitution of life. Its main clause; the sex and others such as respect, equality and tolerance are the essential terms to succeed the pleasure of life.
Kilroy J. Oldster, Dead Toad Scrolls|It is easy to hate and it is difficult to love. Wisdom, compassion, and courage are essential ingredients for love. To love other people we must begin by forgiving them. If we do not bring forth the part of us that is capable of love and compassion, it will destroy us.
-Lekshmi SP|Love is just a word for him,where she means a world to him!
Matshona Dhliwayo|A sword can only pierce the body, but love can pierce the soul.
Matshona Dhliwayo|A smile is worth dozens of words, but a kiss is worth a thousand.
Matshona Dhliwayo|Love has two rules: the first one is love, and the second one is love some more.
Matshona Dhliwayo|When love intoxicates your heart, it is difficult for your soul to remain sober.
Matshona Dhliwayo|If a woman laughs when you hurt her, you ought to cry, for you have lost her; if she cries, you may laugh, for you have a worthy soulmate.
Nigel Jay Cooper|Emotions don’t arrive intact. Shards injure you incrementally, so small at first you don’t notice them. Over time, the damage builds and one day you realise the nicks and cuts have become gaping wounds. Worse still, they’ve become the very thing that defines you.
Ira Barin|You're screwed when you start to notice the details,It's when you begin to notice the curve of his lips when he smiles.It's when you can't help but stare at him and the way he talks.It's when you get to admire the shape of his eyes and even the length of his brow.And even crazier, when you get to see the flash of his face in your mind on a random day or it's when you have his favorite facial expression stuck in your memory. . . And worse when you start to have it all in your mind, then you start to miss him.
Adhish Mazumder|If you were to love, love not for the lust that you yearn but the rather the pain that you earn with it.
Siobhan Davis, Losing Kyler|When everything else is shattering, you feel like the one true constant.
Siobhan Davis, Losing Kyler|I lie awake in bed until way past midnight, fervently hoping Ky is going make an appearance at any moment to explain his behavior. But as the clock chimes two, I have no choice but to face facts.He isn’t coming.And it feels ominous.Like the winds are changing, and destiny is altering.His absence is more than telling.It has a finality to it that scares me half to death.
Mehmet Murat ildan|If you harden the soil, the seed cannot grow; if you harden your heart, the love cannot grow!
Linda Alfiori, The Art of Loving Intelligently:Discover the Five Love Myths Hurting Women in America|It is more likely that a man and a woman develop romantic feelings for each other when they start dating after they have been friends for some time and feel already attracted to each other, than when they are total strangers trying to make it happen.
Linda Alfiori, The Art of Loving Intelligently:Discover the Five Love Myths Hurting Women in America|Contrary to what most women think, men want a lot more than just sex. A man wants to make a difference in a woman’s life and make her happy.
MaryLu Tyndall, Tears of the Sea|She smiled. "Of course. You are right. How can I enjoy my happiness when so many suffer?" He kissed her forehead. "Soon all suffering will end." She gazed up at him. "And I will be by your side forever." "Forever and ever and ever." He leaned over and kissed her. And so the adventure begins...
Unknown|It's bad manners to say " i love you"With a mouth full of lies.
R.J. Larson, King|Kien, talking with Akabe, caught Ela's glance and grinned, luring her thoughts toward him. Gorgeous man! How dare he distract her?*****************************************Akabe turned and saw what-or rather who-had distracted Kien mid-sentence. He should have known. And he understood. If Caitria had cast him such a loving smile, Akabe would have abandoned this impromptu conference altogether. But Caitria petted Issa, ignoring everyone else. Therefore... Akabe backhanded Kien's shoulder. "Stop flirting with your wife and pay attention!" Kien shot him a mock-threatening look. "I am your servant, sir." A headstrong and unexpected servant, Akabe agreed silently. But most welcome.
R.J. Larson, King|I give you my word, Prophet, I'll heed the warning. Don't worry-it's only one day." "Yes, but this will be the longest separation we've faced since our wedding." Kien chuckled. "Poor love. Again, don't worry. I'll think of you every other instant." He sealed his pledge with kisses, coaxing Ela to set aside her fears and lose herself in his embrace.
R.J. Larson, Judge|Aching, she gazed down at Kien, then blew him a kiss, love mingling with longing and regret. He answered, sending her a kiss in turn. And another smile, radiant with delight. How could one man be so captivating?
Anne Elisabeth Stengl, A Branch of Silver, a Branch of Gold|Before she'd gone five paces, she heard Benedict speak softly behind her. "You matter, Heloise," he said.  She didn't stop. She didn't turn. "Whether or not you believe it. Whether or not you rescue your sister tonight," he said, his voice reaching out to her as the distance grew between them. "You matter. You matter...to me." Another step. Then another. The Great Hall was so terribly long! But she kept walking, and she would climb those dais steps. "You reminded me what it means to live. I thought I was dead and done, but you taught me otherwise. " I... I'll never..."She could hear what he was going to say. I'll never forget you. It caught in his throat, but she heard it as clearly as though he'd spoken the words.
Jackie Castle, Emanate|Ah, young love. I will miss seeing how this unfolds." -DezPierre
Kilroy J. Oldster, Dead Toad Scrolls|A person whom writes begins by putting down what they know about loneliness, shame, love, and heartache. In writing fully, they discover many other aspects of themselves that they never suspected including doubts, beliefs, ironies, and farcicalities.
Sapan Saxena, Unns-The Captivation|I am such a classic fool, aren’t I?” “No, not a fool. Just in love,” “It’s all the same.”“No, it’s not.
Matshona Dhliwayo|Lust promises you the world, and disappoints. Love promises you the universe, and delivers.
Matshona Dhliwayo|Jealousy says, “Compete with each other.” Envy says, “Destroy each other.” Empathy says, “Help each other.” Love says, “Empower each other.
John M Sheehan|Yes, the depth of truth unfolding like a rose bud in the morning hours to show its beauty when the sun does warm the pedals releasing the scent of love is something to be noticed from one heart made new again from darkness to light
John M Sheehan|From a heart of stone, to a heart of flesh, love makes new what sin makes old
Ramana Pemmaraju|Earlier men craved for love from women, nowadays they ask everything except love!
M.K. South|What is wrong about me loving you, anyway? You make me better. You make me feel special. You make me feel like I can do anything.
Kamand Kojouri|Usually, when I dream of flying I am simply flapping my arms and somehow I lift off and glide through the sky. Last night was different. I missed you so much and my yearning was so powerful that I sprouted wings like a phoenix and soared to reach you. And now I finally understand: if you see lovers on a roof, do not worry. Surely, love has metamorphosed them.
Kamand Kojouri|Is it odd, my love, that I envy others who have not met you for the intoxication they have yet to experience? Is it odd that I wish to witness you with new eyes so I may have the pleasure of falling for you all over again? I am grateful, so grateful, for knowing the meaning of your various sighs. For being the cause of your ecstatic cries. But, if only for a moment, I wish to let you fall out of my hands so that I may catch you again. You, my love, are the oddity. You are my exception.
Cristen Rodgers|I promise from now on to always make time for at least one more. One more chapter before I turn out the light and float off to sleep. One more kiss before I sink into this sea of words and search for meaning to bring back up with me. One more stretch and one more wiggle of my toes before I jump out of bed; and one more moment in meditation before I re-emerge. One more full, deep breath and one more look at the sunset. One more touch, one more smile, one more moment of stillness, of gratitude, of simplicity, of love. From now on, I’ll always make room for one more because you never know when one more is all you’ll ever have.
Kamand Kojouri|They can award me with the greatest accolades and reward me with the finest diamonds. They can name days and streets after me, canonise and celebrate me. They can make me the queen of their kingdom, the president of their nation. They can carry my picture in their wallets and whisper my name in their prayers but, tell me, what is all this worth if your voice isn’t the one calling me home?
Giselle Fox, Slow Burn in Tuscany|You're my sweet, sexy, goddess of love and I want you and every beautiful little thing that you make.
Joey W. Hill, Worth the Wait|She traced the dragon’s body on his biceps where it transitioned into rope. “I just thought it would be more difficult. After all this time, the heartache, the waiting, the despairing and giving up, the pure pissed-offness of dealing with near misses…" She blew out a breath. “And there it is. With you, easy as breathing. ‘I’m in love with you.’ You said it and meant it. It changes the universe, but the way throwing a stone in a pond does. All those ripples. It's…amazing.”She frowned and cocked her head. “There should at least be dramatic music.” "I can retract it if you want. Brood for a while, play commitment paranoia games, alienate you so we break up, sort of, and then I chase you down before you make some monumental decision, like moving back to New York, or signing up for a three year stint in the merchant marines. Then we can have a big makeup scene.“ She pursed her lips. "Complete with dramatic music.” "Absolutely. If I could afford it, I’d hire John Williams to come up with the score.“ "You’d do all that for me?” "Hell, no.” He snorted, puffing a short, playful breath against her. “I’d tie you up and keep you in my basement until you contracted Stockholm syndrome and couldn’t breathe without me.“She tipped her head back, sobering. "Sometimes, it feels like I can’t. Crazy, right?” He put his mouth on hers and took her air in the best kind of way, all while giving it back to her. at her, boyishly appealing, but then sobered. "We’re normal, extraordinary people,” he said. “It took us a while, but we always knew what it would look like when it happened. The simplicity of it is what makes it extraordinary. A tadpole gets legs and walks on land, and evolution begins. All in a simple blink, the whole world changes.
Joey W. Hill, Worth the Wait|God, he was going to destroy her. But maybe for the first time in her life, she’d found a man worth shattering for.
Marcel Proust, Swann's Way|He suffered greatly from being shut up among all these people whose stupidity and absurdities wounded him all the more cruelly since, being ignorant of his love, incapable, had they known of it, of taking any interest, or of doing more than smile at it as at some childish joke, or deplore it as an act of insanity, they made it appear to him in the aspect of a subjective state which existed for himself alone, whose reality there was nothing external to confirm; he suffered overwhelmingly, to the point at which even the sound of the instruments made him want to cry, from having to prolong his exile in this place to which Odette would never come, in which no one, nothing was aware of her existence, from which she was entirely absent.
Sahara Sanders, Win the Heart of A Woman of Your Dreams|It’s not a big deal to fall madly in love with someone bright, extraordinary and charismatic; a big deal is to become the matching person, who is worthy to be loved back.
Elif Shafak, The Forty Rules of Love|May love always be with you, and you always surrounded by love
Matshona Dhliwayo|Outer beauty you see with your eyes, but inner beauty you only see with your heart.
Kamand Kojouri|Nothing belongs to itself anymore. These trees are yours because you once looked at them. These streets are yours because you once traversed them. These coffee shops and bookshops, these cafés and bars, their sole owner is you. They gave themselves so willingly, surrendering to your perfume. You sang with the birds and they stopped to listen to you. You smiled at the sheepish stars and they fell into your hair. The sun and moon, the sea and mountain, they have all left from heartbreak. Nothing belongs to itself anymore. You once spoke to Him, and then God became yours. He sits with us in darkness now to plot how to make you ours.” K.K.
Kamand Kojouri|I am certain, my love, that poetry was born only after your birth.
Rajasaraswathii, Success-Talks : For Evolution of Your Success|You need a companion for your thought process, than a physical relationship.
Anurag Shourie, Half A Shadow|Love is just like God. Some believe in it, some don’t. You can only feel love and that too if you are open to its existence. Likewise, an atheist cannot feel the presence of the divine because his mind is shut to the possibility of there being one.
Kamand Kojouri|Put down your glass, it is time to dance. If you want to get drunk all you need is to drink love. Put down your pipe and do away with these childish toys. If you want to get high all you need is to breathe love. Now, can I have this dance?
Matshona Dhliwayo|If you are too busy to love, you are too busy to live; if you are too busy to live, you are too busy to love.
Ayushee Ghoshal|What no one ever told me was that sometimes ‘time’ only adds layers to the wounds and if you scratch off the dust years later, you will still find him in your blood and flesh, residing in a vacant house that you thought had no tenants. Time. They never said that time only teaches us regrets.
Rajasaraswathii, Success-Talks : For Evolution of Your Success|Not only in personal relationships, but also in professional life, if like minded people work together, it is a beauty to witness
Matshona Dhliwayo|Dear fear, I’m divorcing you. Dear courage, I’m courting you. Dear hope, I’m pursuing you. Dear love, I’m marrying you.
Rajasaraswathii, Success-Talks : For Evolution of Your Success|It becomes an energy, when two similar souls, combine together
Matshona Dhliwayo|To achieve peace let go of: guilt, anger, and bitterness. To achieve happiness embrace: virtue, faith, and love.
Matshona Dhliwayo|When you love, you forgive; when you forgive, you love.
Matshona Dhliwayo|Wisdom paints a rainbow in your mind, joy paints a rainbow in your heart, and love paints a rainbow in your soul.
Robert James Waller, The Bridges of Madison County|We have both lost ourselves and created something else, something that exists only as an interlacing of the two of us. Christ, we're in love. As deeply, as profoundly, as it's possible to be in love.
Rajasaraswathii, Success-Talks : For Evolution of Your Success|A person might be living with numerous people; but, if he doesn’t find a companion who thinks similarly as he thinks, he is still alone
Kamand Kojouri|We call a story about love a love story. We call a poem about love a love poem. Well then, my dear, aren’t our lives love lives?
Christina Strigas, Love & Vodka: A Book of Poetry for Glass Hearts|I see the beauty in you, and the darkness. Both are brilliant.
Matshona Dhliwayo|The clearest mirror in the universe is not made of glass, but of a loving soul.
Matshona Dhliwayo|Pleasure awakens the body, wisdom awakens the mind, joy awakens the heart, and love awakens the soul.
Matshona Dhliwayo|Love has never been conquered, not even by the greatest army.
Matshona Dhliwayo|If a man found his dream wife, it was because he was wide awake.
Matshona Dhliwayo|Get high on love, not drugs.
Matshona Dhliwayo|If your heart has been broken nine times, muster the courage to love again for the tenth.
Matshona Dhliwayo|Passion will warm you for days, infatuation will warm you for months, but love will set you on fire for a lifetime.
Susan Samaroo|Time stops for no one, and if we allow ourselves to focus on the negative we might miss out on some really amazing things that life has to offer. We can't go back to the past, we can only take the lessons that we have learned and the experiences that we have gained from it and move on. It is because of the heartaches, as well as the hardships, that in the end help to make us a stronger person.
Matshona Dhliwayo|If you are sad, love will make you happy; afraid, love will make you brave; weak, love will make you strong; and broken, love will make you whole.
Matshona Dhliwayo|Love affords you these three things: smiles, hugs, and kisses. Joy affords you these three things: pleasure, laughter, and good memories.
Val Uchendu|Cherish simple things such as family, friends and love, because great things appear simple from far away. Place your simple things in the best light; there's enough sunshine for all of them
pleasefindthis, I Wrote This For You|You are a drop of perfect in an imperfect world. and all I need, is a taste
Jasleen Kaur Gumber|He isn't the best, neither am I. But we are the best version of ourselves with each other. And that's pretty close to Perfection.
Matshona Dhliwayo|The loudest preacher in the world is your conscience, the cleverest is wisdom, the rowdiest is passion, the surest is truth, the purest is love, and the highest is God.
Nikki Rowe|A man with integrity, with vision, with a sense of purpose and place in the world as exactly himself. That's the kind of man I'll settle for.
Matshona Dhliwayo|The greatest love stories are not written by the ink of the pen, but by the ink of the heart.
E.M. Denning, Measure For Measure|Not only were my nerves shot, but my body was a traitor. I didn’t want to melt against him. I didn’t want to enjoy the feeling of his lips sliding across my skin. I didn’t want to like the possessive way his fingers dug into my waist or the way his erection pressed against me.
E.M. Denning, Measure For Measure|Ryker smiled at me. “You learn quick—”I cut him off. “If you call me grasshopper, I’m going to slug you.” “Padawan.” I shoved him. It was more like shoving a tree. He didn’t even flinch. “You’re such a nerd.”“Geek, Millie. I’m a geek.” His lips twitched and it made me want to raise myself up on my tiptoes and kiss him. I shot him a grin instead. “Only a nerd would know the difference.
E.M. Denning, Measure For Measure|Stick with me, kid. I’ve got this.” His words were an echo of a promise he made long ago, not long after we first met. He always knew exactly what to say, to do, and that’s the reason I didn’t move away when he brought his lips down to mine. It’s the reason I let my hands slide over his bare chest. They mimicked the way his tongue slid along my lower lip when I sighed and melted into him.
Jem Okan, I Am Heaven: A Story of Self-Discovery, Acceptance, and Faith.|Love is a funny business. It cannot be commanded but it commands us; it commands respect and unselfishness. Love cannot be sucked out of another in the hopes that it fills us up, because love is not a selfish quest.
Darren L Jackson|You cant Realize Someone Good Is Coming Your Way, if still Remain Sleep on the Fact that they Actually Exist! Wake and smell the Coffee or Excuse yourself if your Nose is a bit Stuffy.
Rita Stradling, Ensnared|Love didn't seem like something that could be organized or contained; it should be messy and emotional, like exploding and imploding with someone at the exact same time.
Matshona Dhliwayo|Love does not wear out the heart, even if it weighs a thousand tons.
Bhavik Sarkhedi, Will You Walk A Mile?|Whenever you feel hatred to your loved ones, start thinking about the love you felt once for your beloved.
Nikki Rowe|I felt you before I knew of your existence, maybe it was a hint from the universe to continue on the yellow brick road, so when I would find you along my travels I would simply just know.
Jenna Evans Welch, Love & Gelato|Anyway, what I'm trying to say is, I really like you. A lot. But if you don't feel the same way about me, it's okay. Because you're really important to me, and I hope we can still be friends.
Swapna Rajput|You know all my needs and wants, you know hundreds of small things about me! You also know I am madly falling in love with you, You even know when I am staring at you! You know how much I desire you!
Jagdish Joghee, In Love and Free: The tale of a woman caught between two men...|Our eyes met and a never-before feeling entered our hearts. We gazed at each other longingly. We were indeed smitten by each other. Even before we realised, our lips locked. Ah, my first kiss. I had heard stories of how the first kiss is etched in one’s memory forever. This was absolute bliss. I felt a sense of belonging, a sense of togetherness. He took me by surprise with his proposal of love for me. Those magical words still linger in my heart. My dream of finding the right man had become a reality.
Ramana Pemmaraju|Mind is effort, while heart is effortless! What are YOU?
Swapna Rajput|No matter how long it takes, true love is always worth a wait, because waiting is the sign of true love....
Matshona Dhliwayo|Desire speaks, passion shouts, lust screams, and love whispers.
Val Uchendu|Only the ones whose hearts have been conquered by LOVE know the secret language of the eyes. Leave trails of love today, perhaps others might be brave enough to follow
D.N. Joshi|One moment before, I knew nothing of it. And then, all of a sudden, I knew this was it. The most amazing thing. I could feel the whispers, I could feel all the dimensions possible. I could define it. I could call it Love
Liz Moore, The Unseen World|As a parting gift, he gave Harold the key chain from his house keys, the ones that opened the gate to Hamilton Arms: it was a clover, a charm for luck. Its stem was a little drawer, into which, Harold later found, George had put a love note. Harold kept the clover for the rest of his life.
DaShanne Stokes|People think that LGBTs adopting children will hurt them, but it's not being in loving homes that hurts children most.
-Ayushee Ghoshal, 4 AM Conversations with the Ghosts of Old Lovers|What I cannot tough, remains a memory, I am blinded by an imagined light. A remembrance of what can never be
Ayushee Ghoshal|What I cannot touch, remains a memory. I am blinded by an imagined light. A remembrance of what can never be.
Alex Haditaghi, Softly, As I Leave Her|Life is not made up of minutes, hours, days or years, but of moments. Nothing is permanently perfect. But there are perfect moments.
Charlotte Eriksson|Sweet girl, maybe close the world off and look at him for an houror two.This is your fairy. It ain’t perfect and it ain’t honey sweet with roses on the bed.It’s real and raw and ugly at times. But this is your love. Don’t throw it away searching for someone else’s love. Don’t be greedy. Instead, shelter it. Protect it. Capture every second of easy, pull through every storm of hardship. And when you can, look at him, lying next to you, trusting you not to harm him. Trusting you not to go. Be someone’s someone for someone.Be that someone for him.
Sapan Saxena|And I learnt five new languages in the last three years""Only if you could for once understand the language of my eyes.
Matshona Dhliwayo|Plucking a rose only proves you desire it, but nurturing it proves you love it.
Charles Frazier, Cold Mountain|He said, I've been coming for you on a hard road. I'm never letting you go. Never.
Siobhan Davis, Saven Deliverance|If there’s one thing I’ve learned, buddy, it’s that love is messy and complicated. If it’s too easy, then it isn’t the real deal. It can’t be, because passion doesn’t follow the path of least resistance. It’s this fiery, out-of-control entity that sucks you in and spits you out more hurt and more alive than ever before.
Sapan Saxena|I want a long life, measured not in days and years but the moments that we spent together
Charles Frazier, Cold Mountain|He saw with sorrow that hers was a life he could step right into and keep working at hard from tonight until death. If he allowed himself to ponder it for a minute, he saw all the world hanging over the girl like the deadfall to a trap, ready to drop and crush.
Carl Phillips|How they madeout of shamelessness somethingbeautiful, for as long as they could.
Val Uchendu|Love FREES both the giver and the receiver, love INCLUDES all, love GIVES without seeking or demanding anything in return
Edie Littlefield Sundby, The Mission Walker: I was given three months to live...|This story is not about avoiding death, but living life.
Val Uchendu|There's no difficulty that love cannot conquer... no door love cannot open...No wall enough love will not bring down... only if we could love enough When love, skill, a talent or gift work together... we create a masterpieceLove someone with your skill, your talent or our gift... Make someone's life easier... Make someone happy today... Create your masterpiece today
Matshona Dhliwayo|There are thousands of languages around the world, but love is the most beautiful of them all.
