Sandra Steffen, Come Summer|I read once that sorrow looks back, worry looks around, and faith looks ahead.
Melody  Lee, Moon Gypsy|Class Act.She's a first class act, graced with refinement and tact. But hold on! She has a beastly witty mind, a feral appetite for adventure, and a savage need for primal love! She's beautifully twisted, so before you take the plunge be sure you can swim deep.
Melody  Lee, Moon Gypsy|I love it when you meet an angel on Earth and they have no idea that's what they are; a human angel, an angel covered in skin. They hare the best kinds of humans to know. As your eyes widen, as you evolve and your soul is receptive, you will encounter and recognize these angels on Earth more and more.
Haritha Velpureddy|You are important to me , because i thought so.
Bhagwan Shree Rajneesh, When the Shoe Fits: Stories of the Taoist Mystic Chuang Tzu|This is one of the subtle things to be understood. We are always wise if we have to advise others but when we are in the same trap, with the same problem, the same crisis, we are not so wise. If somebody else comes to you with a problem, you will give him good advice and the advice may be right. But if you have the same problem you will not be able to give yourself the same advice. Why? Because when it is somebody else’s problem you are detached.
Chris Kraus, I Love Dick|No woman is an island-ess. We fall in love in hope of anchoring ourselves to someone else, to keep from falling.
Karen Horney, Neurosis and Human Growth: The Struggle Towards Self-Realization|Also the natural sexual functions of establishing an intimate human contact frequently assume greater proportions. This is a well known fact about detached people for whom sexuality may be the only bridge to others, but it is not restricted to being an obvious substitute for human closeness. It shows also in the haste with which people may rush into sexual relations, without giving themselves a chance to find out whether they have anything in common or a chance to develop a liking and understanding. It is possible of course that an emotional relatedness may evolve later on. But more often than not it does not do so because usually the initial rush itself is a sign of their being too inhibited to develop a good human relationship.
Grace Draven, Eidolon|I will stand beside you through all of this,' she said when she could finally speak. “And welcome you home with gladness when it’s over, and you return triumphant.
Tarun Sharma|Manage your relationships. Great relationships may not be profitable, but bad ones always result in losses.
Yōko Ogawa, The Diving Pool: Three Novellas|Since that time, I've had many similar moments, and I can never hear the words "family" and "home" without feeling that they sound strange, never simply hear them and let them go. When I stop to examine them, though, the words seem hollow, seem to rattle at my feet like empty cans.
Bhagwan Shree Rajneesh, When the Shoe Fits: Stories of the Taoist Mystic Chuang Tzu|In every relationship, you can always see the ego of the other, but you cannot see your own – and the other one goes on seeing your ego.
Bhagwan Shree Rajneesh, When the Shoe Fits: Stories of the Taoist Mystic Chuang Tzu|A man of wisdom always looks at every problem from the other’s point of view also. You cannot be wise if you have only one point of view. Sometimes try to stand in others’ shoes and just look from there. And if you can understand the other, you will be able to understand yourself more. The other always sees that you are an egoist. You never see it, you are blind to yourself.
Chris Kraus, I Love Dick|S: But Chris, I think his embarrassment isn't in relation to you or me but to himself. What can he do?C: I hate being thrown into such a physical state.S: Isn't that experiencing life to the hilt?C: No, it's just a dumb infatuation. I'm so ashamed.S: But even if his silence hurts you, isn't that what attracted you to him? The fact that he was inaccessible. So, I think there is a contradiction there, at least nothing to feel ashamed of -.
Robin Sacredfire|I thought I had lowered my standards pretty much, when I decided that any woman would be good for me as long as she respects me. It didn't took me long to realize that would never happen. I was being naive about the real state of the world. It's not that one shouldn't have low standards, or high, or medium, but that most people are such a disgusting representation of themselves, that they can't stop themselves being like this until they die. And maybe they do appreciate what they had when they lose it, but they quickly forget about it when getting it back. Forgiving people that apologize too often has been another naive behavior of mine.
Page  Turner, Poly Land: My Brutally Honest Adventures in Polyamory|If there’s anything I’ve learned from polyamory, it’s that the quickest way to destroy a relationship is to try to make it into something it’s not, to force it into a box that it doesn’t really fit in, and to slap labels on something and assume that those labels give the relationship value. No, no, and no. What you end up with is damaged goods in a mislabeled package that end up absolutely where you didn’t want to send the damn thing in the first place.
Latika Teotia|We really don’t need much to live comfortably, rest is all extra baggage which we collect because of immature feelings, emotional attachments and so on… same goes with our relationships we hang on to toxic relationships because of our fears and personal reasons. Letting go will bring much needed light and peace. I know it is easier said than done, but if we make conscious efforts, we sure can.
Mala Naidoo, Across Time and Space|She was home, the passage walls, memorabilia of Ben's life, past and present, welcomed her like a doting grandmother.
Melody  Lee|Sometimes the enemy walks beside you, holds your hand and kisses your pretty lips.
Chris Kraus, I Love Dick|[Being rejected] hurt, 'cause what turned me on in sex was believing that they knew me, that I'd found somebody to understand.
Melody  Lee|Don't say it doesn't make sense then tell me you feel your spine curve and chill humps rise all over your skin. That's all the sense it needs to make. That's what it's supposed to do. That's poetry darling; you feel it in your noes, it chills your skin-- poetry speaks to your soul, it burns within.
Melody  Lee|They told me to pay attention to my heart; that it would lead me to my purpose, my passion. So I did, I listened closely to the beat of my heart and it always brought me back to you.
litymunshi|when you are in pain __ no one can feel this better than you .this is not a shame to be in emotional pain.you love someone or hate __ not in your hand . a part of life to going through pain. pain may cause silent killer of your health .what you must do _ focus on your pain .realizing helps . then you would feel at a point _you have to get out of it. then the moment you focus what can destruct your emotional pain .music ,screaming ,going out,writing, anything ,you may pick up. one last thing __ never lie to self. shoot direct question and answer to self . create hobbies .then focus on yourself. look how brilliant you are . how unique you are . then admit ,no power can hurt you so much that has nothing to do with your well being . now _ reject . start to reject . once you understand your pain, the cause , how to keep self safety , ___you are powerful to reject pain slowly .
Mishi McCoy|I am care free by nature but that doesn't mean that I am careless or that I care less. I simply pass on passive-aggressive. Why dodge bullets? This world is not a place for cowards. If we are going to shoot then let's freaking shoot straight. Energy is easily recognized and understood. I don't make time anymore for people that I have to interpret beyond what they say and what they are really saying. It's not my Aspie nature. It is my angel nature. I know every thing isn't always black or white, but I am so over engaging with people who are 50 shades of grey. Be real with me or be gone....because if we aren't Really present with others then we are disconnected anyway.
Margaret Kennedy|When they got to their hotel she went straight up to bed, but he paused to get a drink. There was, in the vestibule, a flower stall and he bought a handful of roses, stiffly wired into a bouquet, before proceeding to the oppressive gorgeousness of their bridal suite. The lift was lined with looking glass, so that as he shot upwards he got an endlessly duplicated version of himself, stout and nervous, a light cloak flung over his shoulder and flowers in his hand: an infinitely long row of gentlemen carrying offerings to an unforgiving past.
Marie de France, The Lais of Marie de France|Love is not honourable, unless it is based on equality.
Ruthanna Emrys, Winter Tide|Their relationship must be all claws and blades: law and custom gave him a thousand types of power over {her}, while she had only the one, pointed firmly at his heart.
William Finn, The Marvin Songs : Three One-Act Musicals|(His WIFE, understanding everything, wants him to stay. MARVIN wants to go. Or MARVIN wants to stay. She wants him to go. Anyway, he's going.)
Melody  Lee, Moon Gypsy|When you find your twin flame you also find your freedom, for there is nothing more exhilarating, wild and free than absolute soul love.
Hrishikesh Agnihotri|If you give your best to someone it will most definitely come back to you, often from a different person altogether.
Mary Renault, The Bull from the Sea|Often I wished for someone to share my mind with; but their hearts were in little things, they would have thought me a dreamer, and I had to plan alone.
Julia Glass, The Whole World Over|But people, as Alan had once reflected to Greenie, were not at all like recipes. You could have all the right ingredients, in all the right amounts, and still there were no guarantees. Or perhaps they were like recipes, he pondered now, and the key to success was in finding the ingredients you had to remove, the components that turned all the others bitter, excessively salty, difficult to swallow; even too jarringly sweet. He had seen Greenie clarify butter, wash rice, devein shrimp, and meticulously snip the talons from artichoke leaves.
Daniel Handler, All the Dirty Parts|For every girl I thought I was uncomplicated sex, it wasn't. Put it this way: if you can't see the complication, you're probably it.
Kira Asatryan, Stop Being Lonely: Three Simple Steps to Developing Close Friendships and Deep Relationships|When you tell the tale of how another person is from your perspective, you're making him or her into a character, a player in your own life story. This way of knowing does not bring you closer because it is really all about you.
Richelle E. Goodrich|One of the most troubling facts I have had to accept is that people are not all angel or all devil. They are both good and awful to varying degrees and in varying circumstances. On any given day, dependent upon the situation, you will be confronted by either the devil of a person or the angel of the same person or a curious mix of both. This means you can, and most likely will, love and hate the same individual alternately throughout your life. This truth I find painfully heartbreaking.
Martin Buber, I and Thou|A great relationship ... breaches the barriers of a lofty solitude, subdues its strict law, and throws a bridge from self-being to self-being across the abyss of dread of the universe.
Purba Chakraborty, Canvas of a Mind|Waiting is painful, testing and arduous. It makes us restless, but finally, when it rains after months of blazing heat, the feeling is too miraculous to capture in words.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|LoveHas a way of wiltingOr blossomingAt the strangest,Most unpredictable hour.This is how love is,An uncontrollable beastIn the form of a flower.
Tom Perrotta, Mrs. Fletcher|Eve still marveled on a daily basis at the speed with which her own life had changed. A year ago, she'd been lost and flailing, and now she was found. She wanted to call it a miracle, but it was simpler than that, and a lot more ordinary; she'd met a kind and decent man who loved her.
Scott Stabilele|You choose who gets your attention, and you don’t have to give it to anyone who makes you feel like crap. Period.
Sara Baume, A Line Made by Walking|After college, I started working in the gallery and found myself surrounded by a whole new set of people who had not yet grown accustomed to my antisocial tendencies, who had not yet learned to expect me to say no, and stopped asking. I was invited to go drinking and dancing again, and so, I tried.
Lorrie Moore|He will talk about what "some other people said," and what he and "some other people did," and when he never specifically mentions women it will be like the Soviet news agency which never publicizes anything containing the names of the towns where the new bombs are.
Scott Stabile|We're not on the same page right now, but that's okay. Were still in the same story, and there's still so much more to be written. I won’t put down my pen if you won’t.
Kris Kidd|If I told you that I imagine love to be a two-way mirror, which side of the mirror would you imagine me standing on?
Scott Stabile|Why spend your time fighting to make a damaging reality work? Be willing to move on from the people and situations that don't serve your heart. You are capable of creating relationships and circumstances rooted in respect, equality and love. But you have to believe you deserve them.
Rupi Kaur, Milk and Honey|to do list (after the breakup)1. take refuge in your bed2. cry. till the tears stop (this will take a few days).3. don’t listen to slow songs.4. delete their number from your phone even though it is memorized on your fingertips.5. don’t look at old photos.6. find the closest ice cream shop and treat yourself to two scoops of mint chocolate chip. the mint will calm your heart. you deserve the chocolate.7. buy new bed sheets.8. collect all the gifts, t-shirts, and everything with their smell on it and drop it off at a donation center.9. plan a trip.10. perfect the art of smiling and nodding when someone brings their name up in conversation.11. start a new project.12. whatever you do. do not call.13. do not beg for what does not want to stay.14. stop crying at some point.15. allow yourself to feel foolish for believing you could’ve built the rest of your life in someone else’s stomach.16. breathe.
Kristan Higgins, All I Ever Wanted|I don't get it, guys, I continued. I'd want to date me. Why is it so hard for me? I'm wicked fun, I dress nicely, I'm friendly... I'd love to date me. Wouldn't you?
Ron Baratono, The Writings of Ron Baratono|When I look at your smile, I can see your heart. When I look at your heart, it makes me smile back.
Purba Chakraborty, Canvas of a Mind|Sometimes, it is wise to let people go without any complaints. If they are a part of our destiny, they will return after a couple of seasons. Till then, let them dwell in the pages of our memories.
Alexander McCall Smith, A Distant View of Everything|He smiled as he imagined the composite Jamie/Isabel, who would play the bassoon, read philosophy, interfere in other people's affairs rather too much, drive a green Swedish car and make legendary potatoes Dauphinoise.
Tropper Jonathan|I don't know how Jen and I became strangers in our own marriage, how we let something that should have brought us closer derail us like a couple of amateurs. We were two reasonably smart people in love with each other, and then, one day we were less so, and maybe we were headed here anyway, maybe she just got there first, because she felt the loss of our baby more acutely. For a moment, a feeling circles me, something approaching clarity, maybe even acceptance, but it fails to settle and ultimately dissipates.
Scott Stabile|When someone rejects you, for whatever reason, that rejection reflects their wants, not your limitations. you are in no way defined by the rejection, or the acceptance, of anyone else. your worth depends on no one. and as hard as it can be to see it as such, there is just as big a gift in not connecting with those who don’t see your value, as there is in uniting with those who do.
Scott Stabile|We have to be willing to acknowledge the good, or all we bring is bitterness to the bad, and that doesn’t help make things any better.
Kilroy J. Oldster, Dead Toad Scrolls|The emotional ingredients that sustain long-term relationships are kindness, thoughtfulness, and compassion.
Scott Stabile|Forgiveness and Blame share an apartment, but not for long, because Blame can’t live with Forgiveness, and Forgiveness can’t live with Blame.
Scott Stabile|I’ve found a new kind of home in us, and I’m ready to move in for good.
Scott Stabile|I do love you, but I can no longer wait for you to figure out how to love me in a way that makes us both feel good.
Diana Kanecki|A good starts with breakfast; no matter what I'm going through, a good breakfast with friends, family, or tribe helo me and others start the day right and better.a professional practice I follow as retaught to me by a mentor who was a 3 star general when he held the meeting until i and c others had a full breakfast. Good leadrrship and a lesson with kindness.
Scott Stabile|I love you, and I know you love me too.I’m just not sure that’s enough anymore.Don’t we both deserve more than this struggle?
Adele Green in Can You See Me Naked: Grow in a conscious relationship|The more opposite to you, the more challenging your partner is to you. This person holds the key to all your lost parts.
Adele Green in Can You See Me Naked: Grow in a conscious relationship|Most things are relative, but perspective is everything.
Adele Green in Can You See Me Naked: Grow in a conscious relationship|It is not about the person who is right for you, but when you are ready to experience who you are through another.
Rachel Joyce, The Music Shop|The fact was, it was safer to stay uninvolved. He was perfectly fine with emotions, so long as they belonged to other people. Oh, he tried relationships after Peg's death, for a while he really tried, but he couldn't bear to get closed ... [it was easier] to disconnect from that part of life and turn his back on love altogether.Easier to find what he needed in music.
Steve Maraboli|Stop dwelling and wishing they'd see the light and treat you better. Instead, forgive yourself for keeping low standards, and love yourself enough to raise them.
Swami Dhyan Giten|RELATIONSHIPS & THE INNER BEING The other is a mirror of our own face; the other is a mirror of our inner being. The entire universe is a manifestation of our own inner being. Man is the microcosm and the universe is the macrocosm. In our inner being, we are one with all.True relationships is to see ourselves in all beings and to see all beings in ourselves. The inner being is not only present in human beings, but it is also present in flowers, trees, animals, stones and the stars. The divine exists everywhere in nature. Once we realize this we will never feel alone. We find the communion of the heart everywhere.
Scott Stabile|If you want to change someone, start and end with yourself. You're all you've got control over.yes, other people can change.no, you can’t change other people.
Erik Pevernagie|Emotional predictive profiling may help identify contingent fissures in the stature of endangered relationships. Still and all, it might be wise to let the genie out of problematic bottles in the first place, in advance of scouting the causes of surreptitious subliminal convulsions. ("Beware of the neighbor")
Neil Hilborn, Our Numbered Days|Marvel at how she,the patient gardener, the bringer of sleep,she who draws the bath and lights the candles,she who made you someone who could makehimself into someone, she made you wantto live more than anything else, and nowshe makes you want to leave the worldbecause you have seen it.
Vironika Tugaleva|I wanted, for so long, for someone to understand me better than I understood myself, to take control of me, to save me, to make it all better. I thought that the hardest part of a loving, mutually healing relationship would be showing my vulnerable, raw spots to a person, even though I'd been hurt so many times before. This has not been the hardest part. The actual hardest part has been realizing that no one, no matter how compassionate and kind they are, will say the perfect things always. Myself included. The hardest part has been learning to communicate what I need, to hear what others need, to tell others how to tell me what they need. Intimacy takes communication. A lot of it.We all have triggers. I don't know your triggers, and you don't know mine. No matter how much I love or trust you, you cannot possibly know exactly the words I need to hear, the words I don't want to hear, and the way I like to be touched.And how strange that we expect these things of each other. How strange (and self-sabotaging) that we refuse to get into relationships and friendships with people unless they treat us in just that perfect way. We've been raised to want fairy tales. We've been raised to wait for flawless saviors to rescue us. But the savior isn't flawless and the savior is not coming. The savior is you. The savior is still learning. The savior is never done learning. The savior is a human being.Forget perfect. Forget flawless. And start speaking your truth. Start speaking what you want and how you want it. And start asking and listening, really listening, to what the people around you say.Maybe, then, we will stop abandoning and hurting each other. Maybe, then, there's hope for us.
Amit Howard|It takes a great woman to respect the little man in her child, and the little child in her man.
John Williams, Stoner|It was a passion neither of the mind nor of the heart, it was a force that comprehended them both, as if they were but the matter of love, its specific substance.
Katie McGarry, Red at Night|Call Stella 'Trash Can Girl' again and I'll beat the h--- out of you. In fact, call her or anyone else anything ever again and I'll do the same. I'm done saying nothing. I'm done letting you treat people like crap. Do you hear me?
Eudora Welty, On Writing|I've always been shy physically. This in part tended to keep me from rushing into things, including relationships, headlong. Not rushing headlong, though I may have wanted to, but beginning to write stories about people, I drew near slowly; noting and guessing, apprehending, hoping, drawing my eventual conclusions out of my own heart, I did venture closer to where I wanted to go.
VaeEshia Ratcliff-Davis|Once your fairytale gets shattered multiple times, life will finally paint reality in its place.
Alexander Freed, Rogue One - A Star Wars Story|He hadn't known her, didn't know her, of course. There wasn't the time.
Scott Stabile|I forgive you, but I won’t forget what you did…not in some threatening, I don’t really forgive you kind of way… but just because what you did was shitty and really hurt me and I can’t imagine it suddenly disappearing from my memory. In a way, it’s even cooler that I’ll remember that shitty thing you did to me, and you’ll remember that shitty thing I did to you. That means we didn’t need to forget that we hurt each other in order to love each other still. We figured out a way to forgive each other, for real, and still be friends. How beautiful, yes? Let’s never forget that, either.
Scott Stabile|Our differences are beautiful, yet sometimes connection requires us to focus on our similarities, like the fact that we are all trying, all struggling, all wanting to be seen and to be loved. Perhaps if we start there, with this basic understanding of what it means to be alive, we will grow in our connection to one another and learn to love the beautiful differences that embody our improbable human reality.
Scott Stabile|Find people who can handle your darkest truths, who don’t change the subject when you share your pain, or try to make you feel bad for feeling bad. Find people who understand we all struggle, some of us more than others, and that there’s no weakness in admitting it. Find people who want to be real, however that looks and feels, and who want you to be real, too. Find people who get that life is hard, and who get that life is also beautiful, and who aren’t afraid to honor both of those realities. Find people who help you feel more at home in your heart, mind and body, and who take joy in your joy. Find people who love you, for real, and who accept you, for real. Just as you are. They’re out there, these people. Your tribe is waiting for you. Don’t stop searching until you find them.
Leo Tolstoy, Anna Karenina|Love them that hate you, but you can't love them whom you hate.
C.E. Clayton, The Duality of Nature|Tallis is a beautiful and terrible thing. Fearsome and alluring. Just like the forest in many ways... but it's written all over that handsome, pale face of yours; you like her.
Samantha Irby, We Are Never Meeting In Real Life|It's so weird that adults in committed relationships have a problem with something so innocuous as flirting. I would never expect you to walk around with a paper bag over your head to avoid catching the eye of a stranger, nor would I discourage you making friendly conversation with whomever you might encounter during the day. And if you needed to fuck somebody else, we could talk about it. People change, our desires evolve, and it feels foolish to me to expect what you'll want two, five, or ten years from now will be exactly the same thing that fills you up today. I mean, the way I feel about fidelity has evolved over the last ten years of my life. It's a hard-and-fast rule that we don't apply to any other thing in our lives: YOU MUST LOVE THIS [SHOW/BOOK/FOOD/SHIRT] WITH UNWAVERING FERVOR FOR THE REST OF YOUR NATURAL LIFE. Could you imagine being forced to listen to your favorite record from before your music tastes were refined for the rest of your life? Right now I'm pretty sure I could listen to Midnight Snack by HOMESHAKE for the rest of my life, but me ten years ago was really into acoustic Dave Matthews, and I'm not sure how I feel about that today. And yes, I am oversimplifying it, but really, if in seven years you want to have sex with the proverbial milkman, just let me know about it beforehand so I can hide my LaCroix and half eaten wedge of port salut. ('Milkmen' always eat all the good snacks.)
Noah Hawley, Before the Fall|In this way he used her as the North Star on a journey where you always want to go south. It was helpful, aligning himself in this way. It gave him something to tune to, like a violin to a piano.
Robin Sacredfire|I once found an ego, crawling around and trying to shine on me. I took it in my arms and the ego turned itself into a virus. First it took over my mind, then my heart, and finally attempted to destroy my soul by corrupting me with fear and guilt. Therefore, with as much energy as I could gather, I trapped the ego within my anger and pulled it out of me. Once on the floor, the ego begged me for mercy and compassion, promising to give me joy in return. I allowed it once again into my life, and again, it tried to hurt me once more, this time with abandonment. So I unveiled the ego for what it truly was, and that was resentment filled with desire for power, a power the ego was feeding from me, from my compassion and willingness. Now unprotected by deceit, the ego shown itself weak and scared. In panic, it run from me, boasting a delusional victory. And when it looked back, searching for another chance, I stepped on it. But believe me, it hurt me far much more than it hurt the ego.
Robin Sacredfire|After one my breakups, my former girlfriend said we have misunderstandings. We never had. It's just that I was living for the future while she was living for the tomorrow. I couldn't wait for someone unwilling to grow up and able to keep only short term promises.
Ben Marcus, Notable American Women|Until the notion of Helmet-Assisted Life catches on with more people, you may be seen as a threat if you wear a helmet during moments of intimacy. Yet it might also be true that relaxed intimacy cannot occur unless the head is fully protected.
Vironika Tugaleva, The Art of Talking to Yourself|When you love people, you are curious about who they are, what they think, and how they feel. You watch them closely, wondering about their experience and what you can do to make it more enjoyable. You feel compassion for their pain and seek to make it more bearable. You are eager to learn the unique language of their existence. You want to understand them, inspire them, heal them. What if you could look at yourself this way?
Scott Stabile|And then it hit me—I don’t have to participate in these toxic conversations.But if I choose to, I can set a different example. I can bring love to the moment, regardless of the response.I can choose to be kind, no matter what.My power lives in my love.
Steve Maraboli|There is no saint here. I have attained wisdom from life's experiences... the positive, the negative, the destructive, the nourishing. I have been medicine for some and poison for others. I've learned a lot about heaven from aligning with angels and I have learned a lot about hell from acting like a devil. I offer my scars... what you call "wisdom"... Seeds of knowledge that have been watered by tears and flowers of hope that are nourished by love... It's a garden of experience made beautiful by self acceptance... The insight I have gathered from my comfort of living within both the light and the shadow.
Craig D. Lounsbrough|As I contemplate a relationship with God, I find that I’m afraid to ride on the coattails of the infinite. But what I fear more than that is spending my life in the coat closet.
Alberto Moravia, Contempt|They say that, if we manage to live without too great an effort, it is entirely owing to the automatism which makes us unconscious of a great part of our movements. In order to take one single step, it seems, we displace an infinite number of muscles, and yet, thanks to this automatism, we are unaware of it. The same thing happens in our relations with other people.
Colleen Oakley, Close Enough to Touch|Relationships don't dissolve over one event, one fight, it's a thousand blows, delivered over time, uppercuts, jabs, crosses, some you barely even feel, and then before you know it, you're on the ground seeing stars and wondering what the hell happened!
Sarah Morgan, Sunset in Central Park|One relationship didn't work out, but that doesn't mean relationships never work out. One single experience isn't representative of all of them.
Sarah Morgan, Sunset in Central Park|No relationship is perfect. No matter how much love there is, there's a strong chance you're going to hit rocky times at some point. Life is unpredictable. It can throw out the unexpected and the challenging. Coping with that requires trust and honesty.
Catherine Lacey, Nobody Is Ever Missing|I found, increasingly, that I did not particularly care and I tried to fake a little kindness, a little sweetness, tried to mirror Luna back at herself, but that exhausted me after a week and I concluded that I was not meant for this sort of thing, friends, friendliness, no, I wasn't meant for it.
Catherine Lacey, Nobody Is Ever Missing|Why were we never together anymore, just alone in each other's vicinity?
Nico J. Genes|How well do we actually know ourselves? Can we dare to say that we really know someone, like really, really know them?
Simone Weil, Gravity and Grace|To love purely is to consent to distance, it is to adore the distance between ourselves and that which we love.
Italo Calvino, Invisible Cities|...Seek and learn to recognize who and what, in the midst of the inferno, are not inferno, then make them endure, give them space.
Ellen Fein, Not Your Mother's Rules: The New Secrets for Dating|After years of breaking Rules and settling for random hookups, she finally meets a cute guy and after one kiss she has an aha! moment. She realizes that she does want a healthy loving relationship, not just a lot of texting and sex.
Laurie R. King, A Letter of Mary|You see why I married her, Mycroft? The exquisite juxtaposition of ladylike threads and backhanded compliments proved irresistible.
Amrita Sarkar|Whether we are trying to buy a packet of chips or getting to know a person for a potentially important relationship, its nice to have an overview of what it/he/she contains. - Of A Sense of Self
Amor Towles|Ever since [that day], a small uncertainty had buzzed between us.It was a sense of chemistry that had been a little elusive, a little imprecise, until now.
G.K. Dutta|I hate you, not because you broke my heart but because you broke my trust.
Dada Bhagwan|There is no such thing as relationships in this world. It is really a self-created net. Do these cows-buffalos have any relationships? They don’t have a mother-in-law, no father-in-law...
Dada Bhagwan|People with Sweet Relationships [those favoring you, always talk good] with you, will make you stumble.
Liimu McGill, The MomStar Manifesto|I believe there are no wrong decisions, just different consequences.
Val Uchendu|A closed fist cannot give. How can one give when the fist is closed? Yet, most people approach relationships with a closed heart. How can one give love when the heart is closed?
Jonathan Anthony Burkett|The best ones, are not the perfect ones.
Sarah J. Maas, A Court of Wings and Ruin|You're my equal. And as much as that means we have each other's backs in public, it also means we that grant each other the gift of honesty - of truth.
Hannah Lillith Assadi, Sonora|My brain came alight with tenderness for her. I felt so sorry for everything. I yearned to embrace her, kiss her even, to stay with her, always her, my sister, my friend to the end. It was a story after all, even if a sick one. It was completely ours.
Maria La Serra, The Proverbial Mr. Universe|I could tell you, but you should never trust what someone says about themselves. It’s something you need to see for yourself.
Hannah Lillith Assadi, Sonora|I wanted to walk faster, to run, far as possible from her, from my entire life, from the first day I ever saw her always just a few steps ahead.
G.K. Dutta|In your search for love, be cautious. The miserable truth is that predators can be extraordinary fakers, and they are out there searching for their next victim. Look inside than the words they say to you. Try not to overlook warnings or any inclination you have that something is not exactly right.
G.K. Dutta|Be kind for as much as you can, but when you feel your limits are being pushed, and the thing inside you begin to stir. Warn them once about it and if they still do not listen. Then, unleash the dragon they pinched.
Balroop Singh|Conflicts in relationships are as natural as breathing. While conflicts lead to healthy relationships, they can throttle us if they are not addressed at the appropriate time.
F. Thomas Vincent|Sometimes, something meaningless occurs, somewhere with meaning.
Jonathan Safran Foer, Here I Am|Touch had always saved them in the past. No matter the anger or hurt, no matter the depth of the aloneness, a touch, even a light and passing touch, reminded them of their long togetherness. A palm on a neck: it all flooded back. A head leaned upon a shoulder: the chemicals surged, the memory of love. At times, it was almost impossible to cross the distance between their bodies, to reach out. At times, it was impossible. Each new the feeling so well, in the silence of a darkened bedroom, looking at the same ceiling: If I could open my fingers, my heart's fingers could open.
The School of Life, Relationships|We need to imagine the turmoil, disappointment, worry and sheer confusion in people who may outwardly appear merely aggressive.
Susan Meissner, A Fall of Marigolds|The person who completes your life, is not so much the person who shares all the years of your existence, but rather, the person who made your life worth living -- no matter how long or short a time you are given to spend with them.
Taylor Jenkins Reid, Maybe in Another Life|If you love someone, if you think you could make them happy for the rest of your life together, then nothing should stop you. You should be prepared to take them as they are and deal with the consequences. Relationships aren't neat and clean - they're ugly and messy, and they make almost no sense except to the two people in them. If you truly love someone, you accept the circumstances, you don't hide behind them
Amor Towles, A Gentleman in Moscow|By their very nature, human beings are so capricious, so complex, so delightfully contradictory, that they deserve not only our consideration, but our reconsideration--and our unwavering determination to withhold our opinion until we have engaged with them in every possible setting at every possible hour.
Dada Bhagwan|When people break off relationships, they break them both from the outside and from within. The external spoils because of circumstances, but the inner [inside] must not spoil.
Stephen King, The Gunslinger|Friends and lovers lie endlessly, caught in the web of regard
Ben Greenman, What He's Poised to Do: Stories|It seemed he was the perfect lover, at least for the moment. He did not live where you lived. He did not see you often enough, or for long enough, for you to grow bored, or to feel afraid that you were not feeling love---or worse, that you were. The perfection had a cost, which is that he was not in any true sense a real person. He was a coat you bought off the rack, an unsuperlative fashion statement.
The School of Life, Relationships|We may believe we are seeking happiness in love, but what we are really after is familiarity.
Garth Risk Hallberg, City on Fire|I couldn't understand; cheating was the one thing I'd told her all those years ago would be unforgivable. She knew, she said, but that was part of what had been confusing her, that I would even have told her that, as if she weren't an actual human being with the freedom to act, but some character in a scenario in my head. There was a quality I had of making the people closest to me feel lonely, somehow. Some essential cold withholding at the core of myself.
David Levithan|Saving others is always more important than saving yourself. It has to be, or none of us would do any good.
Gift Gugu Mona|There are some people who may be good yet toxic for you, so be careful of who you surround yourself with.
Garth Risk Hallberg, City on Fire|One day, he and William had been speeding toward each other; the next, careening away. But why?
Abbi Waxman, The Garden of Small Beginnings|He looked at me thoughtfully, and smiled slowly, his green eyes warm. He smelled of the outdoors, he was so tall and broad shouldered and so ... male ... in this house of women he was shockingly different. All I could think of was how much I wanted to kiss him. I was clearly losing my mind.
Elaine Seat, Playbook for Your Extraordinary Life: A Practical Guide to a Remarkable Life|Positive relationships are those that leave you feeling energized after contact with a person. Even if the topic is unpleasant, the interaction itself leaves you with more energy.
Elaine Seat, Playbook for Your Extraordinary Life: A Practical Guide to a Remarkable Life|Working with people feels uncertain, and that's why it takes courage to engage. You can follow all the rules, have good intentions, and still get burned.
Kathleen Turner, Send Yourself Roses: Thoughts on My Life, Love, and Leading Roles|I've tried to prepare my daughter for the phenomenon I've experienced of beautiful young women being dismissed and devalued as interchangeable. I tell Rachel that if a relationship doesn't make you feel good about yourself as an individual, then it's not right. My grandmother told me once years ago that if you're ever with somebody who you find embarrasses you in public or private, you're with the wrong person. Walk away.
Katherine McIntyre, Waking for Winter|She felt him smile against her neck and bit down, the sensation sending shivers through her. “Bad girl. If you keep doing that, I’ll have you stripped and on your back before you can blink.
Emma Cline, The Girls|She must have already forgiven him for leaving her behind. Girls were good at colouring in those disappointing blank spots. I thought of the night before, her exaggerated moans.
Ursula K. Le Guin, The Dispossessed|An Odonian undertook monogamy just as he might undertake a joint enterprise in production, a ballet or a soap-works. Partnership was a voluntarily constituted federation like any other. So long as it worked, it worked, and if it didn't work it stopped being. It was not an institution but a function. It had no sanction but that of private conscience.
Will Advise|If it's public, it's not bonding.
