Rasheed Ogunlaru|The mind defines, decides, doubts and divides - only the heart truly binds.
Hermann Hesse, The Journey to the East|Despair is the result of each earnest attempt to go through life with virtue, justice and understanding, and to fulfill their requirements. Children live on one side of despair, the awakened on the other side.
Eileen Kennedy-Moore, Smart Parenting for Smart Kids: Nurturing Your Child's True Potential|The path of development is a journey of discovery that is clear only in retrospect, and it’s rarely a straight line.
Simon Pegg, Nerd Do Well|Remember when only a few people had mobile phones. Generally regarded as an object of derision, you would occasionally see business types clutching those ridiculous grey bricks to their faces and mutter to yourself 'what a prick.' Nowadays, an eyebrow hardly even flutters when we see a ten-year-old child happily texting away. You probably wouldn't notice anyway; you'd be too busy downloading an app that could definitively pinpoint who it was that had just farted in your tube carriage.
Victoria Moran, Lit From Within: Tending Your Soul For Lifelong Beauty|We do children an enormous disservice when we assume that they cannot appreciate anything beyond drive through fare and nutritionally marginal, kid-targeted convenience foods. Our children are capable of consuming something that grew in a garden or on a tree and never saw a deep fryer. They are capable of making it through diner at a sit-down restaurant with tablecloths and no climbing equipment. Children deserve quality nourishment.
William Makepeace Thackeray|There's a great power of imagination about these little creatures, and a creative fancy and belief that is very curious to watch . . . I am sure that horrid matter-of-fact child-rearers . . . do away with the child's most beautiful privilege. I am determined that Anny shall have a very extensive and instructive store of learning in Tom Thumbs, Jack-the-Giant-Killers, etc.
E.M. Forster, Where Angels Fear to Tread|For a wonderful physical tie binds the parents to the children; and—by some sad, strange irony—it does not bind us children to our parents. For if it did, if we could answer their love not with gratitude but with equal love, life would lose much of its pathos and much of its squalor, and we might be wonderfully happy.
Harper Lee, To Kill a Mockingbird|When a child asks you something, answer him, for goodness’ sake. But don’t make a production of it. Children are children, but they can spot an evasionquicker than adults, and evasion simply muddles ‘em. No, you had the right answer this afternoon, but the wrong reasons. Bad language is a stage all children go through, and it dies with time when they learn they’re notattracting attention with it. Hotheadedness isn’t.
David Nicholls, One Day|All his words and actions would now be fit for his daughter’s ears and eyes. Life would be lived as if under [her] constant scrutiny. He would never do anything that might cause her pain or anxiety or embarrassment and there would be nothing, absolutely nothing in his life to be ashamed of anymore.
Howard Nemerov|I like all my children, even the squat and ugly ones.
Richard Brautigan, A Confederate General from Big Sur / Dreaming of Babylon / The Hawkline Monster|We could see the children's toys here and there, and we saw a game that the children had made themselves out of dirt, deer antlers and abalone shells, but the game was so strange that only children could tell what it was. Perhaps it wasn't a game at all, only the grave of a game.
E. Nesbit|Grown-up people find it difficult to believe really wonderful things, unless they have what they call proof. But children will believe almost anything, and grown-ups know this. That is why they tell you that the earth is round like an orange, when you can see perfectly well that it is flat and lumpy; and why they say that the earth goes round the sun, when you can see for yourself any day that the sun gets up in the morning and goes to bed at night like a good sun as it is, and the earth knows its place, and lies as still as a mouse. Yet I daresay you believe all that about the earth and the sun, and if so you will find it quite easy to believe that before Anthea and Cyril and the others had been a week in the country they had found a fairy.
Ewan McGregor|People are incredibly rude about it sometimes. Like, `What? You`re married?` Strange reaction to have. Proves what people`s ideas about marriage are. `We`re having a baby.` `What?` As if it`s the end of the world. Of course, it`s the start of a brilliant world.
David Sedaris, Holidays on Ice|The only bright spot in the entire evening was the presence of Kevin "Tubby" Matchwell, the eleven-year-old porker who tackled the role of Santa with a beguiling authenticity. The false beard tended to muffle his speech, but they could hear his chafing thighs all the way to the North Pole.
Susan  Kaye, None But You|You must feed them, Anne, else they eat their toys.
James Wilson|The culture without children is forever immature, self-obsessed and rightous. They cannot help the high opinion they have of themselves; there's no kids around to show them otherwise.
Kresley Cole, Lothaire|Too bad,Elizabeth. You're Stuck with me.Not for a few decades,not for centuries. You're tied to me forever. That boy and girl offspring you talked off? They'll come from me--or no one.
Grant Morrison, Supergods: What Masked Vigilantes, Miraculous Mutants, and a Sun God from Smallville Can Teach Us About Being Human|We tell our children they're trapped like rats on a doomed, bankrupt, gangster-haunted planet with dwindling resources, with nothing to look forward to but rising sea levels and imminent mass extinctions, then raise a disapproving eyebrow when, in response, they dress in black, cut themselves with razors, starve themselves, gorge themselves, or kill one another.
Barbara Delinsky, Escape|What she did have, after raising two children, was the equivalent of a PhD in mothering and my undying respect.
Frank McCourt, Angela's Ashes|I know that big people don't like questions from children. They can ask all the questions they like, How's school? Are you a good boy? Did you say your prayers? but if you ask them did they say their prayers you might be hit on the head.
Stefan Zweig, The Burning Secret and other stories|Being sent to bed is a terrible command to all children, because it means the most public possible humiliation in front of adults, the confession that they bear the stigma of childhood, of being small and having a child's need for sleep.
Elyse M. Fitzpatrick, Give Them Grace: Dazzling Your Kids with the Love of Jesus|Everything that isn't gospel is law. Let us say it again: Everything that isn't gospel is law. Every way we try to make our kids good that isn't rooted in the good news of the life, death, ressurection, and assension of Jesus Christ is damnable, crushing, despair-breeding, Pharisee-producing law. We won't get the results we want from the law. We'll get either shallow self-righteousness or blazing rebellion or both (frequently from the same kid on the same day!). We'll get moralistic kids who are cold and hypocritical and who look down on others (and could easily become Mormons), or you'll get teens who are rebellious and self-indulgent and who can't wait to get out of the house. We have to remember that in the life of our unregenerate children, the law is given for one reason only: to crush their self-confidence and drive them to Christ.
Jean Kerr|The only reason that they say, 'Women and children first' is to test the strength of the lifeboats.
John Connolly, The Gates|It is a curious fact that small boys are more terrified of their babysitters than small girls are. In part, this is because small girls and babysitters, who are usually slightly larger girls, belong to the same species, and therefore understand each other. Small boys, on the other hand, do not understand girls, and therefore being looked after by one is a little like a hamster being looked after by a shark. If you are a small boy, it may be some consolation to you to know that even large boys do not understand girls, and girls, by and large, do not understand boys. This makes adult life very interesting.
Sylvia Plath, The Unabridged Journals of Sylvia Plath|A little thing, like children putting flowers in my hair, can fill up the widening cracks in my self-assurance like soothing lanolin.
David Foster Wallace, Infinite Jest|You see parents as kind or unkind or happy or miserable or drunk or sober or great or near-great or failed the way you see a table square or a Montclair lip-read. Kids today... you kids today somehow don't know how to feel, much less love, to say nothing of respect. We're just bodies to you. We're just bodies and shoulders and scarred knees and big bellies and empty wallets and flasks to you. I'm not saying something cliché like you take us for granted so much as I'm saying you cannot... imagine our absence. We're so present it's ceased to mean. We're environmental. Furniture of the world.
Maxim Gorky, Twenty-Six Men and a Girl and Other Stories|The poor are always rich in children, and in the dirt and ditches of this street there are groups of them from morning to night, hungry, naked and dirty. Children are the living flowers of the earth, but these had the appearance of flowers that have faded prematurely, because they grew in ground where there was no healthy nourishment.
Nick Harkaway, The Gone-Away World|Children, bored and opinionated, are scholars of the most dogmatic stripe.
L.M. Montgomery, Anne of the Island|I'm afraid of those cows,' protested poor Dora, seeing a prospect of escape.'The very idea of your being scared of those cows,' scoffed Davy. 'Why, they're both younger than you.
Rebecca Eanes, The Newbie's Guide to Positive Parenting|Tantrums are not bad behavior. Tantrums are an expression of emotion that became too much for the child to bear. No punishment is required. What your child needs is compassion and safe, loving arms to unload in.
Diana Wynne Jones, Witch Week|Charles realized that if he were going to apologize to Chrestomanci, he had better do it at once. He turned around to say it. But the folds had already rippled flat and nothing was the same anymore....
Karen   White, Sea Change|...Being a mother is like being a gardener of souls. You tend your children, make sure the light always touches them; you nourish them. You sow your seeds, and reap what you sow.
Maurice Merleau-Ponty, Phenomenology of Perception|The perception of other people and the intersubjective world is problematic only for adults. The child lives in a world which he unhesitatingly believes accessible to all around him. He has no awares of himself or of others as private subjectives, nor does he suspect that all of us, himself included, are limited to one certain point of view of the world. That is why he subjects neither his thoughts, in which he believes as they present themselves, to any sort of criticism. He has no knowledge of points of view. For him men are empty heads turned towards one single, self-evident world where everything takes place, even dreams, which are, he thinks, in his room, and even thinking, since it is not distinct from words.
George Eliot, Silas Marner|In old days there were angels who came and took men by the hand and led them away from the city of destruction. We see no white-winged angels now. But yet men are led away from threatening destruction: a hand is put into theirs, which leads them forth gently towards a calm and bright land, so that they look no more backward; and the hand may be a little child's.
Marilynne Robinson, Gilead|You see how it is godlike to love the being of someone. Your existence is a delight to us. I hope you never have to long for a child as I did, but oh, what a splendid thing it has been that you came finally, and what a blessing to enjoy you now for almost seven years.
John Updike, The Witches of Eastwick|Having children is something we think we ought to do because our parents did it, but when it is over the children are just other members of the human race, rather disappointingly.
Esphyr Slobodkina|The verbal patterns and the patterns of behavior we present to children in these lighthearted confections are likely to influence them for the rest of their lives. These aesthetic impressions, just like the moral teachings of early childhood, remain indelible.
Nella Larsen, The Complete Fiction of Nella Larsen: Passing, Quicksand, and the Stories|Children aren't everything. There are other things in the world, thought I admit some people don't seem to suspect it. 
Noah Webster|The reasonableness of the command to obey parents is clear to children, even when quite young.
Julian Hawthorne, American Fantastic Tales: Terror and the Uncanny from Poe to the Pulps|Children, brought up naturally and in freedom, not only have imagination, but live in a world of imagination more real to them than our reality. ("Absolute Evil")
Gregory Maguire, Lost|It was mild monsters like these that made Jack the Ripper go after young women, she decided: who could tolerate yielding the world to someone who behaved as if she had given birth to the very world herself?
Billy Dean|Please, let them be little,‘Cause they’re only that way for a while.Give them hope, give them praise,Give them love every day.Let ‘em cry, let ‘em giggle,Let ‘em sleep in the middle,Oh, but let them be little.
Kate Morton, The Forgotten Garden|To abandon a child, she had once said to someone, when she thought Cassandra couldn't hear, was an act so cold, so careless, it refused forgiveness.
Janeane Garofalo|People think that you are a nasty, selfish person if you don`t want to have children.
Karen   White|...Being a mother is like being a gardener of souls. You tend your children, make sure the light always touches them
Katherine Center, Everyone Is Beautiful|That was the tricky part. You poured inordinate amounts of time and attention and affection into your kids, but the result was indirect. You didn't point out a cat to your one-year-old and then watch him, minutes later, say 'Cat.' Instead, you pointed out a hundred cats to your one-year-old and then, one day, watched him point to a cat and say 'Mama.
Alexander McCall Smith, Love Over Scotland|Matthew knew that phrenology was nonsense, and yet, years later, he found himself making judgments similar to those made by his father; slippery people looked slippery; they really did. And how we become like our parents! How their scorned advice - based, we felt in our superiority, on prejudiced and muddled folk wisdom - how their opinions are subsequently borne out by our own discoveries and sense of the world, one after one. And as this happens, we realise with increasing horror that proposition which we would never have entertained before: our mothers were right!
Trenton Lee Stewart, The Mysterious Benedict Society|She announced her age right away, for children consider their ages every bit as important as their names.
Lois McMaster Bujold, Barrayar|Children might or might not be a blessing, but to create them and then fail them was surely damnation.
Jonathan Safran Foer, Extremely Loud and Incredibly Close|I’m not smarter than you, I’m more knowledgeable than you, and that’s only because I’m older than you. Parents are always more knowledgeable than their children, and children are always smarter than their parents.
Bette Davis|If you've never been hated by your child, you've never been a parent.
Joyce Carol Oates, The Gravedigger's Daughter|The danger of motherhood. you relive your early self, through the eyes of your mother.
Elyse M. Fitzpatrick, Give Them Grace: Dazzling Your Kids with the Love of Jesus|The one encouragement we can always give our children (and one another) is that God is more powerful than our sin, and He's strong enough to make us want to do the right thing.
John Irving|It was one of those ridiculous arrangements that couples make when they are separating, but before they are divorced - when they still imagine that children and property can be shared with more magnanimity than recrimination.
Wendy Mogel, The Blessing of a Skinned Knee: Using Jewish Teachings to Raise Self-Reliant Children|The sages advise us to study Torah lishma-"for its own sake" rather than to impress others with our scholarship. A paradox of parenting is that if we love our children for their own sake rather than for their achievements, it's more likely that they will reach their true potential.
Thomas M. Disch, The Brave Little Toaster|But the toaster was quite satisfied with itself, thank you. Though it knew from magazines that there were toasters who could toast four slices at a time, it didn't think that the master, who lived alone and seemed to have few friends, would have wanted a toaster of such institutional proportions. With toast, it's quality that matters, not quantity.
David Friedman|I have long held that there are two fundamental views of children: That they are pets who can talk, or that they are small people who do not yet know very much. The wrong one is winning.
Russell D. Moore, Adopted for Life: The Priority of Adoption for Christian Families and Churches|The root of impatience in discipline is really the same as that of overindulgence. In both instances, parents want to make up for lost time, to speed up a process that takes time.
J.R.R. Tolkien, Tolkien on Fairy-stories|Far more often [than asking the question 'Is it true?'] they [children] have asked me: 'Was he good? Was he wicked?' That is, they were far more concerned to get the Right side and the Wrong side clear. For that is a question equally important in History and in Faerie.
Karen Joy Fowler, Black Glass|Every mother can easily imagine losing a child. Motherhood is always half loss anyway. The three-year-old is lost at five, the five-year-old at nine. We consort with ghosts, even as we sit and eat with, scold and kiss, their current corporeal forms. We speak to people who have vanished and, when they answer us, they do the same. Naturally, the information in these speeches is garbled in the translation.
Brigham Young, Journal of Discourses, Volume 9|If you are ever called upon to chasten a person, never chasten beyond the balm you have within you to bind up.
Charles Dickens, A Christmas Carol and Other Christmas Writings|It is good to be children sometimes, and never better than at Christmas when the Great Creator was a child himself.
Mary Lydon Simonsen, The Perfect Bride for Mr. Darcy|Parents have to instill the right principles in their children, but then it's up to the children to live up to those principles.
Charles M. Schulz, Charles M. Schulz: Conversations|I used to have more tolerance for these views, but I am losing patience with what I see. The test of anything is the fruit it bears. I see no good fruit being born.
Shirley Hazzard, The Bay of Noon|... although the sufferings of children are the worst, being inextinguishable--children themselves seldom have a proper sense of their own tragedy, discounting and keeping hidden the true horrors of their short lives, humbly imagining real calamity to be some prestigious drama of the grown-up world. [p. 13]
John Holt|By now I have come to feel that the fact of being a ‘child’, of being wholly subservient and dependent, of being seen by older people as a mixture of expensive nuisance, slave and super-pet, does most young people more harm than good
Brent L. Top, Finding Inward Stillness:  Practical Applications of Christ's Atonement in Everyday Living|Teaching our children to live a quiet, sane, and balanced life is one of the most important parental tasks of our day.
Jennifer Donnelly, The Wild Rose|Life, Rose well knew, could throw some hard punches at you, but nothing hurt as much as losing a child, or seeing one of your children hurt and suffering. Becoming a parent changed you forever, as nothing else could. Not good or bad fortune. Not friendships. Not even a man or a woman.
Achy Obejas, Ruins|Offspring were a joy or a shame, but still the crown of their elders, nature's unpredictable creatures.
Jodi Picoult, Keeping Faith|Children are supposed to go to school, play on swing sets, skin their knees.
John Taylor Gatto|Children learn what they live. Put kids in a class and they will live out their lives in an invisible cage, isolated from their chance at community; interrupt kids with bells and horns all the time and they will learn that nothing is important or worth finishing; ridicule them and they will retreat from human association; shame them and they will find a hundred ways to get even. The habits taught in large-scale organizations are deadly.
Lionel Shriver, We Need to Talk About Kevin|Had I catalogued the downsides of parenthood, "son might turn out to be a killer" would never have turned up on the list. Rather, it might have looked something like this:1. H
Jane Jacobs, The Death and Life of Great American Cities|As children get older, this incidental outdoor activity--say, while waiting to be called to eat--becomes less bumptious, physically and entails more loitering with others, sizing people up, flirting, talking, pushing, shoving and horseplay. Adolescents are always being criticized for this kind of loitering, but they can hardly grow up without it. The trouble comes when it is done not within society, but as a form of outlaw life.The requisite for any of these varieties of incidental play is not pretentious equipment of any sort, but rather space at an immediately convenient and interesting place. The play gets crowded out if sidewalks are too narrow relative to the total demands put on them. It is especially crowded out if the sidewalks also lack minor irregularities in building line. An immense amount of both loitering and play goes on in shallow sidewalk niches out of the line of moving pedestrian feet.
Paul Auster, Moon Palace|All children are love children, he said, but only the best ones are ever called that.
Antonella Gambotto-Burke, Mama: Dispatches from the Frontline of Love|It is only through my daughter that I have come to realise that a life without femininity – devoid of mystery, emotion, gentleness and the unerring power of a woman’s love – is no life at all.
Mark Helprin, Winter's Tale|their powerlessness, innocence, and imagination fused to enable them to turn time inside out, travel on the wind, and enter the souls of animals.
Zadie Smith, On Beauty|They were real people who entertained and argued and existed entirely independently from him, although he had set the thing in motion. They had different thoughts and beliefs. ~ on children growing up.
Virginia M. Axline, Dibs in Search of Self|Sometimes it is very difficult to keep in mind the fact that the parents, too, have reasons for what they do-- have reasons, locked in the depths of their personalities, for their inability to love, to understand, to give of themselves to their children.
G.G. Bella, Happy Valley Pepo And Sully|Always believe in good and happiness. Never except "I can't" Always say I can..
Wilfred A. Peterson|Our children are watching us live, and what we ARE shouts louder than anything we can say.
Blake Crouch, Unconditional|When you were a child, I didn't tell you about the evil in the world, all that lay in wait.
Blake Crouch, Unconditional|I cannot separate the man you are now from the boy you were then, and it's killing me. I wanted everything for you, son.I still do.
Suman Pokhrel, Jeevanko Chheubaata|The dream too thinks twice, gets filtered to go softto be seated on children's eyes.
Lydia Maria Francis Child, The American Frugal Housewife: Dedicated to Those Who Are Not Ashamed of Economy|Do not make children cross-eyed, by having hair hang about their foreheads, where they see it continually.
Victor Hugo, Les Misérables|Hardly had the light been extinguished, when a peculiar trembling beganto affect the netting under which the three children lay.It consisted of a multitude of dull scratches which produced a metallicsound, as if claws and teeth were gnawing at the copper wire. This wasaccompanied by all sorts of little piercing cries.The little five-year-old boy, on hearing this hubbub overhead, andchilled with terror, jogged his brother's elbow; but the elder brotherhad already shut his peepers, as Gavroche had ordered. Then the littleone, who could no longer control his terror, questioned Gavroche, but ina very low tone, and with bated breath:--"Sir?""Hey?" said Gavroche, who had just closed his eyes."What is that?""It's the rats," replied Gavroche.And he laid his head down on the mat again.The rats, in fact, who swarmed by thousands in the carcass of theelephant, and who were the living black spots which we have alreadymentioned, had been held in awe by the flame of the candle, so long asit had been lighted; but as soon as the cavern, which was the sameas their city, had returned to darkness, scenting what the goodstory-teller Perrault calls "fresh meat," they had hurled themselves inthrongs on Gavroche's tent, had climbed to the top of it, and had begunto bite the meshes as though seeking to pierce this new-fangled trap.Still the little one could not sleep."Sir?" he began again."Hey?" said Gavroche."What are rats?""They are mice."This explanation reassured the child a little. He had seen white mice inthe course of his life, and he was not afraid of them. Nevertheless, helifted up his voice once more."Sir?""Hey?" said Gavroche again."Why don't you have a cat?""I did have one," replied Gavroche, "I brought one here, but they ateher."This second explanation undid the work of the first, and the littlefellow began to tremble again.The dialogue between him and Gavroche began again for the fourth time:--"Monsieur?""Hey?""Who was it that was eaten?""The cat.""And who ate the cat?""The rats.""The mice?""Yes, the rats."The child, in consternation, dismayed at the thought of mice which atecats, pursued:--"Sir, would those mice eat us?""Wouldn't they just!" ejaculated Gavroche.The child's terror had reached its climax. But Gavroche added:--"Don't be afraid. They can't get in. And besides, I'm here! Here, catchhold of my hand. Hold your tongue and shut your peepers!
Vera Nazarian, The Perpetual Calendar of Inspiration|The cactus thrives in the desert while the fern thrives in the wetland.The fool will try to plant them in the same flowerbox.The florist will sigh and add a wall divider and proper soil to both sides.The grandparent will move the flowerbox halfway out of the sun.The child will turn it around properly so that the fern is in the shade, and not the cactus.The moral of the story?Kids are smart.
Solange nicole|Encourage don't belittle, embrace their individuality. And show them that no matter what they will always have value if they stay true to themselves.
Mary Tyler Moore|I feel about my dogs now, and all the dogs I had prior to this, the way I feel about children—they are that important to me. When I have lost a dog I have gone into a mourning period that lasted for months.
Susan Cartwright|Something wrong with your child? Feed them and put them to bed. Something wrong with your man? Feed him and take him to bed. Lady Jeeha "Wolf Dawn
Ogden Nash, Free Wheeling|Everybody who has a baby thinks everybody who hasn't a baby ought to have a baby,Which accounts for the success of such plays as the Irish Rose of Abie,The idea apparently being that just by being fruitfulYou are doing something beautiful,Which if it is trueMeans that the common housefly is several million times more beautiful than me or you.
Abby McDonald, Getting Over Garrett Delaney|How is it?" I ask as we stroll towards the dressing rooms. "Working at the playground. That must be fun.""Sure, they're just adorable," she says, "For the first five minutes. And then I want to wring their adorable little necks."I stop, shocked. "I always figured you loved kids.""Yeah, no." Kayla shakes her head emphatically. "One kid, I can do, even two-- just stick them in front of a Disney movie, let them play Xbox all night. But a herd of them?" She shudders.
Stephenie Meyer, Breaking Dawn|Children in the abstract, had never appealed to me. They seemed to be loud creatures, often dripping some form of goo.
J. Patrick Lewis, The Last Resort|I have always believed that poems beg to be read aloud, even if the reader is in a world all her own.
Connie Podesta|Sometimes in our attempt to give children what we did not have, we forget to give our children what we did have.
Alan Hollinghurst, The Stranger's Child|On the stairs he was crying so much he hardly saw where he was going - not a mad boo-hoo but wailing sheets of tears, shaken into funny groans by the bump of each step as he hurried down.
Hermann Hesse, Demian. Die Geschichte von Emil Sinclairs Jugend|I realize that some people will not believe that a child of little more than ten years is capable of having such feelings. My story is not intended for them. I am telling it to those who have a better knowledge of man. The adult who has learned to translate a part of his feelings into thoughts notices the absence of these thoughts in a child, and therefore comes to believe that the child lacks these experiences, too. Yet rarely in my life have I felt and suffered as deeply as at that time.
Karen Fowler, Reflections on Motherhood|My life has been shaped by the decision two people made over 24 years ago. They decided to adopt a child. They got me, and I got a chance at the kind of life all children deserve.
Dorothy L. Sayers, Lord Peter Views the Body|And upon his return, Gherkins, who had always considered his uncle as a very top-hatted sort of person, actually saw him take from his handkerchief-drawer an undeniable automatic pistol.It was at this point that Lord Peter was apotheosed from the state of Quite Decent Uncle to that of Glorified Uncle
Elizabeth Payson Prentiss, Stepping Heavenward|She says I shall now have one mouth the more to fill and two feet the more to shoe, more disturbed nights, more laborious days, and less leisure or visiting, reading, music, and drawing.Well! This is one side of the story, to be sure, but I look at the other. Here is a sweet, fragrant mouth to kiss; here are two more feet to make music with their pattering about my nursery. Here is a soul to train for God; and the body in which it dwells is worth all it will cost, since it is the abode of a kingly tenant. I may see less of friends, but I have gained one dearer than them all, to whom, while I minister in Christ's name, I make a willing sacrifice of what little leisure for my own recreation my other darlings had left me. Yes, my precious baby, you are welcome to your mother's heart, welcome to her time, her strength, her health, her tenderest cares, to her lifelong prayers! Oh, how rich I am, how truly, how wondrously blest!
Virginia Woolf, To the Lighthouse|Oh, but she never wanted James to grow a day older or Cam either. These two she would have liked to keep for ever just as the way they were, demons of wickedness, angels of delight, never to see them grow up into long-legged monsters.
Margaret Atwood, The Penelopiad|Children were vehicles for passing things along. These things could be kingdoms, rich wedding gifts, stories, grudges, blood feuds. Through children, alliances were forged; through children, wrongs were avenged. To have a child was to set loose a force in the world.
Diana Wynne Jones, Witch Week|Mr. Crossley suddenly wondered why he was why he was worrying about the note. It was only a joke, after all. He cleared his throat. Everyone looked up hopefully. 'Somebody,' said Mr. Crossley, 'seems to have sent me a Halloween message.' And he read out the note: 'SOMEONE IN THIS CLASS IS A WITCH.'6B thought this was splendid news. Hands shot up all over the room like a bed of beansprouts.'It's me, Mr. Crossley!''Mr. Crossley, I'm the witch!''Can I be the witch, Mr. Crossley?''Me, Mr. Crossley, me, me, me!
John Updike, Rabbit, Run|The fullness ends when we give Nature her ransom, when we make children for her. Then she is through with us, and we become, first inside, and then outside, junk. Flower stalks.
Margaret Atwood, The Year of the Flood|But it seems she’d wanted children after all, because when she was told she’d been accidentally sterilized she could feel all the light leaking out of her.
Jeanette Winterson, Sexing the Cherry|When Jordan was a baby he sat on top of me much as a fly rests on a hill of dung. And I nourished him as a hill of dung nourishes a fly, and when he had eaten his fill he left me.Jordan...I should have named him after a stagnant pond and then I could have kept him, but I named him after a river and in the flood-tide he slipped away.
Don Marquis|If a child shows himself to be incorrigible, he should be decently and quietly beheaded at the age of twelve, lest he grow to maturity, marry, and perpetuate his kind.
Abraham Verghese, Cutting for Stone|Children were the foot wedged in the closing door, the glimmer of hope that in reincarnation there would be some house to go to, even if one came back as a dog, or a mouse, or flea that lived on the bodies of men. If...there was a raising of the dead, then a child would be sure to see that its parents were awakened.
Louisa May Alcott, Little Men|…no person, no matter how vivid an imagination he may have, can invent anything half so droll as the freaks and fancies that originate in the lively brains of little people.
Katherine A. Briccetti|To have my life accepted as just another ordinary life, to have it viewed as common and regular, was a singular moment.
Caryll Houselander, The Flowering Tree|Soeur Marie Emelie"Soeur Marie Emelieis little and very old:her eyes are onyx,and her cheeks vermilion,her apron wide and kindand cobalt blue.She comfortsgenerations and generationsof children,who are "new"at the convent school.When they are eight,they are already up to her shoulder,they grow up and go into the world,she remains,forever,always incredibly old,but incredibly never older...She has an affinity with the hens,When a hen dies,she sits down on a bench and cries,she is the only grown-up, whose tears are not frightening tears.Children can weep without shame, at her side...Soeur Marie Emelie...her apron as wide and kindas skies on a summer dayand as clean and blue.
Magda M. Olchawska, Mikolay and Julia Meet the Fairies|The room was full of magical objects, animals, photographs, paintings, strange looking plants and many flying books. I only found this room a few days ago and it seems that it keeps changing every time I come.
Elizabeth Hormann, Breastfeeding an Adopted Baby and Relactation|We are bent on weakening bonds in the name of growth and independance,then spend out adulthoods wondering why we have trouble getting close to other people.
Magda M. Olchawska, Mikolay and Julia Meet the Fairies|Julia really likes school and she is one of the top students. Mikolay doesn’t mind the weekend school because he is allowedto do lots of magic, which he really likes and is very good at.
Susan Wiggs, The Goodbye Quilt|There can be no fooling ourselves into thinking this is something other than what it is—the willful ejection of Molly from our nest. It’s too late for second thoughts, anyway. She has to be moved into her dorm in time for freshman orientation. It’s been marked on the kitchen calendar for weeks—the expiration date on her childhood.
Stevie Smith, Selected Poems|Children who paddle where the ocean bed shelves steeplyMust take great care they do not, Paddle too deeply.'Thus spake the awful aging coupleWhose heart the years had turned to rubble.But the little children, to save any brother,Let it in at one ear and out at the other.
Mother Teresa|How can there be too many children? That is like saying there are too many flowers." ~ Mother Teresa of Calcutta
John Edgar Wideman|Kids use words in ways that release hidden meanings, revel the history buried in sounds. They haven't forgotten that words can be more than signs, that words have magic, the power to be things, to point to themselves and materialize. With their back-formations, archaisms, their tendency to play the music in words--rhythm, rhyme, alliteration, repetition--children peel the skin from language. Words become incantatory. Open Sesame. Abracadabra. Perhaps a child will remember the word and will bring the walls tumbling down.
The Mirror of Maybe|Only children simply accept the fact that their parents have the right to make choices for them. Even disobedient children never question the fact that their parents have that right. They may choose to flout the rules, but they don't question their parents' right to make those rules.
Lewis Carroll, Alice's Adventures in Wonderland & Through the Looking-Glass|Now, what am I to do with this creature when I get it home?" when it grunted again, so violently, that she looked down into its face in some alarm. This time there could be no mistake about it: it was neither more nor less than a pig, and she felt that it would be quite absurd for her to carry it any further. | So she set the little creature down, and felt quite relieved to see it trot away quietly into the wood. "If it had grown up," she said to herself, "it would have made a dreadfully ugly child: but it makes a rather handsome pig, I think." And she began thinking over other children she knew, who might do very well as pigs, and was just saying to herself, "if one only knew the right way to change them--" when she was a little startled by seeing the Cheshire Cat sitting on a bough of a tree a few yards off.
Anonymous|If history repeats itself, I am so getting a dinosaur!
Tsultrim Allione|As I cooked in the cauldron of motherhood, the incredible love I felt for my children opened my heart and brought me a much greater understanding of universal love. It made me understand the suffering of the world much more deeply.
Bill Maher, The New New Rules: A Funny Look At How Everybody But Me Has Their Head Up Their Ass|New Rule: Don't name your kid after a ballpark. Cubs fans Paul and Teri Fields have named their newborn son Wrigley. Wrigley Fields. A child is supposed to be an independent individual, not a means of touting your own personal hobbies. At least that's what I've always taught my kids, Panama Red and Jacuzzi.
Milan Kundera|Never had she let herself go in this way with another body, and never had another body let itself go with her in this way. Her lover could play with her belly, but he had never lived in there; he could touch her breast, but he never drunk from it.
William Golding|Girls say to me, very reasonably, 'why isn't it a bunch of girls? Why did you write this about a bunch of boys?' Well, my reply is I was once a little boy - I have been a brother, a father, I am going to be a grandfather. I have never been a sister, or a mother, or a grandmother. That's one answer. Another answer is of course to say that if you - as it were - scaled down human beings, scaled down society, if you land with a group of little boys, they are more ike a scaled-down version of society than a group of little girls would be. Don't ask me why, and this is a terrible thing to say because I'm going to be chased from hell to breakfast by all the women who talk about equality - this is nothing to do with equality at all. I think women are foolish to pretend they are equal to men, they are far superior and always have been. But one thing you can't do with them is take a bunch of them and boil them down, so to speak, into a set of little girls who would then become a kind of image of civilisation, of society. The other thing is - why aren't they little boys AND little girls? Well, if they'd been little boys and little girls, we being who we are, sex would have raised its lovely head, and I didn't want this to be about sex. Sex is too trivial a thing to get in with a story like this, which was about the problem of evil and the problem of how people are to live together in a society, not just as lovers or man and wife.
Rachel Corrie|By Rachel Corrie, aged 10 — 1990I’m here for other children.I’m here because I care.I’m here because children everywhere are suffering and because forty thousand people die each day from hunger.I’m here because those people are mostly children.We have got to understand that the poor are all around us and we are ignoring them.We have got to understand that these deaths are preventable.We have got to understand that people in third world countries think and care and smile and cry just like us.We have got to understand that they dream our dreams and we dream theirs.We have got to understand that they are us. We are them.My dream is to stop hunger by the year 2000.My dream is to give the poor a chance.My dream is to save the 40,000 people who die each day.My dream can and will come true if we all look into the future and see the light that shines there.If we ignore hunger, that light will go out.If we all help and work together, it will grow and burn free with the potential of tomorrow.
